proof_id,proof_gate,source_checked,source_url,evidence_found,value_or_metric,current_status,what_it_proves,what_it_does_not_prove,next_required_document,upgrade_test,safe_use
CFPBFPPA-001,new note source,PBF 8-K dated May 28 2026,https://www.sec.gov/Archives/edgar/data/1534504/000119312526245390/d16410d8k.htm,PBF Holding and PBF Finance issued 500.0M USD aggregate principal of 7.250% Senior Notes due 2034,500.0M USD gross principal,new-note-source-visible,Confirms named refinancing source instrument and issuers,Does not prove buyer allocation or full cash settlement statement,Private offering memorandum purchase agreement and closing statement,Upgrade if original investor allocation and closing cash are visible,Use as named source instrument proof
CFPBFPPA-002,new note net proceeds,PBF Q2 2026 10-Q,https://www.sec.gov/Archives/edgar/data/1534504/000153450426000030/pbf-20260630.htm,The issuers received 492.1M USD net proceeds after initial purchasers discount and offering expenses,492.1M USD net proceeds,gross-to-net-proceeds-visible,Confirms usable new-note proceeds in the filing,Does not itemize discounts fees or cash transfer timing,Debt issuance cost schedule and offering settlement statement,Upgrade if gross proceeds fees and cash receipt reconcile,Use as net proceeds proof
CFPBFPPA-003,old note redemption notice,PBF May 26 2026 8-K,https://www.sec.gov/Archives/edgar/data/1534504/000119312526237935/d902470d8k.htm,PBF issued a conditional optional full redemption notice for all 801.6M USD of 2028 notes at 100% plus accrued interest to but excluding June 25 2026,801.6M USD principal at par plus accrued interest,conditional-redemption-notice-visible,Confirms formal redemption route and price formula,Does not prove condition satisfaction cash transfer or final holder distribution,Trustee notice certificate and paying-agent settlement statement,Upgrade if final notice or settlement statement confirms payment mechanics,Use as notice-level settlement route proof
CFPBFPPA-004,completed redemption,PBF Q2 2026 10-Q,https://www.sec.gov/Archives/edgar/data/1534504/000153450426000030/pbf-20260630.htm,PBF redeemed all 801.6M USD aggregate principal amount outstanding of 2028 6.00% Senior Notes on June 25 2026,801.6M USD principal redeemed,completed-redemption-visible,Confirms old debt was retired during the period,Does not isolate accrued interest or exact cash-on-hand contribution,Trustee settlement statement and treasury cash bridge,Upgrade if principal accrued interest and cash sources reconcile,Use as completed redemption proof
CFPBFPPA-005,source/use bridge,PBF Q2 2026 10-Q,https://www.sec.gov/Archives/edgar/data/1534504/000153450426000030/pbf-20260630.htm,PBF says the redemption was financed using proceeds from 2034 notes and available cash,492.1M USD net proceeds plus available cash,source-use-bridge-visible,Confirms named proceeds plus available cash funded old-note retirement,Does not show exact available-cash split account movement or priority,Treasury source/use ledger and paying-agent cash record,Upgrade if total settlement cash reconciles to proceeds plus exact cash contribution,Use as explicit source/use proof with boundary
CFPBFPPA-006,accrued interest proxy,2028 6.00% Senior Notes indenture,https://www.sec.gov/Archives/edgar/data/1534504/000119312520014246/d875292dex41.htm,2028 notes pay interest on February 15 and August 15 and use a 360-day year of twelve 30-day months; redemption was June 25 2026 excluding the redemption date,about 17.368M USD derived accrued interest,contractual-accrued-interest-proxy-visible,Derives a bounded accrued-interest proxy for the redemption cash bridge,Does not prove actual trustee-paid accrued interest or any rounding/record-date convention effect,Trustee settlement statement and paying-agent confirmation,Upgrade if actual accrued interest cash is disclosed,Use as derived proxy not settlement proof
CFPBFPPA-007,total redemption cash proxy,Derived from Q2 2026 10-Q and 2028 indenture,https://www.sec.gov/Archives/edgar/data/1534504/000153450426000030/pbf-20260630.htm; https://www.sec.gov/Archives/edgar/data/1534504/000119312520014246/d875292dex41.htm,Principal 801.6M USD plus derived accrued interest proxy of about 17.368M USD implies about 818.968M USD total cash before any additional settlement details,about 818.968M USD derived cash requirement,total-redemption-cash-proxy-visible,Improves the estimated cash requirement from principal-only to principal-plus-accrued-interest proxy,Does not prove final settlement cash fees taxes or exact payment ledger,Trustee settlement statement and treasury cash ledger,Upgrade if exact gross settlement cash is disclosed,Use as bounded derived cash bridge
CFPBFPPA-008,available cash bridge,Derived from 10-Q net proceeds and total redemption cash proxy,https://www.sec.gov/Archives/edgar/data/1534504/000153450426000030/pbf-20260630.htm,Total cash proxy of about 818.968M USD less 492.1M USD net proceeds implies about 326.868M USD available cash before any other settlement details,about 326.868M USD derived available-cash contribution,available-cash-bridge-proxy-visible,Quantifies the likely available-cash contribution more tightly than principal-only math,Does not prove account source priority or treasury transfer,Available-cash source/use ledger and paying-agent settlement,Upgrade if PBF discloses exact cash-on-hand contribution,Use as derived cash contribution proxy
CFPBFPPA-009,debt-service change proxy,Local PBF redemption bridge and coupon math,local derived calculation,Old annual coupon was 48.096M USD and new annual coupon is 36.250M USD before fees taxes amortization and liquidity opportunity cost,11.846M USD simple annual coupon relief,simple-coupon-relief-visible,Shows first-order coupon burden fell despite higher new coupon rate because principal fell,Does not prove after-tax NPV or total refinancing value,Pro forma interest schedule fee amortization tax and liquidity opportunity cost model,Upgrade if after-tax debt-service economics are source-backed,Use as simple coupon proxy
CFPBFPPA-010,cost markers,PBF Q2 2026 10-Q,https://www.sec.gov/Archives/edgar/data/1534504/000153450426000030/pbf-20260630.htm,PBF reported 7.9M USD deferred financing costs and other financing cash use and 2.2M USD loss on extinguishment related to redemption,7.9M USD deferred financing costs and other; 2.2M USD loss,cost-markers-visible,Confirms some refinancing costs are visible,Does not itemize fee amortization tax effect or complete economic cost,Debt issuance cost rollforward tax footnote and extinguishment detail,Upgrade if costs are reconciled into after-tax NPV,Use as cost-boundary evidence
