bridge_id,proof_gate,source_document,source_route,period,current_evidence,value_or_metric,current_status,what_it_proves,what_it_does_not_prove,next_required_source,upgrade_test
CFETNCCB-001,company_cash_baseline,Energy Transfer Q2 2026 results,public earnings release and local ET source-test trail,Q2 2026,Adjusted EBITDA and DCF are visible at partnership level.,5.07B USD adjusted EBITDA; 2.59B USD DCF,company-cash-proxy-visible,ET has strong company-level cash-generation evidence.,It is not named-project revenue or EBITDA.,Project revenue EBITDA DCF contribution and debt-service schedule.,Pass only if company cash is allocated to project contribution and debt service.
CFETNCCB-002,growth_capex_use,Energy Transfer Q2 2026 results,public earnings release and local ET project-cash trail,Q2 2026 / FY 2026,Q2 growth capex and FY growth-capex guidance are visible.,1.10B USD Q2 growth capex; 5.6B-5.9B USD FY2026 guidance,growth-capex-visible,ET is deploying material expansion capital.,The dollars are not allocated to Nederland Lone Star or y-grade assets.,Project capital schedule by named asset.,Pass only if capex is allocated to specific project components.
CFETNCCB-003,funding_wrapper,Energy Transfer Q2 2026 results and local funding trail,public/local ET financing evidence,Q2 2026,Unused Five-Year Credit Facility availability long-term debt and senior-note/refinancing route are visible.,3.76B USD unused facility availability; 68.393B USD long-term debt; 3.00B USD notes,funding-wrapper-visible,Liquidity debt stack and capital-market access are visible.,The source of funds is not tied to a named project.,Revolver note retained-cash and commercial-paper source-to-project allocation.,Pass only if financing proceeds or retained cash are assigned to named projects.
CFETNCCB-004,nederland_capacity,Energy Transfer Nederland expansion announcement,public company release,June 2026,Nederland expansion adds ethane export and LPG capacity.,240000 bpd ethane; 55000 bpd LPG,nederland-capacity-visible,A named export-capacity project is visible.,Capacity is not billing utilization or project cash.,Nederland project cost utilization and customer billing support.,Pass only if capacity is joined to utilization billing and project economics.
CFETNCCB-005,nederland_committed_capacity,Energy Transfer Nederland expansion announcement,public company release,June 2026,Energy Transfer says the project is fully subscribed and 100% of ethane export capacity is committed in long-term agreements into the 2040s.,100 percent committed ethane capacity into the 2040s,nederland-committed-capacity-visible,Customer obligation quality is stronger than generic demand.,Customer identity rates fee type take-or-pay terms and cash receipts are not public here.,Nederland customer agreements tariff or fee schedules and billing records.,Pass only if committed capacity is tied to customer rates billings receipts and project contribution.
CFETNCCB-006,connected_infrastructure,Energy Transfer Nederland expansion announcement,public company release,June 2026,The expansion includes expanded Mont Belvieu-to-Nederland pipeline capacity and two additional NGL ship docks.,pipeline expansion and two additional ship docks,connected-infrastructure-visible,The capacity addition has named connected assets.,It does not disclose asset-level cost or contribution.,Component-level project capital and contribution schedule.,Pass only if each component has cost source use output and cash metrics.
CFETNCCB-007,lone_star_output,Energy Transfer Q2 2026 results,public earnings release,Q2 2026,Lone Star Express upgrades provide more than 90000 bpd incremental Permian NGL takeaway capacity.,more than 90000 bpd incremental capacity,lone-star-capacity-visible,A named pipeline output addition is visible.,No throughput shipper billing tariff economics or margin is proven.,Lone Star throughput contracts tariff billing and contribution bridge.,Pass only if Lone Star volumes and billings are tied to project contribution.
CFETNCCB-008,y_grade_commercial_demand,Energy Transfer Q2 2026 results,public earnings release,Q2 2026 / into 2030s,Long-term transportation and/or fractionation agreements cover about 300000 bpd on y-grade assets into the 2030s.,about 300000 bpd into the 2030s,y-grade-commercial-demand-visible,Long-duration demand exists around y-grade assets.,Customers rates minimum-volume commitments and billing are not disclosed.,Y-grade contracts tariff/fee economics billing volume and customer support.,Pass only if agreements are tied to rates utilization billing and project cash.
CFETNCCB-009,same_period_volume_growth,Energy Transfer Q2 2026 results,public earnings release,Q2 2026,NGL transportation and export volumes grew in the same period.,13 percent NGL transportation growth; 25 percent NGL export growth,same-period-volume-growth-visible,Operating output is growing in the same period as capex and cash evidence.,Growth percentages do not allocate utilization or margin to named projects.,Asset-level volume utilization and margin schedule.,Pass only if volume growth is attributed to named assets and reconciled to revenue/margin.
CFETNCCB-010,full_named_project_cash_proof,Current local and public Energy Transfer source route,local artifact inventory plus public search,current,No current public/local source joins project cost funding source customer billing utilization project EBITDA/DCF debt service and return for Nederland Lone Star or y-grade assets.,named project cash proof not found,named-project-cash-proof-hold,The decisive missing project-cash source package is explicit.,Full named cash proof is unavailable.,Customer contracts billing volume project revenue EBITDA DCF debt service DSCR IRR NPV and cash receipt records.,Pass only if named project source use customer cash contribution debt service and return are reconciled end to end.
