claim_id,research_direction,evidence_target,entity_or_case,current_supported_claim,stronger_claim_being_tested,exact_numbers_needed,source_path,source_url_or_entry_point,acceptance_rule,current_status,next_action
CF-004,evidence-to-claim,Insurance asset allocation and credit quality,Apollo / Athene,Apollo/Athene has large retirement-services inflows and net invested assets backing spread earnings plus FY2025 annual-report rows for Apollo credit lanes Athene Accounts invested assets deployable capital ACRA reinsurance and surrender structure.,Athene liabilities are being routed into private credit or private assets at measurable scale.,Asset allocation by public credit private credit structured credit alternatives; NAIC/SVO rating mix; Level 3 or hard-to-value exposure; affiliated asset exposure; surrender and spread metrics,Apollo 10-K and 10-Q; Athene IR; NAIC annual/quarterly statements; rating-agency insurance reports,https://ir.athene.com/; https://content.naic.org/industry/insdata; https://ir.apollo.com/sec-filings/content/0001858681-26-000013/apo-20251231.htm,Promote only when liability/inflow metrics and asset-class allocation metrics appear in the same period and can be tied to Athene or retirement-services assets.,sec-10k-asset-quality-bridge-extracted-statutory-layer-still-needed,Use the 23-row FY2025 Apollo/Athene extraction as the annual-report bridge; next identify Athene statutory company codes and acquire Schedule D/BA or rating-agency asset-quality reports.
CF-004,evidence-to-claim,Insurance credit AUM quality and reinsurance structure,KKR / Global Atlantic,KKR/Global Atlantic has 220B USD Global Atlantic AUM and 164B USD credit AUM.,Global Atlantic insurance liabilities and reinsurance vehicles are a durable credit-capital source for KKR.,Invested assets; credit AUM by asset class; ratings; reserve liabilities; reinsurance vehicle AUM; capital and surplus; operating earnings volatility,KKR 10-Q; Global Atlantic IR; Global Atlantic Re financial statements; NAIC/insurance regulator filings,https://www.globalatlantic.com/investor-relations; https://cdn.bma.bm/documents/2026-07-16-21-57-04-Global-Atlantic-Re-Limited-2025-Financial-Statement-Class-3A.pdf; https://content.naic.org/industry/insdata,Promote only if Global Atlantic credit AUM is separated from total KKR credit AUM and supported by insurance balance-sheet or regulator filing data.,earnings-release-extracted-10q-downloaded-deeper-layer-needed,Extract KKR 10-Q insurance investment and liability sections; inspect Global Atlantic financial statements for asset mix and capitalization.
CF-004,evidence-to-claim,Direct private-credit allocation bridge,Brookfield Wealth Solutions,Brookfield gives direct allocation percentages: 33% private credit 49% public credit 5% private funds.,Brookfield/AEL insurance assets are intentionally allocated into private credit rather than merely generic invested assets.,Dollar value of private credit allocation; public credit; private funds; invested assets; rating mix; net spread; capital adequacy; affiliated manager exposure,Brookfield Wealth Solutions annual reports; Brookfield supplemental; AEL SEC and insurance filings; state insurance exam reports,https://bnt.brookfield.com/reports-filings/annual-reports; https://www.sec.gov/Archives/edgar/data/1039828/000103982825000010/angpa-20241231.htm; https://iid.iowa.gov/media/817/download,Promote allocation claim when percentage disclosure can be converted into dollars and reconciled to invested insurance assets.,allocation-bridge-found-credit-quality-layer-needed,Convert 33% private-credit allocation to dollars using invested insurance assets and add credit-quality/rating rows from annual or regulator sources.
CF-004,claim-to-evidence,Third-party insurer SMA capital allocation,Blackstone Credit & Insurance,Blackstone shows 7.5B USD insurance SMA inflows into infrastructure and asset-based credit strategies.,Insurers are third-party capital providers to Blackstone private-credit and ABF strategies at meaningful scale.,Insurance SMA inflows by strategy; insurer client AUM; SMA allocation mix; direct lending; ABF; infrastructure credit; fee economics; redemption/liquidity constraints,Blackstone earnings release and supplemental; insurance client statutory schedules if identifiable; fund reports where public,https://www.blackstone.com/blackstone2q26earningspressrelease/; https://www.blackstone.com/blackstone2q26supplementalfinancialdata-2/; https://content.naic.org/industry/insdata,Promote only as third-party insurance-client capital unless owned insurance liabilities are separately documented.,official-web-extracted-local-download-blocked,Keep Blackstone structurally separate from Apollo/KKR/Brookfield and seek insurer-client or SMA asset-class disclosures.
CF-005,claim-to-evidence,Borrower bank-facility termination,Auctane / Stamps.com,Auctane/Stamps.com closing 8-K confirms prior bank-led credit agreement termination at close.,Private-credit deal proceeds displaced a specific bank-led borrower facility.,Prior facility amount; terminated obligations; lender names; new debt facility amount; new lender group; bank ancillary role after close,SEC merger proxy and closing 8-K; credit agreement or debt commitment exhibits; lender/counsel transaction note,https://www.sec.gov/Archives/edgar/data/1082923/000114036121033695/ny20000915x1_8k.htm,Promote bank-takeout claim only for the named prior facility and do not infer absence of post-close bank services without the new credit agreement.,closing-termination-confirmed-post-close-role-needed,Find final financing documents or lender list to map whether banks retained revolver treasury hedging or agency roles.
CF-005,claim-to-evidence,Borrower debt commitment and existing facility repayment,Medallia,Medallia SEC sources support 1.8B USD debt commitment and repayment of Wells Fargo-administered existing credit agreement.,Private-credit acquisition financing replaced part of a bank-administered credit stack and later created lender-led control risk.,Debt commitment amount; equity commitment; existing credit agreement repayment; new lender group; recapitalization debt reduction; new-money capital,SEC acquisition 8-K; proxy; sponsor announcement; 2026 recapitalization release; credit agreement exhibits,https://www.sec.gov/Archives/edgar/data/1540184/000119312521225759/d148042d8k.htm,Split the claim: financing amount is primary-source-backed; lender identity comes from sponsor/company releases unless final debt docs are found.,primary-amount-found-lender-doc-needed,Find final debt commitment letter or credit agreement and trace lender marks through BDC/fund holdings if available.
CF-005,claim-to-evidence,Direct bank competition case,Guidehouse,Guidehouse is currently secondary-source-backed as a Blackstone-led private loan beating banks.,Private lenders directly outcompeted banks for a large sponsor buyout financing.,Facility amount; pricing; lender group; arranger role; bank bid details; final debt terms; refinancing history,Debt agreement; rating-agency loan report; lender presentation; accessible news archive,https://guidehouse.com/news/corporate-news/2023/guidehouse-completes-transaction-with-bain-capital,Keep as secondary-source-backed until a primary debt document or rating report confirms terms and bank role.,secondary-source-only,Search rating-agency reports and debt-document exhibits; do not use blocked rate-limit pages as evidence.
CF-005,claim-to-evidence,Bank denominator and category comparison,Commercial bank credit,Aggregate bank credit is still growing so broad bank-disappearance claim is not supported.,Private credit is gaining share in specific lanes while bank credit remains large or grows in aggregate.,C&I loans; bank credit; CRE loans; leveraged lending; syndicated loan volumes; private-credit AUM/originations by comparable category,Federal Reserve H.8/FRED; FDIC; Shared National Credit; asset-manager supplements; BDC filings,https://fred.stlouisfed.org/graph/fredgraph.csv?id=BUSLOANS; https://fred.stlouisfed.org/graph/fredgraph.csv?id=TOTBKCR; https://www.fdic.gov/analysis/quarterly-banking-profile,Use displacement language only when category-matched bank denominator weakens or borrower documents show specific takeout.,fred-refreshed-fdic-layer-needed,Add FDIC category rows and compare to private-credit manager origination/deployment time series.
CF-004,evidence-to-claim,Source-access route for statutory filings,NAIC and state insurance filings,NAIC/statutory filings are identified as the required next layer for insurance asset mix and capital adequacy.,Statutory statements can quantify insurer exposure to private credit alternatives and affiliated assets.,Schedule D bonds; Schedule BA other invested assets; Schedule DB derivatives; AVR/IMR; capital and surplus; risk-based capital; related-party investments,NAIC InsData; state insurance departments; annual statement blanks and instructions,https://content.naic.org/industry/insdata; https://content.naic.org/prod_serv_financial_home.htm; https://doi.sc.gov/1047/Accessing-Insurance-Company-Financial-St,Do not claim statutory exposure until company-specific annual or quarterly statement rows are obtained and parsed.,source-route-identified-data-not-yet-acquired,Create company code list for Athene subsidiaries Global Atlantic subsidiaries and Brookfield/AEL insurers; then acquire statements or alternate regulator copies.
CF-004,evidence-to-claim,Rating-agency risk overlay,Insurance-linked private credit platforms,Manager supplements show scale but do not independently validate risk quality.,The insurance-private-credit channel is safe or risky depending on credit quality liquidity capital and affiliated-asset risk.,Financial strength ratings; rating outlook; capital adequacy; risky asset ratio; below-investment-grade exposure; illiquid asset exposure; affiliated investment commentary,Fitch Moody's S&P AM Best reports; issuer rating pages; regulator examination reports,https://www.globalatlantic.com/investor-relations; https://content.naic.org/insurance-topics/financial-data-repository,Use rating language only as independent risk context and separate it from company-provided AUM/inflow claims.,source-route-identified-needs-report-capture,Pull publicly accessible rating reports and record which numbers are public versus gated.
