route_id,proof_layer,source_document,period,evidence_found,current_status,what_it_proves,what_it_does_not_prove,next_required_source,upgrade_test,safe_use
CFFPLDAR-001,staff interrogatory request route,DN 02990-2026,2026,Staff first set of interrogatories to FPL Nos. 1-8 was served by certificate of service,request-route-visible,Confirms staff discovery started in the current SPPCRC docket,Certificate does not include the questions answers schedules or attachments,Actual interrogatory questions and FPL answers,Upgrade if answers disclose billing determinants category receipts source allocation or earned return,Use as discovery route only
CFFPLDAR-002,Panama City discovery request route,DN 03047-2026,2026,Panama City served first interrogatories Nos. 1-28 and PODs Nos. 1-150 to FPL,request-route-visible,Confirms party discovery had enough scope to plausibly request detailed billing/workpaper materials,Notice does not include the produced documents or data responses,Panama City request text FPL responses and POD production attachments,Upgrade if POD attachments include billing/receipt/category workpapers,Use as party-discovery route
CFFPLDAR-003,staff POD route,DN 03261-2026,2026,Staff first request for production of documents to FPL No. 1 was served,pod-route-visible,Confirms a production-document channel exists,Certificate does not disclose what was requested or produced,Underlying POD request response and attachments,Upgrade if produced documents include workpapers or ledgers,Use as POD route only
CFFPLDAR-004,FPL first response notice,DN 03396-2026; DN 03451-2026,2026,FPL noticed service of responses and objections to staff first interrogatories and Panama City first interrogatories/PODs,response-notice-visible,Confirms FPL served discovery responses/objections,Notices do not include the answers objections detail or produced schedules,Underlying non-confidential response package or confidential production index,Upgrade if response package includes usable billing determinant or receipt schedules,Use as response route map
CFFPLDAR-005,FPL audit report,DN 03417-2026,2026,FPL SPPCRC audit report for twelve months ended 2025 was filed with Audit Control No. 2026-020-1-1 and states no confidential work papers were associated with the audit,audit-visible-no-confidential-workpapers,Confirms audit route and absence of confidential audit workpapers for this audit package,Audit report does not expose Distribution Inspection receipt ledger billing determinants or source-of-funds allocation,Audit supporting schedules beyond summary exhibits or separate discovery materials,Upgrade if audit support reconciles category recovery to billed/collected cash,Use as audit boundary
CFFPLDAR-006,FPL second response notice,DN 03676-2026,2026,FPL noticed responses/objections to staff second interrogatory No. 9 and first POD No. 1,response-notice-visible,Confirms FPL responded to additional staff discovery,Notice does not expose the response content or attachments,Non-confidential answers and POD attachment production,Upgrade if response package contains determinant receipt or source allocation support,Use as follow-up route
CFFPLDAR-007,staff third and fourth request route,DN 03825-2026; DN 04149-2026; DN 04150-2026,2026,Staff third interrogatories Nos. 10-18 fourth interrogatories Nos. 19-22 and second POD No. 2 were served,expanded-request-route-visible,Confirms later staff discovery route that could target workpaper gaps,Certificates do not show the questions or documents produced,Actual third/fourth interrogatories second POD and FPL answers,Upgrade if later discovery asks for or produces receipt/billing workpapers,Use as expanded discovery map
CFFPLDAR-008,FPL later response notices,DN 04505-2026; DN 04795-2026,2026,FPL noticed responses/objections to staff third and fourth interrogatories and second POD,response-notice-visible,Confirms later FPL response route,Notices still do not disclose the substantive schedules or produced documents,Underlying response package and any confidential exhibit index,Upgrade if answers or POD materials expose cash receipt schedules,Use as response boundary
CFFPLDAR-009,Panama City second discovery route,DN 05040-2026; DN 05260-2026,2026,Panama City served second interrogatories Nos. 29-30 second PODs Nos. 151-232 and admissions; FPL noticed objections,party-discovery-objection-route-visible,Confirms a large later party-discovery route exists,Objection notice does not expose data and may indicate contested access,Request/response package plus ruling or produced non-confidential schedules,Upgrade if later materials surface billing receipt category allocation or admissions,Use as contested discovery route
CFFPLDAR-010,discovery/audit verdict,current public docket discovery and audit filings,FPL Distribution Inspection 2025-2027,Discovery and audit routes are visible but public filings sampled are certificates notices audit summary or inventories rather than substantive billing/receipt schedules,hold-with-discovery-route-visible,Confirms the next proof likely lives behind served responses POD attachments confidential indexes or workpapers,Does not prove named cash receipts billing determinants source-of-funds legal-entity waterfall collateral certificate or return model,Non-confidential discovery responses POD attachments confidentiality indexes and workpapers,Upgrade only if the underlying schedules tie customer billings collections category allocation funding source and earned return,Use as acquisition map not proof
