claim_id,company,period,metric,value,unit,qoq_reference_value,qoq_change_pct,yoy_reference_value,yoy_change_pct,source_file,source_location,interpretation,claim_effect,status
CF-004,KKR / Global Atlantic,Q2 2026,Global Atlantic AUM,220,USD billions,,,,,raw/primary-sources/capital-flow/kkr/q2-2026/kkr-q2-2026-earnings-release.pdf,official release page 19 lines 396-397,Measures insurance-platform AUM tied to KKR's Global Atlantic insurance companies.,supports a second manager-specific insurance-liability capital channel,manual-extracted-from-official-ir-pdf
CF-004,KKR / Global Atlantic,Q2 2026,Global Atlantic credit AUM,164,USD billions,,,,,raw/primary-sources/capital-flow/kkr/q2-2026/kkr-q2-2026-earnings-release.pdf,official release page 19 line 396,Measures the credit portion of Global Atlantic AUM.,supports insurance-linked capital being routed into credit assets,manual-extracted-from-official-ir-pdf
CF-004,KKR / Global Atlantic,Q2 2026,Ivy and sponsored reinsurance vehicles AUM,62,USD billions,,,,,raw/primary-sources/capital-flow/kkr/q2-2026/kkr-q2-2026-earnings-release.pdf,official release page 19 lines 396-397,Measures sponsored reinsurance vehicle scale included in Global Atlantic AUM.,supports reinsurance-side capital formation around insurance liabilities,manual-extracted-from-official-ir-pdf
CF-004,KKR / Global Atlantic,Q2 2026,insurance operating earnings,288.220,USD millions,,,277.932,3.7,raw/primary-sources/capital-flow/kkr/q2-2026/kkr-q2-2026-earnings-release.pdf,official release page 19 lines 400-404,Measures quarterly earnings from KKR's insurance segment.,supports insurance channel economics but not private-credit origination by itself,manual-extracted-from-official-ir-pdf
CF-004,KKR / Global Atlantic,Q2 2026,Global Atlantic book value,11.799440,USD billions,,,9.565438,23.4,raw/primary-sources/capital-flow/kkr/q2-2026/kkr-q2-2026-earnings-release.pdf,official release page 19 line 406,Measures Global Atlantic capital/book value scale.,supports insurance platform capital base,manual-extracted-from-official-ir-pdf
CF-001,KKR,Q2 2026,AUM,796,USD billions,,,686.206,16.0,raw/primary-sources/capital-flow/kkr/q2-2026/kkr-q2-2026-earnings-release.pdf,official release page 5 lines 131-132,Measures KKR's total capital-routing scale.,supports broad platform scale alongside insurance channel,manual-extracted-from-official-ir-pdf
CF-001,KKR,Q2 2026,FPAUM,638,USD billions,,,554.783,15.0,raw/primary-sources/capital-flow/kkr/q2-2026/kkr-q2-2026-earnings-release.pdf,official release page 5 lines 131-132,Measures fee-paying capital base.,supports monetizable platform scale,manual-extracted-from-official-ir-pdf
CF-001,KKR,Q2 2026,new capital raised,34,USD billions,,,,,raw/primary-sources/capital-flow/kkr/q2-2026/kkr-q2-2026-earnings-release.pdf,official release page 5 line 133,Measures quarterly capital formation.,supports routing-platform inflow strength,manual-extracted-from-official-ir-pdf
CF-001,KKR,Q2 2026,LTM new capital raised,133,USD billions,,,,,raw/primary-sources/capital-flow/kkr/q2-2026/kkr-q2-2026-earnings-release.pdf,official release page 5 line 133,Measures trailing-twelve-month capital formation.,supports sustained capital-raising scale,manual-extracted-from-official-ir-pdf
CF-001,KKR,Q2 2026,capital invested,24,USD billions,,,,,raw/primary-sources/capital-flow/kkr/q2-2026/kkr-q2-2026-earnings-release.pdf,official release page 5 line 134,Measures quarterly deployment.,supports capital moving from platform into investments,manual-extracted-from-official-ir-pdf
CF-001,KKR,Q2 2026,LTM capital invested,104,USD billions,,,,,raw/primary-sources/capital-flow/kkr/q2-2026/kkr-q2-2026-earnings-release.pdf,official release page 5 line 134,Measures trailing-twelve-month deployment.,supports sustained deployment scale,manual-extracted-from-official-ir-pdf
