assignment_bucket,work_type,primary_lane,anchor_set_or_scope,why_this_thread_owns_it,trigger_condition,preferred_output,source_priority,last_updated,status
"take now","cross-sector comparison","behind-the-shelf consumer infrastructure systems","Graphic Packaging; Waste Management; Clean Harbors; Clearwater Paper; CECO Environmental; Sonoco; Veralto","the useful read is hidden physical infrastructure beneath visible consumer demand rather than isolated materials or services labels and the lane now also separates broad route-density cleanup from specialized hazardous environmental-service intensity while leaving open packaging-format breadth and plant-embedded quality-water-control extension","use when packaging versus environmental-service versus plant-embedded support needs tightening or when the next subtype move should widen packaging control or plant-embedded quality and water-control infrastructure","cross-sector memo or infrastructure comparison","high",2026-08-10,in-progress
"take only if needed","subtype extension","marketplace and coordination systems","Amazon; eBay; Instacart; Etsy; DoorDash; Uber; Airbnb; Booking; Expedia","the useful comparison is coordination trust participation and second-layer monetization rather than formal software retail travel or services buckets, but it should not be default first-claim work once the hidden-infrastructure lanes are already live","use only when a new comparison adds a genuinely different subtype beyond the trust-marketplace local-demand travel-interface and delivery-layer comparisons already on file","cross-sector memo or subtype comparison extension","medium",2026-08-10,in-progress
"take only if needed","comparison extension","DTC control and relationship ownership","Warby Parker; YETI; Birkenstock; Nike; Levi Strauss; Ulta","the useful comparison is owned demand versus wholesale distributor or platform dependence rather than standard category coverage, but it should remain conditional unless another name sharpens a real boundary","use only when another name sharpens a boundary beyond the current direct comparisons already on file","cross-sector memo or owned-demand comparison","medium",2026-08-10,in-progress
"take only if needed","cross-format synthesis","retail system types","Amazon; Walmart; Costco; Kroger; Ross; Ulta; Best Buy; Home Depot; Nike; eBay","the site does not treat retail as one system and scatters the relevant companies across multiple sectors, but the lane is already broad enough that another move should be conditional","use only when another name sharpens utility replenishment discovery brand-led marketplace-led membership-led or project-retail subtype quality beyond the current direct comparisons","cross-sector memo or retail subtype map","medium",2026-08-10,in-progress
"take only if needed","subtype extension","modern real-estate and infrastructure systems","Prologis; Equinix; Digital Realty; Home Depot; Lowe's; Builders FirstSource; CBRE; AvalonBay; Sherwin-Williams; AECOM; Dycom","the useful read is one built-environment chain split across old sector walls, but the next move should be conditional rather than default first-claim work","use only when another name sharpens logistics-property digital-capacity housing-cash-flow civic-flow or ownership-versus-intermediation-versus-execution boundaries beyond the current direct comparisons","cross-sector memo or subtype comparison extension","medium",2026-08-10,in-progress
"take now","hidden infrastructure lane","control-layer and connectivity infrastructure systems","Cloudflare; Cisco; Palo Alto Networks; Ciena; Corning","the useful read is network trust transport and optical-control infrastructure rather than old internet or hardware labels","use when another name adds a genuinely different edge-control enterprise-trust optical-transport or optical-input structure","lane memo extension or subtype comparison","high",2026-08-10,in-progress
"take now","hidden infrastructure lane","hidden connectivity and access-layer systems","American Tower; Crown Castle; SBA Communications; Iridium; Viasat","the useful read is invisible access-site ownership recurring tower rent resilient off-grid coverage and heavier-bandwidth sovereign or mobility orbital connectivity rather than generic REIT or communications-equipment coverage","use when another name adds a genuinely different tower-rent route-density fiber satellite-resilience bandwidth-heavy orbital or private-infrastructure structure","lane memo extension or subtype comparison","high",2026-08-10,in-progress
"take now","hidden workflow lane","physical execution and embedded workflow systems","United Rentals; Fastenal; Ferguson; WESCO; Applied Industrial Technologies; Core & Main","the useful read is access-over-ownership embedded procurement branch-density workflow control engineering-heavy uptime support and civic-failure-response distribution rather than ordinary industrial categories","use when another name adds a genuinely different access-system embedded-procurement branch-density service engineering-heavy MRO or civic-failure-response structure","lane memo extension or subtype comparison","high",2026-08-10,in-progress
"take only if needed","lane extension","marketplace trust subgroup","Etsy; eBay; Airbnb or another peer-supply or resale intermediary","this is a real blind spot but the lane already has a direct trust-marketplace comparison and a broader marketplace subtype map","use when another name adds a genuinely different trust structure","lane memo extension or narrower subtype comparison","medium",2026-08-10,in-progress
"take only if needed","lane extension","travel-interface subgroup","Booking; Expedia; Airbnb or another travel intermediary","this is a real blind spot but the lane already has a direct travel-interface comparison and a broader marketplace subtype map","use when another name adds a genuinely different orchestration intermediation or trust structure","lane memo extension or narrower subtype comparison","medium",2026-08-10,in-progress
"take only if needed","lane extension","delivery-layer subgroup","C.H. Robinson; UPS; DoorDash or another routing or logistics-control intermediary","this is a real blind spot but the lane already has a direct delivery-layer comparison and a broader hidden-infrastructure and marketplace map","use when another name adds a genuinely different routing delivery or logistics-control structure","lane memo extension or narrower subtype comparison","medium",2026-08-10,in-progress
"take only if needed","lane extension","beauty identity and prestige systems","Ulta; e.l.f. Beauty; Coty; The Estee Lauder Companies","this is a real blind spot but the lane already has enough anchors for useful synthesis","use when retailer-versus-brand or prestige-versus-access comparison still needs sharpening","lane memo extension","medium",2026-08-10,in-progress
