chapter_id,section_or_company,role,hard_evidence,what_it_proves,what_it_does_not_prove,proof_grade,needed_for_upgrade,writing_use
ARBUC-001,Opening thesis,Chapter frame,"Expensive shelter aging assets weak construction labor scarcity and infrastructure needs shift spending toward upkeep repair replacement productivity and contractor channels",The chapter can explain the built environment as ongoing burden rather than one housing cycle,It does not prove project-level receipts branch cash conversion or asset returns by theme alone,synthesis-ready,Company evidence table and built-environment proof ladder,Use as the plain-English chapter opening.
ARBUC-002,Built-environment proof ladder,Proof discipline,"Burden visibility; channel visibility; demand-lane visibility; conversion visibility; cash and return proof",The chapter can separate housing pressure from different spending lanes and proof levels,The ladder does not upgrade sales comps or branch counts into receipt-grade proof,writing-control,Project receipts branch working capital inventory turns category cash conversion acquisition returns and ROIC,Use to keep the chapter segmented and bounded.
ARBUC-003,Home Depot,Downstream household and Pro project interface,"Fiscal 2025 sales 164.7B USD; comps up 0.3 percent; Home Depot plus SRS had over 1,300 SRS branches and 16,000 delivery assets",Home Depot shows repair maintenance Pro delivery and trade distribution around existing property work,It does not prove project-level Pro cash collection SRS acquisition return or category margin by job,downstream-channel-visible,Pro cohort sales SRS integration branch economics project receipts category margin and OCF bridge,Use as the home and Pro execution interface.
ARBUC-004,Lowe's,Home-improvement relationship route,"Fiscal 2025 sales 86.3B USD; Q1 2026 online sales grew 15.5 percent; Pro online services loyalty and distribution evidence visible",Lowe's shows an attempt to thicken the homeowner and Pro relationship beyond store product sales,It does not prove durable Pro share gain home-services margin or customer-level cash conversion,home-improvement-channel-visible,Pro penetration service economics online cohort profitability inventory turns and OCF conversion,Use as the homeowner service and Pro relationship example.
ARBUC-005,Builders FirstSource,Builder productivity and workflow,"585 locations in 43 states; fiscal 2025 net sales 15.8B USD; Q2 2026 net sales down 8.8 percent; Q2 adjusted EBITDA down 34.9 percent",Builders FirstSource shows prefabrication turnkey services and digital workflow facing housing-cycle pressure,It does not prove prefabrication ROI backlog quality builder cash collection or margin insulation,builder-productivity-boundary,Starts mix commodity bridge prefab margins backlog burn receivables and builder cohort data,Use as the productivity under housing pressure example.
ARBUC-006,Sherwin-Williams,Controlled coatings and repaint channel,"Fiscal 2025 net sales 23.6B USD; 4,853 Paint Stores Group stores; Q2 2026 Paint Stores same-store sales up 4.2 percent; all Pro segments grew",Sherwin-Williams shows coatings repaint and Pro-channel access can differ from broad DIY demand,It does not prove price durability project-level contractor profitability or cash conversion by coating segment,coatings-channel-visible,Pro cohort sales price-cost bridge store productivity receivables and segment cash conversion,Use as the controlled maintenance channel example.
ARBUC-007,West Fraser,Upstream lumber and engineered wood,"Fiscal 2025 adjusted EBITDA 56M USD; Q2 2026 adjusted EBITDA 59M USD after portfolio actions and Henderson ramp",West Fraser shows the cyclicality and operating leverage of upstream shelter inputs,It does not prove through-cycle mill ROIC tariff insulation or durable demand recovery,upstream-materials-boundary,Mill cost curve volume price tariff effects capex returns and product-level margins,Use as the hardest cyclical materials layer.
ARBUC-008,Ferguson,Contractor plumbing HVAC waterworks and mechanical distribution,"Roughly two-thirds of sales tie to repair maintenance and improvement; Q2 2026 sales 8.751B USD; non-residential grew 8 percent",Ferguson shows contractor-facing distribution as a repair maintenance and project-completion channel,It does not prove branch-level cash conversion acquisition ROI category margin durability or contractor cohort retention,contractor-distribution-visible,Branch economics category working capital acquisition integration contractor retention and OCF bridge,Use as the contractor support and nonresidential channel example.
ARBUC-009,Core & Main,Civic replacement and waterworks channel,"Fiscal 2025 net sales 7.647B USD; addressable market around 50B USD; fusible HDPE treatment-plant solutions and geosynthetics grew at double-digit rates in Q4",Core & Main shows water wastewater storm drainage fire-protection and utility infrastructure as unavoidable upkeep lanes,It does not prove municipal project funding realization acquisition return or receivable collection by category,civic-infrastructure-visible,Project funding bid awards receivables category margins acquisition bridge and municipal cash collection,Use as the waterworks and civic replacement example.
ARBUC-010,Built-environment conclusion,Chapter verdict,"Cross-company evidence links shelter pressure to home upkeep Pro channels builder productivity coatings lumber contractor distribution waterworks and civic infrastructure",Built-environment spending shifts lanes rather than disappearing when housing is pressured,It does not prove every lane has durable margin cash conversion or return on capital,publication-ready-with-boundaries,One Pro-channel cash conversion exhibit and one waterworks/project funding exhibit,Use as the chapter close and bridge to digital control.
ARBUC-011,Segmentation boundary,Proof standard,"Housing exposure is not one thing; retail lumber coatings contractor distribution waterworks and builder productivity have different demand and margin risks",The research standard can avoid treating the whole built-environment group as one housing beta,It does not mean the theme is weak; it means the lanes must be analyzed separately,proof-standard-control,Sub-lane margin working-capital project funding acquisition and ROIC evidence,Use as a proof box inside the chapter.
