source_extract_id,linked_manifest_id,linked_cipe_id,company,ticker,source_id,source_file,source_type,period,table_or_section,exact_metric_label,value,unit,evidence_bucket,safe_claim,boundary,next_source
CIPSTE-001,CIPSM-005,CIPE-003,United Rentals Inc.,URI,URI-T8,raw/sec/industrial-goods/rental-leasing-services/united-rentals-inc/2026-q2-ex99-earnings-release.html,SEC 8-K earnings-release exhibit,Q2 2026,Second Quarter 2026 Highlights,Total revenue,4.410B,USD,cash-converting,United Rentals' Q2 source exhibit confirms the revenue base supporting the fleet-access thesis.,Revenue scale does not prove fleet efficiency without fleet and capex metrics.,Q2 2026 10-Q fleet tables and investor presentation.
CIPSTE-002,CIPSM-005,CIPE-003,United Rentals Inc.,URI,URI-T8,raw/sec/industrial-goods/rental-leasing-services/united-rentals-inc/2026-q2-ex99-earnings-release.html,SEC 8-K earnings-release exhibit,Q2 2026,Second Quarter 2026 Highlights,Rental revenue,3.849B,USD,cash-converting,Rental revenue is the operating channel through which heavy-project demand becomes fleet-use revenue.,Rental revenue includes owned equipment rental revenue re-rent and ancillary revenue, so margin quality still needs mix detail.,Q2 2026 10-Q rental-revenue components and presentation mix tables.
CIPSTE-003,CIPSM-005,CIPE-003,United Rentals Inc.,URI,URI-T8,raw/sec/industrial-goods/rental-leasing-services/united-rentals-inc/2026-q2-ex99-earnings-release.html,SEC 8-K earnings-release exhibit,Q2 2026,Second Quarter 2026 Highlights,Adjusted EBITDA,2.056B,USD,cash-converting,Adjusted EBITDA confirms strong operating profitability alongside fleet investment.,Adjusted EBITDA includes a gain from part of the scaffolding-business sale, so quality needs reconciliation.,Q2 2026 10-Q adjusted EBITDA reconciliation.
CIPSTE-004,CIPSM-005,CIPE-003,United Rentals Inc.,URI,URI-T8,raw/sec/industrial-goods/rental-leasing-services/united-rentals-inc/2026-q2-ex99-earnings-release.html,SEC 8-K earnings-release exhibit,Q2 2026,Second Quarter 2026 Highlights,Fleet productivity increase,3.4,percent,cash-converting,Fleet productivity gives a direct utilization/rate/mix lens for whether fleet capital is productive.,It is an aggregate management metric and still needs OEC utilization and mix detail.,Q2 2026 10-Q fleet-productivity methodology and presentation.
CIPSTE-005,CIPSM-005,CIPE-003,United Rentals Inc.,URI,URI-T8,raw/sec/industrial-goods/rental-leasing-services/united-rentals-inc/2026-q2-ex99-earnings-release.html,SEC 8-K earnings-release exhibit,H1 2026,Second Quarter 2026 Highlights,Free cash flow,1.149B,USD,cash-converting,United Rentals generated free cash flow while still making large rental-equipment purchases.,Free cash flow must be read with gross and net rental capex and proceeds from equipment sales.,Q2 2026 10-Q cash-flow statement.
CIPSTE-006,CIPSM-005,CIPE-003,United Rentals Inc.,URI,URI-T8,raw/sec/industrial-goods/rental-leasing-services/united-rentals-inc/2026-q2-ex99-earnings-release.html,SEC 8-K earnings-release exhibit,H1 2026,Second Quarter 2026 Highlights,Gross rental capital expenditures,2.931B,USD,cash-converting,Gross rental capex directly proves capital absorption into the rental-fleet model.,Gross capex alone does not show net fleet growth without sales proceeds and OEC movement.,Q2 2026 10-Q investing cash-flow table and OEC disclosure.
CIPSTE-007,CIPSM-005,CIPE-003,United Rentals Inc.,URI,URI-T10,raw/sec/industrial-goods/rental-leasing-services/united-rentals-inc/2026-q2-10q.html,SEC 10-Q,H1 2026,Condensed consolidated statements of cash flows,Payments for purchases of rental equipment,2.720B,USD,cash-converting,The filed 10-Q confirms cash paid for rental-equipment purchases during H1 2026.,This is cash paid, not the same as management's gross rental capital expenditures metric.,Q2 2026 presentation or fleet roll-forward for gross-to-net bridge.
CIPSTE-008,CIPSM-005,CIPE-003,United Rentals Inc.,URI,URI-T10,raw/sec/industrial-goods/rental-leasing-services/united-rentals-inc/2026-q2-10q.html,SEC 10-Q,H1 2026,Condensed consolidated statements of cash flows,Proceeds from sales of rental equipment,680M,USD,cash-converting,The filed 10-Q gives the offset needed to begin moving from gross fleet spend toward net fleet investment.,Proceeds do not disclose utilization or realized resale margin by equipment class.,Fleet roll-forward and used-equipment sale margin detail.
CIPSTE-009,CIPSM-005,CIPE-003,United Rentals Inc.,URI,URI-T10,raw/sec/industrial-goods/rental-leasing-services/united-rentals-inc/2026-q2-10q.html,SEC 10-Q,Q2 2026,Business overview,Original equipment cost,23.8B,USD,cash-converting,OEC anchors the scale of United Rentals' fleet asset base against capex and rental revenue.,OEC is not utilization, fleet age, or return on capital by itself.,Q2 2026 presentation and 10-K fleet-age/utilization disclosures.
CIPSTE-010,CIPSM-007,CIPE-004,Sterling Infrastructure Inc.,STRL,STRL-T21,raw/sec/industrial-goods/heavy-construction/sterling-infrastructure-inc/2026-q2-ex99-earnings-release.html,SEC 8-K earnings-release exhibit,Q2 2026,Second Quarter 2026 Results,Revenues,1.168B,USD,contracted-or-regulated,Sterling's Q2 source exhibit confirms the revenue scale of the specialty-construction buildout row.,Revenue alone does not prove funded backlog or cash conversion.,Q2 2026 10-Q backlog and cash-flow tables.
