source_id	company	form	filing_date	source_url	local_path	bytes	sha256	fetched_at_utc
RH-T10	RH	10-K	2026-04-01	https://www.sec.gov/Archives/edgar/data/1528849/000110465926037992/rh-20260131x10k.htm	raw/sec/services/home-furnishing-stores/rh/2025-10k.html	4473484	26a18da7a7c15c20140d0a32485225e2d51c94e2f403cf59776be855f1b8d0fe	2026-09-15T04:12:43.844051+00:00
RH-T11	RH	10-Q	2025-12-11	https://www.sec.gov/Archives/edgar/data/1528849/000110465925120354/rh-20251101x10q.htm	raw/sec/services/home-furnishing-stores/rh/2025-q3-10q.html	3037999	aef2c74c14d381cbf331891a60927670d08570793c4e558800ba736cc33460b0	2026-09-15T04:12:44.986162+00:00
RH-T12	RH	8-K	2025-12-11	https://www.sec.gov/Archives/edgar/data/1528849/000110465925120343/rh-20251211x8k.htm	raw/sec/services/home-furnishing-stores/rh/2025-q3-8k.html	38602	e6b8b5b89e8ddfa8361a197601e7c22b10dd18ab863298a0ecfaf8623bae8b11	2026-09-15T04:12:45.436070+00:00
RH-T16	RH	10-Q	2026-06-11	https://www.sec.gov/Archives/edgar/data/1528849/000110465926073006/rh-20260502x10q.htm	raw/sec/services/home-furnishing-stores/rh/2026-q1-10q.html	2210871	626916e8bfceb66be7495289b184a59a8950b258a94287e64a0ef780552509ce	2026-09-15T04:12:46.244238+00:00
W-T8	Wayfair	10-K	2026-02-19	https://www.sec.gov/Archives/edgar/data/1616707/000161670726000027/w-20251231.htm	raw/sec/services/home-furnishing-stores/wayfair-inc/2025-10k.html	2269442	b6e6c89cbe4946cf839a8d23e280507d4b6254aeddadae12ab808305f59552c6	2026-09-15T04:12:47.101564+00:00
W-T9	Wayfair	8-K	2026-02-19	https://www.sec.gov/Archives/edgar/data/1616707/000161670726000024/w-20260219.htm	raw/sec/services/home-furnishing-stores/wayfair-inc/2025-q4-8k.html	30177	885a07dab07422aa543c5ce823d859cda4a9a34f1a908f5ed705ab9f9ca97a27	2026-09-15T04:12:47.457681+00:00
W-T11	Wayfair	10-Q	2026-04-30	https://www.sec.gov/Archives/edgar/data/1616707/000161670726000113/w-20260331.htm	raw/sec/services/home-furnishing-stores/wayfair-inc/2026-q1-10q.html	1119823	cbe56724477e8074f7885b63e9c251945ffe4ca445aa818c1e9f71905fb64124	2026-09-15T04:12:48.284231+00:00
W-T12	Wayfair	8-K	2026-04-30	https://www.sec.gov/Archives/edgar/data/1616707/000161670726000110/w-20260430.htm	raw/sec/services/home-furnishing-stores/wayfair-inc/2026-q1-8k.html	29924	d7efe333d0f98841572783e876e77fc411e3d016492daec32c90636028c4d3b0	2026-09-15T04:12:48.720454+00:00
W-T14	Wayfair	10-Q	2026-08-04	https://www.sec.gov/Archives/edgar/data/1616707/000161670726000150/w-20260630.htm	raw/sec/services/home-furnishing-stores/wayfair-inc/2026-q2-10q.html	1518561	863fb50a7c99c01a95db80c42553cbb47b71536cf38b5fefa7f0ee03c0696756	2026-09-15T04:12:49.443827+00:00
W-T15	Wayfair	8-K	2026-08-04	https://www.sec.gov/Archives/edgar/data/1616707/000161670726000147/w-20260804.htm	raw/sec/services/home-furnishing-stores/wayfair-inc/2026-q2-8k.html	29255	c118ae5dd233bc12dbca5c43eb3044786ef392d53e79c26b18db9da2f92ebfab	2026-09-15T04:12:49.919042+00:00
W-T17	Wayfair	10-Q	2025-10-28	https://www.sec.gov/Archives/edgar/data/1616707/000161670725000127/w-20250930.htm	raw/sec/services/home-furnishing-stores/wayfair-inc/2025-q3-10q.html	1435172	bde527a9edb859b1880f9f0d6afa258137d92fafedc20db1d5952ffd1cf9069a	2026-09-15T04:12:51.009753+00:00
