queue_id,pilot,missing_evidence,next_document_or_source,upgrade_test,current_status,result_class,source_artifact
Q-01,Wheaton-Antamina,BHP-only metal-credit quantity and receipt,"The current Wheaton portfolio page and the BHP-interest operating denominator are already source-backed in the [Q4 production/sales proxy](capital-flow-wheaton-antamina-bhp-q4-production-sales-proxy-upgrade-2026-09-15.md) and [annual quantity boundary](capital-flow-wheaton-antamina-bhp-fy2026-payable-silver-quantity-boundary-2026-09-16.md); the next object is a transaction-level BHP-PMPA metal-credit or settlement statement",Reconcile entitlement delivered ounces PBND BHP metal-credit quantity invoice realized price settlement date and cash against the [post-event boundary](../capital-flow-wheaton-antamina-local-packet-settlement-search-boundary-2026-09-15.md) and [extraction checklist](../capital-flow-wheaton-antamina-investor-day-extraction-checklist-2026-09-15.md),partial-upgrade,searched-negative,analysis/company-first-principles/combined-investment-research-next-evidence-queue.md
Q-02,Wheaton-Antamina,Reserve-backed delivery curve,BHP reserve/production schedule or independent reserve report,Build BHP tranche delivery curve through 100M ounces and life-of-mine tail,partial-upgrade,evidence-insufficient,analysis/company-first-principles/combined-investment-research-next-evidence-queue.md
Q-03,Wheaton-Antamina,Financed after-tax return,"The [Q-03 next-source package](capital-flow-wheaton-antamina-q03-next-source-package-2026-09-18.csv) ranks the executed Drawdown Notice, agent/seller funds flow, BHP credit ledger, facility/tax allocation, and reserve-backed return model",Recalculate IRR/NPV after interest tax debt service and delivery timing,partial-upgrade,evidence-insufficient,analysis/company-first-principles/combined-investment-research-next-evidence-queue.md
Q-04,Retail cohort,Common-period margin and inventory normalization,Next TJX Target and Walmart quarterly filings plus annual vendor-income notes,Separate price volume mix markdown freight shrink inventory payables and temporary support,partial-upgrade,evidence-insufficient,analysis/company-first-principles/combined-investment-research-next-evidence-queue.md
Q-05,Retail cohort,Maintenance versus growth capital,Annual capex schedules and company capital-allocation disclosures,Allocate property spending and recalculate owner cash,partial-upgrade,evidence-insufficient,analysis/company-first-principles/combined-investment-research-next-evidence-queue.md
Q-06,Retail cohort,Attached-service cash conversion,Target and Walmart service disclosures and notes,Join revenue allocated costs working capital capex tax and cash collection,partial-upgrade,evidence-insufficient,analysis/company-first-principles/combined-investment-research-next-evidence-queue.md
Q-07,Apollo-Athene,Apollo parent receipt of subsidiary distributions,"The [Q-07 next-source package](capital-flow-apollo-athene-q07-next-source-package-2026-09-18.csv) ranks the Athene payment confirmation, AGM receiving ledger, elimination schedule, intercompany-note ledger, and parent waterfall",Use the FY2025 $750M parent-company dividend receipt and Athene Q2 $110M H1 distribution as dated source observations; then tie Athene and fee-entity distributions to a dated AGM receiving account and reconcile unrestricted HoldCo cash senior claims and common-owner residual,partial-upgrade,evidence-insufficient,analysis/company-first-principles/combined-investment-research-next-evidence-queue.md
Q-08,Apollo-Athene,Legal-entity capital and credit return,"Next Athene statutory Schedule D/BA schedules and income exhibits plus the [AP Grange settlement source package](capital-flow-apollo-athene-ap-grange-next-source-package-2026-09-18.csv), located premium-gated Concord Series 2025-3 report, and accessible Concord public observations",Match holdings to income impairment funding cost liability spread and realized return; use Concord timely-interest proxy and SEC N-PORT observations only as deal/instrument-level evidence until trustee remittance settled lot Athene allocation and liability-cost attribution are joined,partial-upgrade,evidence-insufficient,analysis/company-first-principles/combined-investment-research-next-evidence-queue.md
Q-09,Apollo-Athene,ARI borrower repayment and collateral cash,ARI portfolio report borrower notices trustee reports or next Athene filing; the definitive proxy schedules the dissolution vote for September 29 2026 and the next decisive source is the meeting-result 8-K or later liquidation filing,Reconcile 8.7B transfer to receipts repayment losses fees and allocation while separating the conditional ARI $7.75-$8.50 per-share liquidation estimate from observed buyer or parent cash,partial-upgrade,evidence-insufficient,analysis/company-first-principles/combined-investment-research-next-evidence-queue.md
Q-10,All pilots,Through-cycle macro validation,Subsequent filings plus official inflation rates credit liquidity and policy data,Join each new company period to the regime panel and test whether the mapped mechanism changes demand margin funding liquidity valuation or legal-entity cash; the current retail lagged diagnostic finds 7 same-direction versus 8 opposite-direction transitions across 15 usable observations,partial-upgrade,evidence-insufficient,analysis/company-first-principles/combined-investment-research-next-evidence-queue.md
Q-11,Power-grid customer cash,FPL Distribution Inspection billing determinants and category receipts,Florida PSC Docket 20260010-EI non-confidential discovery responses Form 4P/Form 5P workpapers and later SPPCRC actual/estimated filings,Join category recovery to rate-class determinants billed or collected revenue source-of-funds allocation and bounded return; current route is searched-negative for the category cash field,partial-upgrade,searched-negative,analysis/company-first-principles/combined-investment-research-next-evidence-queue.md
Q-12,Insurance statutory named-asset income,Named-asset settlement liability-cost and remittance support for Apollo/Athene and Accordia,"The [Q-12 next-source package](capital-flow-insurance-q12-next-source-package-2026-09-18.csv) ranks Accordia top-40 selection, Apollo/Athene custody/remittance, servicing waterfall, liability-cost funding, and source-linked return",Join legal entity CUSIP or issuer income/proceeds liability cost remittance or waterfall and bounded return; current rows remain cash-back proxies,partial-upgrade,evidence-insufficient,analysis/company-first-principles/combined-investment-research-next-evidence-queue.md
Q-13,Asset-backed collateral and borrowing base,Populated United Rentals borrowing-base certificate and fleet source-to-purchase return support,Current or closing Borrowing Base Certificate collateral availability report NOLV appraisal reserve/L-C schedule and fleet purchase/funding records; see the structured [Q-13 next-source package](data/capital-flow-uri-q13-next-source-package-2026-09-18.csv),Join facility balance eligible collateral NOLV reserves Combined Availability source-to-purchase use fleet cash conversion and lifecycle return; current public route is certificate-insufficient,partial-upgrade,evidence-insufficient,analysis/company-first-principles/combined-investment-research-next-evidence-queue.md
