locator_id,acquisition_id,legal_entity,period,statement_type,extraction_target,page_start,page_end,pages_found,evidence_found,proof_use,boundary,current_status,next_action,upgrade_test
CFKKRGASL-001,CFKKRGASA-001,Accordia Life and Annuity Company,Q2 2026,U.S. quarterly statutory statement,assets/liabilities/operations/cash-flow quarterlies,3,6,3-6,"Q2 2026 quarterly statement front pages include assets, liabilities, summary operations, and cash flow pages for legal-entity update extraction.",core quarterly legal-entity update,quarterly pages do not provide full annual Schedule D/BA detail,quarterly-core-located,extract targeted pages into normalized statutory fields,promote only when assets/liabilities/operations/cash-flow quarterlies is parsed into normalized fields and reconciled to statement totals
CFKKRGASL-002,CFKKRGASA-002,Commonwealth Annuity and Life Insurance Company,Q2 2026,U.S. quarterly statutory statement,assets/liabilities/operations/cash-flow quarterlies,2,5,2-5,"Q2 2026 quarterly statement front pages include assets, liabilities, summary operations, and cash flow pages for legal-entity update extraction.",core quarterly legal-entity update,quarterly pages do not provide full annual Schedule D/BA detail,quarterly-core-located,extract targeted pages into normalized statutory fields,promote only when assets/liabilities/operations/cash-flow quarterlies is parsed into normalized fields and reconciled to statement totals
CFKKRGASL-003,CFKKRGASA-003,First Allmerica Financial Life Insurance Company,Q2 2026,U.S. quarterly statutory statement,assets/liabilities/operations/cash-flow quarterlies,3,6,3-6,"Q2 2026 quarterly statement front pages include assets, liabilities, summary operations, and cash flow pages for legal-entity update extraction.",core quarterly legal-entity update,quarterly pages do not provide full annual Schedule D/BA detail,quarterly-core-located,extract targeted pages into normalized statutory fields,promote only when assets/liabilities/operations/cash-flow quarterlies is parsed into normalized fields and reconciled to statement totals
CFKKRGASL-004,CFKKRGASA-004,Forethought Life Insurance Company,Q2 2026,U.S. quarterly statutory statement,assets/liabilities/operations/cash-flow quarterlies,3,6,3-6,"Q2 2026 quarterly statement front pages include assets, liabilities, summary operations, and cash flow pages for legal-entity update extraction.",core quarterly legal-entity update,quarterly pages do not provide full annual Schedule D/BA detail,quarterly-core-located,extract targeted pages into normalized statutory fields,promote only when assets/liabilities/operations/cash-flow quarterlies is parsed into normalized fields and reconciled to statement totals
CFKKRGASL-005,CFKKRGASA-005,Accordia Life and Annuity Company,Q4 2025,U.S. annual statutory statement,assets page,3,3,3,Accordia annual page 3 shows ASSETS and net admitted asset columns.,legal-entity asset base and invested-asset denominator,summary only; not issuer-level holdings,page-located,extract targeted pages into normalized statutory fields,promote only when assets page is parsed into normalized fields and reconciled to statement totals
CFKKRGASL-006,CFKKRGASA-005,Accordia Life and Annuity Company,Q4 2025,U.S. annual statutory statement,liabilities surplus and other funds,4,4,4,"Accordia annual page 4 shows LIABILITIES, SURPLUS AND OTHER FUNDS.",liability base for source-pool and spread bridge,not product-level liability cost,page-located,extract targeted pages into normalized statutory fields,promote only when liabilities surplus and other funds is parsed into normalized fields and reconciled to statement totals
CFKKRGASL-007,CFKKRGASA-005,Accordia Life and Annuity Company,Q4 2025,U.S. annual statutory statement,summary of operations,5,5,5,Accordia annual page 5 shows SUMMARY OF OPERATIONS.,statutory earnings and net investment income bridge,summary line only,page-located,extract targeted pages into normalized statutory fields,promote only when summary of operations is parsed into normalized fields and reconciled to statement totals
CFKKRGASL-008,CFKKRGASA-005,Accordia Life and Annuity Company,Q4 2025,U.S. annual statutory statement,cash flow,6,6,6,Accordia annual page 6 shows CASH FLOW and premiums collected/net investment income cash-flow lines.,legal-entity cash receipt/proxy bridge,does not allocate cash to specific holdings or borrowers,page-located,extract targeted pages into normalized statutory fields,promote only when cash flow is parsed into normalized fields and reconciled to statement totals
CFKKRGASL-009,CFKKRGASA-005,Accordia Life and Annuity Company,Q4 2025,U.S. annual statutory statement,exhibit of net investment income,15,15,15,Accordia annual page 15 shows EXHIBIT OF NET INVESTMENT INCOME with collected and earned columns.,asset-class investment-income extraction target,not issuer-level income without schedule detail,page-located,extract targeted pages into normalized statutory fields,promote only when exhibit of net investment income is parsed into normalized fields and reconciled to statement totals
CFKKRGASL-010,CFKKRGASA-005,Accordia Life and Annuity Company,Q4 2025,U.S. annual statutory statement,Schedule D Part 1A quality and maturity,130,135,130;135,Accordia annual pages 130 and 135 show Schedule D Part 1A quality and maturity distribution.,"bond portfolio quality, maturity, and NAIC distribution control",distribution only; not named issuer allocation,range-located,extract targeted pages into normalized statutory fields,promote only when Schedule D Part 1A quality and maturity is parsed into normalized fields and reconciled to statement totals
CFKKRGASL-011,CFKKRGASA-005,Accordia Life and Annuity Company,Q4 2025,U.S. annual statutory statement,Schedule DB derivatives,140,460,140-200;280-460,Accordia sampled pages show Schedule DB replication and derivative schedules across the mid/back filing.,derivative/hedging exposure and risk-transfer context,not direct cash-return proof without counterparty and settlement extraction,sampled-range-located,extract targeted pages into normalized statutory fields,promote only when Schedule DB derivatives is parsed into normalized fields and reconciled to statement totals
CFKKRGASL-012,CFKKRGASA-005,Accordia Life and Annuity Company,Q4 2025,U.S. annual statutory statement,Schedule B mortgage loans,210,210,210,Accordia annual page 210 shows Schedule B Part 1 mortgage loans owned.,mortgage-loan asset destination and collateral category evidence,needs row-level loan parsing,page-located,extract targeted pages into normalized statutory fields,promote only when Schedule B mortgage loans is parsed into normalized fields and reconciled to statement totals
CFKKRGASL-013,CFKKRGASA-005,Accordia Life and Annuity Company,Q4 2025,U.S. annual statutory statement,Schedule D long-term bonds owned,220,245,220-245,Accordia annual pages 220-240 show Schedule D Part 1 Section 1 issuer-credit obligations and page 245 shows Section 2 asset-backed securities.,main named issuer-credit and ABS holdings extraction route,needs row parsing and borrower/issuer classification,range-located,extract targeted pages into normalized statutory fields,promote only when Schedule D long-term bonds owned is parsed into normalized fields and reconciled to statement totals
CFKKRGASL-014,CFKKRGASA-005,Accordia Life and Annuity Company,Q4 2025,U.S. annual statutory statement,Schedule D acquired during year,250,255,250-255,Accordia annual pages 250 and 255 show Schedule D Part 3 acquired during current year.,new bond/stock purchase and capital deployment evidence,does not prove use or return by itself,range-located,extract targeted pages into normalized statutory fields,promote only when Schedule D acquired during year is parsed into normalized fields and reconciled to statement totals
CFKKRGASL-015,CFKKRGASA-005,Accordia Life and Annuity Company,Q4 2025,U.S. annual statutory statement,Schedule D disposed during year,260,265,260-265,"Accordia annual pages 260 and 265 show Schedule D Part 4 sold, redeemed, or disposed during current year.","sale, maturity, redemption, consideration, and gain/loss route",needs matching to holdings and cash-flow totals,range-located,extract targeted pages into normalized statutory fields,promote only when Schedule D disposed during year is parsed into normalized fields and reconciled to statement totals
