conversion_id,linked_source_rows,company,ticker,theme,subtheme,source_file,source_type,period,conversion_metric,value,unit,calculation_or_source,conversion_status,what_it_proves,what_it_does_not_prove,next_source
CIICP-001,"CIPSTE-005; CIPSTE-006",United Rentals Inc.,URI,Capital-intensive buildout,Fleet capex cash coverage,raw/sec/industrial-goods/rental-leasing-services/united-rentals-inc/2026-q2-ex99-earnings-release.html,SEC 8-K earnings-release exhibit,H1 2026,Operating cash flow as percent of gross rental capex,112.8,percent,"3.305B USD operating cash flow / 2.931B USD gross rental capex",cash-conversion-derived,"URI generated more operating cash flow than gross rental capex during H1 2026, so the fleet-capital program was not being funded only by external capital in that window.","This does not prove marginal fleet returns, asset-class utilization, or exact funding source for each equipment purchase.","Filed cash-flow statement, debt note, ABL/securitization availability, and fleet category mix."
CIICP-002,"CIPSTE-007; CIPSTE-008",United Rentals Inc.,URI,Capital-intensive buildout,Fleet recycling,raw/sec/industrial-goods/rental-leasing-services/united-rentals-inc/2026-q2-10q.html,SEC 10-Q,H1 2026,Net cash rental-equipment investment,2.040,B USD,"2.720B USD rental-equipment cash purchases - 680M USD rental-equipment sale proceeds",cash-conversion-derived,"URI's H1 fleet cash commitment is smaller after used-equipment recycling, which is central to the fleet-access model.","Net cash investment does not prove the quality of the sold fleet, gain/loss on sales, or replacement economics.","Used-equipment sales margin, fleet age by class, and disposal proceeds recovery."
CIICP-003,"CIPSTE-002; CIPSTE-009",United Rentals Inc.,URI,Capital-intensive buildout,Fleet revenue productivity,raw/sec/industrial-goods/rental-leasing-services/united-rentals-inc/2026-q2-ex99-earnings-release.html,SEC 8-K earnings-release exhibit,Q2 2026,Rental revenue as percent of OEC,16.2,percent,"3.849B USD Q2 rental revenue / 23.8B USD OEC",operating-productivity-proxy,"URI's rental fleet generated quarterly rental revenue equal to about 16.2% of OEC, giving a simple revenue/OEC productivity proxy.","This is not ROIC, utilization, margin, or time utilization; OEC is replacement cost and rental revenue includes owned, re-rent, and ancillary revenue.","OEC by segment, owned equipment rental revenue, rental gross margin, time utilization, rate, and mix."
CIICP-004,"CIIAB-011; CIPSTE-009",United Rentals Inc.,URI,Capital-intensive buildout,Fleet scale bridge,"raw/sec/industrial-goods/rental-leasing-services/united-rentals-inc/2025-10k.html; raw/sec/industrial-goods/rental-leasing-services/united-rentals-inc/2026-q2-10q.html",SEC 10-K and 10-Q,FY2025 to Q2 2026,OEC increase since year-end 2025,1.32,B USD,"23.8B USD Q2 2026 OEC - 22.48B USD FY2025 OEC",fleet-scale-derived,"URI's fleet scale increased by about 1.32B USD, or 5.9%, from year-end 2025 to Q2 2026, consistent with active fleet-capital deployment.","OEC growth can come from price, mix, acquisition, and replacement effects; it is not pure organic capacity growth.","OEC roll-forward by purchase, acquisition, sale, depreciation proxy, category, and region."
CIICP-005,"CIPSTE-004; CIPSTE-009",United Rentals Inc.,URI,Capital-intensive buildout,Fleet productivity definition,raw/sec/industrial-goods/rental-leasing-services/united-rentals-inc/2026-q2-ex99-earnings-release.html,SEC 8-K earnings-release exhibit,Q2 2026,Fleet productivity increase,3.4,percent,"Company disclosure; footnote says fleet productivity reflects rental rates, time utilization, and mix on owned equipment rental revenue.",source-defined-operating-metric,"URI's own definition makes fleet productivity the right conversion bridge from fleet dollars to operating output.","The metric is aggregated and does not tell us which asset classes, geographies, or customer segments drove the increase.","Pull fleet productivity bridge components and segment/category disclosures."
CIICP-006,CIPSTE-006,United Rentals Inc.,URI,Capital-intensive buildout,Forward fleet investment execution,raw/sec/industrial-goods/rental-leasing-services/united-rentals-inc/2026-q2-ex99-earnings-release.html,SEC 8-K earnings-release exhibit,FY2026 guide update,Gross rental capex guide midpoint increase,9.8,percent,"Current gross purchases guide midpoint 5.05B USD versus prior midpoint 4.6B USD",guidance-conversion-derived,"URI raised its 2026 gross fleet-purchase program and had already deployed heavy H1 fleet capex, indicating ongoing capital absorption rather than a completed 2025 cycle.","Guidance is not a completed spend figure and could include replacement, inflation, mix, or demand timing.","Track later 2026 filings for actual gross purchases, net capex, OEC, productivity, and free cash flow."
CIICP-007,"CIPSTE-005; CIPSTE-006; CIPSTE-020",United Rentals Inc.,URI,Capital-intensive buildout,Fleet funding capacity,raw/sec/industrial-goods/rental-leasing-services/united-rentals-inc/2026-q2-ex99-earnings-release.html,SEC 8-K earnings-release exhibit,Q2 2026,Total liquidity,2.999,B USD,"Company disclosure; liquidity includes cash plus ABL and accounts receivable securitization facility availability.",funding-context-source-defined,"URI's fleet investment sits next to explicit liquidity channels, including ABL and accounts receivable securitization capacity.","Liquidity is not use-of-proceeds proof and does not identify which facility funded which fleet purchases.","Extract URI facility table, borrowing base, maturities, pricing, collateral, and AR securitization capacity."
CIICP-008,"CIPSTE-010; CIPSTE-011",Sterling Infrastructure Inc.,STRL,Capital-intensive buildout,Organic versus acquired revenue,raw/sec/industrial-goods/heavy-construction/sterling-infrastructure-inc/2026-q2-ex99-earnings-release.html,SEC 8-K earnings-release exhibit,Q2 2026,Acquisition revenue contribution as percent of revenue,21.5,percent,"250.8M USD acquisition revenue contribution / 1.168B USD Q2 revenue",acquisition-separation-derived,"A material share of Sterling's Q2 growth came from acquired revenue, so the pass separates acquisition-enabled capability from organic demand.","This does not disprove organic growth; it prevents treating all reported growth as same-store data-center/mission-critical demand.","Pull segment revenue excluding CEC and Stone Ridge and pro forma acquisition tables."
CIICP-009,"CIPSTE-015; CIPSTE-017; CIPSTE-021; CIPSTE-022",Sterling Infrastructure Inc.,STRL,Capital-intensive buildout,Backlog visibility ladder,raw/sec/industrial-goods/heavy-construction/sterling-infrastructure-inc/2026-q2-earnings-presentation.html,SEC 8-K presentation exhibit,Q2 2026,Combined backlog to Q2 revenue,4.8,x,"5.62B USD combined backlog / 1.168B USD Q2 revenue",backlog-scale-derived,"Sterling's backlog funnel is large relative to current quarterly revenue, supporting the visibility claim.","Combined backlog includes unsigned awards and is not guaranteed revenue, cash, or margin.","Separate RPOs, MSAs, unsigned awards, future phases, and conversion timing."
CIICP-010,"CIPSTE-017; CIPSTE-010",Sterling Infrastructure Inc.,STRL,Capital-intensive buildout,Backlog visibility ladder,raw/sec/industrial-goods/heavy-construction/sterling-infrastructure-inc/2026-q2-earnings-presentation.html,SEC 8-K presentation exhibit,FY2026 guide context,Combined backlog to 2026 revenue guide midpoint,1.38,x,"5.62B USD combined backlog / 4.08B USD 2026 revenue guide midpoint",backlog-scale-derived,"Sterling's combined backlog exceeds a full-year revenue-guide midpoint, reinforcing field-execution visibility.","This comparison mixes backlog and guidance; it does not prove duration, margin, or signed/funded status.","Backlog aging, expected revenue-recognition schedule, and signed backlog conversion."
CIICP-011,"CIPSTE-015; CIPSTE-016; CIPSTE-017",Sterling Infrastructure Inc.,STRL,Capital-intensive buildout,Acquired backlog contribution,raw/sec/industrial-goods/heavy-construction/sterling-infrastructure-inc/2026-q2-earnings-presentation.html,SEC 8-K presentation exhibit,Q2 2026,CEC and Stone Ridge contribution to signed backlog plus unsigned awards,2.56,B USD,"1.32B USD signed backlog contribution + 1.24B USD unsigned-awards contribution",acquisition-separation-derived,"Sterling's acquisition contribution to the backlog funnel is very large, about 45.6% of Q2 combined backlog, so acquisition capital is part of the capital-flow mechanism.","The acquisition contribution does not identify organic project demand or prove acquired backlog quality.","Build organic/acquired backlog bridge and track conversion over the next quarters."
CIICP-012,"CIPSTE-018; CIPSTE-019",Sterling Infrastructure Inc.,STRL,Capital-intensive buildout,Cash conversion versus company capex,raw/sec/industrial-goods/heavy-construction/sterling-infrastructure-inc/strl-20260630.htm,SEC 10-Q,H1 2026,Operating cash flow less capex,258.375,M USD,"328.021M USD operating cash flow - 69.646M USD capital expenditures",cash-conversion-derived,"Sterling generated substantial cash in excess of company capex, consistent with an execution platform rather than a balance-sheet-heavy fleet owner.","This is not project-level free cash flow and does not show whether contract assets or billings will reverse favorably.","Contract assets/liabilities, costs in excess of billings, billings in excess, and project-reserve movement."
CIICP-013,"CIPSTE-020; CIIED-016",Sterling Infrastructure Inc.,STRL,Capital-intensive buildout,Platform funding capacity,raw/sec/industrial-goods/heavy-construction/sterling-infrastructure-inc/2026-q2-earnings-presentation.html,SEC 8-K presentation exhibit,July 2026,Revolver expansion multiple,10.0,x,"1.5B USD expanded revolving credit facility / 150M USD prior revolver capacity",funding-context-derived,"Sterling materially expanded company-level liquidity for platform growth and used proceeds to repay the existing term loan.","This is company funding capacity, not customer project financing or return proof.","Credit agreement, covenant package, pricing, maturity, and acquisition-use language."
CIICP-014,"CIPSTE-013; CIPSTE-014; CIPSTE-015; CIPSTE-016",Sterling Infrastructure Inc.,STRL,Capital-intensive buildout,Signed versus weaker backlog buckets,raw/sec/industrial-goods/heavy-construction/sterling-infrastructure-inc/strl-20260630.htm,SEC 10-Q,Q2 2026,Unsigned awards as percent of combined backlog,22.8,percent,"1.28B USD unsigned awards / 5.62B USD combined backlog",status-bucket-derived,"About 22.8% of combined backlog is unsigned awards, so the page can explicitly separate committed work from weaker visibility.","Unsigned awards are pending contract execution and should not be counted as signed backlog.","Award letters, final contract execution, cancellation/modification, and conversion schedule."
CIICP-015,"CIPSTE-021; CIPSTE-022",Sterling Infrastructure Inc.,STRL,Capital-intensive buildout,Future phase conversion risk,raw/sec/industrial-goods/heavy-construction/sterling-infrastructure-inc/2026-q2-earnings-presentation.html,SEC 8-K presentation exhibit,Q2 2026,Future-phase opportunities as percent of visibility to future work,20.0,percent,"1.4B USD future-phase opportunities / greater-than-7.0B USD visibility to future work; approximate lower-bound share",status-bucket-derived,"Future phases are a meaningful but lower-confidence part of Sterling's work funnel and should be described as optionality on active sites, not backlog.","The denominator is a greater-than value, so the percentage is approximate and should not be treated as exact.","Track future-phase awards, contract execution, and revenue conversion."
CIICP-016,"CIPSTE-018; CIPSTE-019; CIPSTE-015; CIPSTE-017",Sterling Infrastructure Inc.,STRL,Capital-intensive buildout,Backlog plus cash conversion governance,"raw/sec/industrial-goods/heavy-construction/sterling-infrastructure-inc/strl-20260630.htm; raw/sec/industrial-goods/heavy-construction/sterling-infrastructure-inc/2026-q2-earnings-presentation.html",SEC 10-Q and presentation exhibit,Q2/H1 2026,Conversion proof status,bounded,classification,"Backlog is large and cash conversion is positive, but acquisition and unsigned/future-phase buckets remain material.",bounded-conversion-proof,"Sterling has first-pass conversion support, but the correct status is bounded: cash conversion exists, backlog visibility is high, and acquisition/unsigned/future buckets must be kept separate.","It does not yet prove fully funded backlog, customer economics, organic growth quality, or project-level returns.","Contract assets/liabilities and backlog roll-forward conversion pass."
