phase_id,research_layer,theme,subtheme,universe_scope,core_question,numbers_to_extract,primary_documents,external_denominators,claim_output,disproof_test,status,next_action
ACSU-001,Universe radar,Cross-lane governance,All-company capital-flow routing,"519 company packets","Which companies have enough capital-flow signal to deserve source work?","score; lane; sector; industry; hard-number count; dollar-number count; source-pointer count","company-packet.md; company-analysis.md where present","none in first pass","ranked all-company capital-flow radar","A high score is not a claim unless it leads to primary-source extraction","started","Refresh triage after each new packet batch and preserve prior rank history"
ACSU-002,Lane queue,Cross-lane governance,Lane-specific evidence allocation,"71 selected lane candidates","Which high-signal companies should be worked first by theme?","lane rank; overall rank; proof numbers to extract; recommended next step","company packets; existing analysis; lane queue CSV","none in first pass","lane-specific primary-source queue","A generic extraction template misses lane-specific proof requirements","started","Convert top lane rows into document-acquisition queues"
ACSU-003,Deep lane,Private-credit platforms,Direct lending at scale,"7 platform managers","Where does managed private-credit capital come from, and where does it go?","AUM; FPAUM; credit AUM; direct-lending AUM; fundraising; deployment; originations; available capital; borrower count","10-K; 10-Q; investor supplement; BDC schedules; fund reports","bank credit data; BDC peer schedules; rating reports","platform source-to-destination table","AUM and deployment prove scale but not bank replacement","in progress","Add Blackstone BlackRock Carlyle Brookfield extraction passes after Ares Apollo KKR"
ACSU-004,Deep lane,Private-credit platforms,Borrower-level proof,"named borrowers in BDC and transaction evidence","Which operating companies actually receive private-credit dollars?","facility size; funded principal; unfunded commitment; fair value; maturity; pricing; lender role; use of proceeds","BDC schedules; borrower 8-Ks; sponsor releases; credit agreements; merger proxies","rating reports; lender deal announcements; bankruptcy or refinancing records","borrower source-to-use matrix","A schedule position does not prove total financing or use of proceeds","in progress","Expand holder crosswalks into deal-level financing proof"
ACSU-005,Deep lane,Insurance and retirement capital,Liabilities to invested credit assets,"11 insurance/retirement candidates plus alternative-manager insurers","How do insurance liabilities become credit and private-asset capital?","reserves; policyholder liabilities; premiums; deposits; invested assets; net investment income; spread income; capital and surplus; ratings mix","10-K; 10-Q; statutory statement; annual insurance report; investor supplement","NAIC; state insurance departments; AM Best; S&P; Moody's; Fitch","liability-to-asset bridge","Insurance asset scale does not prove borrower destination without portfolio evidence","in progress","Add MetLife and Prudential statutory-source queue"
ACSU-006,Deep lane,Insurance and retirement capital,Managed-care cash timing,"UnitedHealth; Cigna","Are managed-care timing balances a funding mechanism or only a contrast case?","premiums; medical costs payable; claims payable; operating cash flow; investment assets; MLR; PBM cash conversion","10-K; 10-Q; segment footnotes; cash-flow statement","CMS; state insurance filings; NAIC health filings","managed-care float contrast note","Managed-care float should not be mislabeled as annuity spread capital","queued","Build a separate managed-care cash-timing extraction before merging with insurance themes"
ACSU-007,Deep lane,Power grid and project finance,Customer-backed large-load demand,"utilities and power companies in top queue","Which load claims have crossed into customer obligations?","contracted MW/GW; ESA amount; study fee; collateral; minimum demand; cancellation payment; queue status; target energization","10-Q; investor deck; tariff; rate case; customer announcement","EIA-861; FERC Form 1; FERC 714; ISO/RTO queues; state commission dockets","customer-backed load ladder","Load-growth commentary is weak unless tied to tariff, contract, queue, or customer obligation","in progress","Extend AEP/Duke method to NextEra Exelon NRG Vistra Constellation"
ACSU-008,Deep lane,Power grid and project finance,Recoverable utility capital,"regulated utilities and operating subsidiaries","Which capex claims are legally capable of entering rate base or recovery mechanisms?","capex plan; rate base; allowed ROE; CWIP; riders; equity/debt issuance; approved project cost; order status","10-K; 10-Q; rate-case filing; commission order; financing plan","FERC Form 1; state commission databases; utility rate-case trackers","jurisdictional capital-recovery map","Company-level capex is not claim-grade if jurisdiction and recovery treatment are unknown","in progress","Build operating-company by jurisdiction docket status tables"
ACSU-009,Deep lane,Power grid and project finance,Generation procurement and capacity additions,"utilities; IPPs; midstream power-adjacent names","Where is demand becoming generation, acquisition, PPA, turbine, or storage spend?","owned MW; acquired MW; approved MW; under-construction MW; turbine reservations; PPA terms; project cost; service date","resource plan; CPCN; 10-Q; investor deck; generation table; acquisition release","EIA-860; EIA-923; ISO generator interconnection queues; state dockets","generation procurement scorecard","A turbine reservation or planning scenario is not the same as an approved in-service asset","in progress","Turn Duke and AEP project rows into row-per-project crosswalks"
ACSU-010,Deep lane,Power grid and project finance,Buildout service backlog,"MasTec; Dycom; Primoris; Granite; ABM; CACI and peers","Which funded infrastructure projects are becoming contractor backlog and revenue visibility?","backlog; funded awards; book-to-bill; contract duration; customer concentration; working capital; cash conversion; segment margin","10-K; 10-Q; backlog table; award release; customer contract discussion","state DOT lettings; broadband funding awards; utility capex plans; federal procurement data","service-layer pull-through table","Backlog is weak if cancellable, unfunded, low-margin, or cash-consuming","started","Pair contractor backlog rows with owner capex rows where possible"
ACSU-011,Deep lane,Debt refinancing and facilities,Capital-stack change and maturity-wall relief,"33 refinancing/facility candidates","Where is capital moving through refinancings, revolvers, ABL exits, or maturity extensions?","debt amount; facility size; maturity; pricing; lender/agent; use of proceeds; repayment amount; collateral; covenant changes","10-K; 10-Q; 8-K; credit agreement; indenture; lender release","Fed bank credit; rating reports; debt market issuance data","refinancing event ledger","A refinancing changes the capital stack but does not always fund growth","queued","Start with PBF Liberty Broadband Devon Matador Coterra"
ACSU-012,Deep lane,Acquisition finance,Deal funding and control transfer,"99 acquisition-finance candidates","Which M&A claims have financing proof rather than just strategic rationale?","transaction value; cash/stock mix; debt commitments; bridge loan; lender group; sponsor equity; assumed debt; synergy capex","merger agreement; proxy; 8-K; commitment letter; credit agreement; press release","rating reports; antitrust filings; financing banks; debt issuance records","acquisition funding proof table","Deal value alone does not prove who funded it or how much incremental debt entered the system","queued","Build deal-by-deal queue from top acquisition-finance candidates"
ACSU-013,Deep lane,Asset-backed finance,Receivables inventory lease and ABS funding,"13 ABS/securitization candidates","Where are operating assets being converted into financeable collateral pools?","collateral pool; receivables; inventory; lease assets; warehouse size; advance rate; note balance; retained interest; loss rate","10-K; 10-Q; securitization note; ABS prospectus; warehouse facility filing","SEC ABS-EE; rating reports; bank facility disclosures","asset-backed funding extraction pass","Working capital assets are not securitization evidence without facility or note proof","queued","Prioritize Synchrony plus distributor and retail working-capital candidates"
ACSU-014,Deep lane,Capital-intensive buildout,Physical capacity and throughput absorption,"148 capex-heavy candidates","Where is the real economy absorbing the most incremental capital?","capex; growth capex; maintenance capex; backlog; capacity addition; throughput; operating cash flow; debt issuance; project return","10-K; 10-Q; capex table; project release; investor deck; segment footnotes","industry capacity datasets; commodity and construction statistics; permits; public funding data","capital absorption scorecard","High capex can be replacement or inflation, not growth, unless capacity and return evidence exists","queued","Create capex-growth-vs-maintenance split for top 25 capital-intensity rows"
