system_family,blind_spot_lane,lane_type,core_problem_in_taxonomy,main_anchor_set,main_memo_path,main_index_path,current_best_next_move,last_updated,status
"AnnualReports taxonomy blind spots","Retail system types","cross-sector correction layer","the live browse tree still has no clean top-level retail system and scatters retail-like operators across Retail Services Consumer Goods and Technology","Amazon; Walmart; Costco; Kroger; Ross; Ulta; Best Buy; Home Depot; Nike; eBay","/home/manishmehta/ui-projects/annual-report-research/extracted/themes/retail-system-crosswalk-2026-08-10.md","/home/manishmehta/ui-projects/annual-report-research/indexes/retail-systems-index-2026-08-10.md","extend subtype quality only if another name materially sharpens utility replenishment bargain-discovery brand-led beauty marketplace or project-retail comparison quality",2026-08-10,in-progress
"AnnualReports taxonomy blind spots","Fandom play and participation systems","behavior system","toys games and entertainment labels do not explain organized play collectible behavior franchise participation or physical-plus-digital engagement","Hasbro; Mattel; Roblox; Take-Two; Disney","/home/manishmehta/ui-projects/annual-report-research/extracted/themes/fandom-play-and-participation-systems-2026-08-10.md","/home/manishmehta/ui-projects/annual-report-research/indexes/fandom-participation-systems-index-2026-08-10.md","extend only if another name sharpens collectible versus creator versus franchise-wallet behavior",2026-08-10,in-progress
"AnnualReports taxonomy blind spots","Beauty identity and prestige systems","behavior system","personal-products and specialty-retail labels do not explain discovery trend transmission self-presentation creator influence or retailer-plus-brand-plus-media interfaces","Ulta; e.l.f. Beauty","/home/manishmehta/ui-projects/annual-report-research/extracted/themes/beauty-identity-and-prestige-systems-2026-08-10.md","/home/manishmehta/ui-projects/annual-report-research/indexes/beauty-identity-systems-index-2026-08-10.md","extend only if another name sharpens retailer-versus-brand or prestige-versus-access comparison quality",2026-08-10,in-progress
"AnnualReports taxonomy blind spots","Loyalty wallet and membership systems","business-model overlay","the site does not group companies by stored value fee membership points currencies status ladders or partner-funded loyalty economics","Starbucks; American Express; Costco; Delta; Caesars; Planet Fitness; Marriott; MGM Resorts; Target","/home/manishmehta/ui-projects/annual-report-research/extracted/themes/loyalty-wallet-and-membership-systems-2026-08-10.md","/home/manishmehta/ui-projects/annual-report-research/indexes/loyalty-wallet-systems-index-2026-08-10.md","extend only if another name sharpens stored value fee membership partner-funded loyalty or low-friction access conditioning",2026-08-10,in-progress
"AnnualReports taxonomy blind spots","Marketplace platform and ecosystem-control systems","business-model overlay","legacy software services and retail labels flatten very different coordination systems","Amazon; eBay; Booking; Expedia; Airbnb; DoorDash; Instacart; Etsy; Apple; Netflix; Roblox; Spotify; Alphabet; Meta","/home/manishmehta/ui-projects/annual-report-research/extracted/themes/platform-and-ecosystem-map-2026-08-10.md","/home/manishmehta/ui-projects/annual-report-research/indexes/platform-ecosystem-systems-index-2026-08-10.md","reuse the direct Apple versus Netflix versus Roblox split first when the question is ecosystem lock-in versus paid attention versus creator participation then extend subtype quality only if another name adds a genuinely different platform structure",2026-08-10,in-progress
"AnnualReports taxonomy blind spots","Control-layer and connectivity infrastructure systems","hidden infrastructure lane","old internet hardware and networking labels do not distinguish edge trust installed-base network control architecture-specialist AI networking cyber-governance optical transport and upstream optical-content supply","Cloudflare; Akamai; Cisco; Arista Networks; Palo Alto Networks; Ciena; CommScope; Corning","/home/manishmehta/ui-projects/annual-report-research/extracted/themes/control-layer-and-connectivity-infrastructure-systems-2026-08-10.md","/home/manishmehta/ui-projects/annual-report-research/indexes/control-layer-connectivity-systems-index-2026-08-10.md","reuse the direct Cloudflare versus Akamai versus Palo Alto and Cisco versus Arista versus Palo Alto splits first then extend only if another name sharpens edge control enterprise trust transport or optical-input supply",2026-08-10,in-progress
"AnnualReports taxonomy blind spots","Hidden connectivity and access-layer systems","hidden infrastructure lane","real-estate-like and communications labels do not distinguish global tower ownership domestic tower simplification pure-play tower rent lean route-density ownership broader fiber-backbone ownership resilient off-grid coverage and heavier-bandwidth sovereign or mobility satellite access as separate connectivity choke points","American Tower; Crown Castle; SBA Communications; Cogent; Lumen Technologies; Iridium; Viasat","/home/manishmehta/ui-projects/annual-report-research/extracted/themes/hidden-connectivity-and-access-layer-systems-2026-08-10.md","/home/manishmehta/ui-projects/annual-report-research/indexes/hidden-connectivity-access-systems-index-2026-08-10.md","reuse the direct American Tower versus Crown Castle versus SBA split first then reuse American Tower versus Cogent versus Viasat and Cogent versus Lumen; extend only if another name sharpens tower rent route-density fiber backbone ownership satellite resilience bandwidth-heavy orbital access or private-infrastructure ownership",2026-08-10,in-progress
"AnnualReports taxonomy blind spots","Physical execution and embedded workflow systems","hidden infrastructure lane","rental industrial-supply contractor-distribution and specialty-channel labels do not distinguish access-over-ownership embedded procurement control branch-density service systems project-channel coordination engineering-heavy uptime support or civic-failure-response distribution","United Rentals; Fastenal; Ferguson; WESCO; Applied Industrial Technologies; Core & Main","/home/manishmehta/ui-projects/annual-report-research/extracted/themes/physical-execution-and-embedded-workflow-systems-2026-08-10.md","/home/manishmehta/ui-projects/annual-report-research/indexes/physical-execution-embedded-workflow-systems-index-2026-08-10.md","reuse the direct United Rentals versus Fastenal versus Ferguson split first then reuse WESCO versus Applied Industrial Technologies versus Core & Main; extend only if another name sharpens a still-missing workflow subtype beyond those now-live contrasts",2026-08-10,in-progress
"AnnualReports taxonomy blind spots","Recurring attention and cultural-distribution systems","subtype lane","old internet media and entertainment labels do not distinguish paid cultural access mixed discovery monetization ad-funded ambient attention infrastructure-widened attention or franchise-linked membership ecosystems","Netflix; Spotify; Meta; Alphabet; Disney; Snap","/home/manishmehta/ui-projects/annual-report-research/extracted/themes/netflix-vs-spotify-vs-meta-boundary-comparison-2026-08-10.md","/home/manishmehta/ui-projects/annual-report-research/indexes/recurring-attention-systems-index-2026-08-10.md","reuse the direct Netflix versus Spotify versus Meta split first when the question is paid access versus mixed discovery monetization versus ad-funded ambient attention then extend only if another name adds a genuinely different attention structure",2026-08-10,in-progress
"AnnualReports taxonomy blind spots","Travel-interface marketplace systems","subtype lane","old travel services and software labels do not distinguish OTA orchestration loyalty-thickened travel intermediation and decentralized host-guest trust","Booking; Expedia; Airbnb","/home/manishmehta/ui-projects/annual-report-research/extracted/themes/booking-vs-expedia-vs-airbnb-boundary-comparison-2026-08-10.md","/home/manishmehta/ui-projects/annual-report-research/indexes/marketplace-systems-index-2026-08-10.md","extend only if another travel name adds a genuinely different orchestration intermediation or trust structure",2026-08-10,in-progress
