continuity_id,part3_parser_row_id,part3_page,cusip_or_identifier,part3_name,book_value_on_disposal,disposal_consideration,total_gain_loss_on_disposal,part3_investment_income,part1_match_count,part1_pages,part1_book_value_sum,part3_book_minus_part1_book,part3_vs_part1_amount_screen,part2_match_count,part2_pages,part2_acquisition_cost_sum,part2_additional_investment_sum,continuity_status,boundary
CFAASBACONT-0001,CFAASBACP3-0001,5830,00455*-AA-8,Ace Credit Fund LP ACE J59738 DE......... WIlmington,"50,955,599","50,908,577","(47,022)",,0,,0,0,no-part1-amount-screen,1,5826,50955599,0,same-cusip-part2-and-part3-visible,"Statutory same-identifier continuity only; consideration is not bank settlement, borrower repayment, liability release, or Apollo owner cash."
CFAASBACONT-0002,CFAASBACP3-0002,5830,00455*-AB-6,Ace Credit Fund LP ACE J59738 DE......... WIlmington,"37,389,504","37,629,644","410,506",,0,,0,0,no-part1-amount-screen,1,5826,37389504,0,same-cusip-part2-and-part3-visible,"Statutory same-identifier continuity only; consideration is not bank settlement, borrower repayment, liability release, or Apollo owner cash."
CFAASBACONT-0003,CFAASBACP3-0003,5830,,WIlmington DE......... AP Aristotle Holdings LLC WIlmington,"6,500,000","6,500,000",,,0,,0,0,no-part1-amount-screen,0,,0,0,blank-cusip-event-no-continuity-key,"Statutory same-identifier continuity only; consideration is not bank settlement, borrower repayment, liability release, or Apollo owner cash."
CFAASBACONT-0004,CFAASBACP3-0004,5830,90117P-AQ-8,Avenue of the Americas Tr AOTA NY......... E New York,"2,999,220","2,999,220",,"133,276",1,5813,77949983,-74950763,part3-book-vs-part1-book-large-or-multi-lot-delta,1,5826,85314737,2765585,same-cusip-part1-and-part2-and-part3-visible,"Statutory same-identifier continuity only; consideration is not bank settlement, borrower repayment, liability release, or Apollo owner cash."
CFAASBACONT-0005,CFAASBACP3-0005,5830,61764B-AU-7,Morgan Stanley Capital I Trust MSC 2014-150E NY......... G New York,"34,219,292","34,219,292",,"133,276",1,5813,22425000,11794292,part3-book-vs-part1-book-large-or-multi-lot-delta,1,5826,34319355,34134099,same-cusip-part1-and-part2-and-part3-visible,"Statutory same-identifier continuity only; consideration is not bank settlement, borrower repayment, liability release, or Apollo owner cash."
CFAASBACONT-0006,CFAASBACP3-0006,5830,G2964#-AB-5,AP Grange Holdings LLC AP Grange Tranche B .........CYM........,"313,313","313,313",,"24,078",1,5813,411998739,-411685426,part3-book-vs-part1-book-large-or-multi-lot-delta,1,5826,396661750,33407636,same-cusip-part1-and-part2-and-part3-visible,"Statutory same-identifier continuity only; consideration is not bank settlement, borrower repayment, liability release, or Apollo owner cash."
CFAASBACONT-0007,CFAASBACP3-0007,5830,12592T-AQ-8,IL......... COMM 2015-3BP Mortgage Trust Chicago,"60,861,899","60,861,899",,,0,,0,0,no-part1-amount-screen,1,5826,60861899,0,same-cusip-part2-and-part3-visible,"Statutory same-identifier continuity only; consideration is not bank settlement, borrower repayment, liability release, or Apollo owner cash."
CFAASBACONT-0008,CFAASBACP3-0008,5830,,.........CYM........ CD&R Friends & Family Feeder Fund X L.P.,"661,600","661,600",,"158,047",0,,0,0,no-part1-amount-screen,0,,0,0,blank-cusip-event-no-continuity-key,"Statutory same-identifier continuity only; consideration is not bank settlement, borrower repayment, liability release, or Apollo owner cash."
CFAASBACONT-0009,CFAASBACP3-0009,5830,,"CD&R Friends & Family Feeder Fund X L.P. DE......... L Catteron VIII Offshore, L.P. Wilmington","103,987","103,987",,"(105,170)",0,,0,0,no-part1-amount-screen,0,,0,0,blank-cusip-event-no-continuity-key,"Statutory same-identifier continuity only; consideration is not bank settlement, borrower repayment, liability release, or Apollo owner cash."
CFAASBACONT-0010,CFAASBACP3-0010,5830,,NB Secondary Opportunities Offshore Fund IV DE......... LP Wilmington,"480,538","480,538",,"(92,445)",0,,0,0,no-part1-amount-screen,0,,0,0,blank-cusip-event-no-continuity-key,"Statutory same-identifier continuity only; consideration is not bank settlement, borrower repayment, liability release, or Apollo owner cash."
CFAASBACONT-0011,CFAASBACP3-0011,5830,,"LP Wilmington DE......... Riverside Micro-Cap Fund IV, L.P. Wilmington","2,805,196","2,805,196",,"(5,254)",0,,0,0,no-part1-amount-screen,0,,0,0,blank-cusip-event-no-continuity-key,"Statutory same-identifier continuity only; consideration is not bank settlement, borrower repayment, liability release, or Apollo owner cash."
