workbench_id,target_theme,current_readiness,old_html_dynamics_to_absorb,why_this_theme_needs_the_old_site,first_principles_article_point,company_examples_to_pull_next,proof_fields_needed,money_movement_to_explain,safe_claim_after_integration,overclaim_to_avoid,recommended_output_page
ARHTIW-001,Services and cultural consumption,candidate-heavy; 0 of 5 company rows source-visible,The Addiction Dividend; The Presence Premium; The Local News Collapse; The Ritual Economy; Membership or Nothing,"This theme is too thin if it only says people spend on services. The old HTML layer explains why: people pay for habit, time, attention, live presence, belonging, local information, and access.","A service business becomes powerful when it owns a repeated human occasion or a scarce slot of time, not merely when it sells an experience.",Marriott; Booking; McDonalds; Starbucks; MGM; Live Nation; Disney; Netflix,occupancy; bookings; traffic; ticket; loyalty liability; deferred revenue; labor cost; margin; free cash flow; churn; membership renewal,household discretionary cash -> booking/ticket/meal/subscription/member fee -> venue/platform/operator -> labor/rent/rights/content/capex -> operating cash,"Services can be framed as paid access to scarce time, habit, relief, presence, and repeated occasions, with evidence still needing company-level cash-quality extraction.","Do not claim all service spending is resilient or addictive; separate habit, utility, status, and scarce capacity.",annual-report-theme-services-cultural-consumption-html-expanded-pass-1.md
ARHTIW-002,Consumer goods and household identity,candidate-heavy; 0 of 5 company rows source-visible,The Ritual Economy; The Pet Economys Mirror; The Affordability Ceiling; The Trust Market; The Addiction Dividend,"This theme needs the old site because consumer goods are not only categories. They are routines, identity signals, family roles, comfort systems, trust shortcuts, and emotional insurance.","A consumer product gets durable demand when it becomes part of a household routine or identity, but annual reports must prove whether sales came from volume, price, mix, or inventory load.",Procter & Gamble; Colgate; Coca-Cola; Estee Lauder; Hasbro; Chewy; Mondelez; PepsiCo,organic sales; volume; price/mix; gross margin; market share; retail inventory; channel mix; repeat purchase; advertising spend; cash flow,household routine/identity need -> branded item or pet-care spend -> retailer/platform/brand -> gross margin/marketing/trade spend -> operating cash,"Consumer goods can be written as household ritual and identity infrastructure, with proof boundaries around real volume and cash conversion.","Do not mistake price inflation, channel inventory, or premium language for brand strength.",annual-report-theme-consumer-goods-html-expanded-pass-1.md
ARHTIW-003,Broad technology beyond internet software,candidate-heavy; 0 of 5 company rows source-visible,AI Cultural Disintermediation; The AI Infrastructure Toll; The Trust Market,The old site splits AI into two different forces: physical infrastructure demand and interface/authority displacement. The current theme needs both.,"Technology is not just software growth. It is compute, chips, storage, networking, security, workflow, identity, and the interface that decides who keeps the customer relationship.",Microsoft; NVIDIA; Broadcom; Cisco; ServiceNow; Dell; Supermicro; Oracle,revenue by product; backlog/RPO; capex; gross margin; customer concentration; cloud cost; inventory; supply constraints; free cash flow,enterprise/customer budget -> cloud/chip/network/workflow spend -> platform/vendor -> capex/supply chain/operating margin -> free cash flow,"Broad tech can be framed as control of compute, workflow, and interface, while AI infrastructure remains tied to power and physical capacity.","Do not treat AI demand as uniformly profitable; capex, competition, concentration, and product cycles matter.",annual-report-theme-broad-technology-html-expanded-pass-1.md
ARHTIW-004,Real estate and scarce locations,candidate-heavy; 0 of 5 company rows source-visible,The Presence Premium; The Grids New Landlords; The Gray Wave Dividend; The Private Capital Colonization; The Spread Machine,"The old site shows that location scarcity is not only buildings. It is attendance, healthcare proximity, data-center power access, logistics nodes, towers, rights of way, and financeable rent streams.","Real estate value is a legal claim on a scarce place plus a tenant cash stream. The question is whether the place, tenant, lease, debt, and replacement cost support the claim.",American Tower; Prologis; Equinix; Welltower; Realty Income; VICI; Simon Property; Digital Realty,occupancy; rent collection; leasing spreads; escalators; AFFO; tenant credit; debt maturity; cap rates; development yield; churn,tenant/customer demand -> lease/rent/access payment -> property owner/REIT -> debt service/maintenance/capex/dividend -> AFFO/cash,"Real estate can be written as scarce access plus tenant cash durability, not just property ownership.","Do not claim location scarcity without tenant-payment proof, debt-cost proof, and replacement-supply checks.",annual-report-theme-real-estate-html-expanded-pass-1.md
ARHTIW-005,Healthcare tools and medical infrastructure,candidate-heavy; 0 of 5 company rows source-visible,The Screening Revolution; The Gray Wave Dividend; The Trust Market,"The old site helps separate care delivery from the tools and infrastructure that route diagnosis, procedures, drugs, devices, hospital workflow, and reimbursement.","A healthcare tool gets paid when it becomes necessary inside diagnosis, treatment, hospital throughput, drug distribution, or payer-approved workflow.",Abbott; Thermo Fisher; HCA; McKesson; Stryker; Intuitive Surgical; Labcorp; Quest,procedure volume; test volume; reimbursement; payer mix; receivables; inventory; device margin; hospital labor; drug-distribution working capital; cash flow,patient/payer/provider need -> test/device/hospital/distributor -> reimbursement or service payment -> working capital/cost structure -> operating cash,"Healthcare tools can be written as the infrastructure beneath diagnosis and treatment access, with cash proof tied to utilization and reimbursement.","Do not treat medical need as revenue proof without volume, reimbursement, receivables, and margin evidence.",annual-report-theme-healthcare-tools-html-expanded-pass-1.md
ARHTIW-006,Industrial uptime,medium; 1 of 5 company rows source-visible,The Vertical Integration Ratchet; The Workers Invisible Tax; The Outage Anxiety Economy; The Commodity Whiplash Transfer,"The old site adds the human and operating reason uptime matters: labor is tight, inputs swing, interruptions are costly, and companies integrate or automate to avoid failure.","Industrial companies are paid when they reduce downtime, substitute for scarce labor, keep parts available, or control a brittle supply chain.",Fastenal; WESCO; Grainger; Applied Industrial; United Rentals; MasTec; Sterling; Jacobs,inventory turns; receivables; service revenue; branch density; customer retention; backlog; contract liabilities; labor cost; OCF; capex,customer uptime need -> distributor/rental/contractor/service provider -> invoice/backlog/rental revenue -> working capital/fleet/capex -> cash flow,"Industrial uptime can be written as paid continuity: the customer pays because stopping is more expensive than buying the part, rental, service, or contractor capacity.","Do not claim uptime value without showing inventory, utilization, receivables, backlog conversion, and cash collection.",annual-report-theme-industrial-uptime-html-expanded-pass-1.md
ARHTIW-007,Basic materials and input scarcity,medium; 1 of 5 company rows source-visible,The Commodity Whiplash Transfer; The Vertical Integration Ratchet; The AI Infrastructure Toll,"The old site keeps materials connected to downstream pain. Inputs matter because shocks move into housing, food, energy, infrastructure, manufacturing, and household cost.","A material is economically important when scarcity, processing capacity, reserve quality, or transport constraints change who bears cost and who earns cash.",Freeport; Nucor; Vulcan; CF Industries; Steel Dynamics; Linde; Dow; Martin Marietta,realized price; volume; cash cost; utilization; reserves; capex; pass-through; contract structure; inventory; free cash flow,resource/input shock -> producer/processor/distributor -> contract price or spot price -> customer pass-through/margin squeeze -> cash effect,"Materials can be written as the hidden denominator under the buildout, but producer cash depends on price, cost, volume, capex, and cycle position.",Do not assume scarcity benefits every materials company; high prices can also destroy volume or raise capex.,annual-report-theme-basic-materials-html-expanded-pass-1.md
ARHTIW-008,Ordinary finance,medium; 3 of 5 company rows source-visible,The Cash Harvest; The Spread Machine; Membership or Nothing; The Affordability Ceiling; The Private Capital Colonization,"The old site helps show ordinary finance as the place where pressure becomes balances, fees, spreads, losses, rewards, float, insurance premiums, and payment flows.","Finance is not abstract money. It is the routing system for delayed payment, risk transfer, stored value, credit losses, fees, and claims on future cash.",Progressive; Visa; JPMorgan; American Express; Capital One; Mastercard; Chubb; PayPal,loan balances; deposits; NIM; charge-offs; provisions; payment volume; take rate; premium growth; combined ratio; rewards cost; capital; cash flow,household/business pressure -> loan/card/payment/insurance product -> bank/network/insurer -> fee/spread/premium/loss/reserve -> earnings/cash/capital,"Ordinary finance can be written as the meter on household and business pressure, with evidence from balances, fees, spreads, losses, premiums, and payments.","Do not treat financial revenue as clean cash without credit loss, funding cost, reserves, rewards cost, and capital requirements.",annual-report-theme-ordinary-finance-html-expanded-pass-1.md
ARHTIW-009,Power scarcity,high but project-cash proof bounded,The AI Infrastructure Toll; The Outage Anxiety Economy; The Grids New Landlords,"The old site gives the human and AI demand reasons for power scarcity: people fear outages and data centers need real electrons, land, grid rights, and recovery mechanisms.","Power is no longer background infrastructure. It is a permitting, fuel, transmission, recovery, reliability, and customer-demand bottleneck.",NextEra/FPL; AEP; Duke; MasTec; Sterling; Eaton; Quanta; GE Vernova,rate recovery; billing determinants; load growth; interconnection queue; capex; backlog; project status; customer contract; OCF; debt service,customer/data-center/grid need -> utility/contractor/equipment owner -> capex/project spend -> regulated recovery or contract billing -> cash,"Power scarcity can be written as a growth gate with strong bounded evidence, while exact project receipts and returns remain open.","Do not turn capex, backlog, or load growth into proof of project-level customer cash.",annual-report-theme-power-scarcity-html-expanded-pass-1.md
ARHTIW-010,Capital platforms,high but named-cash proof bounded,The Private Capital Colonization; The Spread Machine; The Cash Harvest,"The old site gives the social and institutional framing: retirement savings, insurance liabilities, bank risk, real estate, credit, and infrastructure are moving through private wrappers.","A capital platform matters when it controls source capital, legal wrappers, origination channels, fees, spread, collateral, and claims on future cash.",BlackRock; Blackstone; KKR; Apollo/Athene; Ares; Brookfield; Carlyle; Blue Owl,AUM; fee-related earnings; insurance liabilities; vehicle schedule; borrower list; collateral; debt waterfall; realizations; spread; deployment; exits,pension/insurance/retail/institutional capital -> fund/insurer/BDC/private vehicle -> borrower/asset/project -> interest/rent/fee/exit -> platform fee/spread/cash,"Capital platforms can be written as private routing systems for public and institutional savings, with named-cash proof still requiring legal-entity and asset-level documents.","Do not equate AUM, deployment, or fee earnings with proof of end-to-end cash realization.",annual-report-theme-capital-platforms-html-expanded-pass-1.md
ARHTIW-011,Healthcare access,high first-pass; cash-quality proof needed,The Gray Wave Dividend; The Screening Revolution; The Trust Market,"The old site adds demand texture: aging, early diagnosis, trust, authorization, pharmacy routing, and care coordination are all part of access.","Healthcare access is not just demand for care. It is the ability to turn need into approved, staffed, delivered, billed, reimbursed care.",UnitedHealth; Cigna; DaVita; Addus; Option Care; Elevance; CVS; Humana,medical cost ratio; claims payable; receivables; payer mix; treatment volume; billable hours; reimbursement rate; working capital; OCF; FCF,patient need -> payer/authorizer/provider/pharmacy/home-care site -> claim/bill/reimbursement -> cost of care/labor/drugs -> cash conversion,"Healthcare access can be written as the system that turns medical need into delivered and reimbursed care, with second-pass cash proof still needed.","Do not treat medical need, membership, or treatment count as proof of high-quality cash.",annual-report-theme-healthcare-access-html-expanded-pass-1.md
