row_id,period,company,ticker,theme,subtheme,metric,value,unit,source_file,source_detail,calculation_or_source,evidence_status,what_it_says,what_it_does_not_say,next_source
URIFTRE-001,FY 2024-2025,United Rentals,URI,capital-intensive real-economy buildout,fleet-type revenue estimate,Source boundary,fleet-type-revenue-estimate-visible,text,"analysis/company-first-principles/capital-flow-uri-specialty-category-source-boundary-pass-1.md; analysis/company-first-principles/capital-flow-uri-owned-rental-segment-trend-pass-1.md",Prior URI extraction passes,"Uses filed total equipment-rentals revenue and rounded fleet-type revenue percentages",source-boundary,"Fleet-type revenue dollars can be estimated from rounded percentage disclosures.","The estimates are not source-stated product-line revenue and do not disclose margin, OEC, capex, utilization, or ROIC.","Product-line economics source"
URIFTRE-002,FY 2025,United Rentals,URI,capital-intensive real-economy buildout,denominator,Total equipment-rentals revenue,13.806,B USD,analysis/company-first-principles/capital-flow-uri-owned-rental-segment-trend-pass-1.md,Annual owned-rental mix table,"Filed total equipment-rentals revenue",filed-source-table,"FY2025 equipment-rentals revenue denominator was 13.806B USD.","It is not product-line revenue by itself.","Product-line revenue source"
URIFTRE-003,FY 2024,United Rentals,URI,capital-intensive real-economy buildout,denominator,Total equipment-rentals revenue,13.029,B USD,analysis/company-first-principles/capital-flow-uri-owned-rental-segment-trend-pass-1.md,Annual owned-rental mix table,"Filed total equipment-rentals revenue",filed-source-table,"FY2024 equipment-rentals revenue denominator was 13.029B USD.","It is not product-line revenue by itself.","Product-line revenue source"
URIFTRE-004,FY 2025,United Rentals,URI,capital-intensive real-economy buildout,fleet-type revenue estimate,General construction and industrial equipment,5.384,B USD,raw/sec/industrial-goods/rental-leasing-services/united-rentals-inc/2025-10k-10k.html,10-K fleet-type mix table,"13.806B USD * 39%",rounded-estimate,"General construction and industrial equipment was approximately 5.384B USD of FY2025 equipment-rental revenue.","It is rounded and not source-stated category revenue.","Category revenue/OEC/margin"
URIFTRE-005,FY 2024,United Rentals,URI,capital-intensive real-economy buildout,fleet-type revenue estimate,General construction and industrial equipment,5.212,B USD,raw/sec/industrial-goods/rental-leasing-services/united-rentals-inc/2025-10k-10k.html,10-K fleet-type mix table,"13.029B USD * 40%",rounded-estimate,"General construction and industrial equipment was approximately 5.212B USD of FY2024 equipment-rental revenue.","It is rounded and not source-stated category revenue.","Category revenue/OEC/margin"
URIFTRE-006,FY 2025 vs FY 2024,United Rentals,URI,capital-intensive real-economy buildout,fleet-type revenue estimate,General construction and industrial equipment change,0.173,B USD,derived from rows URIFTRE-004 and URIFTRE-005,Derived change,"5.384B - 5.212B",rounded-estimate-change,"General construction/industrial estimate increased about 0.173B USD.","The change is affected by rounded mix percentages.","Product-line source"
URIFTRE-007,FY 2025,United Rentals,URI,capital-intensive real-economy buildout,fleet-type revenue estimate,Aerial work platforms,3.037,B USD,raw/sec/industrial-goods/rental-leasing-services/united-rentals-inc/2025-10k-10k.html,10-K fleet-type mix table,"13.806B USD * 22%",rounded-estimate,"Aerial work platforms was approximately 3.037B USD of FY2025 equipment-rental revenue.","It is rounded and not source-stated category revenue.","Category revenue/OEC/margin"
URIFTRE-008,FY 2024,United Rentals,URI,capital-intensive real-economy buildout,fleet-type revenue estimate,Aerial work platforms,2.997,B USD,raw/sec/industrial-goods/rental-leasing-services/united-rentals-inc/2025-10k-10k.html,10-K fleet-type mix table,"13.029B USD * 23%",rounded-estimate,"Aerial work platforms was approximately 2.997B USD of FY2024 equipment-rental revenue.","It is rounded and not source-stated category revenue.","Category revenue/OEC/margin"
URIFTRE-009,FY 2025 vs FY 2024,United Rentals,URI,capital-intensive real-economy buildout,fleet-type revenue estimate,Aerial work platforms change,0.040,B USD,derived from rows URIFTRE-007 and URIFTRE-008,Derived change,"3.037B - 2.997B",rounded-estimate-change,"Aerial work platforms estimate increased about 0.040B USD.","The change is affected by rounded mix percentages.","Product-line source"
URIFTRE-010,FY 2025,United Rentals,URI,capital-intensive real-economy buildout,fleet-type revenue estimate,General tools and light equipment,1.243,B USD,raw/sec/industrial-goods/rental-leasing-services/united-rentals-inc/2025-10k-10k.html,10-K fleet-type mix table,"13.806B USD * 9%",rounded-estimate,"General tools/light equipment was approximately 1.243B USD of FY2025 equipment-rental revenue.","It is rounded and not source-stated category revenue.","Category revenue/OEC/margin"
