row_id,company,period,source_type,metric,reported_value,status_bucket,qoe_control,proves,does_not_prove,source_url
DAG-001,Duke Energy South Carolina,2026-03-26,official release,PSCSC approval of Anderson County combined-cycle project,approved,regulator-approved,approval is not earnings or cash,approval observation,final order conditions unless docket-verified,https://news.duke-energy.com/releases/regulators-approve-duke-energys-proposal-for-new-natural-gas-generation-to-support-south-carolinas-growing-energy-needs
DAG-002,Duke Energy South Carolina,2026-03-26,official release,nominal project capacity,1365 MW,project-scale,nominal capacity is not net Duke-owned capacity,project scale,rate base or return,https://news.duke-energy.com/releases/regulators-approve-duke-energys-proposal-for-new-natural-gas-generation-to-support-south-carolinas-growing-energy-needs
DAG-003,Duke Energy South Carolina,2026-03-26,official release,Central Electric Power Cooperative ownership,95 MW,shared-ownership,do not attribute all project cash to Duke,ownership allocation,legal cash waterfall,https://news.duke-energy.com/releases/regulators-approve-duke-energys-proposal-for-new-natural-gas-generation-to-support-south-carolinas-growing-energy-needs
DAG-004,Duke Energy South Carolina,2026-03-26,official release,North Carolina Electric Membership Corporation ownership,100 MW,shared-ownership,do not attribute all project cash to Duke,ownership allocation,legal cash waterfall,https://news.duke-energy.com/releases/regulators-approve-duke-energys-proposal-for-new-natural-gas-generation-to-support-south-carolinas-growing-energy-needs
DAG-005,Duke Energy South Carolina,2026-03-26,official release,anticipated construction start,summer 2027,forward-plan,planned date is not incurred capex,dated execution path,actual construction spend,https://news.duke-energy.com/releases/regulators-approve-duke-energys-proposal-for-new-natural-gas-generation-to-support-south-carolinas-growing-energy-needs
DAG-006,Duke Energy South Carolina,2026-03-26,official release,anticipated customer service date,early 2031,forward-plan,service target is not billed revenue,dated in-service target,operating cash or return,https://news.duke-energy.com/releases/regulators-approve-duke-energys-proposal-for-new-natural-gas-generation-to-support-south-carolinas-growing-energy-needs
DAG-007,South Carolina PSC,2026-03-26,commission directive,Commission action on certificate application,approval motion recorded; later ORS filing identifies Order 2026-244,regulator-approved-order-referenced,approval action is not rate-base cash or collected revenue,regulatory approval and order route,final order terms or project return,https://dms.psc.sc.gov/Attachments/Matter/85c6ada0-5c09-40c6-b5fe-89f532f03ec2
DAG-008,South Carolina PSC,2026-03-26,commission directive,quarterly fuel-supply project updates,required,condition,conditions create reporting obligations but not cash,ongoing regulatory monitoring requirement,construction spend or fuel-cost recovery,https://dms.psc.sc.gov/Attachments/Matter/85c6ada0-5c09-40c6-b5fe-89f532f03ec2
DAG-009,South Carolina PSC,2026-04-24,full certificate order,Anderson CC nominal capacity and ownership,1365 MW total; DEC 1170 MW; NCEMC 100 MW; Central 95 MW,shared-ownership,nominal and allocated capacity must not be consolidated into Duke cash,capacity and ownership allocation,legal cash waterfall or net return,https://dms.psc.sc.gov/Attachments/Order/b9a9edb1-9bd0-45a2-b96d-cab5ad33f7c4
DAG-010,South Carolina ORS,2026-05-29,construction-monitoring letter,certificate order reference,Order 2026-244,order-identified,certificate approval does not prove rate-base cash,order route and monitoring obligation,full order attachment and cost recovery,https://dms.psc.sc.gov/Attachments/Matter/f59b5abe-be90-47fa-b34d-e3d50df36a55
DAG-011,South Carolina ORS/E3,2026-06-30,construction-monitoring report,current estimated project budget,3.2B USD,budget-observed,budget is not incurred capex or cash spend,current cost denominator,financing and period-matched cash spend,https://dms.psc.sc.gov/Attachments/Matter/9f3dc0c9-4e7b-4366-ba33-3592c5504ce3
DAG-012,South Carolina ORS/E3,2026-08-31,construction-monitoring report,limited notice to proceed and major power-island equipment,engineering/procurement underway; major equipment procured,partial-execution,procurement is not completed plant or owner return,execution progress,paid invoices and construction-in-progress ledger,https://dms.psc.sc.gov/Attachments/Matter/c6d8c29f-b5dd-470f-b517-97d6a7cee01b
DAG-013,South Carolina ORS/E3,2026-08-31,construction-monitoring report,planned site mobilization,Q2 2027,forward-plan,planned date is not in-service revenue,schedule path,actual mobilization and commercial operation,https://dms.psc.sc.gov/Attachments/Matter/c6d8c29f-b5dd-470f-b517-97d6a7cee01b
DAG-014,South Carolina ORS/E3,2026-08-31,construction-monitoring report,budget and contingency status,on budget; contingency not used to date,management-monitor-observation,monitoring observation is not audited cash or final cost,early cost-control signal,independent cost ledger and final project cost,https://dms.psc.sc.gov/Attachments/Matter/c6d8c29f-b5dd-470f-b517-97d6a7cee01b
DAG-015,South Carolina PSC,2026-04-24,full certificate order,DEC current construction-cost estimate,3.218B USD,project-cost-estimate,estimated project cost is not incurred capex or collected cash,final-order cost denominator,paid invoices rate-base treatment or return,https://dms.psc.sc.gov/Attachments/Order/b9a9edb1-9bd0-45a2-b96d-cab5ad33f7c4
DAG-016,South Carolina PSC,2026-03-18,proposed certificate order,proposed cost attribution before co-op negotiations,100% DEC costs,partial-attribution,proposed attribution is not final ownership or cash allocation,disclosed interim attribution boundary,final participation agreement and legal cash waterfall,https://dms.psc.sc.gov/Attachments/Matter/e5ddc5b1-26d3-429d-b4ea-4a9a3fe5ab35
DAG-017,South Carolina PSC,2026-03-18,proposed certificate order,DEC control and construction/operation responsibility,DEC controlling interest and exclusive oversight,legal-control,control does not equal 100% economic ownership or owner cash,operating/control perimeter,final ownership funding and recovery allocation,https://dms.psc.sc.gov/Attachments/Matter/e5ddc5b1-26d3-429d-b4ea-4a9a3fe5ab35
DAG-018,South Carolina PSC,2026-04-24,full certificate order,Order 2026-244 certificate grant,"approved subject to required federal, state, and local permits, consultations, and certifications",regulator-approved-conditioned,certificate approval is not rate-base cash or collected revenue,final certificate order and conditions,project cost recovery billing collections or owner return,https://dms.psc.sc.gov/Attachments/Order/b9a9edb1-9bd0-45a2-b96d-cab5ad33f7c4
