bridge_id,layer,metric,period,value,unit,evidence_page,evidence_status,what_it_says,what_it_does_not_say,next_source
URIFRB-001,Fleet denominator,OEC,Q2 2026,23.8,B USD,capital-flow-uri-fleet-return-utilization-proxy-pass-1.md,source-table-extracted,"URI has a public fleet-cost denominator for output proxies.","OEC is not net invested capital, eligible collateral, or asset-class capital.","Segment or asset-class OEC."
URIFRB-002,Revenue productivity,Rental revenue / OEC,Q2 2026,16.2,percent,capital-flow-uri-fleet-return-utilization-proxy-pass-1.md,proxy-derived,"The fleet base is producing large rental revenue relative to OEC.","This is a quarterly revenue/output proxy, not ROIC or utilization.","Trailing twelve-month owned-rental revenue and average OEC."
URIFRB-003,Revenue productivity,Annualized rental revenue / OEC,Q2 2026 annualized,64.7,percent,capital-flow-uri-fleet-return-utilization-proxy-pass-1.md,proxy-derived,"At a Q2 run rate, rental revenue was large relative to OEC.","Annualization ignores seasonality, acquisitions, mix, and cycle effects.","TTM owned-rental revenue and average OEC."
URIFRB-004,EBITDA productivity,Adjusted EBITDA / OEC,Q2 2026,8.6,percent,capital-flow-uri-fleet-return-utilization-proxy-pass-1.md,proxy-derived,"Company-level EBITDA is high relative to the OEC denominator.","Adjusted EBITDA is company-level, not fleet operating profit or ROIC.","Segment EBITDA or operating profit."
URIFRB-005,Owned-rental purity,Owned equipment rentals share of equipment rentals,H1 2026,78.1,percent,capital-flow-uri-owned-rental-segment-economics-pass-1.md,filed-source-derived,"Most equipment-rental revenue still comes from owned assets.","Owned-rental revenue does not split rate, utilization, and mix.","Rate/time/mix disclosure."
URIFRB-006,Segment gross margin,Specialty equipment-rentals gross margin,H1 2026,43.1,percent,capital-flow-uri-owned-rental-segment-economics-pass-1.md,filed-source-derived,"Specialty has a stronger filed gross-margin profile than General Rentals.","Gross margin is not operating margin, EBITDA, ROIC, or category margin.","Segment operating profit or EBITDA."
URIFRB-007,Segment gross margin,General Rentals equipment-rentals gross margin,H1 2026,34.8,percent,capital-flow-uri-owned-rental-segment-economics-pass-1.md,filed-source-derived,"General Rentals provides the comparison base for Specialty.","Gross margin does not include full operating costs or capital denominator.","Segment operating profit or EBITDA."
URIFRB-008,Segment capex intensity,Specialty capex / equipment-rentals revenue,H1 2026,31.2,percent,capital-flow-uri-owned-rental-segment-economics-pass-1.md,proxy-derived,"Specialty absorbed less H1 capex per dollar of equipment-rentals revenue than General Rentals.","This is a period ratio, not life-cycle maintenance/growth capex.","Growth versus replacement capex."
URIFRB-009,Segment asset proxy,Specialty annualized equipment-rentals gross profit / average segment assets,H1 2026,26.4,percent,capital-flow-uri-segment-asset-return-proxy-pass-1.md,proxy-derived,"Specialty gross-profit productivity is materially higher on the filed segment-asset denominator.","Segment assets are not rental fleet OEC, and gross profit is not operating income.","Segment OEC and operating profit."
URIFRB-010,Segment asset proxy,General Rentals annualized equipment-rentals gross profit / average segment assets,H1 2026,14.7,percent,capital-flow-uri-segment-asset-return-proxy-pass-1.md,proxy-derived,"General Rentals provides the benchmark for Specialty asset productivity.","Segment assets are not rental fleet OEC, and gross profit is not operating income.","Segment OEC and operating profit."
URIFRB-011,Trend risk,Specialty annual gross profit / segment assets,FY 2023 to FY 2025,30.8 to 25.0,percent,capital-flow-uri-segment-asset-return-proxy-pass-1.md,proxy-derived,"Specialty's higher-return proxy is not one-way and needs monitoring after acquisitions and mix shifts.","The decline does not identify whether acquisitions, goodwill, mix, timing, or economics caused the change.","Acquisition-adjusted Specialty return bridge."
URIFRB-012,Cash coverage,OCF / gross rental capex,H1 2026,112.8,percent,capital-flow-uri-fleet-capital-durability-pass-1.md,proxy-derived,"Fleet investment is paired with operating cash generation, not only external funding.","OCF is company-level and does not prove each fleet purchase was self-funded.","Quarterly cash-flow bridge with debt draws and capex split."
URIFRB-013,Cash coverage,OCF / net fleet cash investment,H1 2026,162.0,percent,capital-flow-uri-fleet-capital-durability-pass-1.md,proxy-derived,"Operating cash flow covered net fleet cash investment after sale proceeds.","Net fleet cash investment depends on sale proceeds and does not prove return by asset class.","Growth/replacement and sale-proceeds bridge."
URIFRB-014,Recycling value,OEC recovery rate on fleet sold,Q2 2026,52.9,percent,capital-flow-uri-fleet-return-utilization-proxy-pass-1.md,source-table-derived,"Used-equipment sales provide a visible asset-recycling support leg.","Disposal recovery is not full life-cycle return or asset-class residual value.","Used-equipment recovery by asset class and period."
URIFRB-015,Collateral support,AR collateral-pool coverage,Q2 2026,125.8,percent,capital-flow-uri-fleet-capital-durability-pass-1.md,proxy-derived,"Funding support appears durable at proxy level.","Collateral coverage is not legal borrowing-base availability.","Borrowing-base certificate or legal availability table."
URIFRB-016,Return-grade missing gate,Growth versus replacement capex,current source set,missing,text,capital-flow-uri-fleet-return-bridge-pass-1.md,missing-proof-gate,"This is the key missing distinction before calling fleet capex high-return growth.","Without this split, capex can be maintenance, inflation, mix, acquisition, or replacement.","Management capex split, fleet age table, or replacement schedule."
