section_id,section,old_html_inputs,first_principles_point,money_path,company_examples,proof_needed,safe_use
ARBUX-001,opening_frame,Affordability Ceiling; Commodity Whiplash Transfer; Workers Invisible Tax; Vertical Integration Ratchet,"Built-environment upkeep is the recurring bill attached to physical civilization. A home, road, water system, store, warehouse, hospital, roof, HVAC unit, pipe, or paint layer keeps aging after it is built.",physical asset ages -> repair or replacement need -> customer budget decision -> retailer/distributor/supplier/contractor sale -> delivery -> payment -> cash conversion,Home Depot; Lowes; Core & Main; Builders FirstSource; Sherwin-Williams; Ferguson; Watsco; Beacon; Sterling; MasTec,receipts; receivables; inventory turns; margin by channel; capex; debt; acquisition return,"Use as the core framing for upkeep as recurring demand, not as proof that every upkeep lane creates durable cash."
ARBUX-002,start_from_zero,Affordability Ceiling,"Start with the roof, HVAC unit, pipe, water heater, road, or public water system. These assets do not stop deteriorating because households, cities, or businesses are under budget pressure.",asset condition -> forced or delayed maintenance choice -> purchase of materials/labor/service -> invoice -> collection,Home Depot; Lowes; Core & Main; Sherwin-Williams; Builders FirstSource,repair versus discretionary split; financing evidence; household or municipal budget support; customer payment proof,Use to explain why built assets are not one-time economic events.
ARBUX-003,recurring_physical_bill,Affordability Ceiling; Workers Invisible Tax,"Time converts physical assets into future claims on cash. Deferred repair may postpone spending, but it can also raise later cost or reduce asset quality.",time passes -> wear/failure/code/weather issue -> unavoidable work -> product and labor purchase -> operating cash if payment arrives,Home Depot; Lowes; Core & Main; Sherwin-Williams; contractors; public works suppliers,maintenance cadence; replacement cycles; emergency versus optional repair; OCF and FCF conversion,"Use to say physical decay creates recurring demand pressure, not that timing or margins are guaranteed."
ARBUX-004,affordability_changes_demand,Affordability Ceiling,"Housing affordability does not simply turn built-environment demand on or off. It changes the form of demand: fewer moves, more stuck-in-place repair, weaker large projects, more selective spending, and higher financing sensitivity.",expensive shelter -> move delayed or project resized -> repair/replacement/smaller improvement -> retailer or contractor sale -> cash if customer can pay,Home Depot; Lowes; Builders FirstSource; Sherwin-Williams; Floor & Decor; Masco; Fortune Brands,ticket and traffic; Pro versus DIY mix; financing; large-project categories; repair versus remodel evidence,Use to explain mix shift under affordability pressure without claiming housing health.
ARBUX-005,repair_can_replace_moving,Affordability Ceiling,"When moving is unaffordable, some households spend on keeping the current home livable. That can support repair, replacement, paint, appliances, flooring, plumbing, HVAC, and Pro work.",stuck homeowner -> current-home repair/improvement -> DIY basket or contractor job -> sale -> margin -> cash,Home Depot; Lowes; Sherwin-Williams; Masco; Fortune Brands; Floor & Decor,repair category sales; large-project demand; consumer financing; ticket/transaction split; customer payment evidence,Use as a demand-substitution idea with clear limits.
ARBUX-006,pro_channel,Vertical Integration Ratchet; Workers Invisible Tax,"The Pro channel is not just larger DIY. Contractors need availability, jobsite delivery, trade credit, branches, coordination, returns, and reliability.",contractor job -> product availability/logistics -> Pro purchase or branch order -> completed work -> contractor gets paid -> distributor/retailer collects,Home Depot SRS/GMS; Lowes Pro; Core & Main; Builders FirstSource; Sherwin-Williams Paint Stores; Ferguson; Watsco; Beacon,Pro sales mix; Pro margin; receivables aging; trade credit; delivery cost; contractor retention,Use to explain why Pro infrastructure can matter while keeping credit and margin boundaries explicit.
ARBUX-007,civic_infrastructure,Affordability Ceiling; Vertical Integration Ratchet,"Civic systems are built-environment upkeep even when consumers do not see them. Water, wastewater, storm drainage, fire protection, treatment plants, and roads age in the background.",aging civic asset -> project need -> funding/procurement -> contractor order -> distributor sale -> delivery -> invoice -> receivable collection,Core & Main; Ferguson; Mueller Water; Xylem; Jacobs; Sterling; MasTec; Quanta; United Rentals; Vulcan; Martin Marietta,funded project evidence; municipal receipts; procurement timing; category margin; receivables; inventory; branch economics,"Use to show civic infrastructure as a hidden upkeep lane, not as automatic funded cash."
ARBUX-008,materials_embedded,Commodity Whiplash Transfer,"Every built-environment story has embedded materials: lumber, coatings, pipe, fittings, aggregates, asphalt, cement, steel, HVAC, plumbing, fixtures, tools, and chemicals.",raw input or manufactured material -> supplier/distributor inventory -> project sale -> price pass-through or margin squeeze -> cash impact,Sherwin-Williams; Builders FirstSource; West Fraser; Nucor; Steel Dynamics; Vulcan; Martin Marietta; Owens Corning; Carlisle; PPG,price versus volume; gross margin drivers; raw-material cost; inventory timing; pass-through evidence,Use to connect upkeep to commodity pressure while separating demand from cash quality.
ARBUX-009,labor_and_contractor_capacity,Workers Invisible Tax,"Upkeep demand is limited by people who can do the work. Labor scarcity turns into cost, delay, quality risk, and demand for productivity systems.",labor scarcity or job complexity -> need for productivity support -> prefab/delivery/digital/branch support -> higher-value sale -> cash if execution works,Builders FirstSource; Home Depot; Lowes; Core & Main; Sherwin-Williams; United Rentals; Quanta; MasTec; Sterling; Jacobs,labor cost; project delays; value-added margin; prefab adoption; contractor productivity; execution quality,"Use to show labor as a real economic constraint, not just a hiring issue."
ARBUX-010,controlled_distribution_and_rollups,Vertical Integration Ratchet,"Companies try to control more of the route from physical need to completed work through branches, stores, delivery, acquisitions, contractor accounts, and specialized distribution.",fragmented local demand -> owned branch/store/distribution platform -> more capture -> sale -> integration and working-capital test -> cash,Home Depot SRS/GMS; Lowes FBM/ADG; Core & Main acquisitions; Sherwin-Williams stores; Builders FirstSource locations; Ferguson; Beacon; SiteOne; Watsco,acquisition contribution; integration cost; branch profitability; inventory; receivables; delivery cost; ROIC,Use to explain why distribution control can be strategic only if it converts into cash.
