hub_id,section,title,link,why_open_it,artifact_type,status
ARLRH-001,start_here,Final project front door,/cluster/annual-report-final-project-front-door-pass-1.md,"Explains the whole project, what was built, what is done, and what remains open.",reader-entry,ready
ARLRH-002,start_here,Big findings and takeaways,/cluster/annual-report-big-findings-takeaways-pass-1.md,Plain-English answer to what the research actually tells us.,reader-entry,ready
ARLRH-003,start_here,What-else theme map,/cluster/annual-report-what-else-theme-map-pass-1.md,"All 15 themes as bottlenecks with money paths, examples, evidence strength, and proof gaps.",reader-entry,ready
ARLRH-004,article,Integrated final publication draft,/cluster/annual-report-integrated-final-publication-draft-pass-1.md,Main long-form article draft.,article,ready
ARLRH-005,audit,Final completion audit,/cluster/annual-report-final-completion-audit-pass-1.md,Audits that broad synthesis is wrapped while named-cash proof remains open.,audit,ready
ARLRH-006,theme_index,Theme pages index,/cluster/annual-report-theme-pages-index-pass-1.md,Index of all 15 standalone theme pages.,index,ready
ARLRH-007,theme_evidence,Company-to-theme matrix,/cluster/annual-report-company-to-theme-matrix-pass-1.md,"75 company-theme rows with plain business role, money path, proof metric, and claim status.",evidence-table,ready
ARLRH-008,theme_evidence,Evidence-depth scorecard,/cluster/annual-report-theme-evidence-depth-scorecard-pass-1.md,Grades which themes are source-visible versus candidate-level.,evidence-table,ready
ARLRH-009,theme_evidence,Theme extraction workbench,/cluster/annual-report-theme-extraction-workbench-pass-1.md,Concrete next source-pull queue.,workbench,ready
ARLRH-010,chapters,Polished chapter pages,/cluster/annual-report-linked-reading-hub-pass-1.md#polished-chapter-pages,Links the seven polished chapter-style theme pages.,chapter-index,ready
ARLRH-011,company_packets,Company extraction packets,/cluster/annual-report-linked-reading-hub-pass-1.md#company-extraction-packets,"Links deeper company-level pages for capital platforms, retail, healthcare, digital control, built environment, and ordinary finance.",packet-index,ready
ARLRH-012,cash_quality,Cash-quality bridges,/cluster/annual-report-linked-reading-hub-pass-1.md#cash-quality-bridges,Links theme-level bridge pages showing current evidence and missing cash-quality proof.,proof-bridge-index,ready
ARLRH-013,cash_proof,Named cash proof lane,/cluster/capital-flow-named-cash-proof-execution-status-matrix-pass-1.md,Status of exact source-to-use-to-return proof chases.,proof-lane,open
ARLRH-014,ledger,Evidence ledger,/cluster/capital-flow-evidence-ledger-index.md,Master artifact and row-count ledger.,ledger,ready
ARLRH-015,insights,Evidence-backed insights register,/cluster/capital-flow-evidence-backed-insights-pass-1.md,Readable register of evidence-backed claims and boundaries.,register,ready
ARLRH-016,prior_html_site,Prior HTML trend crosswalk,/cluster/annual-report-html-trend-crosswalk-pass-1.md,Connects the older 684-page static HTML annual-report trend site to the newer 15-theme markdown framework.,crosswalk,ready
ARLRH-017,prior_html_site,HTML integration workbench,/cluster/annual-report-html-integration-workbench-pass-1.md,Turns the prior HTML trend crosswalk into a concrete expansion queue for weaker and cash-quality-limited themes.,workbench,ready
ARLRH-018,expanded_theme_pages,Services and cultural consumption HTML-expanded theme page,/cluster/annual-report-theme-services-cultural-consumption-html-expanded-pass-1.md,First expanded theme page using the prior HTML dynamics to deepen a candidate-heavy theme.,expanded-theme-page,ready
ARLRH-019,expanded_theme_pages,Consumer goods and household identity HTML-expanded theme page,/cluster/annual-report-theme-consumer-goods-household-identity-html-expanded-pass-1.md,"Second expanded theme page using old HTML dynamics to deepen household routine, identity, pet, ritual, trust, and affordability subthemes.",expanded-theme-page,ready
ARLRH-020,expanded_theme_pages,Broad technology HTML-expanded theme page,/cluster/annual-report-theme-broad-technology-html-expanded-pass-1.md,"Third expanded theme page using old HTML dynamics to separate AI infrastructure, AI workflow authority, and trust/control layers.",expanded-theme-page,ready
ARLRH-021,expanded_theme_pages,Real estate and scarce locations HTML-expanded theme page,/cluster/annual-report-theme-real-estate-html-expanded-pass-1.md,"Fourth expanded theme page using old HTML dynamics to deepen location scarcity, tenant cash, lease, power-route, healthcare, and private-capital subthemes.",expanded-theme-page,ready
ARLRH-022,expanded_theme_pages,Healthcare tools HTML-expanded theme page,/cluster/annual-report-theme-healthcare-tools-html-expanded-pass-1.md,"Fifth expanded theme page using old HTML dynamics to deepen diagnostics, devices, hospital capacity, drug distribution, trust, reimbursement, and working-capital subthemes.",expanded-theme-page,ready
ARLRH-023,expanded_theme_pages,Industrial uptime HTML-expanded theme page,/cluster/annual-report-theme-industrial-uptime-html-expanded-pass-1.md,"Sixth expanded theme page using old HTML dynamics to deepen downtime, labor, vertical integration, commodity volatility, backlog, working capital, and availability subthemes.",expanded-theme-page,ready
ARLRH-024,expanded_theme_pages,Basic materials HTML-expanded theme page,/cluster/annual-report-theme-basic-materials-html-expanded-pass-1.md,"Seventh expanded theme page using old HTML dynamics to deepen materials scarcity, contract pass-through, cost curves, local reserves, processing capacity, AI infrastructure inputs, and cash-conversion boundaries.",expanded-theme-page,ready
ARLRH-025,expanded_theme_pages,Ordinary finance HTML-expanded theme page,/cluster/annual-report-theme-ordinary-finance-html-expanded-pass-1.md,"Eighth expanded theme page using old HTML dynamics to deepen credit, deposits, insurance, payments, spreads, membership finance, affordability pressure, private capital, losses, capital, and liquidity subthemes.",expanded-theme-page,ready
ARLRH-026,expanded_theme_pages,Capital platforms HTML-expanded theme page,/cluster/annual-report-theme-capital-platforms-html-expanded-pass-1.md,"Ninth expanded theme page using old HTML dynamics to deepen source capital, wrappers, insurance float, private credit, origination, fees, legal entities, liquidity, and named-cash proof ladders.",expanded-theme-page,ready
