"theme_id","theme","first_principles_claim","main_subthemes","money_path","safe_claim","proof_boundary","article_use","source_basis","status"
"AR15FP-001","Power scarcity","Electricity is a chain of generation, transmission, distribution, interconnection, construction, financing, regulation, billing, and recovery; growth breaks when any link is missing.","load versus deliverable power; data-center site constraint; regulatory recovery; contractor and equipment chokepoints; customer billing","customer demand -> utility/developer -> capex -> contractor/equipment spend -> recovery or contract revenue -> customer bills -> cash flow","Power scarcity is a growth gate because electricity must be delivered and recovered before demand becomes usable capacity.","Load forecasts, capex plans, tariffs, and backlog do not prove receipts or returns.","Standalone essay seed","annual-report-integrated-final-publication-draft-pass-1.md; annual-report-final-integrated-theme-map-pass-1.md","ready"
"AR15FP-002","Capital platforms","Money changes meaning as it moves through products, wrappers, instruments, borrowers, assets, and legal entities.","AUM boundary; insurance liabilities as credit demand; private-credit routing; legal-entity proof; origination and servicing control","saver/policyholder/institution -> platform -> fund/insurer -> instrument -> borrower/project/asset -> income/proceeds/repayment -> waterfall -> return","Capital platforms increasingly control routes through which money reaches private assets, credit, infrastructure, real estate, insurance portfolios, and borrowers.","AUM, inflows, deployment, investment income, and fair value do not prove exact deployment or return.","Standalone essay seed and cash-proof bridge","capital-flow-big-picture-meaty-end-to-end-goal-pass-1.md; capital-flow-detailed-theme-and-subtheme-synthesis-pass-1.md","ready"
"AR15FP-003","Industrial uptime","Physical work is fragile because many inputs must be available at the same time; companies get paid when they reduce stoppages.","equipment rental; MRO distribution; embedded inventory; electrical/HVAC supply; project execution","customer work need -> distributor/rental/contractor -> inventory/fleet/labor -> uptime -> revenue -> working-capital conversion -> cash flow","Industrial uptime is valuable because downtime is expensive and physical work has many failure points.","Revenue, fleet, branch count, backlog, and margin do not prove fleet return, retainage, collateral quality, or project profit.","Standalone essay seed","annual-report-integrated-final-publication-draft-pass-1.md; annual-report-all-sector-theme-expansion-pass-1.md","ready"
"AR15FP-004","Healthcare access","Medical need becomes economic value only after it passes through access, authorization, staffing, site capacity, pharmacy routing, billing, reimbursement, and trust.","payers/PBMs; care delivery; home and alternate-site care; recurring care; trust","patient/employer/government need -> payer/provider/pharmacy/service -> authorized care -> delivered service -> claim/reimbursement -> cash collection","Healthcare companies are paid to organize access when patients, employers, governments, providers, and families cannot coordinate care alone.","Volume, admissions, scripts, and revenue do not prove quality, fairness, trust, reimbursement quality, or cash realization.","Standalone essay seed","annual-report-integrated-final-publication-draft-pass-1.md; annual-report-undercovered-industry-theme-synthesis-pass-1.md","ready"
"AR15FP-005","Built-environment upkeep","Shelter and infrastructure are maintenance systems that keep demanding labor, materials, financing, distribution, and repair.","repair over moving; Pro channels; waterworks and civic systems; coatings/lumber/HVAC; project cash conversion","repair need -> retailer/distributor/contractor/supplier -> material and labor delivery -> completed upkeep -> payment -> cash conversion","The built environment creates recurring upkeep demand because physical assets wear out even when new construction slows.","Sales and project demand do not prove return; different channels have different cash economics.","Standalone essay seed","annual-report-integrated-final-publication-draft-pass-1.md; annual-report-final-integrated-theme-map-pass-1.md","ready"
"AR15FP-006","Digital control","The more activity moves online, the more valuable it becomes to control permission, identity, security, routing, data movement, and participation.","security as permission; network routing; identity; workflow; digital worlds","digital activity -> control platform -> security/routing/workflow/identity service -> revenue -> retention/expansion -> operating cash","Digital-control companies sell the ability to make online activity safer, faster, more governed, and more usable.","ARR, RPO, traffic, bookings, users, AI exposure, and large contracts do not prove durable cash conversion.","Standalone essay seed","annual-report-integrated-final-publication-draft-pass-1.md; annual-report-all-sector-theme-expansion-pass-1.md","ready"
"AR15FP-007","Value retail","When money feels tight, people do not only seek low price; they seek lower regret.","membership value; one-stop retail; dollar access; off-price status; closeout discovery","budget pressure -> retail format -> basket/trip behavior -> gross margin/inventory turn -> vendor/ad/membership economics -> cash conversion","Value retail matters because households seek formats that reduce regret about price, time, quality, status, and waste.","Traffic, comps, ticket, membership, stores, ads, and margin do not prove durable loyalty or cash quality.","Standalone essay seed","annual-report-integrated-final-publication-draft-pass-1.md; annual-report-final-integrated-theme-map-pass-1.md","ready"
"AR15FP-008","Services and cultural consumption","People buy services to change the state of their day: less effort, more time, more status, more relief, more connection, more novelty, or less friction.","restaurants; travel; lodging; entertainment/casinos; advertising and attention","time/emotion/social need -> service provider/platform/location -> experience/convenience -> payment/ad spend -> occupancy/traffic/take-rate -> cash flow","Services reveal how people buy time, relief, experience, status, convenience, and attention under constraint.","Service revenue does not prove consumer health and can coexist with debt stress, promotion pressure, wage inflation, and margin strain.","Standalone essay seed","annual-report-integrated-final-publication-draft-pass-1.md; annual-report-undercovered-industry-theme-synthesis-pass-1.md","ready"
"AR15FP-009","Consumer goods and household identity","A household is not only a budget; it is a set of routines and identities that people defend even when they cut elsewhere.","beauty/control; food habits; cleaning/order; apparel/status; packaging infrastructure","routine/identity need -> brand/category choice -> channel purchase -> volume/price/mix -> margin -> advertising/distribution -> cash conversion","Consumer goods matter because households cut, switch, delay, and trade down while defending manageable routines.","Sales do not prove brand durability under price, income, channel, substitute, quality, and promotion pressure.","Standalone essay seed","annual-report-integrated-final-publication-draft-pass-1.md; annual-report-undercovered-industry-theme-synthesis-pass-1.md","ready"
"AR15FP-010","Basic materials and input scarcity","Every clean growth story eventually meets a physical denominator: inputs must be mined, processed, permitted, moved, financed, and delivered.","grid/data-center inputs; housing/repair inputs; food productivity; manufacturing/infrastructure; cost curves","end-market buildout -> input demand -> producer/distributor capacity -> material sale -> working capital/transport -> margin -> cash flow","Basic materials are the hidden denominator beneath power, housing, food, infrastructure, manufacturing, and energy buildout.","End-market demand does not prove pricing power or return; cost curve and capital intensity matter.","Standalone essay seed","annual-report-integrated-final-publication-draft-pass-1.md; annual-report-all-sector-theme-expansion-pass-1.md","ready"
"AR15FP-011","Real estate and scarce locations","A place becomes valuable when a needed activity cannot easily move and the tenant or user can keep paying through the debt cycle.","towers; data centers; logistics; healthcare real estate; hotels and retail","tenant/user location need -> property owner/developer -> lease/occupancy -> rent/fee collection -> operating cost/capex -> debt service -> cash return","Modern real estate value comes from scarce usable locations, not generic square footage.","Ownership does not prove pricing power; occupancy, renewal, tenant quality, debt maturity, capex, and collections matter.","Standalone essay seed","annual-report-integrated-final-publication-draft-pass-1.md; annual-report-undercovered-industry-theme-synthesis-pass-1.md","ready"
"AR15FP-012","Broad technology beyond internet software","Digital life feels weightless only because a heavy stack of physical and logical infrastructure keeps it working.","semiconductors; networking/telecom; storage; enterprise software; hardware/equipment","workload/digital need -> hardware/software/network stack -> product/service -> revenue -> infrastructure/support cost -> cash conversion","The broader technology story is the full stack that lets digital activity compute, move, store, secure, and organize itself.","AI exposure, orders, backlog, ARR, RPO, traffic, and users do not prove durable value without unit economics and cash conversion.","Standalone essay seed","annual-report-integrated-final-publication-draft-pass-1.md; annual-report-undercovered-industry-theme-synthesis-pass-1.md","ready"
"AR15FP-013","Healthcare tools and medical infrastructure","Healthcare access is physical and administrative infrastructure before it is a medical outcome.","devices; diagnostics/labs; drug distribution/pharmacies; hospitals; medical suppliers","medical need -> device/lab/distributor/provider/supplier -> product/service -> payment -> reimbursement/working capital -> cash realization","Care cannot be delivered without devices, diagnostics, supplies, distribution, sites, labor, compliance, and billing systems.","Procedures, tests, admissions, and product sales do not prove outcomes, access, fair pricing, or cash quality.","Standalone essay seed","annual-report-integrated-final-publication-draft-pass-1.md; annual-report-undercovered-industry-theme-synthesis-pass-1.md","ready"
"AR15FP-014","Energy affordability and supply route","Energy affects everything because molecules and electrons must move through physical, contractual, financial, and regulatory systems before use.","upstream depletion; refining; midstream routing; LNG/NGL export; energy cost pass-through","energy demand -> producer/refiner/midstream/service -> production/processing/transport/storage -> sale/contract -> margin -> debt service/cash return","Energy affordability is a whole-economy issue because fuel, power, transport, heating, food, manufacturing, and digital infrastructure depend on usable energy routes.","Volume, commodity price, tariffs, and refining margins do not prove durable cash return.","Standalone essay seed","annual-report-integrated-final-publication-draft-pass-1.md; annual-report-all-sector-theme-expansion-pass-1.md","ready"
"AR15FP-015","Ordinary finance","Financial pressure becomes real when it changes the promises households and businesses can make, keep, refinance, insure, or delay.","card balances; deposits/rates; insurance; payments; credit availability","financial need -> bank/card/insurer/payment/broker -> loan/deposit/premium/fee/transaction -> spread/fee/claims/loss -> cash/capital outcome","Ordinary finance shows how pressure reaches people and businesses through credit, deposits, premiums, payments, losses, rates, and refinancing.","Scale in finance does not prove customer health, credit quality, productive money use, or durable spread.","Standalone essay seed","annual-report-integrated-final-publication-draft-pass-1.md; annual-report-undercovered-industry-theme-synthesis-pass-1.md","ready"
