extraction_id,company,ticker,period,field,value,unit,source_anchor,what_it_proves,boundary,claim_status
ARSHWBE-001,The Sherwin-Williams Company,SHW,FY2025,net sales growth and scale,2.1% growth to 23.6B USD,percent and USD,company-packet.md; company-analysis.md,Sherwin-Williams remained a large coatings and contractor-access company while demand was soft.,This does not prove broad housing recovery or volume-led growth.,source-visible-with-boundary
ARSHWBE-002,The Sherwin-Williams Company,SHW,FY2025,gross profit and gross margin,11.5B USD gross profit; 48.8% gross margin,USD and percent,company-packet.md,The company protected margin in a soft backdrop.,This does not prove price increases will keep offsetting raw-material inflation.,source-visible-with-boundary
ARSHWBE-003,The Sherwin-Williams Company,SHW,FY2025,diluted EPS and adjusted diluted EPS,10.26 USD GAAP diluted EPS; 11.43 USD adjusted diluted EPS,USD per share,company-packet.md; company-profile.md,The annual package shows profitable operations with adjusted EPS growth despite GAAP EPS pressure.,"EPS does not prove cash conversion, receivable collection, or segment-level return.",source-visible-with-boundary
ARSHWBE-004,The Sherwin-Williams Company,SHW,FY2025,Paint Stores Group sales,3.2% growth to 13.6B USD,percent and USD,company-packet.md; company-analysis.md,Controlled professional distribution is the center of the built-environment read.,This does not prove contractor-level profitability or customer retention by cohort.,source-visible-with-boundary
ARSHWBE-005,The Sherwin-Williams Company,SHW,FY2025,Paint Stores Group store count,"4,853 stores",stores,company-packet.md; company-analysis.md; company-profile.md,"Branch density gives the company direct access to contractors, property maintenance, commercial accounts, and repaint activity.","Store count does not prove branch-level profitability, utilization, or working-capital quality.",source-visible-with-boundary
ARSHWBE-006,The Sherwin-Williams Company,SHW,FY2025,net operating cash,3.5B USD,USD,company-packet.md,"The annual packet includes operating-cash evidence, not only revenue and EPS.","This does not tie cash to specific channels, segments, customers, receivables, inventory, or acquisitions.",source-visible-with-boundary
ARSHWBE-007,The Sherwin-Williams Company,SHW,FY2025,capital returned to shareholders,approximately 2.4B USD,USD,company-packet.md,The company generated enough reported cash capacity to return capital while investing in the business.,Shareholder return does not prove organic cash quality or future reinvestment return.,source-visible-with-boundary
ARSHWBE-008,The Sherwin-Williams Company,SHW,Q4 2025 / FY2025,same-store Paint Stores sales,1.7% FY2025 same-store growth,percent,company-packet.md; company-profile.md,Existing-store professional channel demand was positive but modest.,Same-store growth does not separate price from volume or prove strong customer traffic.,source-visible-with-boundary
ARSHWBE-009,The Sherwin-Williams Company,SHW,Q1 2026,quarter sales and same-store Paint Stores sales,5.67B USD sales; 6.8% sales growth; 2.4% same-store Paint Stores growth,USD and percent,company-packet.md; company-profile.md,The first local 2026 quarter shows stronger sales growth and continued Paint Stores growth.,The quarter still included broad demand softness and does not prove a full cycle turn.,source-visible-with-boundary
ARSHWBE-010,The Sherwin-Williams Company,SHW,Q1 2026,Q1 profitability,534.7M USD net income; 998.2M USD EBITDA,USD,company-packet.md,Sherwin-Williams remained profitable while demand was uneven.,Profitability is not segment cash flow or receivable-quality proof.,source-visible-with-boundary
ARSHWBE-011,The Sherwin-Williams Company,SHW,Q2 2026,"quarter sales, same-store growth, net income, and EBITDA",6.79B USD sales; 7.5% sales growth; 4.2% same-store Paint Stores growth; 843.6M USD net income; 1.43B USD EBITDA,USD and percent,company-packet.md; company-profile.md,"The most recent local quarter shows acceleration in sales, professional-channel same-store growth, earnings, and EBITDA.","This does not prove demand normalization, volume quality, or contractor cash collection.",source-visible-with-boundary
ARSHWBE-012,The Sherwin-Williams Company,SHW,Q2 2026 / effective 2026-09-01,professional demand and pricing action,all pro segments grew; Protective & Marine mid-teens growth; commercial high-single-digit growth; residential repaint and property maintenance mid-single-digit growth; 8% price increase announced,operating descriptors and percent,company-packet.md; company-analysis.md,"The built-environment signal is maintenance, repaint, commercial work, protective coatings, contractor workflow, and pricing discipline.",This does not prove the price increase will stick or that price/mix equals healthy volume.,source-visible-with-boundary
