match_id,part3_parser_row_id,part3_page,cusip_or_identifier,part3_name,disposal_consideration,part3_investment_income,part1_match_count,part1_pages,part1_book_value,match_status,boundary
CFAASBAMATCH-0001,CFAASBACP3-0001,5830,00455*-AA-8,Ace Credit Fund LP ACE J59738 DE......... WIlmington,"50,908,577",,0,,,part3-cusip-no-part1-match,"Same-CUSIP statutory continuity clue; does not prove cash settlement, borrower receipt, or Apollo distribution."
CFAASBAMATCH-0002,CFAASBACP3-0002,5830,00455*-AB-6,Ace Credit Fund LP ACE J59738 DE......... WIlmington,"37,629,644",,0,,,part3-cusip-no-part1-match,"Same-CUSIP statutory continuity clue; does not prove cash settlement, borrower receipt, or Apollo distribution."
CFAASBAMATCH-0003,CFAASBACP3-0003,5830,,WIlmington DE......... AP Aristotle Holdings LLC WIlmington,"6,500,000",,0,,,part3-blank-cusip,"Same-CUSIP statutory continuity clue; does not prove cash settlement, borrower receipt, or Apollo distribution."
CFAASBAMATCH-0004,CFAASBACP3-0004,5830,90117P-AQ-8,Avenue of the Americas Tr AOTA NY......... E New York,"2,999,220","133,276",1,5813,"77,949,983",same-cusip-part1-and-part3-visible,"Same-CUSIP statutory continuity clue; does not prove cash settlement, borrower receipt, or Apollo distribution."
CFAASBAMATCH-0005,CFAASBACP3-0005,5830,61764B-AU-7,Morgan Stanley Capital I Trust MSC 2014-150E NY......... G New York,"34,219,292","133,276",1,5813,"22,425,000",same-cusip-part1-and-part3-visible,"Same-CUSIP statutory continuity clue; does not prove cash settlement, borrower receipt, or Apollo distribution."
CFAASBAMATCH-0006,CFAASBACP3-0006,5830,G2964#-AB-5,AP Grange Holdings LLC AP Grange Tranche B .........CYM........,"313,313","24,078",1,5813,"411,998,739",same-cusip-part1-and-part3-visible,"Same-CUSIP statutory continuity clue; does not prove cash settlement, borrower receipt, or Apollo distribution."
CFAASBAMATCH-0007,CFAASBACP3-0007,5830,12592T-AQ-8,IL......... COMM 2015-3BP Mortgage Trust Chicago,"60,861,899",,0,,,part3-cusip-no-part1-match,"Same-CUSIP statutory continuity clue; does not prove cash settlement, borrower receipt, or Apollo distribution."
CFAASBAMATCH-0008,CFAASBACP3-0008,5830,,.........CYM........ CD&R Friends & Family Feeder Fund X L.P.,"661,600","158,047",0,,,part3-blank-cusip,"Same-CUSIP statutory continuity clue; does not prove cash settlement, borrower receipt, or Apollo distribution."
CFAASBAMATCH-0009,CFAASBACP3-0009,5830,,"CD&R Friends & Family Feeder Fund X L.P. DE......... L Catteron VIII Offshore, L.P. Wilmington","103,987","(105,170)",0,,,part3-blank-cusip,"Same-CUSIP statutory continuity clue; does not prove cash settlement, borrower receipt, or Apollo distribution."
CFAASBAMATCH-0010,CFAASBACP3-0010,5830,,NB Secondary Opportunities Offshore Fund IV DE......... LP Wilmington,"480,538","(92,445)",0,,,part3-blank-cusip,"Same-CUSIP statutory continuity clue; does not prove cash settlement, borrower receipt, or Apollo distribution."
CFAASBAMATCH-0011,CFAASBACP3-0011,5830,,"LP Wilmington DE......... Riverside Micro-Cap Fund IV, L.P. Wilmington","2,805,196","(5,254)",0,,,part3-blank-cusip,"Same-CUSIP statutory continuity clue; does not prove cash settlement, borrower receipt, or Apollo distribution."
CFAASBAMATCH-0012,CFAASBACP3-0012,5830,,Stepstone Secondary Opportunities Fund III DE......... Offshore SCSp Wilmington,"469,444","823,617",0,,,part3-blank-cusip,"Same-CUSIP statutory continuity clue; does not prove cash settlement, borrower receipt, or Apollo distribution."
CFAASBAMATCH-0013,CFAASBACP3-0013,5830,,Warwick European Opportunities Fund III .........CYM........ (USD) Limited,"2,011,338",,0,,,part3-blank-cusip,"Same-CUSIP statutory continuity clue; does not prove cash settlement, borrower receipt, or Apollo distribution."
CFAASBAMATCH-0014,CFAASBACP3-0014,5830,,".........CYM........ A-A Funding Holdco Offshore II, LLC","1,775,520",,0,,,part3-blank-cusip,"Same-CUSIP statutory continuity clue; does not prove cash settlement, borrower receipt, or Apollo distribution."
CFAASBAMATCH-0015,CFAASBACP3-0015,5830,,"A-A Funding Holdco Offshore II, LLC DE......... A-A SPN-20 (AIFX- IAGEMD1PR6), L.P. Wilmington","1,541,807","431,012",0,,,part3-blank-cusip,"Same-CUSIP statutory continuity clue; does not prove cash settlement, borrower receipt, or Apollo distribution."
CFAASBAMATCH-0016,CFAASBACP3-0016,5830,,"A-A SPN-20 (AIFX- IAGEMD1PR6), L.P. Wilmington .........CYM........ A-A SPN-7 (RRH IAFAMD), L.P.","19,596,928",,0,,,part3-blank-cusip,"Same-CUSIP statutory continuity clue; does not prove cash settlement, borrower receipt, or Apollo distribution."
CFAASBAMATCH-0017,CFAASBACP3-0017,5830,,"A-A SPN-7 (RRH IAFAMD), L.P. .........CYM........ AltsCo Core (A-A Offshore AAA)",,,0,,,part3-blank-cusip,"Same-CUSIP statutory continuity clue; does not prove cash settlement, borrower receipt, or Apollo distribution."
CFAASBAMATCH-0018,CFAASBACP3-0018,5830,,AltsCo Core (A-A Offshore AAA) .........CYM........ AltsCo Core (A-A Offshore AAA),,"17,685,881",0,,,part3-blank-cusip,"Same-CUSIP statutory continuity clue; does not prove cash settlement, borrower receipt, or Apollo distribution."
CFAASBAMATCH-0019,CFAASBACP3-0019,5830,,"AltsCo Core (A-A Offshore AAA) DE......... AP Highlands Co-Invest, L.P. Wilmington","3,204,735",,0,,,part3-blank-cusip,"Same-CUSIP statutory continuity clue; does not prove cash settlement, borrower receipt, or Apollo distribution."
CFAASBAMATCH-0020,CFAASBACP3-0020,5830,03765#-AA-3,"DE......... AP Highlands Co-Invest, L.P. Wilmington DE......... Apollo Total Return Fund Inv Wilmington","185,093,779",,0,,,part3-cusip-no-part1-match,"Same-CUSIP statutory continuity clue; does not prove cash settlement, borrower receipt, or Apollo distribution."
CFAASBAMATCH-0021,CFAASBACP3-0021,5830,,"Apollo Total Return Fund Inv Wilmington DE......... Motive Capital Fund II-B, LP Wilmington","1,118,064","1,254,975",0,,,part3-blank-cusip,"Same-CUSIP statutory continuity clue; does not prove cash settlement, borrower receipt, or Apollo distribution."
CFAASBAMATCH-0022,CFAASBACP3-0022,5830,,"CA......... Shattuck Owner, LLC Berkeley","4,331,000",,0,,,part3-blank-cusip,"Same-CUSIP statutory continuity clue; does not prove cash settlement, borrower receipt, or Apollo distribution."
CFAASBAMATCH-0023,CFAASBACP3-0023,5830,,"Shattuck Owner, LLC Berkeley IA......... AAIA RML, LLC. West Des Moines","18,086,645",,0,,,part3-blank-cusip,"Same-CUSIP statutory continuity clue; does not prove cash settlement, borrower receipt, or Apollo distribution."
CFAASBAMATCH-0024,CFAASBACP3-0024,5830,,"AAIA RML, LLC. West Des Moines .........CYM........ NNN Investor 1,L.P.","34,305","567,794",0,,,part3-blank-cusip,"Same-CUSIP statutory continuity clue; does not prove cash settlement, borrower receipt, or Apollo distribution."
CFAASBAMATCH-0025,CFAASBACP3-0025,5830,,"NNN Investor 1,L.P. DE......... NNN Investor (Auto), L.P. Wilmington","39,520","112,773",0,,,part3-blank-cusip,"Same-CUSIP statutory continuity clue; does not prove cash settlement, borrower receipt, or Apollo distribution."
CFAASBAMATCH-0026,CFAASBACP3-0026,5830,,"NNN Investor (Auto), L.P. Wilmington DE......... NNN Opportunities Fund, L.P. Wilmington","1,273,921","(629,115)",0,,,part3-blank-cusip,"Same-CUSIP statutory continuity clue; does not prove cash settlement, borrower receipt, or Apollo distribution."
CFAASBAMATCH-0027,CFAASBACP3-0027,5830,,.........LUX........ Italian AIF,"26,191,653",,0,,,part3-blank-cusip,"Same-CUSIP statutory continuity clue; does not prove cash settlement, borrower receipt, or Apollo distribution."
CFAASBAMATCH-0028,CFAASBACP3-0028,5830,,".........CYM........ Apollo Credit Secondaries Fund I (A), L.P.","1,404,646","33,985",0,,,part3-blank-cusip,"Same-CUSIP statutory continuity clue; does not prove cash settlement, borrower receipt, or Apollo distribution."
CFAASBAMATCH-0029,CFAASBACP3-0029,5831,,"Apollo European Principal Finance Fund III .........CYM........ (Dollar B), L.P.","1,303,467","316,627",0,,,part3-blank-cusip,"Same-CUSIP statutory continuity clue; does not prove cash settlement, borrower receipt, or Apollo distribution."
CFAASBAMATCH-0030,CFAASBACP3-0030,5831,16649@-AA-9,Chesterfield Reinsurance Co Subordinated MO......... Chesterfield,"7,500,000",,1,5817,"127,500,000",same-cusip-part1-and-part3-visible,"Same-CUSIP statutory continuity clue; does not prove cash settlement, borrower receipt, or Apollo distribution."
CFAASBAMATCH-0031,CFAASBACP3-0031,5831,256141-AB-8,Doctors Co An Interinsurance E Subordinated CA......... Napa,"20,000,000",,1,5817,"62,222,199",same-cusip-part1-and-part3-visible,"Same-CUSIP statutory continuity clue; does not prove cash settlement, borrower receipt, or Apollo distribution."
