parser_row_id,schedule,population,page,source_y,cusip_or_identifier,name_or_description_near_row,disposal_nature_source_column,acquisition_date_source_column,disposal_date_source_column,book_adjusted_carrying_value_prior_year,unrealized_valuation_change,current_year_depreciation_or_amortization,current_year_other_than_temporary_impairment,capitalized_deferred_interest_and_other,total_change_in_book_adjusted_carrying_value,total_foreign_exchange_change,book_adjusted_carrying_value_on_disposal,disposal_consideration,foreign_exchange_gain_loss_on_disposal,realized_gain_loss_on_disposal,total_gain_loss_on_disposal,investment_income,current_status,boundary
CFAASBACP3-0001,Schedule BA Part 3,current-year-disposals-transfers-repayments,5830,173.9,00455*-AA-8,Ace Credit Fund LP ACE J59738 DE......... WIlmington,Sale,01/01/2025,03/27/2025,,,,,,,,"50,955,599","50,908,577",,"(47,022)","(47,022)",,coordinate-column-parser-row-visible,Schedule BA Part 3 disposal/transfer/repayment row; consideration is not independently proven bank receipt
CFAASBACP3-0002,Schedule BA Part 3,current-year-disposals-transfers-repayments,5830,187.6,00455*-AB-6,Ace Credit Fund LP ACE J59738 DE......... WIlmington,Sale,01/01/2025,03/27/2025,,,"(51,424)",,,"(51,424)",,"37,389,504","37,629,644",,"410,506","410,506",,coordinate-column-parser-row-visible,Schedule BA Part 3 disposal/transfer/repayment row; consideration is not independently proven bank receipt
CFAASBACP3-0003,Schedule BA Part 3,current-year-disposals-transfers-repayments,5830,195.5,,WIlmington DE......... AP Aristotle Holdings LLC WIlmington,Tax Free Exchange,01/01/2025,02/28/2025,,,,,,,,"6,500,000","6,500,000",,,,,coordinate-column-parser-row-visible,Schedule BA Part 3 disposal/transfer/repayment row; consideration is not independently proven bank receipt
CFAASBACP3-0004,Schedule BA Part 3,current-year-disposals-transfers-repayments,5830,226.4,90117P-AQ-8,Avenue of the Americas Tr AOTA NY......... E New York,,01/01/2025,07/14/2025,,"(274,378)","4,973",,,"(269,405)",,"2,999,220","2,999,220",,,,"133,276",coordinate-column-parser-row-visible,Schedule BA Part 3 disposal/transfer/repayment row; consideration is not independently proven bank receipt
CFAASBACP3-0005,Schedule BA Part 3,current-year-disposals-transfers-repayments,5830,240.0,61764B-AU-7,Morgan Stanley Capital I Trust MSC 2014-150E NY......... G New York,,01/01/2025,11/26/2025,,,"31,143",,,"31,143",,"34,219,292","34,219,292",,,,"133,276",coordinate-column-parser-row-visible,Schedule BA Part 3 disposal/transfer/repayment row; consideration is not independently proven bank receipt
CFAASBACP3-0006,Schedule BA Part 3,current-year-disposals-transfers-repayments,5830,270.8,G2964#-AB-5,AP Grange Holdings LLC AP Grange Tranche B .........CYM........,,01/01/2025,12/31/2025,,"(13,504)","32,616",,,"19,112",,"313,313","313,313",,,,"24,078",coordinate-column-parser-row-visible,Schedule BA Part 3 disposal/transfer/repayment row; consideration is not independently proven bank receipt
CFAASBACP3-0007,Schedule BA Part 3,current-year-disposals-transfers-repayments,5830,295.8,12592T-AQ-8,IL......... COMM 2015-3BP Mortgage Trust Chicago,,01/01/2025,06/30/2025,,,,,,,,"60,861,899","60,861,899",,,,,coordinate-column-parser-row-visible,Schedule BA Part 3 disposal/transfer/repayment row; consideration is not independently proven bank receipt
CFAASBACP3-0008,Schedule BA Part 3,current-year-disposals-transfers-repayments,5830,320.8,,.........CYM........ CD&R Friends & Family Feeder Fund X L.P.,Distribution,06/27/2023,12/23/2025,"701,563","(39,963)",,,,"(39,963)",,"661,600","661,600",,,,"158,047",coordinate-column-parser-row-visible,Schedule BA Part 3 disposal/transfer/repayment row; consideration is not independently proven bank receipt
CFAASBACP3-0009,Schedule BA Part 3,current-year-disposals-transfers-repayments,5830,328.8,,"CD&R Friends & Family Feeder Fund X L.P. DE......... L Catteron VIII Offshore, L.P. Wilmington",Distribution,12/27/2022,11/13/2025,"94,472","9,515",,,,"9,515",,"103,987","103,987",,,,"(105,170)",coordinate-column-parser-row-visible,Schedule BA Part 3 disposal/transfer/repayment row; consideration is not independently proven bank receipt
CFAASBACP3-0010,Schedule BA Part 3,current-year-disposals-transfers-repayments,5830,342.5,,NB Secondary Opportunities Offshore Fund IV DE......... LP Wilmington,Distribution,12/27/2022,12/23/2025,"451,829","28,709",,,,"28,709",,"480,538","480,538",,,,"(92,445)",coordinate-column-parser-row-visible,Schedule BA Part 3 disposal/transfer/repayment row; consideration is not independently proven bank receipt
CFAASBACP3-0011,Schedule BA Part 3,current-year-disposals-transfers-repayments,5830,350.6,,"LP Wilmington DE......... Riverside Micro-Cap Fund IV, L.P. Wilmington",Distribution,12/27/2022,12/22/2025,"2,785,445","19,751",,,,"19,751",,"2,805,196","2,805,196",,,,"(5,254)",coordinate-column-parser-row-visible,Schedule BA Part 3 disposal/transfer/repayment row; consideration is not independently proven bank receipt
CFAASBACP3-0012,Schedule BA Part 3,current-year-disposals-transfers-repayments,5830,364.2,,Stepstone Secondary Opportunities Fund III DE......... Offshore SCSp Wilmington,Distribution,06/27/2023,12/29/2025,"569,853","(100,409)",,,,"(100,409)",,"469,444","469,444",,,,"823,617",coordinate-column-parser-row-visible,Schedule BA Part 3 disposal/transfer/repayment row; consideration is not independently proven bank receipt
CFAASBACP3-0013,Schedule BA Part 3,current-year-disposals-transfers-repayments,5830,377.9,,Warwick European Opportunities Fund III .........CYM........ (USD) Limited,Distribution,12/27/2022,11/12/2025,"1,777,050","234,288",,,,"234,288",,"2,011,338","2,011,338",,,,,coordinate-column-parser-row-visible,Schedule BA Part 3 disposal/transfer/repayment row; consideration is not independently proven bank receipt
