extraction_id,company,ticker,period,field,value,unit,source_anchor,what_it_proves,boundary,claim_status
ARAKDC-001,"Akamai Technologies, Inc.",AKAM,FY2025,revenue,4.208,USD billions,analysis/company-first-principles/technology/internet-software-services/akamai-technologies-inc/company-analysis.md; extracted/technology/internet-information-providers/akamai-technologies-inc/company-packet.md,Akamai remained a multi-billion-dollar internet infrastructure company.,Revenue scale does not prove successful transition or durable growth.,source-visible-with-boundary
ARAKDC-002,"Akamai Technologies, Inc.",AKAM,FY2025,GAAP operating income and net income,566.9 / 452.0,USD millions,extracted/technology/internet-information-providers/akamai-technologies-inc/company-packet.md,Akamai was profitable on a GAAP basis while funding the transition.,GAAP profit does not prove CIS or security segment return quality.,source-visible-with-boundary
ARAKDC-003,"Akamai Technologies, Inc.",AKAM,FY2025,security revenue,2.243,USD billions,analysis/company-first-principles/technology/internet-software-services/akamai-technologies-inc/company-analysis.md; extracted/technology/internet-information-providers/akamai-technologies-inc/company-packet.md,Security had become the largest strategic revenue pool.,"Security revenue does not prove product-level margin, retention, or pricing power.",source-visible-with-boundary
ARAKDC-004,"Akamai Technologies, Inc.",AKAM,FY2025,delivery revenue,1.257,USD billions,analysis/company-first-principles/technology/internet-software-services/akamai-technologies-inc/company-analysis.md; extracted/technology/internet-information-providers/akamai-technologies-inc/company-packet.md,The legacy delivery base was still large enough to shape the company.,Delivery scale can be a drag if pricing or volume weakens.,source-visible-with-boundary
ARAKDC-005,"Akamai Technologies, Inc.",AKAM,FY2025,compute revenue and CIS revenue,708 / 314,USD millions,analysis/company-first-principles/technology/internet-software-services/akamai-technologies-inc/company-analysis.md; extracted/technology/internet-information-providers/akamai-technologies-inc/company-packet.md,Distributed cloud was visible but still smaller than security and delivery.,"CIS presence does not prove scale, margin, utilization, or realized return.",source-visible-with-boundary
ARAKDC-006,"Akamai Technologies, Inc.",AKAM,FY2025,cash from operations and approximate capex,1.519 / 507.8,USD billions / USD millions,analysis/company-first-principles/technology/internet-software-services/akamai-technologies-inc/company-analysis.md; extracted/technology/internet-information-providers/akamai-technologies-inc/company-packet.md,The transition had operating cash support and visible infrastructure investment.,Operating cash flow does not prove asset-light economics or clean free cash flow.,source-visible-with-boundary
ARAKDC-007,"Akamai Technologies, Inc.",AKAM,FY2025,Guardicore Segmentation and API Security revenue growth,293 / 43,USD millions / percent growth,extracted/technology/internet-information-providers/akamai-technologies-inc/company-packet.md,Segmentation and API security were growing faster than the legacy delivery story.,Growth in this product set does not prove total-company reinvention.,source-visible-with-boundary
ARAKDC-008,"Akamai Technologies, Inc.",AKAM,Q4 2025,revenue and cash from operations,1.095 / 367,USD billions / USD millions,extracted/technology/internet-information-providers/akamai-technologies-inc/company-packet.md,Year-end scale and cash generation were visible.,Quarter cash generation does not prove segment-level cash return.,source-visible-with-boundary
ARAKDC-009,"Akamai Technologies, Inc.",AKAM,Q1 2026,revenue and cash from operations,1.074 / 313,USD billions / USD millions,extracted/technology/internet-information-providers/akamai-technologies-inc/company-packet.md,Revenue and operating cash generation continued into 2026.,Continued cash generation does not prove delivery drag is solved.,source-visible-with-boundary
ARAKDC-010,"Akamai Technologies, Inc.",AKAM,Q1 2026,frontier model CIS commitment,1.8 over seven years,USD billions,analysis/company-first-principles/technology/internet-software-services/akamai-technologies-inc/company-analysis.md; extracted/technology/internet-information-providers/akamai-technologies-inc/company-packet.md,AI infrastructure demand reached Akamai through a long-duration capacity commitment.,"A commitment does not prove deployment timing, cash collection, utilization, or profitability.",source-visible-with-boundary
ARAKDC-011,"Akamai Technologies, Inc.",AKAM,Q2 2026,"revenue, cash from operations, and cash balance",1.100 / 326 / 4.616,USD billions / USD millions / USD billions,extracted/technology/internet-information-providers/akamai-technologies-inc/company-packet.md,"Latest local quarter showed continued revenue, cash generation, and large liquidity.",Liquidity does not prove deployment discipline or return on CIS investments.,source-visible-with-boundary
ARAKDC-012,"Akamai Technologies, Inc.",AKAM,Q2 2026,year-to-date multi-year CIS contracts,more than 2.8,USD billions,analysis/company-first-principles/technology/internet-software-services/akamai-technologies-inc/company-analysis.md; extracted/technology/internet-information-providers/akamai-technologies-inc/company-packet.md,Distributed-cloud demand had multi-year contracted evidence.,"Contract value does not prove cash receipts, realized revenue, margin, or return on invested capital.",source-visible-with-boundary
