row_id,vehicle_or_source,manager_or_platform,vehicle_channel,borrower_cases,current_source_answer,capital_stack_evidence,visible_funding_layers,borrower_specific_source_status,what_this_says,what_this_does_not_say,next_document_needed,confidence,status
CSV-001,Ares Capital Corporation,Ares,public BDC,Valcourt; Sunvair; AeriTek; MAI Capital,"ARCC is a public BDC balance-sheet holder, externally managed by an Ares subsidiary, with large equity and debt funding layers.","Q2 2026 ARCC source-of-capital pass: 30.498B USD total assets, 29.349B USD investments at fair value, 15.773B USD debt carrying value, 13.891B USD stockholders' equity, 15.924B USD senior securities principal outstanding, and 186% asset coverage.","Public BDC equity; unsecured notes; revolving credit facility; revolving funding facility; SMBC funding facility; BNP funding facility; CLO notes and secured loans; commercial paper program availability.","Vehicle funding stack visible; borrower-specific funding layer not allocated.","ARCC holder rows can be described as public-BDC balance-sheet exposure backed by ARCC equity and debt funding.","It does not prove Ares corporate balance-sheet funding, insurance-liability funding, noteholder identity, shareholder identity, or which ARCC funding layer funded Valcourt, Sunvair, AeriTek, or MAI.","ARCC shareholder/noteholder evidence, facility lender details, financing subsidiary collateral notes, and borrower facility documents.",high,source-stack-visible-borrower-allocation-missing
CSV-002,FS KKR Capital Corp.,KKR / FS,public BDC,Frontline Road Safety; Atwell,"FSK is a public BDC balance-sheet holder, externally managed by FS/KKR Advisor LLC, with common equity, preferred stock, debt facilities, unsecured notes, and CLO notes.","Q2 2026 FSK source-of-capital pass: 11.994B USD total assets, 6.471B USD debt, 5.118B USD stockholders' equity, 150M USD preferred stock, 4.650B USD unsecured notes, 1.098B USD revolving credit facility borrowings, and 743M USD CLO notes.","Public common equity; preferred stock; revolving credit facilities; unsecured notes; CLO notes.","Vehicle funding stack visible; borrower-specific funding layer not allocated.","FSK rows for Frontline and Atwell are public-BDC-funded private-credit exposure.","It does not prove KKR corporate funding, Global Atlantic insurance funding, bank displacement, or which funding layer maps to Frontline or Atwell.","FSK noteholder/shareholder evidence, facility lender details, CLO collateral notes, Frontline and Atwell facility documents.",high,source-stack-visible-borrower-allocation-missing
CSV-003,Blue Owl Capital Corporation,Blue Owl,public BDC,Precinmac,"OBDC is a Blue Owl-advised public BDC with public net assets, unsecured notes, CLO/SPV facilities, and a large revolving credit facility.","Q2 2026 OBDC source-of-capital pass: 15.354604B USD total assets, 7.903533B USD debt, 7.031759B USD net assets, 5.325B USD unsecured notes, 1.592073B USD CLO principal, 996.700M USD SPV asset-facility principal, and a 4.000B USD revolving credit facility.","Public BDC equity/net assets; unsecured notes; CLO debt; SPV asset facilities; revolving credit facility.","Vehicle funding stack visible; Precinmac-specific funding layer not allocated.","OBDC's Precinmac exposure can be tied to a public BDC capital stack with named leverage layers.","It does not prove Blue Owl corporate funding, insurer funding, noteholder identity, Credit SLF funding of Precinmac, or bank replacement.","OBDC shareholder/noteholder evidence, SPV/CLO collateral allocation, Precinmac facility documents, and Credit SLF borrower schedule if relevant.",high,source-stack-visible-borrower-allocation-missing
CSV-004,KKR FS Income Trust Select,KKR / FS,non-traded BDC / private credit fund,Frontline Road Safety; Atwell,"K-FITS is a non-traded KKR/FS BDC/private-credit vehicle with Class S shares, private-offering distribution mechanics, shareholder equity, and revolving credit facilities.","Q2 2026 K-FITS source-of-capital pass: 1.610755B USD total assets, 572.938M USD debt, 1.006058B USD shareholders' equity, Class S shares, continuous private offering, placement agents, participating brokers, financial advisors, 0.85% Class S servicing/distribution fee, and three revolving credit facilities.","Class S shareholder equity; continuous private-offering proceeds; reinvested distributions; revolving credit facilities; broker/advisor distribution channel.","Vehicle funding and wealth/intermediated distribution channel visible; borrower-specific funding layer not allocated.","K-FITS rows are stronger evidence of a non-traded/wealth-channel private-credit vehicle than a generic KKR label.","It does not identify final shareholders, prove insurer funding, or allocate a specific funding layer to Frontline or Atwell.","K-FITS annual report, shareholder/distribution disclosures, facility lender details, subscription channel details, and borrower facility documents.",high,source-stack-visible-borrower-allocation-missing
CSV-005,Ares Strategic Income Fund,Ares,non-traded BDC / private credit fund,Frontline Road Safety; Sunvair; AeriTek; MAI Capital,"ASIF is an Ares-managed non-traded BDC/private-credit holder with Q1 2026 balance-sheet, debt, net-asset, share-class, distribution-channel, and asset-coverage evidence now extracted.","Q1 2026 ASIF source-of-capital pass: 22.350746B USD total assets, 21.332904B USD investments at fair value, 11.021485B USD debt carrying value, 10.503550B USD net assets, 192% asset coverage, funding facilities, CLO debt, unsecured notes, and Class I/Class S/Class D share classes.","Class I/Class S/Class D shareholder/net-asset capital; funding facilities; CLO debt; unsecured notes; broker/intermediary distribution-channel clues.","Vehicle funding stack visible; borrower-specific funding layer not allocated.","ASIF borrower rows can be described as Ares-managed non-traded BDC/private-credit funding-stack exposure.","It does not prove ultimate shareholder identity, insurance funding, Ares corporate funding, exact funding layer, total borrower facility, or bank role.","ASIF shareholder/subscription concentration, noteholder evidence, facility lender details, Q2 2026 borrower schedule refresh, and borrower facility documents.",high,source-stack-visible-borrower-allocation-missing
CSV-006,Goldman Sachs BDC Inc.,Goldman Sachs,public BDC,Frontline Road Safety; Relation Insurance,"GSBD is a Goldman-managed public BDC holder with Q2 2026 balance-sheet, debt, net-asset, revolver, note, and asset-coverage evidence now extracted.","Q2 2026 GSBD source-of-capital pass: 3.287804B USD total assets, 3.195248B USD investments at fair value, 1.850308B USD debt, 1.357650B USD net assets, 1.475B USD revolving credit facility commitment, 1.2B USD unsecured notes principal, and 172% asset coverage.","Public BDC common equity/net assets; revolving credit facility; unsecured notes; small secured borrowings.","Vehicle funding stack visible; borrower-specific funding layer not allocated.","GSBD holder rows for Frontline and Relation can be described as Goldman-managed public-BDC balance-sheet exposure.","It does not prove Goldman Sachs corporate funding, insurance funding, shareholder or noteholder identity, exact funding layer, total borrower facility, or bank role.","GSBD shareholder/noteholder evidence, revolver lender details, Frontline and Relation facility documents, and borrower rating reports.",high,source-stack-visible-borrower-allocation-missing
CSV-007,Goldman Sachs Private Credit Corp.,Goldman Sachs,non-listed BDC / private credit vehicle,Frontline Road Safety; Relation Insurance,"GSPCC is a non-listed Goldman private-credit BDC with Q2 2026 balance-sheet, share-class, debt, revolver, note, and asset-coverage evidence now extracted.","Q2 2026 GSPCC source-of-capital pass: 18.671894B USD total assets, 18.187575B USD investments at fair value, 8.859977B USD debt, 9.194048B USD net assets, Class I/Class S/Class D shares, 7.175B USD committed revolving credit facilities, 4.010B USD unsecured notes principal, and 202% asset coverage.","Class I/Class S/Class D shareholder capital; revolving credit facilities; unsecured notes; non-listed BDC/private-credit distribution channel.","Vehicle funding stack visible; borrower-specific funding layer not allocated.","GSPCC commitment rows for Frontline and Relation can be described as non-listed BDC/private-credit capacity exposure.","It does not prove funded fair value, Goldman Sachs corporate funding, insurance funding, final shareholder mix, noteholder identity, total facility size, or bank displacement.","GSPCC shareholder/subscription evidence, noteholder evidence, revolver lender details, Frontline and Relation facility documents, and borrower rating reports.",high,source-stack-visible-borrower-allocation-missing
CSV-008,Senior Direct Lending Program LLC,Ares-linked SDLP,direct lending program / private credit vehicle,Valcourt; Precinmac,"SDLP is an ARCC/Varagon joint-venture direct-lending vehicle with Q2 2026 capital availability, balance-sheet, senior-note, intermediate-note, certificate, members' capital, and ownership evidence now extracted.","Q2 2026 SDLP source-of-capital pass: 6.150B USD total agreed capital available, 4.889B USD total funded capital, 4.595B USD total assets, 3.519B USD liabilities, 3.270B USD senior notes, 108M USD intermediate funding notes, 1.076B USD subordinated certificates and members' capital, and ARCC 87.5% ownership of outstanding certificates.","Senior notes; intermediate funding notes; ARCC subordinated certificates; Varagon/client certificates; members' capital; ARCC/Varagon joint-venture capital availability.","Vehicle funding stack visible; borrower-specific funding layer not allocated.","SDLP rows show ARCC/Varagon direct-lending-program exposure to Valcourt and Precinmac backed by disclosed vehicle-level funding layers.","It does not prove Varagon client identities, insurance linkage, borrower-specific allocation, lender group, total borrower facility size, or whether Q2 absence of borrower names means exit.","SDLP formation/ownership agreement, Varagon client disclosures if public, noteholder/rating evidence, ARCC annual-report footnotes, and borrower facility documents.",high,source-stack-visible-borrower-allocation-missing
CSV-009,New Mountain Private Credit Fund,New Mountain,private credit fund,MAI Capital,"New Mountain Private Credit Fund is visible as a private-credit-fund holder of MAI drawn and undrawn exposure, but investor source and sponsor relationship need separate documentation.","Vehicle taxonomy and holder-source map identify the fund using SEC-filed schedule evidence for MAI.","Private fund investor/subscription capital and leverage stack not yet extracted.","Vehicle channel visible; source stack and borrower-specific allocation missing.","MAI has visible New Mountain private-credit-fund exposure alongside Ares-managed/public BDC exposure.","It does not prove sponsor-affiliated funding, full facility size, acquisition use, investor source, or bank role.","Fund annual report, registration statement, adviser agreement, subscription/funding disclosures, and MAI financing documents.",medium,vehicle-channel-visible-source-stack-needed
CSV-010,CION Ares Diversified Credit Fund,CION / Ares,registered credit fund,Sunvair,"CADCX is visible as a registered credit fund with Sunvair exposure, but its ultimate investor and funding stack are not extracted.","Vehicle taxonomy and holder-source map identify CION Ares Diversified Credit Fund through SEC N-PORT schedule evidence.","Registered fund shareholder/capital base and leverage, if any, not yet extracted.","Vehicle channel visible; source stack and borrower-specific allocation missing.","Sunvair exposure appears beyond ARCC/ASIF in a registered credit fund channel.","It does not prove the whole Sunvair facility, capital-provider origin, or bank role.","Fund annual report, prospectus, advisory/funding relationship disclosures, and Sunvair facility documents.",medium,vehicle-channel-visible-source-stack-needed
