field,value,context,owner_cash_status
fpl_six_month_operating_cash_flow,"$5.388B","H1 2026","observed"
fpl_six_month_capex,"$5.780B","H1 2026","capital burden"
fpl_six_month_nuclear_fuel_purchases,"$152M","H1 2026","fuel burden"
fpl_ocf_less_capex,"$(392)M","H1 2026 mechanical bridge","diagnostic only"
fpl_ocf_less_capex_and_nuclear_fuel,"$(544)M","H1 2026 mechanical bridge","diagnostic only"
fpl_long_term_debt_issued,"$2.502B","H1 2026","financing"
fpl_long_term_debt_retired,"$648M","H1 2026","financing"
fpl_commercial_paper_change,"$(1.044)B","H1 2026","financing"
fpl_dividends_to_nextera,"$100M","H1 2026","parent claim"
fpl_accrued_property_additions,"$1.231B","June 30 2026","cost-to-complete claim"
fpl_q2_capex,"approximately $2.8B","Q2 2026","capital burden"
fpl_full_year_2026_capital_guidance,"$12-$13B","Q2 2026 release","planned capital"
fpl_displayed_2026_2030_capital_schedule,"approximately $54.730B","filing schedule","planned capital"
fpl_six_month_customer_contract_revenue,"approximately $9.2B","H1 2026 combined filing disclosure","not category receipt proof"
normalized_owner_cash,"not calculated","requires named category billing receipts allocation paid capex and earned return","missing"
