dig_id,priority,theme_family,lead_cases,plain_english_money_question,current_best_evidence,current_status,decisive_source_package,pass_test,hold_or_fail_test,next_artifact,why_this_is_next
CFARNDQ-001,1,insurance_retirement_private_credit_engine,KKR Global Atlantic Accordia and Apollo Athene,Whose insurance or retirement money is being routed into which named assets and what cash comes back to the legal entity,capital-flow-theme-package-with-exhibits-pass-1.md plus KKR Accordia and Apollo Athene statutory source passes,strongest_non_grid_named_cash_candidate,Statutory Schedule D or BA detail plus investment income plus proceeds/disposals plus liability cost spread plus legal entity waterfall,Named CUSIP holdings income and proceeds reconcile to legal entity cash inflow and can be compared with liability funding cost,If Schedule D income and disposal fields do not tie to receipt or spread evidence then keep as statutory asset-income proxy only,capital-flow-insurance-statutory-named-asset-income-next-dig-pass-1.md,This is the best route back to the original big-money players because it can get below platform AUM into legal entities assets income and proceeds
CFARNDQ-002,2,asset_backed_collateral_securitization,United Rentals plus Target Zebra Pool MSC Global Industrial,What collateral actually supports borrowing capacity and does receivable inventory or fleet cash conversion support the debt,capital-flow-annual-report-theme-opportunity-map-pass-1.md plus URI collateral proof chase and fleet durability passes,high_documentability_collateral_lane,ABL borrowing-base certificates receivable aging inventory turns collateral eligibility advance rates trustee or remittance schedules and cash conversion,Eligible collateral and cash collections can be tied to borrowing capacity and debt service support,If only balance sheet assets or liquidity are visible then do not claim borrowing-base cash proof,capital-flow-asset-backed-collateral-next-dig-pass-1.md,This is the cleanest non-insurance theme for annual reports because collateral receivables inventory and fleet disclosures are common and testable
CFARNDQ-003,3,private_credit_borrower_facility,Ares Frontline Auctane Medallia Atwell and selected BDC borrowers,Which named borrowers received private credit money and what did they use it for,capital-flow-ares-borrower-facility-use-cash-proof-stack-pass-1.md plus BDC borrower evidence and platform proof chase matrix,named_borrower_route_visible_cash_receipt_missing,Credit agreement rating report lender allocation closing funds-flow borrower receipt collateral package use-of-proceeds schedule and debt service evidence,Facility documents prove borrower amount lender role use of proceeds and at least one cash receipt or payoff route,If only holder fair value or borrower name appears then keep as destination evidence not borrower cash proof,capital-flow-private-credit-borrower-facility-next-dig-pass-1.md,This directly answers who is investing where but usually requires public credit agreements or rating reports beyond annual-report tables
CFARNDQ-004,4,capital_intensive_infrastructure_energy,Cheniere Energy Transfer ONEOK Targa URI Sterling,How does capital become physical infrastructure output and what cash is attached to the asset or project,capital-flow-capital-intensive-project-funding-map-pass-1.md plus energy project source use return pass,project_output_cash_proxy_visible,Named project cost schedule customer contract or tariff output volumes segment EBITDA or DCF contribution debt facility use and debt-service waterfall,A named train pipeline terminal fleet or backlog program can be tied from funding to output to project cash contribution,If only company capex EBITDA or throughput is visible then do not claim project return,capital-flow-infrastructure-energy-named-project-next-dig-pass-1.md,This is big and economically central but project-level cash proof is harder than FPL or statutory insurance proof
CFARNDQ-005,5,regulated_recovery_customer_funding,FPL NextEra AEP Duke,When utilities spend capital who pays through rates contracts or riders and what customer cash comes back,capital-flow-fpl-sppcrc-2027-factor-to-category-reconciliation-pass-1.md plus AEP Duke recovery bridge,closest_public_customer_cash_route,Billing determinants by rate class and month actual billed clause revenue collected revenue category allocation subaccount source-of-funds and earned-return workpapers,Customer charges can be tied to a named category or project and then to collected cash or true-up recovery,If the record stops at approved factors projected recovery or aggregate clause revenue then keep as recovery proxy,capital-flow-regulated-customer-receipt-next-dig-pass-1.md,FPL is closest to receipt proof but the last mile needs billing and collection schedules that may be confidential or time-gated
CFARNDQ-006,6,streaming_resource_finance,Wheaton BHP Antamina,When upfront financing buys future commodity delivery does settlement cash justify the upfront payment,capital-flow-wheaton-antamina-cash-return-proof-stack-pass-1.md plus Antamina proof package acquisition,transaction_cash_back_proxy_visible,PMPA agreement delivery schedule settlement ledger depletion tax debt allocation reserve life and discounted return model,Upfront cash outflow can be tied to delivered ounces revenue cost depletion operating cash flow and modelled payback or IRR,If only consolidated stream revenue is visible then keep as cash-back proxy not PMPA return proof,capital-flow-streaming-resource-finance-next-dig-pass-1.md,This is one of the few themes with a named two-sided transaction and a natural return model
CFARNDQ-007,7,acquisition_finance_rollups_backlog,Sterling MasTec URI Yak Core Main MAI Frontline,Who funded acquisitions or backlog growth and did it become revenue margin and cash,capital-flow-acquisition-finance-ledger-pass-1.md plus Sterling and MasTec backlog passes,backlog_revenue_cash_proxy_visible,Deal funds-flow purchase accounting acquired backlog aging cancellation terms retainage collections segment margin and post-close cash contribution,Acquisition or backlog dollars can be tied to post-close revenue margin cash and debt or equity funding,If backlog is not signed funded collectible or margin-visible then do not claim conversion proof,capital-flow-acquisition-backlog-conversion-next-dig-pass-1.md,This is good for writing because it explains operating consolidation but it needs deal and backlog cash conversion evidence
CFARNDQ-008,8,refinancing_debt_reshaping,PBF Matador Devon Liberty Broadband Verizon,Who supplies refinancing cash who gets paid off and did the reshaping improve cash economics,capital-flow-debt-refinancing-use-return-frontier-pass-1.md plus PBF Matador Devon Liberty passes,source_use_proxy_visible_economics_incomplete,Indentures credit agreements redemption notices trustee or paying-agent settlement accrued interest fees tax treatment coupon relief liquidity impact and NPV model,New money and old debt payoff reconcile to settlement cash and a value model,If only principal amounts and coupon rates are visible then keep as refinancing mechanics not value creation,capital-flow-refinancing-settlement-value-next-dig-pass-1.md,This is mechanically documentable and can teach the source-use-waterfall proof method
CFARNDQ-009,9,wealth_alternatives_secondaries_private_market_liquidity,Blackstone KKR Apollo Ares Carlyle AlpInvest BlackRock,How does private wealth or institutional money enter private markets and where does liquidity come from when assets stay private,capital-flow-big-money-player-map-pass-1.md plus destination lane and platform proof chase maps,platform_map_visible_hold,Vehicle subscription redemption tender continuation vehicle secondary sale seller receipt fee distribution DPI TVPI and IRR evidence,One named liquidity event ties investor capital or secondary buyer cash to seller receipt and vehicle return metrics,If only fundraising AUM perpetual capital or fee AUM is visible then do not claim liquidity cash proof,capital-flow-wealth-secondaries-liquidity-next-dig-pass-1.md,This is strategically important for the big-money story but likely requires named transaction documents before it becomes cash proof
CFARNDQ-010,10,working_capital_inventory_receivables,Target Zebra MSC Global Industrial Pool Core Main,Does operating growth turn inventory and receivables into cash or trap cash in working capital,capital-flow-519-company-cash-realization-source-table-pass-1.md plus theme opportunity map,queued_high_documentability_lane,Receivables aging DSO inventory turns reserve movements supplier finance customer concentration borrowings gross margin OCF and seasonal cash-flow schedules,Receivable collection inventory turn and OCF evidence show cash conversion quality and collateral usefulness,If balances grow without collection or margin support then treat as working-capital absorption not cash realization,capital-flow-working-capital-cash-conversion-next-dig-pass-1.md,This is less flashy but annual reports can support it well and it creates a disproof lane for growth stories
