bridge_id,queue_id,evidence_gate,evidence_source,current_status,period,evidence_now,value_or_metric,proof_result,money_movement_answer,missing_proof,next_required_source,safe_claim
CFBXCBUC-001,CFE2EGUQ-015,platform-scale,capital-flow-blackstone-credit-insurance-q2-2026-extractions.csv,visible,Q2 2026,Credit & Insurance total AUM,469.3 USD billions,passes-platform-scale,"Blackstone Credit & Insurance is a very large credit and insurance capital-routing platform.","AUM does not identify investor source, borrower use, repayment, or cash return.","Vehicle schedules, investor source allocation, borrower holdings, and cash income schedules.","Blackstone has credit and insurance channel scale plus borrower candidate evidence, but borrower-use and cash-return proof remain incomplete."
CFBXCBUC-002,CFE2EGUQ-015,fee-earning-capital,capital-flow-blackstone-credit-insurance-q2-2026-extractions.csv,visible,Q2 2026,Credit & Insurance fee-earning AUM,318.241 USD billions,passes-fee-base-visibility,"Fee-earning AUM shows monetizable credit/insurance capital under Blackstone management.","Fee-earning AUM is not a funding source/use/cash-return bridge.","Fund financials, fee basis, vehicle investment schedules, and borrower income/repayment records.","Blackstone has credit and insurance channel scale plus borrower candidate evidence, but borrower-use and cash-return proof remain incomplete."
CFBXCBUC-003,CFE2EGUQ-015,current-inflows,capital-flow-blackstone-credit-insurance-q2-2026-extractions.csv,visible,Q2 2026,Credit & Insurance quarterly inflows,31.0 USD billions,passes-current-inflow-visibility,"Capital is currently flowing into Blackstone's Credit & Insurance segment.","Segment inflows do not identify which vehicles funded which borrower facilities.","Vehicle-level subscriptions, SMA mandates, and deployment schedules.","Blackstone has credit and insurance channel scale plus borrower candidate evidence, but borrower-use and cash-return proof remain incomplete."
CFBXCBUC-004,CFE2EGUQ-015,sustained-inflows,capital-flow-blackstone-credit-insurance-q2-2026-extractions.csv,visible,LTM Q2 2026,Credit & Insurance LTM inflows,143.0 USD billions,passes-sustained-inflow-visibility,"Blackstone has sustained credit/insurance capital formation over the trailing twelve months.","LTM inflows do not prove borrower use, credit quality, or cash realization.","Vehicle-level capital call and deployment records.","Blackstone has credit and insurance channel scale plus borrower candidate evidence, but borrower-use and cash-return proof remain incomplete."
CFBXCBUC-005,CFE2EGUQ-015,direct-lending-inflows,capital-flow-blackstone-credit-insurance-q2-2026-extractions.csv,visible,Q2 2026,global direct lending strategy inflows,13.3 USD billions,passes-direct-lending-channel,"Direct-lending inflows identify a private-credit deployment lane inside the segment.","The row does not prove which borrowers received capital or whether banks were displaced.","Direct-lending vehicle holdings, borrower credit agreements, and lender allocation schedules.","Blackstone has credit and insurance channel scale plus borrower candidate evidence, but borrower-use and cash-return proof remain incomplete."
CFBXCBUC-006,CFE2EGUQ-015,perpetual-private-credit-channel,capital-flow-blackstone-credit-insurance-q2-2026-extractions.csv,visible,Q2 2026,BCRED equity raised,1.0 USD billions,passes-perpetual-capital-channel,"BCRED raised equity inside Blackstone's direct-lending inflow channel.","Raised equity is not borrower-level funding or cash return evidence.","BCRED schedule of investments, new originations, funded/unfunded commitments, and income/repayment tables.","Blackstone has credit and insurance channel scale plus borrower candidate evidence, but borrower-use and cash-return proof remain incomplete."
CFBXCBUC-007,CFE2EGUQ-015,infrastructure-abf-inflows,capital-flow-blackstone-credit-insurance-q2-2026-extractions.csv,visible,Q2 2026,infrastructure and asset-based credit strategy inflows,9.9 USD billions,passes-infrastructure-abf-channel,"Infrastructure and asset-based credit inflows identify another real-asset/secured-credit route.","This does not identify collateral, borrower use, asset income, or repayment.","Asset-backed portfolio schedule, collateral reports, borrower documents, and cash-yield data.","Blackstone has credit and insurance channel scale plus borrower candidate evidence, but borrower-use and cash-return proof remain incomplete."
CFBXCBUC-008,CFE2EGUQ-015,insurance-client-channel,capital-flow-blackstone-credit-insurance-q2-2026-extractions.csv,visible,Q2 2026,insurance SMA inflows,7.5 USD billions,passes-insurance-client-channel,"Insurance-client money is explicitly flowing into Blackstone-managed credit channels through SMAs.","This is not owned-liability insurance evidence and does not identify holdings or borrower cash.","SMA mandates, insurer allocation schedules, statutory filings for insurer clients, and portfolio holdings.","Blackstone has credit and insurance channel scale plus borrower candidate evidence, but borrower-use and cash-return proof remain incomplete."
CFBXCBUC-009,CFE2EGUQ-015,deployment-volume,capital-flow-blackstone-credit-insurance-q2-2026-extractions.csv,visible,Q2 2026,Credit & Insurance quarterly capital deployed,12.7 USD billions,passes-deployment-visibility,"Blackstone deployed capital from the Credit & Insurance segment during the quarter.","Deployment is not allocated to named borrowers, use of proceeds, or cash-return outcomes.","Deal list, originations by vehicle, borrower facilities, and proceeds-use documents.","Blackstone has credit and insurance channel scale plus borrower candidate evidence, but borrower-use and cash-return proof remain incomplete."
CFBXCBUC-010,CFE2EGUQ-015,private-credit-return-proxy,capital-flow-blackstone-credit-insurance-q2-2026-extractions.csv,visible,LTM Q2 2026,private credit LTM net return,3.9 percent,passes-fund-return-proxy,"Private-credit fund performance is visible at strategy level.","Strategy return does not prove borrower cash flow, repayment, or source-to-use allocation.","Fund income bridge, realized/unrealized split, borrower repayment, and non-accrual data.","Blackstone has credit and insurance channel scale plus borrower candidate evidence, but borrower-use and cash-return proof remain incomplete."
CFBXCBUC-011,CFE2EGUQ-015,segment-earnings,capital-flow-blackstone-credit-insurance-q2-2026-extractions.csv,visible,Q2 2026,Credit & Insurance segment distributable earnings,373.242 USD millions,passes-segment-earnings-proxy,"The credit/insurance platform has visible segment earnings.","Segment earnings are manager economics, not borrower cash-return proof.","Vehicle income, incentive fees, realized gains/losses, and borrower repayment schedules.","Blackstone has credit and insurance channel scale plus borrower candidate evidence, but borrower-use and cash-return proof remain incomplete."
CFBXCBUC-012,CFE2EGUQ-015,bxsl-portfolio-base,capital-flow-bxsl-official-industry-percentages.csv,visible,Q2 2026 / June 30 2026,BXSL portfolio base,13364.295 USD millions,passes-vehicle-portfolio-denominator,"BXSL provides a public vehicle denominator for Blackstone-managed private-credit exposure.","Industry allocation is not borrower use or cash collection.","BXSL schedule of investments, loan income, non-accruals, originations, repayments, and borrower filings.","Blackstone has credit and insurance channel scale plus borrower candidate evidence, but borrower-use and cash-return proof remain incomplete."
CFBXCBUC-013,CFE2EGUQ-015,bxsl-industry-destinations,capital-flow-bxsl-official-industry-percentages.csv,visible,Q2 2026 / June 30 2026,largest BXSL industries,Software 2525.852 USD millions; Health Care Providers & Services 1376.522 USD millions; Professional Services 1376.522 USD millions; Insurance 1336.430 USD millions; Commercial Services & Supplies 1109.236 USD millions,passes-industry-destination-map,"BXSL exposure can be mapped to broad borrower industry destinations.","Industry exposure does not identify borrower use of proceeds or repayment cash.","Named borrower schedule, facility type, maturity, coupon, PIK/non-accrual, and use-of-proceeds documents.","Blackstone has credit and insurance channel scale plus borrower candidate evidence, but borrower-use and cash-return proof remain incomplete."
CFBXCBUC-014,CFE2EGUQ-015,borrower-candidate-auctane,capital-flow-borrower-source-of-funds-evidence.csv,visible,historical transaction / current research,Auctane / Stamps.com,6600 USD millions transaction value; 2775 USD millions debt or new capital,passes-borrower-candidate-visibility,"Auctane/Stamps.com is a strong borrower case linking Blackstone Credit and other private-credit lenders to a large software take-private and bank facility termination evidence.","This does not prove Blackstone vehicle allocation, funded amount, ongoing borrower cash flow, repayment, or current BXSL holding exposure.","Final credit agreement, lender allocations, payoff letter, post-close bank role map, borrower financials, and repayment history.","Blackstone has credit and insurance channel scale plus borrower candidate evidence, but borrower-use and cash-return proof remain incomplete."
CFBXCBUC-015,CFE2EGUQ-015,borrower-candidate-guidehouse-medallia,capital-flow-borrower-source-of-funds-evidence.csv,visible,historical transaction / current research,Guidehouse and Medallia,Guidehouse 5300 USD millions transaction value / 3075 USD millions debt; Medallia 6400 USD millions transaction value / 1800 USD millions debt,passes-borrower-candidate-visibility,"Guidehouse and Medallia provide additional borrower-level routes where Blackstone-linked private credit appears in sponsor financing, bank-competition, or lender-led control contexts.","The evidence is not enough to prove Blackstone vehicle funding, exact facility allocation, borrower use, cash generation, repayment, or return.","Debt commitment letters, definitive credit agreements, lender schedules, borrower financials, recapitalization terms, and repayment/cash-flow evidence.","Blackstone has credit and insurance channel scale plus borrower candidate evidence, but borrower-use and cash-return proof remain incomplete."
