extraction_id,company,ticker,period,field,value,unit,source_anchor,what_it_proves,boundary,claim_status
ARRBLXDC-001,Roblox Corporation,RBLX,FY2025,revenue and revenue growth,4.891 / 36,USD billions / percent,analysis/company-first-principles/technology/internet-software-services/roblox-corp/company-analysis.md; extracted/technology/application-software/roblox-corporation/company-packet.md,Roblox had multi-billion-dollar annual revenue scale.,Revenue growth does not prove clean cash conversion or safe platform governance.,source-visible-with-boundary
ARRBLXDC-002,Roblox Corporation,RBLX,FY2025,bookings and bookings growth,6.788 / 55,USD billions / percent,analysis/company-first-principles/technology/internet-software-services/roblox-corp/company-analysis.md; extracted/technology/application-software/roblox-corporation/company-packet.md,Virtual-currency and platform activity were much larger than recognized revenue.,Bookings do not prove cash quality without deferred revenue and cost checks.,source-visible-with-boundary
ARRBLXDC-003,Roblox Corporation,RBLX,FY2025,operating cash flow,about 1.8,USD billions,extracted/technology/application-software/roblox-corporation/company-packet.md,Company-level cash generation was visible.,"Operating cash flow does not prove free-cash-flow durability after infrastructure, safety, and creator costs.",source-visible-with-boundary
ARRBLXDC-004,Roblox Corporation,RBLX,FY2025,DAUs and hours engaged,127 / 124,millions DAUs / billions hours,analysis/company-first-principles/technology/internet-software-services/roblox-corp/company-analysis.md,"Roblox had massive recurring participation, not just one-time software usage.",DAUs and hours do not prove profitable engagement or monetization quality.,source-visible-with-boundary
ARRBLXDC-005,Roblox Corporation,RBLX,FY2025,developer exchange fees,more than 1.5,USD billions,analysis/company-first-principles/technology/internet-software-services/roblox-corp/company-analysis.md; extracted/technology/application-software/roblox-corporation/company-packet.md,Creator labor and creator payouts were economically material.,Developer payouts do not prove creator health or platform margin quality.,source-visible-with-boundary
ARRBLXDC-006,Roblox Corporation,RBLX,Q4 2025,revenue and bookings,1.415 / 2.222,USD billions,extracted/technology/application-software/roblox-corporation/company-packet.md; extracted/technology/application-software/roblox-corporation/company-profile.md,Year-end revenue and virtual-economy activity were visible.,Quarterly bookings do not prove long-term platform health.,source-visible-with-boundary
ARRBLXDC-007,Roblox Corporation,RBLX,Q4 2025,"revenue growth, bookings growth, and DAU expansion",43 / 63 / about 60,percent / percent / millions DAUs added,extracted/technology/application-software/roblox-corporation/company-packet.md; extracted/technology/application-software/roblox-corporation/company-profile.md,Engagement and monetization accelerated into year-end.,"Rapid growth does not prove governance, safety, or monetization durability.",source-visible-with-boundary
ARRBLXDC-008,Roblox Corporation,RBLX,Q1 2026,revenue and bookings,1.442 / 1.731,USD billions,extracted/technology/application-software/roblox-corporation/company-packet.md; extracted/technology/application-software/roblox-corporation/company-profile.md,Growth continued into the next year.,Revenue and bookings do not prove cohort quality or user safety.,source-visible-with-boundary
ARRBLXDC-009,Roblox Corporation,RBLX,Q1 2026,DAUs and hours engaged,132 / 31,millions DAUs / billions hours,analysis/company-first-principles/technology/internet-software-services/roblox-corp/company-analysis.md; extracted/technology/application-software/roblox-corporation/company-packet.md,User scale and time spent remained very large.,Engagement does not prove monetization per hour or moderation success.,source-visible-with-boundary
ARRBLXDC-010,Roblox Corporation,RBLX,Q1 2026,operating cash flow and free cash flow,629 / 596,USD millions,extracted/technology/application-software/roblox-corporation/company-packet.md,Cash generation was strong in the first quarter.,Quarterly free cash flow can reflect billing timing and does not prove cost durability.,source-visible-with-boundary
ARRBLXDC-011,Roblox Corporation,RBLX,Q2 2026,"revenue, bookings, DAUs, and hours engaged",1.469 / 1.557 / more than 120 / more than 29,USD billions / USD billions / millions DAUs / billions hours,extracted/technology/application-software/roblox-corporation/company-packet.md; extracted/technology/application-software/roblox-corporation/company-profile.md,Latest local quarter showed continued scale but weaker bookings growth.,"Scale does not prove monetization quality, safety quality, or creator health.",source-visible-with-boundary
ARRBLXDC-012,Roblox Corporation,RBLX,Q2 2026,"operating cash flow, free cash flow, and monetization warning",318 / 294 / bookings low end of guidance after hourly monetization weakened,USD millions / USD millions / management warning,extracted/technology/application-software/roblox-corporation/company-packet.md; extracted/technology/application-software/roblox-corporation/company-profile.md,The same platform showed cash generation and a real governance/monetization tradeoff.,Cash generation does not prove moderation risk is solved or engagement monetizes cleanly.,source-visible-with-boundary
