row_id,period,company,ticker,theme,subtheme,metric,value,unit,source_file,source_detail,calculation_or_source,evidence_status,what_it_says,what_it_does_not_say,next_source
URIFRUP-001,Q2 2026,United Rentals,URI,capital-intensive real-economy buildout,fleet return and utilization proxy,Source boundary,public proxy only,text,"raw/sec/industrial-goods/rental-leasing-services/united-rentals-inc/2026-q2-ex99-earnings-release.html; raw/sec/industrial-goods/rental-leasing-services/united-rentals-inc/2026-q2-10q.html",SEC earnings-release exhibit and 10-Q,"Uses public company-level revenue, OEC, adjusted EBITDA, cash flow, fleet productivity, and used-equipment sale disclosures",proxy-boundary,"The public filings can constrain fleet-output economics directionally.","They do not disclose asset-level ROIC, time utilization, rate, mix, branch utilization, or growth-versus-replacement capex.","Investor deck, call transcript, fleet category schedules, rental-rate/time-utilization disclosure"
URIFRUP-002,Q2 2026,United Rentals,URI,capital-intensive real-economy buildout,fleet output proxy,Rental revenue,3849,M USD,raw/sec/industrial-goods/rental-leasing-services/united-rentals-inc/2026-q2-ex99-earnings-release.html,Second-quarter 2026 highlights,"Total revenue of 4.410B USD including rental revenue of 3.849B USD",source-table-extracted,"URI disclosed 3.849B USD of Q2 rental revenue.","Rental revenue includes owned equipment rental revenue, re-rent revenue, and ancillary revenue; it is not pure owned-fleet rent.","Owned-equipment rental revenue split"
URIFRUP-003,Q2 2026,United Rentals,URI,capital-intensive real-economy buildout,fleet capital base proxy,OEC,23800,M USD,raw/sec/industrial-goods/rental-leasing-services/united-rentals-inc/2026-q2-ex99-earnings-release.html,Quarterly operating metrics,"Average OEC increased year over year and quarter-end OEC was about 23.8B USD in the extracted source table",source-table-extracted,"OEC gives a public fleet-cost denominator for output proxies.","OEC is not net book value, not eligible collateral, and not deployed utilization.","Fleet category OEC and utilization schedules"
URIFRUP-004,Q2 2026,United Rentals,URI,capital-intensive real-economy buildout,fleet output proxy,Rental revenue divided by OEC,16.2,percent,"raw/sec/industrial-goods/rental-leasing-services/united-rentals-inc/2026-q2-ex99-earnings-release.html",Q2 rental revenue and OEC,"3849M / 23800M",proxy-derived,"Q2 rental revenue equaled 16.2% of the disclosed OEC denominator.","This is a quarterly revenue/output proxy, not ROIC or utilization.","Owned-rental revenue and average OEC denominator"
URIFRUP-005,Q2 2026 annualized,United Rentals,URI,capital-intensive real-economy buildout,fleet output proxy,Annualized Q2 rental revenue divided by OEC,64.7,percent,"raw/sec/industrial-goods/rental-leasing-services/united-rentals-inc/2026-q2-ex99-earnings-release.html",Q2 rental revenue and OEC,"3849M * 4 / 23800M",proxy-derived,"At a Q2 run rate, rental revenue equaled 64.7% of OEC.","Annualization ignores seasonality, mix, acquisitions, and cycle effects; it is not ROIC.","Trailing twelve-month owned-rental revenue and average OEC"
URIFRUP-006,Q2 2026,United Rentals,URI,capital-intensive real-economy buildout,profitability proxy,Adjusted EBITDA,2056,M USD,raw/sec/industrial-goods/rental-leasing-services/united-rentals-inc/2026-q2-ex99-earnings-release.html,Second-quarter 2026 highlights,"Adjusted EBITDA of 2.056B USD",source-table-extracted,"URI disclosed large company-level adjusted EBITDA in the same quarter as the fleet-capital denominator.","Adjusted EBITDA is company-level and includes non-fleet effects; it is not fleet ROIC.","Segment EBITDA and owned-fleet contribution"
URIFRUP-007,Q2 2026,United Rentals,URI,capital-intensive real-economy buildout,profitability proxy,Adjusted EBITDA margin,46.6,percent,raw/sec/industrial-goods/rental-leasing-services/united-rentals-inc/2026-q2-ex99-earnings-release.html,Second-quarter 2026 highlights,"Adjusted EBITDA margin disclosed as 46.6%",source-table-extracted,"Company-level EBITDA conversion was high in Q2 2026.","It does not isolate rental gross margin, owned fleet economics, or asset returns.","Segment margin and owned-rental margin"
URIFRUP-008,Q2 2026,United Rentals,URI,capital-intensive real-economy buildout,profitability proxy,Adjusted EBITDA divided by OEC,8.6,percent,"raw/sec/industrial-goods/rental-leasing-services/united-rentals-inc/2026-q2-ex99-earnings-release.html",Q2 adjusted EBITDA and OEC,"2056M / 23800M",proxy-derived,"Q2 adjusted EBITDA equaled 8.6% of OEC.","This is a company-level profit proxy, not asset-level return on capital.","Average OEC and segment EBITDA bridge"
URIFRUP-009,Q2 2026 annualized,United Rentals,URI,capital-intensive real-economy buildout,profitability proxy,Annualized Q2 adjusted EBITDA divided by OEC,34.6,percent,"raw/sec/industrial-goods/rental-leasing-services/united-rentals-inc/2026-q2-ex99-earnings-release.html",Q2 adjusted EBITDA and OEC,"2056M * 4 / 23800M",proxy-derived,"At a Q2 run rate, adjusted EBITDA equaled 34.6% of OEC.","Annualized EBITDA/OEC is not ROIC and does not deduct depreciation, taxes, interest, replacement capex, or working capital.","Trailing twelve-month EBITDA and average fleet OEC"
URIFRUP-010,Q2 2026,United Rentals,URI,capital-intensive real-economy buildout,fleet utilization proxy,Fleet productivity,3.4,percent,raw/sec/industrial-goods/rental-leasing-services/united-rentals-inc/2026-q2-ex99-earnings-release.html,Second-quarter 2026 highlights,"Year-over-year fleet productivity increased 3.4%",source-table-extracted,"URI disclosed positive fleet productivity in Q2 2026.","Fleet productivity is not disclosed as separate time utilization, rate, or mix.","Time utilization, rental rate, and mix components"
