claim_id,platform,period,borrower,sponsor_or_owner,ares_role,financing_purpose,industry_lane,operating_description,source_url,source_location,evidence_to_claim,claim_boundary,status
CF-005,Ares,Q2 2026,AeriTek,Mill Point Capital,administrative agent; joint lead arranger; joint bookrunner,acquisition financing,Commercial refrigeration and foodservice equipment,International manufacturer of commercial refrigeration and foodservice equipment,https://ir.ares.com/news/ares-management-announces-second-quarter-2026-us-direct-lending-origination-activity/3a0619d9-6b06-4091-84af-556ab80b0f8d,official release dated 2026-07-31 lines 13-14,Shows Ares direct lending funding a sponsor-backed acquisition in commercial equipment manufacturing.,Does not disclose facility amount pricing full lender group or prior bank takeout.,official-web-extracted
CF-005,Ares,Q2 2026,Atwell,Advent International,administrative agent; joint lead arranger; joint bookrunner,acquisition financing,Engineering construction management power energy digital infrastructure,Full-service engineering consulting and construction management firm in power and energy residential commercial development and digital infrastructure,https://ir.ares.com/news/ares-management-announces-second-quarter-2026-us-direct-lending-origination-activity/3a0619d9-6b06-4091-84af-556ab80b0f8d,official release dated 2026-07-31 lines 15-16,Shows Ares financing a borrower tied to power energy and digital infrastructure services.,Does not prove capex funding or bank displacement without borrower financing documents.,official-web-extracted
CF-005,Ares,Q2 2026,Firebird Music,Raine Group,credit support,continued growth plan,Music IP and rights management,Next-generation music company integrating artist management recorded music expanded rights brands and music IP acquisition,https://ir.ares.com/news/ares-management-announces-second-quarter-2026-us-direct-lending-origination-activity/3a0619d9-6b06-4091-84af-556ab80b0f8d,official release dated 2026-07-31 lines 17-18,Shows private credit supporting IP acquisition and growth rather than only buyout refinancing.,Does not disclose amount structure collateral or prior lender replacement.,official-web-extracted
CF-005,Ares,Q2 2026,Frontline Road Safety Holdings,Bain Capital,lead arranger; bookrunner,continued growth plan,Transportation safety services,Provider of pavement marking services to roadways and airports across the U.S.,https://ir.ares.com/news/ares-management-announces-second-quarter-2026-us-direct-lending-origination-activity/3a0619d9-6b06-4091-84af-556ab80b0f8d,official release dated 2026-07-31 lines 19-20,Shows direct lending funding infrastructure-adjacent maintenance services.,Does not disclose whether proceeds funded acquisitions working capital refinancing or capex.,official-web-extracted
CF-005,Ares,Q2 2026,Jiffy Lube International Inc.,Monomoy Capital Partners,joint lead arranger,acquisition financing,Automotive service franchising,Quick lube and automotive service franchisor serving approximately 19 million customers annually through more than 2000 service centers,https://ir.ares.com/news/ares-management-announces-second-quarter-2026-us-direct-lending-origination-activity/3a0619d9-6b06-4091-84af-556ab80b0f8d,official release dated 2026-07-31 lines 21-22,Shows private credit financing a consumer-service operating network acquisition.,Does not disclose facility amount or bank role.,official-web-extracted
CF-005,Ares,Q2 2026,MAI Capital Management,Carlyle,lead arranger; bookrunner,continued M&A strategy,Wealth management and advisory services,Provider of financial planning investment advisory investment management family office administration and advisory services,https://ir.ares.com/news/ares-management-announces-second-quarter-2026-us-direct-lending-origination-activity/3a0619d9-6b06-4091-84af-556ab80b0f8d,official release dated 2026-07-31 lines 23-24,Shows direct lending supporting sponsor-backed rollup/M&A strategy in wealth management.,Does not disclose draw amount target acquisitions or prior lender replacement.,official-web-extracted
CF-005,Ares,Q2 2026,Precinmac,Centerbridge Partners,administrative agent; joint lead arranger; joint bookrunner,incremental commitment for continued growth,Precision manufacturing aerospace defense semiconductor power generation,Manufacturer of high-complexity precision components serving aerospace defense space semiconductor and power generation customers,https://ir.ares.com/news/ares-management-announces-second-quarter-2026-us-direct-lending-origination-activity/3a0619d9-6b06-4091-84af-556ab80b0f8d,official release dated 2026-07-31 lines 25-26,Shows incremental private-credit capital into industrial and advanced-manufacturing supply chains.,Does not disclose whether the incremental commitment funded capex acquisitions or liquidity.,official-web-extracted
CF-005,Ares,Q2 2026,Relation Insurance,BayPine LP,joint lead arranger; joint bookrunner,acquisition financing,Insurance brokerage and commercial services,Insurance brokerage platform providing commercial lines personal lines and employee benefits across construction transportation agriculture entertainment healthcare manufacturing hospitality and real estate,https://ir.ares.com/news/ares-management-announces-second-quarter-2026-us-direct-lending-origination-activity/3a0619d9-6b06-4091-84af-556ab80b0f8d,official release dated 2026-07-31 lines 27-28,Shows direct lending financing acquisition of an insurance brokerage operating platform.,Does not prove insurance-liability funding; this is an operating-company borrower.,official-web-extracted
CF-005,Ares,Q2 2026,Sunvair Aerospace Group,Greenbriar Equity Group,administrative agent; lead arranger; bookrunner,continued growth plan,Aerospace MRO services,Provider of aircraft component maintenance repair and overhaul services including accessory component repair and landing gear overhaul,https://ir.ares.com/news/ares-management-announces-second-quarter-2026-us-direct-lending-origination-activity/3a0619d9-6b06-4091-84af-556ab80b0f8d,official release dated 2026-07-31 lines 29-30,Shows private credit supporting aerospace maintenance and repair services.,Does not disclose facility amount or prior lender replacement.,official-web-extracted
CF-005,Ares,Q2 2026,Valcourt Group,Littlejohn & Co.,administrative agent; lead arranger; bookrunner,continued growth plan,Building envelope maintenance and restoration,Provider of building envelope maintenance and restoration services for mid- and high-rise properties,https://ir.ares.com/news/ares-management-announces-second-quarter-2026-us-direct-lending-origination-activity/3a0619d9-6b06-4091-84af-556ab80b0f8d,official release dated 2026-07-31 lines 31-32,Shows private credit funding built-environment maintenance services.,Does not disclose facility amount use-of-proceeds detail or bank takeout.,official-web-extracted
