row_id,period,company,ticker,theme,subtheme,metric,value,unit,source_file,source_detail,calculation_or_source,evidence_status,what_it_says,what_it_does_not_say,next_source
URIABLProxy-001,Q2 2026,United Rentals,URI,capital-intensive real-economy buildout,ABL public-disclosure proxy bridge,Cash and cash equivalents,112,M USD,raw/sec/industrial-goods/rental-leasing-services/united-rentals-inc/2026-q2-10q.html,SEC 10-Q balance sheet,"Cash and cash equivalents at June 30 2026",filed-source-table,"Cash is a small part of disclosed liquidity at Q2 2026.","Cash does not identify facility availability or borrowing-base capacity.","Liquidity note and facility availability schedules"
URIABLProxy-002,Q2 2026,United Rentals,URI,capital-intensive real-economy buildout,ABL public-disclosure proxy bridge,Total liquidity,2999,M USD,raw/sec/industrial-goods/rental-leasing-services/united-rentals-inc/2026-q2-ex99-earnings-release.html,SEC 8-K earnings-release exhibit,"Total liquidity reflects cash plus availability under ABL and accounts receivable securitization facilities",source-defined-liquidity,"URI disclosed total liquidity using the facilities relevant to the fleet-funding stack.","It does not split ABL availability from AR securitization availability.","Facility availability schedules"
URIABLProxy-003,Q2 2026,United Rentals,URI,capital-intensive real-economy buildout,ABL public-disclosure proxy bridge,Implied ABL plus AR facility availability inside liquidity,2887,M USD,"raw/sec/industrial-goods/rental-leasing-services/united-rentals-inc/2026-q2-10q.html; raw/sec/industrial-goods/rental-leasing-services/united-rentals-inc/2026-q2-ex99-earnings-release.html",SEC 10-Q balance sheet and earnings-release liquidity definition,"2999M total liquidity - 112M cash",proxy-derived,"Public disclosures imply about 2.887B USD of combined ABL and AR securitization availability in total liquidity.","This does not split ABL versus AR availability and is not a borrowing-base certificate value.","ABL/AR availability schedules and borrowing-base certificates"
URIABLProxy-004,Q2 2026,United Rentals,URI,capital-intensive real-economy buildout,ABL public-disclosure proxy bridge,ABL stated facility size,4500,M USD,raw/sec/industrial-goods/rental-leasing-services/united-rentals-inc/2026-q2-10q.html,SEC 10-Q debt table,"Debt table describes 4.5B USD ABL facility expiring 2030",filed-term-summary,"The stated ABL facility size is public and current at Q2 2026.","Stated size is not legal availability.","Borrowing-base certificate"
URIABLProxy-005,Q2 2026,United Rentals,URI,capital-intensive real-economy buildout,ABL public-disclosure proxy bridge,ABL facility balance,1666,M USD,raw/sec/industrial-goods/rental-leasing-services/united-rentals-inc/2026-q2-10q.html,SEC 10-Q debt table,"Debt table reports 1.666B USD ABL facility balance",filed-term-summary,"The ABL was materially drawn at Q2 2026.","Balance does not identify collateral, reserves, or purchase use.","Loan register and borrowing-base certificate"
URIABLProxy-006,Q2 2026,United Rentals,URI,capital-intensive real-economy buildout,ABL public-disclosure proxy bridge,Gross unused ABL capacity before availability constraints,2834,M USD,raw/sec/industrial-goods/rental-leasing-services/united-rentals-inc/2026-q2-10q.html,SEC 10-Q debt table,"4500M stated ABL size - 1666M ABL balance",proxy-derived,"Simple unused ABL size was about 2.834B USD before borrowing-base, L/C, reserve, and other constraints.","This is explicitly not legal ABL availability.","Borrowing-base certificate, L/C schedule, and reserve report"
URIABLProxy-007,Q2 2026,United Rentals,URI,capital-intensive real-economy buildout,ABL public-disclosure proxy bridge,ABL drawn against stated facility size,37.0,percent,raw/sec/industrial-goods/rental-leasing-services/united-rentals-inc/2026-q2-10q.html,SEC 10-Q debt table,"1666M / 4500M",proxy-derived,"Simple ABL draw intensity remains below half of stated size.","It ignores borrowing-base constraints and cannot prove legal headroom.","Borrowing-base certificate"
URIABLProxy-008,Q2 2026,United Rentals,URI,capital-intensive real-economy buildout,ABL public-disclosure proxy bridge,AR securitization stated purchase limit,1500,M USD,raw/sec/industrial-goods/rental-leasing-services/united-rentals-inc/2026-06-18-ex10-1-receivables-purchase-amendment.html,SEC Exhibit 10.1 receivables purchase amendment,"Purchase Limit under AR securitization agreement is 1.500B USD",agreement-term-visible,"The AR securitization facility has a public legal cap.","Purchase limit is not the same as current availability.","Receivables monthly report and collateral report"
URIABLProxy-009,Q2 2026,United Rentals,URI,capital-intensive real-economy buildout,ABL public-disclosure proxy bridge,AR securitization facility balance,1414,M USD,raw/sec/industrial-goods/rental-leasing-services/united-rentals-inc/2026-q2-10q.html,SEC 10-Q debt table,"Debt table reports accounts receivable securitization facility balance of 1.414B USD",filed-term-summary,"AR securitization was near its stated purchase limit at Q2 2026.","Balance does not prove legal availability or purchaser limits.","Receivables monthly report"
URIABLProxy-010,Q2 2026,United Rentals,URI,capital-intensive real-economy buildout,ABL public-disclosure proxy bridge,Gross unused AR purchase-limit capacity before collateral constraints,86,M USD,"raw/sec/industrial-goods/rental-leasing-services/united-rentals-inc/2026-q2-10q.html; raw/sec/industrial-goods/rental-leasing-services/united-rentals-inc/2026-06-18-ex10-1-receivables-purchase-amendment.html",SEC 10-Q debt table and AR agreement,"1500M purchase limit - 1414M balance",proxy-derived,"Only about 86M USD of gross purchase-limit headroom remained before collateral and purchaser constraints.","This is not legal availability under the receivables facility.","Receivables monthly report"
