claim_id,source_id,reporting_entity,period,metric_category,metric_name,value,unit,source_url,local_path,source_location,what_it_proves,what_it_does_not_prove,status
CF-005,obdc-2026q2-sec-10q,Blue Owl Capital Corporation,Q2 2026,vehicle structure,exchange listing,NYSE ticker OBDC,text,https://www.sec.gov/Archives/edgar/data/1655888/000165588826000056/obdc-20260630.htm,raw/primary-sources/capital-flow/blue-owl-capital-corporation/q2-2026/obdc-2026-q2-10q.html,cover page,"OBDC reports common stock listed on the New York Stock Exchange under ticker OBDC.","This identifies the public equity channel, not the underlying shareholder identities.",extracted
CF-005,obdc-2026q2-sec-10q,Blue Owl Capital Corporation,Q2 2026,vehicle structure,registered structure,business development company,text,https://www.sec.gov/Archives/edgar/data/1655888/000165588826000056/obdc-20260630.htm,raw/primary-sources/capital-flow/blue-owl-capital-corporation/q2-2026/obdc-2026-q2-10q.html,forward-looking statement and company overview,"OBDC discusses maintaining BDC status under the Investment Company Act.","This supports public BDC classification but not borrower-level facility size.",extracted
CF-005,obdc-2026q2-sec-10q,Blue Owl Capital Corporation,Q2 2026,vehicle structure,tax status,regulated investment company,text,https://www.sec.gov/Archives/edgar/data/1655888/000165588826000056/obdc-20260630.htm,raw/primary-sources/capital-flow/blue-owl-capital-corporation/q2-2026/obdc-2026-q2-10q.html,forward-looking statement and company overview,"OBDC discusses maintaining RIC status under Subchapter M of the Internal Revenue Code.","RIC status does not identify end investors.",extracted
CF-005,obdc-2026q2-sec-10q,Blue Owl Capital Corporation,Q2 2026,manager relationship,investment adviser,Blue Owl Credit Advisors LLC,text,https://www.sec.gov/Archives/edgar/data/1655888/000165588826000056/obdc-20260630.htm,raw/primary-sources/capital-flow/blue-owl-capital-corporation/q2-2026/obdc-2026-q2-10q.html,company overview,"OBDC reports Blue Owl Credit Advisors LLC serves as investment adviser.","This proves adviser relationship, not Blue Owl corporate-balance-sheet funding.",extracted
CF-005,obdc-2026q2-sec-10q,Blue Owl Capital Corporation,Q2 2026,manager relationship,parent platform reference,Blue Owl Capital Inc. NYSE OWL,text,https://www.sec.gov/Archives/edgar/data/1655888/000165588826000056/obdc-20260630.htm,raw/primary-sources/capital-flow/blue-owl-capital-corporation/q2-2026/obdc-2026-q2-10q.html,company overview,"The adviser is described as an indirect affiliate of Blue Owl Capital Inc. and part of Blue Owl's Credit platform.","This does not prove Blue Owl parent-company capital funded portfolio loans.",extracted
CF-005,obdc-2026q2-sec-10q,Blue Owl Capital Corporation,Q2 2026,balance sheet,total investments at fair value,14955.049,USD millions,https://www.sec.gov/Archives/edgar/data/1655888/000165588826000056/obdc-20260630.htm,raw/primary-sources/capital-flow/blue-owl-capital-corporation/q2-2026/obdc-2026-q2-10q.html,consolidated statements of assets and liabilities,"OBDC reported 14.955049B USD of total investments at fair value at June 30 2026.","This is vehicle scale, not a borrower-specific facility size.",extracted
CF-005,obdc-2026q2-sec-10q,Blue Owl Capital Corporation,Q2 2026,balance sheet,non-controlled non-affiliated investments at fair value,12439.882,USD millions,https://www.sec.gov/Archives/edgar/data/1655888/000165588826000056/obdc-20260630.htm,raw/primary-sources/capital-flow/blue-owl-capital-corporation/q2-2026/obdc-2026-q2-10q.html,consolidated statements of assets and liabilities,"Most OBDC investments are non-controlled non-affiliated investments.","This does not identify which funding layer supported any single borrower.",extracted
CF-005,obdc-2026q2-sec-10q,Blue Owl Capital Corporation,Q2 2026,balance sheet,controlled affiliated investments at fair value,2372.421,USD millions,https://www.sec.gov/Archives/edgar/data/1655888/000165588826000056/obdc-20260630.htm,raw/primary-sources/capital-flow/blue-owl-capital-corporation/q2-2026/obdc-2026-q2-10q.html,consolidated statements of assets and liabilities,"OBDC reported 2.372421B USD of controlled affiliated investments at fair value.","This is affiliate-portfolio context, not ultimate investor proof.",extracted
CF-005,obdc-2026q2-sec-10q,Blue Owl Capital Corporation,Q2 2026,balance sheet,total assets,15354.604,USD millions,https://www.sec.gov/Archives/edgar/data/1655888/000165588826000056/obdc-20260630.htm,raw/primary-sources/capital-flow/blue-owl-capital-corporation/q2-2026/obdc-2026-q2-10q.html,consolidated statements of assets and liabilities,"OBDC reported 15.354604B USD of total assets at June 30 2026.","This does not identify ultimate investor sources.",extracted
CF-005,obdc-2026q2-sec-10q,Blue Owl Capital Corporation,Q2 2026,balance sheet,debt net of debt issuance costs,7903.533,USD millions,https://www.sec.gov/Archives/edgar/data/1655888/000165588826000056/obdc-20260630.htm,raw/primary-sources/capital-flow/blue-owl-capital-corporation/q2-2026/obdc-2026-q2-10q.html,consolidated statements of assets and liabilities,"OBDC reported 7.903533B USD of debt net of debt issuance costs at June 30 2026.","This is vehicle leverage, not borrower allocation.",extracted
CF-005,obdc-2026q2-sec-10q,Blue Owl Capital Corporation,Q2 2026,balance sheet,total liabilities,8322.845,USD millions,https://www.sec.gov/Archives/edgar/data/1655888/000165588826000056/obdc-20260630.htm,raw/primary-sources/capital-flow/blue-owl-capital-corporation/q2-2026/obdc-2026-q2-10q.html,consolidated statements of assets and liabilities,"OBDC reported 8.322845B USD of total liabilities at June 30 2026.","This does not identify which liability funded a specific portfolio loan.",extracted
CF-005,obdc-2026q2-sec-10q,Blue Owl Capital Corporation,Q2 2026,balance sheet,total net assets,7031.759,USD millions,https://www.sec.gov/Archives/edgar/data/1655888/000165588826000056/obdc-20260630.htm,raw/primary-sources/capital-flow/blue-owl-capital-corporation/q2-2026/obdc-2026-q2-10q.html,consolidated statements of assets and liabilities,"OBDC reported 7.031759B USD of total net assets at June 30 2026.","Net assets prove BDC capital base, not ultimate shareholder identities.",extracted
CF-005,obdc-2026q2-sec-10q,Blue Owl Capital Corporation,Q2 2026,equity,common shares outstanding,493.142569,shares millions,https://www.sec.gov/Archives/edgar/data/1655888/000165588826000056/obdc-20260630.htm,raw/primary-sources/capital-flow/blue-owl-capital-corporation/q2-2026/obdc-2026-q2-10q.html,consolidated statements of assets and liabilities,"OBDC reported 493.142569M common shares issued and outstanding at June 30 2026.","Share count does not identify individual shareholders.",extracted
CF-005,obdc-2026q2-sec-10q,Blue Owl Capital Corporation,Q2 2026,equity,NAV per share,14.26,USD/share,https://www.sec.gov/Archives/edgar/data/1655888/000165588826000056/obdc-20260630.htm,raw/primary-sources/capital-flow/blue-owl-capital-corporation/q2-2026/obdc-2026-q2-10q.html,consolidated statements of assets and liabilities,"OBDC reported 14.26 USD net asset value per share at June 30 2026.","NAV per share does not prove capital source.",extracted
CF-005,obdc-2026q2-sec-10q,Blue Owl Capital Corporation,Q2 2026,debt stack,total aggregate principal committed,12242.073,USD millions,https://www.sec.gov/Archives/edgar/data/1655888/000165588826000056/obdc-20260630.htm,raw/primary-sources/capital-flow/blue-owl-capital-corporation/q2-2026/obdc-2026-q2-10q.html,note 5 debt table,"OBDC reported 12.242073B USD of aggregate principal committed across debt instruments.","This includes borrowing capacity and notes but does not allocate proceeds to Precinmac.",extracted
CF-005,obdc-2026q2-sec-10q,Blue Owl Capital Corporation,Q2 2026,debt stack,total outstanding principal,8019.273,USD millions,https://www.sec.gov/Archives/edgar/data/1655888/000165588826000056/obdc-20260630.htm,raw/primary-sources/capital-flow/blue-owl-capital-corporation/q2-2026/obdc-2026-q2-10q.html,note 5 debt table,"OBDC reported 8.019273B USD of outstanding principal across debt instruments.","Outstanding principal is vehicle-level leverage, not a loan-by-loan funding trace.",extracted
CF-005,obdc-2026q2-sec-10q,Blue Owl Capital Corporation,Q2 2026,debt stack,total amount available,4138.072,USD millions,https://www.sec.gov/Archives/edgar/data/1655888/000165588826000056/obdc-20260630.htm,raw/primary-sources/capital-flow/blue-owl-capital-corporation/q2-2026/obdc-2026-q2-10q.html,note 5 debt table,"OBDC reported 4.138072B USD of amount available under debt instruments.","This is funding capacity, not evidence of a specific borrower draw.",extracted
CF-005,obdc-2026q2-sec-10q,Blue Owl Capital Corporation,Q2 2026,debt stack,revolving credit facility committed,4000.000,USD millions,https://www.sec.gov/Archives/edgar/data/1655888/000165588826000056/obdc-20260630.htm,raw/primary-sources/capital-flow/blue-owl-capital-corporation/q2-2026/obdc-2026-q2-10q.html,note 5 debt table,"OBDC reported a 4.000B USD revolving credit facility commitment.","This proves BDC-level bank/facility leverage, not Precinmac-specific lender funding.",extracted
CF-005,obdc-2026q2-sec-10q,Blue Owl Capital Corporation,Q2 2026,debt stack,revolving credit facility outstanding principal,105.500,USD millions,https://www.sec.gov/Archives/edgar/data/1655888/000165588826000056/obdc-20260630.htm,raw/primary-sources/capital-flow/blue-owl-capital-corporation/q2-2026/obdc-2026-q2-10q.html,note 5 debt table,"OBDC reported 105.5M USD outstanding principal on its revolving credit facility at June 30 2026.","This does not say the revolver funded the Precinmac row.",extracted
CF-005,obdc-2026q2-sec-10q,Blue Owl Capital Corporation,Q2 2026,debt stack,revolving credit facility amount available,3856.721,USD millions,https://www.sec.gov/Archives/edgar/data/1655888/000165588826000056/obdc-20260630.htm,raw/primary-sources/capital-flow/blue-owl-capital-corporation/q2-2026/obdc-2026-q2-10q.html,note 5 debt table,"OBDC reported 3.856721B USD available under its revolving credit facility.","This is liquidity capacity, not borrower-level commitment evidence.",extracted
CF-005,obdc-2026q2-sec-10q,Blue Owl Capital Corporation,Q2 2026,debt stack,SPV asset facilities outstanding principal,996.700,USD millions,https://www.sec.gov/Archives/edgar/data/1655888/000165588826000056/obdc-20260630.htm,raw/primary-sources/capital-flow/blue-owl-capital-corporation/q2-2026/obdc-2026-q2-10q.html,note 5 debt table,"SPV Asset Facilities II V and VI had 996.7M USD of outstanding principal in aggregate.","This proves financing-subsidiary leverage but not ultimate investor identity.",extracted
