"goal_row_id","layer","plain_question","scope","required_output","proof_standard","current_state","next_action","boundary","status"
"ARIME2E-001","whole_project","What are we trying to do with all this?","519 company annual-report folder, theme artifacts, capital-flow artifacts, citation audits, proof chases","Plain-English map of what the economy is asking companies to solve and how money routes into those solutions","Source anchors for themes and hard proof for exact cash claims","Integrated article and 15-theme map exist","Use this as the controlling project charter","This is a synthesis goal, not primary evidence.","ready"
"ARIME2E-002","broad_theme_map","What is becoming scarce, hard, delayed, expensive, trusted, financed, maintained, or protected?","Power, industry, healthcare, housing, technology, consumer, services, materials, real estate, finance, labor","15-theme first-principles economic map","Annual reports, filings, operating metrics, source notes, and citation anchors","15-theme integrated map exists","Keep the map as the article spine","Theme evidence can show patterns but not full cash returns.","ready"
"ARIME2E-003","company_sector_map","Which companies and sectors sit near each pressure point?","Company packets and sector clusters across the folder","Company examples, sector coverage, undercovered-sector notes, source anchors","Company packet support plus public source citation for named claims","All-sector coverage and expansion passes exist","Use representative examples rather than claiming every company was deeply proven","Coverage breadth is not the same as proof depth.","ready"
"ARIME2E-004","money_movement_map","Who is investing where and how does the money move?","Asset managers, insurers, banks, BDCs, utilities, REITs, public companies, debt markets","Rows showing source, router, wrapper, destination, use, cash-back proxy, and proof level","Documents must identify source, wrapper, destination, use, and cash evidence","Capital-flow map and big-money-player map exist","Keep capital-flow map connected to broad article but proof-level separated","AUM, capex, backlog, EBITDA, and investment income do not finish the cash chain.","ready"
"ARIME2E-005","named_cash_proof","Can we prove a selected money path all the way through?","Selected cases such as Apollo/Athene, KKR/Global Atlantic, Ares/Frontline, FPL, URI, Wheaton/Antamina, Cheniere/Energy Transfer, PBF","Proof packet with source, wrapper, destination, use, receipt or settlement, legal route, and return","Receipts, billing, settlement ledgers, debt waterfalls, legal-entity schedules, collateral certificates, borrower cash records, and return models","Strong proxies and holds exist, full proof remains open","Treat as appendix or follow-on proof program","Named-cash proof is harder than article-ready insight.","current"
"ARIME2E-006","reader_output","What should the public reader understand?","No-background public article","Readable explanation of what annual reports reveal about modern life, industry, finance, and investment","Source anchors and overclaim controls","Integrated final publication draft exists","Use final draft as main output","The article should not become a stock pitch or proof memo.","ready"
"ARIME2E-007","safe_claims","What can we safely say?","All themes and proof cases","Safe claim and forbidden claim for each major theme or money path","Claim must match proof level","Citation gate, sentence audit, and handoff checklist exist","Preserve proof language in final edits","Do not turn proxies into receipts or returns.","ready"
"ARIME2E-008","finish_line_broad","What finishes the broad annual-report project?","Integrated article package","Readable article, theme map, source anchors, citation queue, sentence audit, link check, handoff checklist","Named metrics cited or removed; links checked; boundaries preserved","Release-candidate package exists","Apply venue-specific citation style and final link recheck before publication","Does not require proving every named cash loop.","near_complete"
"ARIME2E-009","finish_line_cash","What finishes the named-cash proof project?","Selected proof-rich money paths","At least one full proof packet or an explicit public-evidence impossibility finding","Full source-to-return chain or named missing controlled documents","Best cases are ranked but still bounded","Continue only as a targeted proof appendix or future research lane","This should not block the broad article unless the article makes exact cash-return claims.","open"
"ARIME2E-010","decision","What is the controlling decision?","Whole project","Publish broad synthesis with proof boundaries; keep named-cash proof as the hard verification layer","Broad claims need citations; exact money claims need receipts and legal proof","Goal now integrated","Use this page as the front door for next decisions","Do not restart broad research unless the desired article scope changes.","ready"
