event_id,company,ticker,sector,subtheme,event_type,period,date_or_timing,old_debt_or_facility,new_debt_or_facility,amounts,source_basis,status_bucket,claim_read,boundary,next_source
RFL-001,PBF Energy,PBF,Energy,Facility exit and senior-note refinancing,ABL exit plus note refinancing,Q2 2026,Q2 2026,"asset-backed lending facility; 2028 senior notes","refinanced senior notes; lower gross debt","gross debt reduced by over 1B USD; about 802M USD of 2028 senior notes refinanced; cash 894M USD; total debt 1.749B USD; net debt 855M USD","company packet citing Q2 2026 earnings release, 10-Q, and 8-K source pointers",filed,"PBF is the cleanest first-pass refinancing event: repaired operations and insurance proceeds coincided with debt reduction, ABL exit, and senior-note refinancing.","The packet does not provide the new note coupon, maturity, lender group, indenture details, or exact ABL termination mechanics.","Extract PBF Q2 2026 10-Q debt footnote, 8-K exhibits, indenture, ABL termination or payoff language, and new senior-note terms."
RFL-002,PBF Energy,PBF,Energy,Insurance proceeds and balance-sheet repair,insurance-funded liquidity bridge,Q4 2025 to Q2 2026,2025 to Q2 2026,"Martinez fire repair period and stressed net debt position","cash and insurance receipts used alongside operating recovery","2025 insurance reimbursements about 893.5M USD net of deductibles/retentions; fifth Q2 2026 installment 250.0M USD; Q1 2026 net debt about 2.3B USD; Q2 2026 net debt 855M USD","company packet citing Q4 2025, Q1 2026, and Q2 2026 releases/filings",filed,"PBF shows how non-debt capital inflow, operations, and refinancing can combine into rapid balance-sheet repair.","This does not prove the insurance proceeds directly repaid a specific debt instrument without cash-flow and debt-footnote reconciliation.","Extract cash-flow statement, debt rollforward, insurance proceeds classification, and management discussion of use of cash."
RFL-003,Liberty Broadband,not_available,Technology,Facility repayment and transaction-linked term loan,margin-loan repayment via affiliate term loan,Q2 2026,2026-05-12,"margin-loan borrowings and 3.125% exchangeable debenture put funding","Charter term loan to Liberty Broadband","Charter advanced approximately 359M USD term loan to repay part of margin-loan borrowings; Q2 2026 total debt 1.223B USD; current debt 864M USD; noncurrent debt 359M USD","company packet citing Q2 2026 10-Q and Q&A notice source pointers",filed,"Liberty Broadband is a strong capital-structure case because affiliate financing repaid part of margin-loan debt inside a merger-constrained wrapper.","The packet does not disclose all term-loan terms, collateral, margin-loan balance before and after, or lender waiver conditions in full.","Extract Q2 2026 10-Q debt footnote, Charter term-loan agreement, margin-loan waiver, collateral terms, maturity, rate, and merger-close treatment."
RFL-004,Liberty Broadband,not_available,Technology,Exchangeable debt put and margin financing,debt put settlement,Q1 2026 to Q2 2026,2026-04-06,"3.125% exchangeable debentures due 2053","margin-loan proceeds and restricted cash used for settlement","all outstanding 3.125% debentures due 2053 put back; company paid 966M USD including accrued interest; Q1 2026 total debt 2.565B USD; Q2 2026 total debt 1.223B USD","company packet citing Q1 and Q2 2026 10-Q source pointers",filed,"Liberty shows maturity/put risk moving through a margin-loan structure before partial affiliate-term-loan repayment.","This is not ordinary operating-company infrastructure debt; it is ownership-wrapper capital-structure maintenance.","Extract debenture indenture, put notice, settlement footnote, margin loan agreement, restricted cash usage, and merger agreement restrictions."
RFL-005,Devon Energy,DVN,Energy,Merger-period debt stack and liquidity,post-merger debt capacity and debt retirement,Q2 2026,Q2 2026,"standalone Devon debt stack before Coterra merger","enlarged Devon post-merger debt stack with debt retirement activity","Q2 2026 operating cash flow 3.7B USD; adjusted free cash flow 1.7B USD; cash 1.0B USD; revolver undrawn at 3.0B USD; cash used for debt retirement, dividends, buybacks, and New Mexico federal lease acquisition","company packet citing Q2 2026 10-Q, 8-K, earnings release, and supplement",filed,"Devon is not a refinancing event yet; it is a scale-and-liquidity case where merger-period cash flow supports debt retirement and capital allocation.","The packet does not identify which debt was retired, amount retired, maturity relieved, or financing used for the merger.","Extract Q2 2026 10-Q debt rollforward, merger financing disclosures, retired instruments, maturity schedule, and post-merger pro forma leverage."
RFL-006,Devon Energy,DVN,Energy,Standalone pre-merger balance-sheet capacity,undrawn revolver and debt stack,Q4 2025 to Q1 2026,2025-12-31 to 2026-03-31,"standalone Devon debt and liquidity","undrawn revolver capacity preserved before merger close","year-end 2025 cash 1.4B USD; undrawn 3.0B USD credit facility; debt 8.4B USD; net-debt-to-EBITDAX 0.9x; Q1 2026 cash 1.8B USD; revolver undrawn at 3.0B USD; outstanding debt 8.4B USD","company packet citing annual report, Q4 2025 materials, and Q1 2026 10-Q",filed,"Devon entered the merger endpoint from a position of balance-sheet capacity rather than refinancing stress.","This does not show a new financing or lender change by itself.","Extract debt maturity schedule, revolver agreement terms, covenants, and merger-close financing treatment."
RFL-007,Matador Resources,MTDR,Energy,Midstream credit-facility expansion,San Mateo facility amendment,FY2025,2025,"San Mateo credit facility before amendment","San Mateo credit facility with higher commitments","San Mateo credit facility commitments increased to 1.10B USD; Matador generated 2.43B USD operating cash flow and 437.0M USD adjusted free cash flow in 2025","company packet citing 2025 annual report and 10-K source pointers",filed,"Matador shows capital-stack support for upstream-plus-midstream coordination, with facility expansion tied to San Mateo scale.","The packet does not include pricing, maturity, lender group, collateral, drawn amount, or borrowing-base mechanics.","Extract San Mateo credit agreement amendment, lender list, maturity, pricing grid, drawn amount, collateral, and borrowing-base language."
RFL-008,Matador Resources,MTDR,Energy,Acquisition borrowings and repayment,borrowings repaid from free cash flow,Q2 2026,May 2026 to Q2 2026,"borrowings tied to May 2026 Federal lease sale","repayment of lease-sale borrowings","repaid over 200M USD of borrowings tied to May 2026 Federal lease sale; Q2 2026 adjusted free cash flow 303.2M USD; liquidity and San Mateo/Cardinal acquisition context noted","company packet citing Q2 2026 results materials and 10-Q/8-K source pointers",filed,"Matador turns free cash flow into balance-sheet cleanup after acquisition/development-related borrowing.","This does not prove the exact borrowing instrument, rate, maturity, or whether borrowings were revolver, RBL, or another facility.","Extract Q2 2026 debt footnote, borrowing/reimbursement detail, federal lease sale funding entry, and revolver/RBL activity."
RFL-009,Coterra Energy,CTRA,Energy,Acquisition-related term-loan reduction,term-loan repayment during acquisition integration,Q3 2025 to Q1 2026,2025 to February 2026,"1.0B USD term-loan balance issued for Delaware acquisitions","term-loan balance reduced and scheduled for full repayment","through September 2025 retired 600M USD of 1.0B USD term-loan balance; Q4 repaid 100M USD; 300M USD outstanding at year-end to be fully repaid in February 2026","company packet citing Q3/Q4 2025 releases, 2025 10-K, and Q1 2026 10-Q source pointers",filed,"Coterra is a clean acquisition-debt paydown case before the Devon merger endpoint.","The packet does not provide the term-loan agreement, exact February repayment confirmation line, pricing, or lender group.","Extract 2025 10-K debt footnote, Q1 2026 10-Q, term-loan agreement, repayment schedule, and lender/agent details."
RFL-010,CNX Resources,CNX,Energy,Convertible cleanup and secured facility reduction,convertible exchange plus facility paydown,Q4 2025 to Q2 2026,2025 to Q2 2026,"secured credit facility borrowings and 2026 convertible notes","reduced secured facility borrowings and settled/exchanged convertible notes","Q4 2025 reduced secured-credit-facility borrowings by 35M USD and reduced 2026 convertible notes principal by 122M USD through exchange transaction; Q2 2026 settled remaining convertible notes and year-to-date net debt fell by 193M USD","company packet citing 2025 annual report, Q4 2025 materials, and Q2 2026 filings",filed,"CNX shows free-cash-flow use against convertible and secured-facility obligations while continuing buybacks.","The packet does not show conversion/exchange terms, remaining principal, cash versus share settlement, or secured-facility covenant effects.","Extract convertible note footnote, exchange agreement, settlement disclosure, secured credit facility rollforward, and maturity schedule."
RFL-011,Ovintiv,OVV,Energy,Asset-sale funded note redemption,senior note redemption after divestiture,Q2 2026,2026-04-20,"May 2028 senior notes","redeemed senior notes using Anadarko sale proceeds","first-half 2026 divestitures 2.829B USD mostly from Anadarko assets; used sale proceeds to redeem May 2028 senior notes on 2026-04-20; expected annual interest savings about 40M USD; Q2 2026 long-term debt 3.695B USD","company packet citing Q2 2026 filings and results source pointers",filed,"Ovintiv is a clear asset-rotation-to-debt-reduction event, linking portfolio reshaping to maturity and interest-cost relief.","The packet does not disclose redemption amount, coupon, premium, exact carrying value, or full maturity-wall effect.","Extract Q2 2026 10-Q debt footnote, redemption notice, note indenture, gain/loss on extinguishment, coupon, maturity schedule, and divestiture proceeds statement."
RFL-012,Ovintiv,OVV,Energy,Acquisition and liquidity step-up,NuVista acquisition and leverage bridge,Q1 2026 to Q2 2026,2026-02-03 to 2026-06-30,"pre-NuVista debt/liquidity profile","post-acquisition and post-divestiture liquidity profile","NuVista acquisition valued about 2.8B USD; Q1 2026 long-term debt 6.398B USD and total liquidity 2.811B USD; Q2 2026 long-term debt 3.695B USD and total liquidity 4.359B USD","company packet citing Q1/Q2 2026 10-Qs and 8-Ks",filed,"Ovintiv shows acquisition leverage can be rapidly offset by divestiture proceeds and note redemption.","This does not yet isolate cash, stock, debt assumption, bridge financing, or exact pro forma debt movement.","Extract acquisition agreement, financing details, divestiture closing disclosure, debt rollforward, and pro forma capital structure."
RFL-013,Cenovus Energy,CVE,Energy,Acquisition term-loan repayment,MEG acquisition term-loan repayment,Q2 2026,Q2 2026,"MEG acquisition term loan","term loan fully repaid","Q2 2026 cash from operating activities C$5.6B; adjusted funds flow C$5.0B; free funds flow C$3.8B; fully repaid MEG acquisition term loan; net debt down to C$5.4B","company packet citing Q2 2026 6-K/news release and filings",filed,"Cenovus is a strong integrated-energy debt-paydown case: post-acquisition cash generation repaid the acquisition term loan quickly.","The packet does not provide original term-loan size, exact repayment amount in Q2, interest rate, maturity, or lender group.","Extract Q2 2026 6-K/MD&A debt footnote, MEG acquisition financing disclosure, term-loan agreement, repayment amount, and maturity schedule."
