row_id,case_or_borrower,lane,visible_transaction_or_context,use_of_proceeds_classification,use_of_proceeds_confidence,strongest_evidence,amount_context,holder_or_vehicle_context,productive_capacity_status,what_this_says,what_this_does_not_say,next_document_needed,priority,overclaim_boundary
UOP-001,Auctane / Stamps.com,software and services,Thoma Bravo acquisition of Stamps.com / Auctane,acquisition finance plus confirmed prior bank-credit-facility termination,high,"SEC proxy says debt-financing proceeds would fund amounts required to terminate the Stamps.com credit facility; closing 8-K confirms the prior bank-led credit agreement was terminated at closing.","6.6B USD transaction value; 2.775B USD unitranche/direct-lending financing.","BXSL top-ten exposure and ARCC Auctane first-lien fair-value row provide holder-side evidence.",control-transfer-and-refinancing-not-organic-capex,"Private credit funded a large sponsor take-private and the transaction closed with termination of a named bank-led credit facility.","It does not prove organic capacity investment, post-close bank exclusion, or every final lender allocation.","Final credit agreement, funds-flow/payoff materials, post-close lender list, and operating investment plan.",high,"Do not describe this as productive growth capex without post-close operating-use evidence."
UOP-002,Medallia,software and services,Thoma Bravo acquisition and later lender-led ownership transition,acquisition finance plus bank-credit repayment plus recapitalization/workout control,high,"SEC acquisition 8-K states approximately 1.8B USD debt commitment; proxy says merger funding would repay existing Wells Fargo-administered credit agreement; 2026 Medallia source shows lender-led ownership transition and 150M USD new capital.","6.4B USD transaction value; 1.8B USD debt commitment; 5B USD equity commitment; 150M USD new capital in later recapitalization.","BXSL top-ten exposure plus lender-led ownership transition involving Blackstone, Apollo, and FS KKR.",control-transfer-refinancing-and-rescue-capital,"Private credit financed a take-private, repaid existing bank-administered debt, and later became part of the control path.","It does not prove clean organic growth use, final lender allocation, or full post-close bank role.","Debt commitment letter, definitive credit agreement, lender allocation schedule, recapitalization terms, and post-close bank-role evidence.",high,"Do not treat the lender-led transition as ordinary growth financing."
UOP-003,Guidehouse,commercial and professional services,Bain acquisition of Guidehouse from Veritas,sponsor buyout acquisition finance with secondary-source bank-competition evidence,medium,"Guidehouse source supports 5.3B USD Bain acquisition; Bloomberg Law source says Blackstone-led private lenders held off banks and references 3.075B USD facility/debt context.","5.3B USD transaction value; 3.075B USD secondary-source debt/facility reference.","BXSL top-ten borrower exposure.",control-transfer-acquisition-finance,"Guidehouse is a strong acquisition-financing and bank-competition lead.","It does not prove final use of proceeds, lender group, bank role, or primary-source facility size.","Primary credit agreement, rating report, lender presentation, debt commitment letter, or sponsor financing summary.",medium-high,"Do not call the bank-competition claim primary-source-proven."
UOP-004,AeriTek,commercial refrigeration and foodservice equipment,Mill Point / NRAC acquisition context and Ares selected-borrower acquisition financing,acquisition finance,medium-high,"Ares selected direct-lending source classifies AeriTek as acquisition financing; Mill Point operating evidence says NRAC acquisition added brands serving more than 850 customers.","No hard facility-size or transaction-debt amount captured in this pass.","ARCC Q2 2026, Kayne Q1 2026, and ASIF Q1 2026 holder rows; latest visible 2026 holder exposure 71.3741M USD in master rollup.",control-transfer-plus-platform-expansion-context,"Private credit appears tied to acquisition financing for a refrigeration/foodservice equipment platform.","It does not prove total acquisition financing, use-of-proceeds detail, organic capex, lender group, or bank replacement.","NRAC acquisition financing document, counsel release, rating report, credit agreement, UCC evidence, or lender allocation schedule.",medium-high,"Do not infer that all holder exposure funded growth capex."
UOP-005,Atwell,critical infrastructure and engineering services,Advent acquisition financing and prior Bank of America-led facility,acquisition finance with live refinancing/bank-replacement test,medium-high,"Ares says it was administrative agent, joint lead arranger, and joint bookrunner for a senior secured facility supporting Advent's acquisition of Atwell; prior 2024 Bank of America-led 200M USD facility is visible.","200M USD prior bank facility denominator; Atwell holder rows total small same-period slices rather than facility size.","K-FITS and FSK Q2 2026 holder rows; same-period fair value 7.1860M USD plus 0.8880M USD unfunded commitment.",control-transfer-with-possible-refinancing-unproven,"Atwell is the cleanest use-of-proceeds test because acquisition financing and prior bank facility evidence both exist.","It does not prove the 2024 bank facility was repaid, amended, terminated, or left in place.","2026 credit agreement, debt commitment letter, rating report, UCC termination/amendment, payoff letter, or lender list.",highest,"Do not say acquisition financing replaced the bank facility without repayment/termination evidence."
UOP-006,Frontline Road Safety,roadway safety and infrastructure services,Bain continued growth plan financing,continued growth plan / acquisition-platform support,medium,"Ares says it was lead arranger and bookrunner for a senior secured facility supporting Bain Capital's continued growth plans for Frontline.","No hard facility-size or debt-use amount captured; latest same-period fair value 198.6750M USD and 0.6120M USD unfunded commitment.","FSK, K-FITS, GSBD, ASIF, and GSPCC holder/commitment rows.",growth-plan-visible-specific-use-unproven,"Private credit reaches an infrastructure-adjacent roadway safety platform and is linked to continued growth language.","It does not prove organic capex, acquisition use, refinancing, total facility size, Ares allocation, or bank replacement.","Credit agreement, rating report, lender allocation schedule, Bain financing source, acquisition/use schedule, or payoff evidence.",high,"Do not treat continued-growth wording as proof of productive capex."
UOP-007,Jiffy Lube / Premium Velocity Auto,automotive services franchising,Monomoy acquisition of Jiffy Lube International and Premium Velocity Auto,acquisition finance transaction context only,medium,"Shell/Jiffy sources disclose 1.3B USD acquisition; Ares says it was joint lead arranger for a senior secured facility supporting Monomoy's acquisition.","1.3B USD sale value; no captured debt size or holder-dollar row.","Ares arranger-role evidence only; no reliable holder row captured.",control-transfer-visible-debt-use-unproven,"Jiffy/PVA is a large consumer-service-network acquisition-financing lead.","It does not prove debt size, funded amount, Ares allocation, holder exposure, full lender group, use of proceeds beyond acquisition support, or bank replacement.","Q3 2026 BDC schedules, rating report, credit agreement, acquisition vehicle names, UCC record, lender announcement, or Monomoy financing source.",high,"Do not equate 1.3B USD sale value with debt size or borrower exposure."
UOP-008,MAI Capital,wealth-management advisory consolidation,Ares selected continued M&A strategy and New Mountain/BDC holder evidence,continued M&A strategy / consolidation finance,medium,"Ares selected-borrower source says MAI financing supported continued M&A strategy; ARCC, ASIF, New Mountain Private Credit Fund, and New Mountain Guardian IV disclose MAI-related rows.","Latest visible funded holder exposure 35.2233M USD; visible unfunded commitment 12.4010M USD in master rollup.","Public BDC, Ares-managed non-traded/private-credit, and New Mountain private-credit/non-traded vehicles.",acquisition-platform-support-visible-specific-acquisition-map-missing,"Private credit reaches a wealth-management consolidation platform with stated M&A strategy context.","It does not prove which acquisition was funded, total facility size, lender group, use-of-proceeds split, or bank role.","MAI acquisition timeline, financing release, rating report, credit agreement, lender allocation schedule, or UCC evidence.",medium-high,"Do not allocate holder rows to specific acquisitions without a transaction map."
UOP-009,Precinmac,precision manufacturing aerospace defense semiconductor and power,Ares selected incremental commitment for continued growth and FY2024 holder evidence,incremental commitment for continued growth / holder-purpose bridge incomplete,medium,"Ares selected-borrower source describes incremental commitment for continued growth; SDLP and OBDC disclose Precinmac-related first-lien debt and commitments in FY2024 holder evidence.","Master rollup funded fair value 274.8840M USD and unfunded commitment 8.3720M USD; same-period selected period FY2024.","SDLP direct-lending program and OBDC public BDC holder rows.",growth-language-visible-current-use-bridge-incomplete,"Private credit reaches precision manufacturing end markets and Ares describes growth commitment context.","It does not prove current 2026 facility, use-of-proceeds detail, acquisition/capex split, lender group, or bank replacement.","Current-period holder refresh, credit agreement, rating report, Centerbridge financing source, lender list, amendment, or capital-structure disclosure.",high,"Do not imply FY2024 holder rows prove the 2026 incremental commitment."
UOP-010,Relation Insurance,insurance brokerage consolidation,BayPine acquisition of Relation,acquisition finance with holder/commitment bridge incomplete,medium-high,"Ares says it was joint lead arranger and joint bookrunner for a senior secured facility supporting BayPine's acquisition of Relation; Latham confirms financing source; GSBD/GSPCC rows show Relation/AQ Sunshine debt or commitments.","Latest funded holder exposure 4.5480M USD; visible unfunded commitments 77.5410M USD in master rollup.","GSBD public BDC, GSPCC non-traded/private-credit, and historical Phillip Street holder evidence.",control-transfer-acquisition-finance-row-to-facility-map-missing,"Private credit is linked to acquisition financing for an insurance-brokerage consolidation platform.","It does not prove the GSBD/GSPCC rows are the BayPine/Ares facility, total facility size, lender group, Ares allocation, or bank replacement.","Relation/BayPine credit agreement, rating report, lender allocation schedule, UCC record, payoff evidence, or counsel financing summary.",high,"Do not treat commitment rows as drawn acquisition debt."
