bridge_id,company,layer,metric_or_status,period_or_date,value,unit,evidence_page,evidence_status,what_it_says,what_it_does_not_say,next_source
"CFADARB-001","AEP","load status","Incremental contracted load by 2030","Q4 2025","56","GW","capital-flow-aep-duke-normalized-bridge-tables.md","company-source-table-normalized","AEP disclosed a large signed/contracted load baseline before the 2026 updates.","It does not prove all load is energized, approved, or recoverable.","Source-table footnote capture by state/RTO and customer obligation."
"CFADARB-002","AEP","load status","Incremental contracted load by 2030","Q1 2026","63","GW","capital-flow-aep-duke-normalized-bridge-tables.md","company-source-table-normalized","AEP's load opportunity increased in Q1 and carries state/RTO split evidence.","It cannot be blindly added to later expected-load numbers if definitions differ.","Exact Q1 table extraction and ESA/LOA distinction."
"CFADARB-003","AEP","load status","Incremental contracted load with conditions","Q2 2026","69","GW","capital-flow-aep-duke-normalized-bridge-tables.md","company-source-table-normalized","AEP's Q2 number is the latest visible load bridge and includes condition language around customer financial agreements.","It is not proof that every GW is connected, firm, or rate-base-generating.","Q2 footnotes by state/RTO/customer type."
"CFADARB-004","AEP","capital plan","Five-year capital plan baseline","Q4 2025","72","B USD","capital-flow-aep-duke-source-table-extraction-pass.md","official-company-source","AEP had a large capital-plan baseline before the Q1 2026 increase.","It does not isolate load-driven, maintenance, transmission, distribution, or generation dollars.","Capital-plan category table and utility-level split."
"CFADARB-005","AEP","capital plan","Updated five-year capital plan","Q1 2026","78","B USD","capital-flow-aep-duke-source-table-extraction-pass.md","official-company-source","AEP raised its capital plan with PJM/SPP transmission and I&M gas generation identified in the bridge.","It does not prove every incremental dollar is approved or customer-backed.","Jurisdictional approval and rate-recovery map for the incremental 6B USD."
"CFADARB-006","AEP","physical procurement","Secured turbine capacity through 2031","Q2 2026","13","GW","capital-flow-aep-duke-source-table-extraction-pass.md","official-company-source","Turbine procurement moves the claim from demand commentary toward physical supply-chain commitment.","Secured turbines are not the same as approved generating plants or in-service capacity.","Project mapping by utility, state, COD, cost, and approval status."
"CFADARB-007","AEP","affordability and customer protection","Expected residential customer cost offsets","Q2 2026","16","B USD","capital-flow-aep-duke-source-table-extraction-pass.md","official-company-source","AEP ties large-load growth to customer-offset mechanics rather than only gross capex.","The offset estimate does not prove final bill impact or regulatory acceptance.","Tariff/rider orders and cost-allocation schedules."
"CFADARB-008","AEP","policy funding","Projected customer savings from DOE loans and grants","Q2 2026","1.4","B USD","capital-flow-aep-duke-source-table-extraction-pass.md","official-company-source","DOE loan/grant support is part of the affordability and recovery bridge.","It does not allocate savings to specific projects or customers.","DOE award notices and utility regulatory filings."
"CFADARB-009","AEP","tariff gate","AEP Ohio data-center tariff effective","July 23 2025","effective","status","capital-flow-aep-duke-regulatory-docket-extraction-pass.md","regulatory-docket-extraction","AEP Ohio has an official tariff process for large data-center load rather than only informal load requests.","An effective tariff does not prove specific customers signed LOA/ESA contracts or energized load.","PUCO docket order, compliance tariff, and customer application queue."
"CFADARB-010","AEP","tariff gate","Large data-center threshold","July 2025","25000","kW","capital-flow-aep-duke-regulatory-docket-extraction-pass.md","regulatory-docket-extraction","The tariff creates a threshold for moving large-load requests into a formal study/obligation process.","It does not prove approval, interconnection, or final customer load.","Tariff sheet and PowerClerk application records."
"CFADARB-011","AEP","tariff gate","Load study fee range","July 2025","10000-100000","USD","capital-flow-aep-duke-regulatory-docket-extraction-pass.md","regulatory-docket-extraction","Customers must cross a cash/friction gate before moving through the large-load process.","A study fee is not the same as binding capacity payment or minimum demand obligation.","Executed LOA/ESA examples and tariff fee schedules."
"CFADARB-012","AEP","tariff gate","LOA cancellation or delay reimbursement","July 2025","100","percent of buildout costs","capital-flow-aep-duke-regulatory-docket-extraction-pass.md","regulatory-docket-extraction","The tariff can shift cancellation/delay cost risk toward large-load customers.","It does not prove the reimbursement applies to every project or has been collected.","Executed LOA/ESA terms and cancellation history."
"CFADARB-013","AEP","generation approval path","Big Sandy Peaker request under I&M EGR Plan","2026","318","MW","capital-flow-aep-duke-regulatory-docket-extraction-pass.md","regulatory-docket-extraction","I&M has a named generation procurement path connected to regulatory process.","The extracted pass did not prove final Big Sandy approval or closing.","IURC final order, cause number, acquisition terms, and rate treatment."
"CFADARB-014","Duke","load status","Secured data-center ESAs","Q1 2026","7.6","GW","capital-flow-aep-duke-normalized-bridge-tables.md","company-source-table-normalized","Duke has stronger evidence than pipeline commentary because it discloses secured ESAs.","Secured ESAs are not automatically delivered load or earned return.","ESA split by utility, customer, site, timing, and minimum obligations."
