retail_system,subtype_family,company_name,ticker,sector,industry,company_packet_path,relationship_type,main_repeat_behavior,frequency_band,physical_embedding_level,main_second_monetization_layer,price_or_identity_axis,discretionary_intensity,primary_monetization_side,main_open_extension,last_updated,status
"Utility-and-membership retail","utility retail","Amazon.com, Inc.",AMZN,Retail,"Specialty Retail, Other","/home/manishmehta/ui-projects/annual-report-research/extracted/retail/specialty-retail-other/amazoncom-inc/company-packet.md","account-level utility relationship widened by Prime seller services and ads","frequent household and replenishment shopping","high-frequency everyday","high","ads seller services subscriptions fulfillment","utility convenience and breadth","mixed but utility-heavy","balanced buyer-plus-seller monetization","compare more directly against Walmart and Target on marketplace and retail-media widening versus Prime-led utility",2026-08-10,in-progress
"Utility-and-membership retail","utility retail","Costco Wholesale Corporation",COST,Services,"Discount, Variety Stores","/home/manishmehta/ui-projects/annual-report-research/extracted/services/discount-variety-stores/costco-wholesale-corp/company-packet.md","paid utility membership and trusted value access","repeat stock-up trips and household utility behavior","medium-to-high frequency utility repeat","high","membership fees and digital convenience","value and utility","low-to-mid discretionary intensity","buyer-membership weighted","tighten comparison against Walmart and Amazon on where paid access matters more than ads or marketplace breadth",2026-08-10,in-progress
"Utility-and-membership retail","utility retail","Walmart Inc.",WMT,Services,"Discount, Variety Stores","/home/manishmehta/ui-projects/annual-report-research/extracted/services/discount-variety-stores/walmart-inc/company-packet.md","mass-scale utility relationship widened by marketplace membership and media","repeat household spending plus omnichannel convenience","high-frequency everyday","high","retail media membership marketplace omnichannel services","utility value and breadth","mixed but utility-heavy","balanced buyer-plus-seller monetization","compare against Amazon and Target on attached monetization beyond the core basket",2026-08-10,in-progress
"Utility-and-membership retail","utility retail","Target Corp.",TGT,Services,"Discount, Variety Stores","/home/manishmehta/ui-projects/annual-report-research/extracted/services/discount-variety-stores/target-corp/company-packet.md","utility retail relationship with lighter but growing second layers","repeat household trips with same-day and app reinforcement","high-frequency everyday","high","Roundel Target Circle 360 Target+ and same-day delivery","utility with more merchandising curation","mixed with more discretionary mix","buyer-plus-ad weighted","test how far the middle case can thicken without Walmart or Amazon scale",2026-08-10,in-progress
"Replenishment retail","replenishment retail","The Kroger Company",KR,Services,"Retail-Grocery Stores","/home/manishmehta/ui-projects/annual-report-research/extracted/services/retail-grocery-stores/the-kroger-company/company-packet.md","grocery-frequency and loyalty relationship","recurring essentials trips and household fill-in behavior","high-frequency household repeat","high","loyalty data retail media and basket capture","necessity and convenience","low discretionary intensity","buyer-plus-ad weighted","compare against Walmart and Costco on how grocery frequency turns into ad and loyalty economics",2026-08-10,in-progress
"Replenishment retail","replenishment retail","Dollar General Corporation",DG,Services,"Discount, Variety Stores","/home/manishmehta/ui-projects/annual-report-research/extracted/services/discount-variety-stores/dollar-general-corporation/company-packet.md","neighborhood convenience and consumables density relationship","fill-in trips and low-ticket recurring essentials","high-frequency neighborhood repeat","high","price architecture convenience density and productivity","necessity and affordability","low discretionary intensity","buyer-basket weighted","compare against Dollar Tree and Kroger on convenience density versus ticket expansion",2026-08-10,in-progress
"Replenishment retail","replenishment retail","Dollar Tree, Inc.",DLTR,Services,"Discount, Variety Stores","/home/manishmehta/ui-projects/annual-report-research/extracted/services/discount-variety-stores/dollar-tree-inc/company-packet.md","value-led basket relationship widened by multi-price architecture","recurring low-ticket household and party or consumables trips","high-frequency household repeat","high","multi-price architecture and basket capture","value and affordability","low-to-mid discretionary intensity","buyer-basket weighted","compare against Dollar General on ticket expansion versus neighborhood convenience",2026-08-10,in-progress
"Bargain-discovery retail","value-hunt retail","Ross Stores, Inc.",ROST,Services,"Apparel Stores","/home/manishmehta/ui-projects/annual-report-research/extracted/services/apparel-stores/ross-stores-inc/company-packet.md","traffic-led branded-bargain relationship","repeat treasure-hunt trips and branded value discovery","medium-frequency discovery repeat","high","traffic-led branded-value capture and merchandise turn","value-hunt and discovery","mid discretionary intensity","buyer-traffic weighted","compare against Burlington and TJX on where scale versus curation matters most",2026-08-10,in-progress
"Bargain-discovery retail","value-hunt retail","Burlington Stores, Inc.",BURL,"Consumer Goods","Discount, Variety Stores","/home/manishmehta/ui-projects/annual-report-research/extracted/consumer-goods/discount-variety-stores/burlington-stores-inc/company-packet.md","off-price branded-value relationship","repeat bargain hunting and store-led discovery","medium-frequency discovery repeat","high","traffic share capture and store expansion","value-hunt and branded bargains","mid discretionary intensity","buyer-traffic weighted","compare against Ross and TJX on off-price growth and sourcing flexibility",2026-08-10,in-progress
"Bargain-discovery retail","value-hunt retail","Ollie's Bargain Outlet Holdings, Inc.",OLLI,"Consumer Goods","Discount, Variety Stores","/home/manishmehta/ui-projects/annual-report-research/extracted/consumer-goods/discount-variety-stores/ollies-bargain-outlet-holdings-inc/company-packet.md","closeout and excess-inventory value relationship","low-ticket treasure-hunt and flexible buying behavior","medium-frequency discovery repeat","high","flexible buying and recurring bargain discovery","value-hunt and closeout","low-to-mid discretionary intensity","buyer-traffic weighted","compare against TJX Ross and Burlington on thinner relationship systems with strong value behavior",2026-08-10,in-progress
