bridge_id,queue_id,evidence_gate,evidence_source,current_status,period,evidence_now,value_or_metric,proof_result,money_movement_answer,missing_proof,next_required_source,safe_claim
CFKKRGABA-001,CFE2EGUQ-014,insurance-platform-scale,capital-flow-kkr-global-atlantic-q2-2026-extractions.csv,visible,Q2 2026,Global Atlantic AUM,220 USD billions,passes-platform-scale,"KKR has a large Global Atlantic insurance-linked capital base.","AUM does not identify statutory liability type, holdings, borrower use, or cash receipts.","Global Atlantic statutory statements and legal-entity asset schedules.","KKR/Global Atlantic has insurance balance-sheet, asset-income, and credit-quality proxy evidence, but statutory vehicle-to-borrower allocation remains unproven."
CFKKRGABA-002,CFE2EGUQ-014,credit-aum-scale,capital-flow-kkr-global-atlantic-q2-2026-extractions.csv,visible,Q2 2026,Global Atlantic credit AUM,164 USD billions,passes-credit-channel-scale,"The Global Atlantic insurance channel is credit-heavy at platform scale.","Credit AUM is not automatically private credit, statutory ownership, or borrower destination proof.","Public/private credit split, statutory holdings, and borrower schedules.","KKR/Global Atlantic has insurance balance-sheet, asset-income, and credit-quality proxy evidence, but statutory vehicle-to-borrower allocation remains unproven."
CFKKRGABA-003,CFE2EGUQ-014,reinsurance-vehicle-scale,capital-flow-kkr-global-atlantic-q2-2026-extractions.csv,visible,Q2 2026,Ivy and sponsored reinsurance vehicles AUM,62 USD billions,passes-reinsurance-channel-scale,"Sponsored reinsurance vehicles add another capital-routing layer around Global Atlantic.","Vehicle AUM does not prove funded assets, borrower use, asset quality, or cash return.","Ivy/reinsurance statutory filings, asset schedules, and funds-withheld agreements.","KKR/Global Atlantic has insurance balance-sheet, asset-income, and credit-quality proxy evidence, but statutory vehicle-to-borrower allocation remains unproven."
CFKKRGABA-004,CFE2EGUQ-014,insurance-operating-earnings,capital-flow-kkr-global-atlantic-q2-2026-extractions.csv,visible,Q2 2026,insurance operating earnings,288.220 USD millions,passes-operating-earnings-proxy,"The insurance segment has visible earnings, not only AUM scale.","Operating earnings do not allocate income or credit cost by asset class.","Insurance operating earnings bridge, asset income, liability cost, and realized gain/loss schedules.","KKR/Global Atlantic has insurance balance-sheet, asset-income, and credit-quality proxy evidence, but statutory vehicle-to-borrower allocation remains unproven."
CFKKRGABA-005,CFE2EGUQ-014,balance-sheet-investment-denominator,capital-flow-kkr-global-atlantic-q2-2026-10q-extractions.csv,visible,Q2 2026,insurance investments,189.204380 USD billions,passes-insurance-investment-denominator,"KKR's 10-Q gives a direct insurance investment balance-sheet denominator.","The denominator does not by itself provide statutory designation, borrower identity, income, or cash receipt by holding.","Global Atlantic statutory Schedule D/BA and investment schedules.","KKR/Global Atlantic has insurance balance-sheet, asset-income, and credit-quality proxy evidence, but statutory vehicle-to-borrower allocation remains unproven."
CFKKRGABA-006,CFE2EGUQ-014,liability-denominator,capital-flow-kkr-global-atlantic-q2-2026-10q-extractions.csv,visible,Q2 2026,insurance policy liabilities,205.499130 USD billions,passes-liability-denominator,"Policy liabilities provide the funding-side denominator for insurance balance-sheet investments.","This does not prove duration, surrender behavior, liability cost, or matching to assets.","Statutory reserve and liability-duration exhibits.","KKR/Global Atlantic has insurance balance-sheet, asset-income, and credit-quality proxy evidence, but statutory vehicle-to-borrower allocation remains unproven."
CFKKRGABA-007,CFE2EGUQ-014,fixed-maturity-asset-class,capital-flow-kkr-global-atlantic-q2-2026-10q-extractions.csv,visible,Q2 2026,insurance AFS fixed maturity securities fair value,88.056662 USD billions,passes-asset-class-visibility,"Fixed-maturity securities are the largest disclosed insurance investment category.","AFS fixed maturities are not borrower-level private credit and need ratings/NAIC treatment.","AFS schedule by sector, rating, NAIC designation, amortized cost, fair value, and income.","KKR/Global Atlantic has insurance balance-sheet, asset-income, and credit-quality proxy evidence, but statutory vehicle-to-borrower allocation remains unproven."
CFKKRGABA-008,CFE2EGUQ-014,loan-asset-class,capital-flow-kkr-global-atlantic-q2-2026-10q-extractions.csv,visible,Q2 2026,insurance mortgage and other loan receivables net,48.754106 USD billions,passes-loan-exposure-visibility,"Loan assets are material inside the Global Atlantic insurance portfolio.","This does not identify borrower names, origination channel, use of proceeds, or full collateral quality.","Loan schedule by borrower/type/property, LTV, non-accrual, rating, and repayment performance.","KKR/Global Atlantic has insurance balance-sheet, asset-income, and credit-quality proxy evidence, but statutory vehicle-to-borrower allocation remains unproven."
CFKKRGABA-009,CFE2EGUQ-014,investment-income-total,capital-flow-kkr-global-atlantic-q2-2026-10q-extractions.csv,visible,Six months ended June 30 2026,net investment income insurance six months,4.028186 USD billions,passes-investment-income-visibility,"The insurance investment base is producing measurable net investment income.","Net investment income does not prove risk-adjusted spread or statutory cash receipt by asset.","Investment income by asset class, liability cost, realized gains/losses, impairments, and statutory cash schedules.","KKR/Global Atlantic has insurance balance-sheet, asset-income, and credit-quality proxy evidence, but statutory vehicle-to-borrower allocation remains unproven."
CFKKRGABA-010,CFE2EGUQ-014,fixed-maturity-income,capital-flow-kkr-global-atlantic-q2-2026-10q-extractions.csv,visible,Six months ended June 30 2026,fixed maturity securities investment income six months,3.351757 USD billions,passes-asset-class-income,"Fixed-maturity securities generated most of disclosed six-month insurance investment income.","This does not identify yield, credit spread, statutory designation, or realized cash by holding.","Fixed-maturity income schedule by category, rating, designation, and realized gains/losses.","KKR/Global Atlantic has insurance balance-sheet, asset-income, and credit-quality proxy evidence, but statutory vehicle-to-borrower allocation remains unproven."
CFKKRGABA-011,CFE2EGUQ-014,loan-income,capital-flow-kkr-global-atlantic-q2-2026-10q-extractions.csv,visible,Six months ended June 30 2026,mortgage and other loan investment income six months,1.541995 USD billions,passes-loan-income-proxy,"Mortgage and other loan assets generated meaningful six-month insurance investment income.","Loan income is not borrower-level repayment, cash receipt, or risk-adjusted spread proof.","Loan-level income, non-accrual, cash receipt, charge-off, LTV, and borrower use data.","KKR/Global Atlantic has insurance balance-sheet, asset-income, and credit-quality proxy evidence, but statutory vehicle-to-borrower allocation remains unproven."
CFKKRGABA-012,CFE2EGUQ-014,loan-credit-allowance,capital-flow-kkr-global-atlantic-q2-2026-10q-extractions.csv,visible,Q2 2026,mortgage and other loan allowance for credit losses,0.671094 USD billions,passes-credit-risk-proxy,"The loan book has a visible credit-loss allowance, improving risk visibility.","Allowance is not a full credit-quality distribution, stress test, or realized loss history.","CECL roll-forward, charge-offs, non-accruals, ratings, and collateral values.","KKR/Global Atlantic has insurance balance-sheet, asset-income, and credit-quality proxy evidence, but statutory vehicle-to-borrower allocation remains unproven."
CFKKRGABA-013,CFE2EGUQ-014,loan-performance-risk,capital-flow-kkr-global-atlantic-q2-2026-10q-extractions.csv,visible,Q2 2026,mortgage loans 90 days or foreclosure non-income producing,0.2964 USD billions,passes-loan-performance-risk-proxy,"Past-due/foreclosure disclosure provides concrete loan performance-risk context.","This does not prove the rest of the portfolio is low risk or identify borrowers.","Loan aging, non-income-producing loans, collateral detail, property type, and vintage data.","KKR/Global Atlantic has insurance balance-sheet, asset-income, and credit-quality proxy evidence, but statutory vehicle-to-borrower allocation remains unproven."
CFKKRGABA-014,CFE2EGUQ-014,ltv-credit-quality-proxy,capital-flow-kkr-global-atlantic-q2-2026-10q-extractions.csv,visible,Q2 2026,commercial mortgage loans LTV 70 percent or less / over 90 percent,21.958570 USD billions at 70 percent or less; 0.507010 USD billions over 90 percent,passes-ltv-distribution-proxy,"The commercial mortgage book has LTV bucket evidence, including a small high-LTV bucket relative to lower-LTV exposure.","This is not borrower-level collateral proof and does not include full property/vintage/rating stress.","Commercial mortgage schedule by property type, geography, vintage, borrower, collateral, and stress LTV.","KKR/Global Atlantic has insurance balance-sheet, asset-income, and credit-quality proxy evidence, but statutory vehicle-to-borrower allocation remains unproven."
CFKKRGABA-015,CFE2EGUQ-014,fhlb-bank-adjacent-funding,capital-flow-kkr-global-atlantic-q2-2026-10q-extractions.csv,visible,Q2 2026,FHLB funding-agreement pledged assets carrying value,9.2 USD billions,passes-bank-adjacent-funding-context,"Global Atlantic still uses bank-adjacent funding infrastructure through pledged assets for FHLB funding agreements.","This prevents a clean bank-displacement claim and does not show final liability/collateral economics.","FHLB agreement, funding-agreement terms, pledged collateral schedule, and liability cost.","KKR/Global Atlantic has insurance balance-sheet, asset-income, and credit-quality proxy evidence, but statutory vehicle-to-borrower allocation remains unproven."
CFKKRGABA-016,CFE2EGUQ-014,queue-decision,capital-flow-kkr-global-atlantic-q2-2026-extractions.csv; capital-flow-kkr-global-atlantic-q2-2026-10q-extractions.csv; capital-flow-insurance-statutory-asset-quality-bridge-pass-1.csv,boundary-pass,Q2 2026,statutory vehicle borrower allocation,not proven,executed-local-boundary-pass-1,"KKR/Global Atlantic answers the money-movement question at insurance balance-sheet and asset-class-income level: insurance-linked capital and policy liabilities sit behind a large investment base, fixed maturities and loans generate investment income, and loan allowances/past-due/LTV buckets provide credit-quality proxy evidence.","The upgrade target is not fully met because statutory legal-entity schedules, Schedule D/BA holdings, NAIC designations, vehicle-to-borrower allocation, borrower facility use, cash receipts, repayment performance, and liability-cost spread remain missing.","Global Atlantic statutory filings, Schedule D/BA, NAIC designation schedules, investment income by statutory entity, borrower/facility schedules, FHLB collateral files, and liability-cost/spread schedules.","KKR/Global Atlantic has insurance balance-sheet, asset-income, and credit-quality proxy evidence, but statutory vehicle-to-borrower allocation remains unproven."
