claim_id,company,manager,vehicle,period,industry,fair_value_usd_m,share_of_total_fair_value_percent,percent_of_net_assets_sum,sections_seen,component_rows,source_file,reconciliation_note,status
"CF-004, CF-005",Blue Owl Capital Corporation,Blue Owl,OBDC,Q2 2026 / June 30 2026,Internet software and services,1732.587,11.59,24.6,Non-controlled/non-affiliated portfolio company investments,2,raw/primary-sources/capital-flow/blue-owl-capital-corporation/q2-2026/obdc-2026-q2-10q.html,"Aggregates official OBDC industry subtotal rows across non-controlled, affiliated, and controlled sections; misc commitment adjustments are excluded from industry lane ranking.",official-industry-summary-reconciles-to-source-subtotals
"CF-004, CF-005",Blue Owl Capital Corporation,Blue Owl,OBDC,Q2 2026 / June 30 2026,Healthcare providers and services,1273.764,8.52,18.2,Non-controlled/non-affiliated portfolio company investments,2,raw/primary-sources/capital-flow/blue-owl-capital-corporation/q2-2026/obdc-2026-q2-10q.html,"Aggregates official OBDC industry subtotal rows across non-controlled, affiliated, and controlled sections; misc commitment adjustments are excluded from industry lane ranking.",official-industry-summary-reconciles-to-source-subtotals
"CF-004, CF-005",Blue Owl Capital Corporation,Blue Owl,OBDC,Q2 2026 / June 30 2026,Asset based lending and fund finance,1110.913,7.43,15.7,Controlled/affiliated portfolio company investments(24); Non-controlled/affiliated portfolio company investments(24); Non-controlled/non-affiliated portfolio company investments,5,raw/primary-sources/capital-flow/blue-owl-capital-corporation/q2-2026/obdc-2026-q2-10q.html,"Aggregates official OBDC industry subtotal rows across non-controlled, affiliated, and controlled sections; misc commitment adjustments are excluded from industry lane ranking.",official-industry-summary-reconciles-to-source-subtotals
"CF-004, CF-005",Blue Owl Capital Corporation,Blue Owl,OBDC,Q2 2026 / June 30 2026,Insurance,910.697,6.09,13.0,Controlled/affiliated portfolio company investments(24); Non-controlled/non-affiliated portfolio company investments,3,raw/primary-sources/capital-flow/blue-owl-capital-corporation/q2-2026/obdc-2026-q2-10q.html,"Aggregates official OBDC industry subtotal rows across non-controlled, affiliated, and controlled sections; misc commitment adjustments are excluded from industry lane ranking.",official-industry-summary-reconciles-to-source-subtotals
"CF-004, CF-005",Blue Owl Capital Corporation,Blue Owl,OBDC,Q2 2026 / June 30 2026,Healthcare technology,871.964,5.83,12.4,Non-controlled/non-affiliated portfolio company investments,2,raw/primary-sources/capital-flow/blue-owl-capital-corporation/q2-2026/obdc-2026-q2-10q.html,"Aggregates official OBDC industry subtotal rows across non-controlled, affiliated, and controlled sections; misc commitment adjustments are excluded from industry lane ranking.",official-industry-summary-reconciles-to-source-subtotals
"CF-004, CF-005",Blue Owl Capital Corporation,Blue Owl,OBDC,Q2 2026 / June 30 2026,Food and beverage,783.061,5.24,11.1,Non-controlled/non-affiliated portfolio company investments,2,raw/primary-sources/capital-flow/blue-owl-capital-corporation/q2-2026/obdc-2026-q2-10q.html,"Aggregates official OBDC industry subtotal rows across non-controlled, affiliated, and controlled sections; misc commitment adjustments are excluded from industry lane ranking.",official-industry-summary-reconciles-to-source-subtotals
"CF-004, CF-005",Blue Owl Capital Corporation,Blue Owl,OBDC,Q2 2026 / June 30 2026,Healthcare equipment and services,720.244,4.82,10.2,Non-controlled/non-affiliated portfolio company investments,2,raw/primary-sources/capital-flow/blue-owl-capital-corporation/q2-2026/obdc-2026-q2-10q.html,"Aggregates official OBDC industry subtotal rows across non-controlled, affiliated, and controlled sections; misc commitment adjustments are excluded from industry lane ranking.",official-industry-summary-reconciles-to-source-subtotals
"CF-004, CF-005",Blue Owl Capital Corporation,Blue Owl,OBDC,Q2 2026 / June 30 2026,Buildings and real estate,663.237,4.43,8.9,Controlled/affiliated portfolio company investments(24); Non-controlled/non-affiliated portfolio company investments,2,raw/primary-sources/capital-flow/blue-owl-capital-corporation/q2-2026/obdc-2026-q2-10q.html,"Aggregates official OBDC industry subtotal rows across non-controlled, affiliated, and controlled sections; misc commitment adjustments are excluded from industry lane ranking.",official-industry-summary-reconciles-to-source-subtotals
"CF-004, CF-005",Blue Owl Capital Corporation,Blue Owl,OBDC,Q2 2026 / June 30 2026,Manufacturing,565.078,3.78,8.1,Non-controlled/non-affiliated portfolio company investments,2,raw/primary-sources/capital-flow/blue-owl-capital-corporation/q2-2026/obdc-2026-q2-10q.html,"Aggregates official OBDC industry subtotal rows across non-controlled, affiliated, and controlled sections; misc commitment adjustments are excluded from industry lane ranking.",official-industry-summary-reconciles-to-source-subtotals
"CF-004, CF-005",Blue Owl Capital Corporation,Blue Owl,OBDC,Q2 2026 / June 30 2026,Financial services,559.962,3.74,7.9,Non-controlled/non-affiliated portfolio company investments,2,raw/primary-sources/capital-flow/blue-owl-capital-corporation/q2-2026/obdc-2026-q2-10q.html,"Aggregates official OBDC industry subtotal rows across non-controlled, affiliated, and controlled sections; misc commitment adjustments are excluded from industry lane ranking.",official-industry-summary-reconciles-to-source-subtotals
