bridge_id,queue_id,evidence_gate,evidence_source,current_status,period,evidence_now,value_or_metric,proof_result,money_movement_answer,missing_proof,next_required_source,safe_claim
CFLBLMSR-001,CFE2EGUQ-011,holdco-asset-base,capital-flow-liberty-broadband-holdco-restructuring-bridge-pass-1.csv,visible,Q2 2026,Investment in Charter,5507.000 USD millions,passes-holdco-asset-visibility,"Liberty's value base is primarily a Charter-linked holding-company asset rather than operating assets.","Carrying value is not market value, collateral sufficiency, or shareholder realization.","Charter stake schedule, market-value bridge, pledged-share schedule, and merger-close mechanics.","Liberty has holdco collateral/liquidity restructuring evidence with LTV context, but not final merger/shareholder realization proof."
CFLBLMSR-002,CFE2EGUQ-011,cash-base,capital-flow-liberty-broadband-holdco-restructuring-bridge-pass-1.csv,visible,Q2 2026,Cash and cash equivalents,43.000 USD millions,passes-cash-endpoint-visibility,"Liberty had modest standalone cash against a much larger debt and transaction-liquidity problem.","Cash balance does not prove liquidity sufficiency after merger, tax, debt repayment, or transaction costs.","Restricted-cash rollforward, merger funds-flow, and post-close cash schedule.","Liberty has holdco collateral/liquidity restructuring evidence with LTV context, but not final merger/shareholder realization proof."
CFLBLMSR-003,CFE2EGUQ-011,margin-loan-debt,capital-flow-liberty-broadband-holdco-restructuring-bridge-pass-1.csv,visible,Q2 2026,Margin Loan Facility outstanding,864.000 USD millions,passes-margin-loan-visibility,"Liberty's current debt stack is tied to a collateralized margin-loan structure secured by Charter shares.","This does not provide contractual LTV cushion or margin-call risk.","Margin Loan Agreement, collateral schedule, LTV certificate, and cure mechanics.","Liberty has holdco collateral/liquidity restructuring evidence with LTV context, but not final merger/shareholder realization proof."
CFLBLMSR-004,CFE2EGUQ-011,charter-loan-debt,capital-flow-liberty-broadband-holdco-restructuring-bridge-pass-1.csv,visible,Q2 2026,Charter Loan Facility outstanding,359.000 USD millions,passes-charter-loan-visibility,"Charter advanced transaction-linked debt that became part of Liberty's long-term debt stack.","This is debt substitution and liquidity support, not operating return or shareholder cash.","Charter Loan Facility agreement and merger-close debt treatment.","Liberty has holdco collateral/liquidity restructuring evidence with LTV context, but not final merger/shareholder realization proof."
CFLBLMSR-005,CFE2EGUQ-011,charter-loan-source-use,capital-flow-liberty-broadband-holdco-restructuring-bridge-pass-1.csv,visible,May 12 2026,Charter term loan advanced to repay margin loan,359.000 USD millions,passes-source-use-visibility,"Money moved from Charter to Liberty and then to repay Margin Loan Facility borrowings.","This does not prove final repayment, tax treatment, or shareholder value delivery.","Charter loan agreement, repayment schedule, and merger funds-flow.","Liberty has holdco collateral/liquidity restructuring evidence with LTV context, but not final merger/shareholder realization proof."
CFLBLMSR-006,CFE2EGUQ-011,debenture-settlement,capital-flow-liberty-debenture-settlement-economics-pass-1.csv,visible,April 6 2026,2053 debenture repurchase payment including accrued interest,966.000 USD millions,passes-settlement-cash-use-visibility,"Cash moved to debenture holders when all outstanding 2053 debentures were put back and retired.","This does not prove favorable settlement economics or shareholder realization.","Debenture settlement statement, accrued-interest split, tax note, and fair-value rollforward.","Liberty has holdco collateral/liquidity restructuring evidence with LTV context, but not final merger/shareholder realization proof."
CFLBLMSR-007,CFE2EGUQ-011,settlement-source,capital-flow-liberty-debenture-settlement-economics-pass-1.csv,visible,Q2 2026,Margin Loan Facility and restricted cash used for debenture settlement,explicit text,passes-directional-funding-source,"The debenture settlement was funded with Margin Loan Facility proceeds and restricted cash.","The dollar split between restricted cash and margin-loan proceeds is not visible.","Treasury funds-flow and restricted-cash rollforward.","Liberty has holdco collateral/liquidity restructuring evidence with LTV context, but not final merger/shareholder realization proof."
CFLBLMSR-008,CFE2EGUQ-011,debt-rollforward,capital-flow-liberty-debenture-settlement-economics-pass-1.csv,visible,H1 2026,Debt borrowings and repayments,1239.000 USD millions borrowings; 1771.000 USD millions repayments,passes-debt-movement-visibility,"Liberty's financing cash flow shows debt repayments exceeded borrowings by 532M USD.","Aggregate debt movement does not identify final merger treatment or shareholder proceeds.","Instrument-level debt rollforward and merger close funds-flow.","Liberty has holdco collateral/liquidity restructuring evidence with LTV context, but not final merger/shareholder realization proof."
CFLBLMSR-009,CFE2EGUQ-011,total-debt-reduction,capital-flow-liberty-debenture-settlement-economics-pass-1.csv,visible,Q2 2026,Total debt reduction,523.000 USD millions,passes-debt-stack-reduction,"Total debt fell from 1.746B USD to 1.223B USD during the settlement period.","Lower debt does not prove economic gain because fair-value accounting, collateral risk, taxes, and merger treatment are unresolved.","Fair-value rollforward, tax treatment, and final merger debt schedule.","Liberty has holdco collateral/liquidity restructuring evidence with LTV context, but not final merger/shareholder realization proof."
CFLBLMSR-010,CFE2EGUQ-011,charter-share-monetization,capital-flow-liberty-debenture-settlement-economics-pass-1.csv,visible,H1 2026,Cash received for Charter shares repurchased by Charter,595.000 USD millions,passes-asset-monetization-visibility,"Liberty monetized Charter shares for cash during the same period as the debt restructuring.","This is holding-company asset monetization, not operating cash or final shareholder realization.","Charter repurchase schedule, ownership floor detail, and merger close statement.","Liberty has holdco collateral/liquidity restructuring evidence with LTV context, but not final merger/shareholder realization proof."
