row_id,period,company,ticker,theme,subtheme,metric,value,unit,source_file,source_detail,calculation_or_source,evidence_status,what_it_says,what_it_does_not_say,next_source
URIABLBBD-001,2025-07-10,United Rentals,URI,capital-intensive real-economy buildout,ABL borrowing-base definitions,Source status,actual ABL agreement inspected,status,raw/sec/industrial-goods/rental-leasing-services/united-rentals-inc/2025-07-11-tm2520569d1_ex10-1.htm,SEC Exhibit 10.1 Fifth Amended and Restated Credit Agreement,"Targeted extraction of borrowing-base, availability, eligibility, reserve, certificate, appraisal, and reporting terms",agreement-definition-visible,"The ABL agreement gives formula and control mechanics behind headline capacity.","This still does not provide the live Q2 2026 borrowing-base certificate or exact eligible collateral balances.","Borrowing-base certificates, collateral reports, and appraisals"
URIABLBBD-002,2025-07-10,United Rentals,URI,capital-intensive real-economy buildout,ABL borrowing-base definitions,Borrowing Base definition,U.S. Borrowing Base or Canadian Borrowing Base,text,raw/sec/industrial-goods/rental-leasing-services/united-rentals-inc/2025-07-11-tm2520569d1_ex10-1.htm,SEC Exhibit 10.1 definitions,"Borrowing Base means the U.S. Borrowing Base or Canadian Borrowing Base as context requires",agreement-definition-visible,"There are separate U.S. and Canadian borrowing-base constructs.","It does not show current dollar values for either base.","Current borrowing-base certificate"
URIABLBBD-003,2025-07-10,United Rentals,URI,capital-intensive real-economy buildout,ABL borrowing-base definitions,U.S. borrowing-base inventory advance rate,60.0,percent,raw/sec/industrial-goods/rental-leasing-services/united-rentals-inc/2025-07-11-tm2520569d1_ex10-1.htm,SEC Exhibit 10.1 definitions,"Merchandise and Consumables Inventory Formula Amount equals 60% of Value of Eligible Merchandise and Consumables Inventory",agreement-formula-visible,"The U.S. base gives partial credit to eligible merchandise and consumables inventory.","It does not show the actual eligible inventory value.","Borrowing-base certificate component schedule"
URIABLBBD-004,2025-07-10,United Rentals,URI,capital-intensive real-economy buildout,ABL borrowing-base definitions,U.S. rental-equipment net-book-value limiter,100.0,percent,raw/sec/industrial-goods/rental-leasing-services/united-rentals-inc/2025-07-11-tm2520569d1_ex10-1.htm,SEC Exhibit 10.1 U.S. Borrowing Base definition,"U.S. rental-equipment component includes lesser of 100% of Net Book Value and 85% of Net Orderly Liquidation Value of Eligible Rental Equipment",agreement-formula-visible,"Eligible U.S. rental equipment is capped by both book value and liquidation value tests.","It does not show actual Net Book Value by equipment class.","Borrowing-base certificate and appraisal"
URIABLBBD-005,2025-07-10,United Rentals,URI,capital-intensive real-economy buildout,ABL borrowing-base definitions,U.S. rental-equipment NOLV limiter,85.0,percent,raw/sec/industrial-goods/rental-leasing-services/united-rentals-inc/2025-07-11-tm2520569d1_ex10-1.htm,SEC Exhibit 10.1 U.S. Borrowing Base definition,"U.S. rental-equipment component includes lesser of 100% of Net Book Value and 85% of Net Orderly Liquidation Value of Eligible Rental Equipment",agreement-formula-visible,"The formula haircuts appraised orderly liquidation value to 85%.","It does not provide the appraised NOLV amount or appraisal date.","Most recent appraisal and borrowing-base certificate"
URIABLBBD-006,2025-07-10,United Rentals,URI,capital-intensive real-economy buildout,ABL borrowing-base definitions,Canadian rental-equipment net-book-value limiter,100.0,percent,raw/sec/industrial-goods/rental-leasing-services/united-rentals-inc/2025-07-11-tm2520569d1_ex10-1.htm,SEC Exhibit 10.1 Canadian Borrowing Base definition,"Canadian base is lesser of 100% of Net Book Value and 85% of Net Orderly Liquidation Value of Eligible Rental Equipment minus reserves",agreement-formula-visible,"Canadian borrowing base is rental-equipment-driven and uses the same NBV/NOLV limiter structure.","It does not show Canadian eligible equipment values.","Canadian borrowing-base certificate and appraisal"
URIABLBBD-007,2025-07-10,United Rentals,URI,capital-intensive real-economy buildout,ABL borrowing-base definitions,Canadian rental-equipment NOLV limiter,85.0,percent,raw/sec/industrial-goods/rental-leasing-services/united-rentals-inc/2025-07-11-tm2520569d1_ex10-1.htm,SEC Exhibit 10.1 Canadian Borrowing Base definition,"Canadian base is lesser of 100% of Net Book Value and 85% of Net Orderly Liquidation Value of Eligible Rental Equipment minus reserves",agreement-formula-visible,"Canadian rental equipment also receives an 85% NOLV cap.","It does not provide the appraised NOLV amount or appraisal date.","Canadian appraisal and borrowing-base certificate"
URIABLBBD-008,2025-07-10,United Rentals,URI,capital-intensive real-economy buildout,ABL borrowing-base definitions,U.S. borrowing-base subtraction,reserves,text,raw/sec/industrial-goods/rental-leasing-services/united-rentals-inc/2025-07-11-tm2520569d1_ex10-1.htm,SEC Exhibit 10.1 U.S. Borrowing Base definition,"U.S. base subtracts Pari Passu Debt Reserves and other reserves related to U.S., ROW, European, and ANZ credit facilities",agreement-formula-visible,"Headline eligible collateral is reduced by reserve mechanics.","It does not show reserve amounts currently applied.","Borrowing-base certificate and reserve notice history"
URIABLBBD-009,2025-07-10,United Rentals,URI,capital-intensive real-economy buildout,ABL borrowing-base definitions,Canadian borrowing-base subtraction,reserves,text,raw/sec/industrial-goods/rental-leasing-services/united-rentals-inc/2025-07-11-tm2520569d1_ex10-1.htm,SEC Exhibit 10.1 Canadian Borrowing Base definition,"Canadian base subtracts Pari Passu Debt Reserves and other reserves related to Canadian credit facilities",agreement-formula-visible,"Canadian eligible collateral is also reduced by reserve mechanics.","It does not show reserve amounts currently applied.","Canadian borrowing-base certificate and reserve notice history"
URIABLBBD-010,2025-07-10,United Rentals,URI,capital-intensive real-economy buildout,ABL borrowing-base definitions,Combined borrowing base,U.S. base plus lesser of Canadian base and Canadian maximum,text,raw/sec/industrial-goods/rental-leasing-services/united-rentals-inc/2025-07-11-tm2520569d1_ex10-1.htm,SEC Exhibit 10.1 definitions,"Combined Borrowing Base equals U.S. Borrowing Base plus the lesser of Canadian Borrowing Base and Maximum Canadian Revolver Amount",agreement-definition-visible,"The Canadian base contributes to combined capacity only up to the Canadian maximum.","It does not show current U.S./Canadian mix.","Borrowing-base certificate"
