atlas_id,theme,expanded_page,core_sentence,money_path,theme_group,proof_boundary,next_proof_job
ARATLAS-001,Power scarcity,/cluster/annual-report-theme-power-scarcity-html-expanded-pass-1.md,Electricity is becoming a permission slip for growth.,customer load -> utility/power company investment -> generation/grid work -> recovery/contract/market revenue -> customer bill or power payment -> cash,physical_capacity,"Load, capex, backlog, PPAs, tariffs, and rate-base growth are not project-level cash proof.",Build regulated recovery and billing proof stacks for a selected utility plus contractor conversion proof.
ARATLAS-002,Capital platforms,/cluster/annual-report-theme-capital-platforms-html-expanded-pass-1.md,Big asset managers and insurers are money-routing systems.,saver/policyholder/institutional capital -> fund/account/insurer/BDC/CLO/legal wrapper -> borrower/asset/project/security -> fees/interest/spread/repayment/sale proceeds -> platform and investor economics,control_capital_rules,"AUM, deployment, dry powder, investment income, and fees do not prove asset-level cash return.","Build named proof stacks for Apollo/Athene, KKR/Global Atlantic, Blackstone, BlackRock/HPS, Ares, or Brookfield."
ARATLAS-003,Industrial uptime,/cluster/annual-report-theme-industrial-uptime-html-expanded-pass-1.md,"Many industrial companies sell continuity, not just products.",customer operating need -> rental/parts/distribution/service supplier -> equipment/inventory/branch/support -> avoided downtime or completed work -> rental/product/service revenue -> cash,physical_capacity,"Branch count, fleet size, backlog, and sales do not prove cash collection, fleet return, project margin, or collateral value.","Run distributor and contractor extractions for Fastenal, WESCO, Grainger, Applied Industrial, MasTec, Sterling, or Jacobs."
ARATLAS-004,Healthcare access,/cluster/annual-report-theme-healthcare-access-html-expanded-pass-1.md,"Healthcare demand matters only if care can be authorized, staffed, delivered, reimbursed, and trusted.",patient need -> payer/PBM/provider/care site/pharmacy route -> authorized care/drug/service -> premium/reimbursement/spread/service revenue -> cash collection,human_access_daily_life,"Revenue, covered lives, scripts, treatment volume, or EBITDA do not prove outcomes, fairness, labor adequacy, or service-line cash.","Run healthcare access cash-quality bridge pass 2 across UnitedHealth, Cigna, DaVita, Addus, and Option Care."
ARATLAS-005,Built-environment upkeep,/cluster/annual-report-theme-built-environment-upkeep-html-expanded-pass-1.md,The physical world sends recurring repair bills.,aging home/building/water system/road/HVAC/roof/pipe/paint -> owner/contractor/municipality -> retailer/distributor/supplier/contractor -> repair/material/labor -> invoice/payment -> OCF/FCF,physical_capacity,"Repair demand, Pro growth, waterworks need, sales, backlog, price increases, and acquisition activity do not prove final cash quality.","Run built-environment cash-quality bridge pass 2 across Home Depot, Lowes, Core & Main, Builders FirstSource, and Sherwin-Williams."
ARATLAS-006,Digital control,/cluster/annual-report-theme-digital-control-html-expanded-pass-1.md,"The internet made action cheap, so trust and permission became expensive.",user/device/bot/API/workload/AI activity -> identity/security/routing/policy/platform control -> subscription/billings/bookings/usage/service revenue -> retention and collection -> cost-to-serve -> FCF,control_capital_rules,"ARR, RPO, billings, bookings, traffic, users, AI exposure, and engagement do not prove durable digital cash quality.","Run digital-control cash-quality bridge pass 2 across Cloudflare, Akamai, Zscaler, Fortinet, and Roblox."
ARATLAS-007,Value retail,/cluster/annual-report-theme-value-retail-html-expanded-pass-1.md,Households spend to reduce regret under pressure.,household budget pressure -> store/app/membership/private-label/off-price/essential basket choice -> traffic/basket/membership/ad/gross margin -> inventory and cash conversion,human_access_daily_life,"Traffic, sales, membership fees, private label, retail media, and gross margin do not prove cohort or cash durability.","Run value-retail cash-quality bridge across Costco, Walmart, Target, Dollar General, and Burlington."
ARATLAS-008,Services and cultural consumption,/cluster/annual-report-theme-services-cultural-consumption-html-expanded-pass-1.md,"People buy time, relief, convenience, experience, status, and belonging.",consumer desire -> booking/hotel/restaurant/venue/casino/travel/franchise/loyalty route -> stay/meal/trip/event/service -> room/take-rate/franchise/food/gaming revenue -> cash,human_access_daily_life,"Candidate examples do not prove source-visible cash until company packets extract traffic, price, loyalty, margin, and cash flow.","Run company extraction for Marriott, Booking, McDonalds, Starbucks, MGM, and optional travel/media/platform names."
ARATLAS-009,Consumer goods and household identity,/cluster/annual-report-theme-consumer-goods-household-identity-html-expanded-pass-1.md,"Ordinary products protect routine, trust, family, identity, and small control.",household routine/identity/trust need -> brand manufacturer -> retailer/distributor/direct/international route -> repeat product purchase -> price/mix/gross margin/cash,human_access_daily_life,"Brand trust, price/mix, and repeat purchase do not prove volume health or durable cash without category and margin proof.","Run company extraction for P&G, Colgate, Estee Lauder, Coca-Cola, Hasbro, Chewy, and optional household/pet names."
ARATLAS-010,Basic materials and input scarcity,/cluster/annual-report-theme-basic-materials-html-expanded-pass-1.md,The modern economy still has a physical denominator.,end demand -> mine/mill/quarry/chemical/fertilizer/input producer -> physical material -> realized price/volume/margin -> working capital/capex/cash,physical_capacity,"Input scarcity is not automatic cash proof before realized price, volume, cost, utilization, contracts, working capital, capex, and cash flow.","Run extraction for Freeport, Nucor, Vulcan, CF Industries, Martin Marietta, Steel Dynamics, Dow, or Linde."
