term_id,linked_rows,company,ticker,theme,subtheme,source_file,source_type,agreement_section,period,term_metric,value,unit,agreement_text_basis,evidence_grade,what_it_proves,what_it_does_not_prove,next_source
SATX-001,"CICDL-014; CIFCTS-017; FTH-004",Sterling Infrastructure,STRL,Capital-intensive buildout,Agreement identity,raw/primary-sources/capital-flow/capital-intensive-credit-agreements/sterling/exhibit101-secondamended.htm,SEC Exhibit 10.1,Opening parties,July 2 2026,Agreement document captured,Second Amended and Restated Credit Agreement,text,"Agreement dated July 2 2026 among Sterling Infrastructure Inc.; guarantors from time to time; lenders from time to time; and BMO Bank N.A. as Administrative Agent.",agreement-term-visible,"Moves Sterling from source-locator/filed-summary to actual agreement-text evidence.","Does not by itself prove how much was drawn or which projects used the facility.","Sterling borrowing notices, Q3/Q4 2026 debt roll-forward, and cash-flow statements"
SATX-002,"CIFCTS-017; FTH-004",Sterling Infrastructure,STRL,Capital-intensive buildout,Revolving platform capacity,raw/primary-sources/capital-flow/capital-intensive-credit-agreements/sterling/exhibit101-secondamended.htm,SEC Exhibit 10.1,Definition of Revolving Credit Commitment and Schedule 1,Closing date 2026,Aggregate revolving credit commitments,1.500B,USD,"Borrower and lenders acknowledge Revolving Credit Commitments aggregate 1.500B USD as of closing; Schedule 1 lender commitments total 1.500B USD.",agreement-term-visible,"Confirms the July 2026 platform reset is a legally committed lender facility, not only management presentation language.","Does not prove availability after L/Cs, reserves, defaults, or borrowing conditions.","Availability disclosures and compliance certificates"
SATX-003,"CIFCTS-017; FTH-004",Sterling Infrastructure,STRL,Capital-intensive buildout,Maturity extension,raw/primary-sources/capital-flow/capital-intensive-credit-agreements/sterling/exhibit101-secondamended.htm,SEC Exhibit 10.1,Definition of Revolving Credit Termination Date,Closing date 2026,Revolving Credit Termination Date,July 2 2031,date,"Revolving Credit Termination Date means July 2 2031 or earlier termination under the agreement.",agreement-term-visible,"Confirms the credit wrapper is a five-year committed platform from July 2026 to July 2031.","Does not prove debt will remain outstanding or undrawn through maturity.","Future debt maturity table and amendments"
SATX-004,"CIFCTS-017; FTH-004",Sterling Infrastructure,STRL,Capital-intensive buildout,Reborrowable capacity,raw/primary-sources/capital-flow/capital-intensive-credit-agreements/sterling/exhibit101-secondamended.htm,SEC Exhibit 10.1,Section 2.2,Closing date 2026,Revolving loans may be repaid and reborrowed,yes,boolean,"Section 2.2 states revolving loans may be repaid and principal amounts reborrowed before the Revolving Credit Termination Date.",agreement-term-visible,"Supports the hypothesis that Sterling needed flexible platform liquidity rather than one-time fixed project debt.","Does not identify the actual draw pattern or working-capital timing.","Quarterly revolver balance and operating working-capital bridge"
SATX-005,"FTH-004",Sterling Infrastructure,STRL,Capital-intensive buildout,Letter-of-credit capacity,raw/primary-sources/capital-flow/capital-intensive-credit-agreements/sterling/exhibit101-secondamended.htm,SEC Exhibit 10.1,Definition of L/C Sublimit and Section 2.3,Closing date 2026,L/C Sublimit,600M,USD,"L/C Sublimit means 600M USD; letters of credit are part of the revolving credit and constitute usage of lender commitments.",agreement-term-visible,"Shows the revolver is also a guarantee/bonding-style support tool relevant to project/backlog execution.","Does not show actual outstanding letters of credit, beneficiaries, or project-level guarantees.","L/C outstanding disclosures, surety/bonding notes, and backlog contract terms"
SATX-006,"FTH-004",Sterling Infrastructure,STRL,Capital-intensive buildout,Swing-line liquidity,raw/primary-sources/capital-flow/capital-intensive-credit-agreements/sterling/exhibit101-secondamended.htm,SEC Exhibit 10.1,Definition of Swing Line Sublimit and Section 2.7,Closing date 2026,Swing Line Sublimit,50M,USD,"Swing Line Sublimit means 50M USD; Section 2.7 permits swing loans that may be repaid and used again before the termination date.",agreement-term-visible,"Adds short-term liquidity mechanics inside the revolver for working-capital timing.","Does not prove swing-line usage or daily cash needs.","Cash management disclosures and revolver activity"
SATX-007,"CIFCTS-019; FTH-004",Sterling Infrastructure,STRL,Capital-intensive buildout,Pricing grid,raw/primary-sources/capital-flow/capital-intensive-credit-agreements/sterling/exhibit101-secondamended.htm,SEC Exhibit 10.1,Definition of Applicable Margin,Closing date 2026,SOFR margin range,1.25-2.00,percent,"Applicable Margin grid: SOFR loans and letter-of-credit fee range from 1.25% at Total Net Leverage Ratio below 1.00x to 2.00% at 3.00x or higher; performance L/C fees are 67% of applicable rates.",agreement-term-visible,"Turns the prior pricing clue into actual spread economics tied to leverage.","Does not provide Sterling's actual quarter-end pricing level without the leverage calculation and pricing date.","Compliance certificates and debt-interest footnotes"
SATX-008,"CIFCTS-019; FTH-004",Sterling Infrastructure,STRL,Capital-intensive buildout,Pricing grid,raw/primary-sources/capital-flow/capital-intensive-credit-agreements/sterling/exhibit101-secondamended.htm,SEC Exhibit 10.1,Definition of Applicable Margin,Closing date 2026,Base-rate margin range,0.25-1.00,percent,"Applicable Margin grid: Base Rate loans and reimbursement obligations range from 0.25% to 1.00% depending on Total Net Leverage Ratio.",agreement-term-visible,"Shows Sterling's cost of capital is explicitly leverage-sensitive.","Does not prove actual borrowing mix between Base Rate and SOFR loans.","Borrowing notices and interest expense reconciliation"
SATX-009,"CIFCTS-019; FTH-004",Sterling Infrastructure,STRL,Capital-intensive buildout,Commitment fee,raw/primary-sources/capital-flow/capital-intensive-credit-agreements/sterling/exhibit101-secondamended.htm,SEC Exhibit 10.1,Definition of Applicable Margin and Section 2.12,Closing date 2026,Commitment fee range,0.15-0.25,percent,"Applicable Margin grid sets commitment fee from 0.15% to 0.25%; Section 2.12 charges commitment fee on average daily unused revolving commitments.",agreement-term-visible,"Shows Sterling pays for unused committed flexibility, which fits the platform-liquidity hypothesis.","Does not tell how much unused capacity remained after borrowings and L/Cs.","Quarterly unused commitment and fee expense disclosures"
SATX-010,"FTH-004; FTH-009",Sterling Infrastructure,STRL,Capital-intensive buildout,Use of proceeds,raw/primary-sources/capital-flow/capital-intensive-credit-agreements/sterling/exhibit101-secondamended.htm,SEC Exhibit 10.1,Section 5.4 and Section 6.11,Closing date 2026,Permitted use categories,8,categories,"Proceeds may be used to refinance existing indebtedness, finance certain capital expenditures, general working capital, Permitted Acquisitions, other general corporate purposes, prepay Existing Term Loans, fund related fees and expenses, and other legal/proper purposes consistent with applicable laws.",agreement-term-visible,"Directly supports the hypothesis that Sterling's facility is a flexible funding wrapper for refinancing, capex, working capital, and acquisitions.","Does not prove any specific dollar went to a specific acquisition, capex project, or backlog job.","Post-close debt roll-forward, acquisition funding note, and capex cash-flow schedule"
