"extraction_id","company","ticker","period","field","value","unit","source_anchor","what_it_proves","boundary","claim_status"
"AROPCH2-001","Option Care Health, Inc.","OPCH","Q2 2026","net revenue","1.442400","B USD","Option Care Q2 2026 Form 10-Q, Note 4","Quarterly infusion-services revenue is visible.","Revenue is recorded at estimated net realizable value and is not collected cash.","revenue-visible-with-boundary"
"AROPCH2-002","Option Care Health, Inc.","OPCH","H1 2026","net revenue","2.793054","B USD","Option Care Q2 2026 Form 10-Q, Note 4","H1 infusion-services revenue is visible.","It does not prove therapy-level margin or payer collection.","revenue-visible-with-boundary"
"AROPCH2-003","Option Care Health, Inc.","OPCH","H1 2026","commercial payer revenue","2.381476","B USD","Option Care Q2 2026 Form 10-Q, Note 4","Commercial payer route is quantified.","It does not identify payer-specific collection or profitability.","payer-revenue-visible"
"AROPCH2-004","Option Care Health, Inc.","OPCH","H1 2026","government payer revenue","0.364312","B USD","Option Care Q2 2026 Form 10-Q, Note 4","Government payer route is quantified.","Government rates, denials, and collection timing remain open.","payer-revenue-visible-with-boundary"
"AROPCH2-005","Option Care Health, Inc.","OPCH","H1 2026","patient revenue","0.047266","B USD","Option Care Q2 2026 Form 10-Q, Note 4","Patient-pay revenue is quantified.","Patient affordability and collection are not proved.","patient-revenue-visible-with-boundary"
"AROPCH2-006","Option Care Health, Inc.","OPCH","Q2 2026","cost of revenue","1.175149","B USD","Option Care Q2 2026 Form 10-Q, results of operations","Direct drug, supply, logistics, and clinical-service cost is visible.","It is not therapy-cohort cost or normalized margin.","direct-cost-visible"
"AROPCH2-007","Option Care Health, Inc.","OPCH","Q2 2026","gross profit","0.267251","B USD","Option Care Q2 2026 Form 10-Q, results of operations","Quarter gross-profit denominator is visible.","It precedes SG&A, D&A, interest, tax, capex, and owner claims.","gross-profit-visible-with-boundary"
"AROPCH2-008","Option Care Health, Inc.","OPCH","Q2 2026","gross margin","18.5","percent","Option Care Q2 2026 Form 10-Q, results of operations","Therapy-mix and payer-margin surface is visible.","It is not payer-specific or therapy-specific margin.","margin-visible-with-boundary"
"AROPCH2-009","Option Care Health, Inc.","OPCH","2026 guidance","CID gross-profit headwind","55","M USD","Option Care Q2 2026 Form 10-Q, MD&A","Management's quantified therapy-mix pressure is visible.","It is an estimate, not a fully evidenced recurring cash burden.","management-estimate-with-boundary"
"AROPCH2-010","Option Care Health, Inc.","OPCH","June 30 2026","accounts receivable","511.507","M USD","Option Care Q2 2026 Form 10-Q, balance sheet","Period-end receivable burden is visible.","Receivables include earned but unbilled amounts and are not collected cash.","receivable-visible-with-boundary"
"AROPCH2-011","Option Care Health, Inc.","OPCH","H1 2026","accounts receivable cash-flow use","-37.941","M USD","Option Care Q2 2026 Form 10-Q, cash flows","Receivable growth consumed operating cash.","Timing does not prove permanent collection deterioration.","working-capital-use-visible"
"AROPCH2-012","Option Care Health, Inc.","OPCH","H1 2026","inventory cash-flow supply","71.544","M USD","Option Care Q2 2026 Form 10-Q, cash flows","Inventory release supplied operating cash.","The release may be timing and is not recurring owner cash.","working-capital-release-visible-with-boundary"
"AROPCH2-013","Option Care Health, Inc.","OPCH","June 30 2026","earned but unbilled receivables","154.9","M USD","Option Care Q2 2026 Form 10-Q, accounting policies","Billing-delay exposure is quantified.","Unbilled revenue is not final payer collection.","billing-timing-visible"
"AROPCH2-014","Option Care Health, Inc.","OPCH","H1 2026","operating cash flow","171.485","M USD","Option Care Q2 2026 Form 10-Q, cash flows","H1 consolidated operating cash is visible.","It is not therapy-level or common-owner cash.","cash-visible-with-boundary"
"AROPCH2-015","Option Care Health, Inc.","OPCH","H1 2026","PP&E acquisition","-20.123","M USD","Option Care Q2 2026 Form 10-Q, investing cash flow","Physical and technology reinvestment cash is visible.","Maintenance versus growth allocation remains open.","capex-visible-with-boundary"
"AROPCH2-016","Option Care Health, Inc.","OPCH","H1 2026","common-stock repurchases","-170.545","M USD","Option Care Q2 2026 Form 10-Q, financing cash flow","Shareholder cash return is period matched.","Repurchases are a residual financing choice, not proof of surplus cash.","repurchase-visible-with-boundary"
"AROPCH2-017","Option Care Health, Inc.","OPCH","June 30 2026","total debt principal","1.172915","B USD","Option Care Q2 2026 Form 10-Q, Note 10","Debt claim is visible.","Debt-service capacity and refinancing remain open.","debt-visible-with-boundary"
"AROPCH2-018","Option Care Health, Inc.","OPCH","June 30 2026","net revolver availability","846","M USD","Option Care Q2 2026 Form 10-Q, Note 10","Stated liquidity capacity after letters of credit is visible.","Availability is not funded cash or owner cash.","capacity-visible-with-boundary"
