theme_id,layer,theme,plain_meaning,what_is_scarce,who_gets_paid,examples_or_company_sets,article_role,proof_boundary,status
ARFITM-001,core,Power scarcity,"Growth needs electricity that is generated, delivered, approved, and paid for.",reliable delivered electricity,"generators, utilities, contractors, equipment suppliers, recovery-approved asset owners","Constellation; Vistra; NRG; Exelon; Duke; AEP; NextEra/FPL; Sterling; MasTec",opening physical bottleneck,"Load, capex, tariffs, and plans are not customer receipt or project-return proof.",ready
ARFITM-002,core,Capital platforms,"Big managers and insurers route savings into assets, borrowers, projects, and credit.",trusted capital routes,"asset managers, insurers, BDCs, credit funds, infrastructure vehicles, private-market platforms","BlackRock; Blackstone; Apollo/Athene; KKR/Global Atlantic; Brookfield; Ares; Carlyle",money movement chapter,"AUM, inflows, dry powder, and originations are not named borrower receipt or asset return proof.",ready
ARFITM-003,core,Industrial uptime,"Physical work depends on equipment, parts, supply, technical support, and execution.",operating continuity,"equipment rental firms, distributors, MRO suppliers, project executors","United Rentals; Fastenal; WESCO; Grainger; Applied Industrial; MSC; Watsco; Sterling; MasTec",operating bottleneck chapter,"Sales, fleet OEC, and backlog are not fleet-class ROIC or project collection proof.",ready
ARFITM-004,core,Healthcare access,"Medical demand must become care that is staffed, reimbursed, scheduled, and trusted.",organized access,"payers, care operators, pharmacy routers, home-care providers, specialty service firms","UnitedHealth; Cigna; DaVita; Option Care; Addus; BrightSpring; Enhabit",human access chapter,"Volume and revenue do not prove outcomes, fairness, reimbursement quality, or cash collection.",ready
ARFITM-005,core,Built-environment upkeep,"Shelter, water, repair, construction, and civic systems keep needing maintenance.",repair and replacement capacity,"home centers, builders, distributors, waterworks suppliers, materials firms","Home Depot; Lowe's; Builders FirstSource; Sherwin-Williams; West Fraser; Ferguson; Core & Main",shelter and civic systems chapter,"Sales and addressable-market claims are not branch cash, project receipt, or acquisition-return proof.",ready
ARFITM-006,core,Digital control,"More online activity needs permission, identity, security, routing, and governance.",trusted digital checkpoints,"security firms, network platforms, infrastructure software, edge networks, creator platforms","Cloudflare; Akamai; Fastly; Zscaler; Fortinet; DigitalOcean; Roblox",technology control chapter,"ARR, RPO, traffic, bookings, and users are not durable product-level cash proof.",ready
ARFITM-007,core,Value retail,"Pressured households spend through formats that reduce regret.",low-regret spending formats,"warehouse clubs, mass merchants, dollar stores, off-price retailers","Costco; Walmart; Target; Dollar General; Dollar Tree; Burlington; Ollie's",consumer pressure chapter,"Traffic, comps, and membership fees are not durable cohort or channel-level cash proof.",ready
ARFITM-008,expansion,Services and cultural consumption,"People buy time, relief, travel, status, convenience, attention, and experience.",time attention relief and experience,"lodging, restaurants, casinos, airlines, advertising, entertainment, staffing","lodging; restaurants; resorts/casinos; airlines; advertising; entertainment; staffing",cultural behavior expansion,"Service revenue does not automatically prove consumer health or durable discretionary demand.",ready
ARFITM-009,expansion,Consumer goods and household identity,"Households defend routines, trust, cleanliness, beauty, food habits, and small control.",trusted routines and identity,"brands, packaged-food companies, personal-care firms, beauty companies, toy companies, packaging firms","P&G; Colgate; Kimberly-Clark; e.l.f.; Estee Lauder; Coca-Cola; Mondelez; General Mills; Hasbro; Mattel; Crocs",household psychology expansion,"Sales do not prove brand durability, pricing power, or cash quality.",ready
ARFITM-010,expansion,Basic materials and input scarcity,"Buildout depends on copper, steel, fertilizer, chemicals, lumber, aggregates, uranium, and other inputs.",physical inputs,"miners, steelmakers, chemical producers, fertilizer producers, aggregates firms, lumber producers","Freeport-McMoRan; Southern Copper; Nucor; West Fraser; CF Industries; Nutrien; Mosaic; Dow; CRH; Vulcan; Cameco",physical input expansion,"End-market demand does not guarantee pricing power or high returns for every materials company.",ready
ARFITM-011,expansion,Real estate and scarce locations,"Towers, logistics sites, medical locations, housing, hotels, data centers, and stores depend on specific places.",scarce usable locations,"REITs, tower owners, hotel owners, logistics landlords, healthcare landlords, developers","American Tower; Crown Castle; Equinix; Prologis; Welltower; Ventas; Host Hotels; AvalonBay; Simon Property",location scarcity expansion,"Owning property does not prove pricing power, tenant quality, or cash durability.",ready
