scorecard_id,rank,lane,source_visibility,use_visibility,output_visibility,cash_recovery_visibility,durability_visibility,disproof_coverage,next_proof_leverage,total_score,current_grade,next_question,next_document,boundary
CFORS-001,1,URI fleet,4,3,5,5,5,3,3,28,strongest-return-proxy,"Is URI's fleet investment earning durable returns, or just increasing revenue through more assets?","Fleet return bridge from OEC, owned-rental revenue, gross profit, capex, sale proceeds, segment assets, utilization, and growth/replacement split.","Proxy-grade evidence only; asset-class ROIC and legal borrowing-base availability remain unproven."
CFORS-002,2,Sterling backlog,4,3,4,4,4,3,3,25,strong-company-conversion-proxy,"Does Sterling backlog convert into cash-returning work or only expand reported RPO?","Backlog-quality bridge from signed versus unsigned awards, revenue conversion, margin, retainage, actual L/C usage, surety usage, and owner funding.","Company-level conversion proxy only; project-level margin and source-to-project allocation remain unproven."
CFORS-003,3,Cheniere LNG,4,3,5,3,3,3,2,23,output-bridge-visible,"Do entity debt and growth capex convert into train-level cash returns?","Train-level source/use, construction draws, SPA economics, debt-service schedule, project EBITDA, and restricted-account waterfall.","Entity/output proof does not prove train-level return."
CFORS-004,4,AEP/Duke power-grid,3,3,4,3,3,4,2,22,legal-conversion-visible,"Does large-load demand become approved, recoverable, in-service rate-base investment?","Project status by jurisdiction, approved capital, recovery mechanism, ROE/rider, customer obligation, and in-service date.","Load forecasts and capex plans are not approved recoverable assets by themselves."
CFORS-005,5,Vehicle-stack/private-credit source,4,2,3,3,3,4,2,21,vehicle-stack-visible,"Can visible borrower rows be tied to funding stacks without overstating ultimate source allocation?","Shareholder, noteholder, lender, CLO/SPV, subscription-source, and borrower-specific allocation evidence.","Vehicle-stack visibility is not borrower-specific ultimate-source proof."
CFORS-006,6,Bank replacement,3,3,3,3,2,4,2,20,selected-case-visible,"Does private-credit takeout improve or weaken borrower financing resilience?","Pre/post lender map, maturity, spread, covenant package, revolver access, liquidity, ancillary bank roles, and default/workout outcomes.","Selected takeout is visible; broad bank displacement and value creation are not proven."
CFORS-007,7,URI Yak/Matting,4,4,3,2,2,3,2,20,acquisition-economics-visible,"Did URI buy high-return specialty economics or pay a goodwill-heavy price for category exposure?","Post-acquisition Matting revenue, EBITDA, OEC, capex, utilization, pricing, retention, and integration margin.","Acquisition economics are visible; ongoing Matting ROIC is not."
CFORS-008,8,Energy Transfer midstream,3,2,3,3,3,3,1,18,company-capital-allocation-visible,"Do named NGL/export capacity additions create measurable utilization, EBITDA, and DCF contribution?","Project cost, funding source, in-service status, throughput, tariff/shipper economics, utilization, EBITDA contribution, and return.","Company cash/refinancing evidence does not prove named-project return."
CFORS-009,9,Private-credit borrower return,3,2,2,2,2,4,2,17,destination-and-use-visible,"Do borrower loans create durable enterprise value or only enable acquisition/refinancing leverage?","Borrower facility size, purchase accounting, leverage, EBITDA trend, acquisition integration, capex, free cash flow, and debt service.","Holder rows and use categories are not borrower return proof."
CFORS-010,10,Insurance/retirement capital,3,2,1,2,2,3,1,14,internal-channel-visible,"Are retirement-liability pools earning durable spread through quality assets, or taking opaque credit risk?","Statutory statements, NAIC designations, Schedule D/BA holdings, affiliated notes, impairments, yield, capital charges, and borrower links.","Do not publish source-quality claims before statutory extraction."
CFORS-011,11,Acquisition-finance returns,2,3,2,2,2,2,1,14,deal-evidence-visible,"Do acquisition-funded companies show post-deal improvement in revenue, margin, cash flow, integration, or capacity?","Purchase accounting, financing footnotes, pro forma metrics, integration KPIs, margin bridge, cash conversion, and capacity/volume output.","Deal evidence does not prove post-deal return."
CFORS-012,12,519-company repeatability,2,1,1,1,2,4,2,13,process-scale-visible,"Do the strongest case-study mechanisms repeat across the broader universe?","Lane-specific primary-source extraction batches and proof-level refresh across the all-company template.","Template coverage is process proof, not empirical representativeness."
