chapter_id,section_or_company,role,hard_evidence,what_it_proves,what_it_does_not_prove,proof_grade,needed_for_upgrade,writing_use
ARVRC-001,Opening thesis,Chapter frame,"A pressured household manages regret around price time quality convenience storage trust and deal discovery",The chapter can explain value retail as regret management rather than one discount lane,It does not prove durable customer cohort quality or cash conversion by theme alone,synthesis-ready,Company evidence table and value-retail proof ladder,Use as the plain-English chapter opening.
ARVRC-002,Value retail proof ladder,Proof discipline,"Pressure visibility; trip-job visibility; customer signal visibility; operating conversion visibility; durable value proof",The chapter can separate consumer pressure from proof of durable value economics,The ladder does not upgrade traffic comps ticket or membership into cash-conversion proof,writing-control,Cohort retention unit economics inventory turns shrink control price-gap durability renewal quality ad-load trust and OCF,Use to keep the chapter bounded.
ARVRC-003,Costco,Trusted bulk membership value,"Fiscal 2025 membership fees 5.323B USD; Q3 2026 digitally enabled comps rose 21.5 percent",Costco shows customers paying for access to a trusted value system before each basket,It does not prove membership renewal quality by cohort private-label price gap or channel-level cash conversion,membership-value-visible,Renewal cohorts basket economics private-label margins warehouse productivity and cash conversion,Use as the trusted-bulk example.
ARVRC-004,Walmart,Household utility layer,"Q1 2026 global advertising grew 37 percent; U.S. eCommerce grew 26 percent; membership fee income grew 17.4 percent",Walmart shows routine traffic attaching to ads marketplace fulfillment services and membership,It does not prove that monetization layers improve trust or margin without weakening shopper value,utility-layer-visible,Ad margin marketplace cohort delivery economics membership retention basket data and OCF bridge,Use as the routine household operating-system example.
ARVRC-005,Target,Relationship repair and curated convenience,"Fiscal 2025 net sales declined 1.7 percent; Q4 2025 non-merchandise sales grew more than 25 percent",Target shows a pressured middle-market relationship trying to add delivery membership ads and marketplace layers,It does not prove that second-layer services repair weak merchandise demand or restore traffic durability,relationship-repair-boundary,Traffic basket category margin Roundel economics Target Circle retention Target+ performance and OCF,Use as the pressured aspirational-middle example.
ARVRC-006,Dollar General,Proximity essentials,"Fiscal 2025 sales 42.7B USD; consumables were 81.0 percent of sales; Q1 2026 traffic rose 1.4 percent",Dollar General shows nearby low-ticket replenishment for value-constrained households,It does not prove traffic is profitable if shrink labor markdown freight or store-condition leakage rises,proximity-visible-boundary,Store-level margin shrink labor inventory turns consumables gross margin and cash conversion,Use as the nearby essentials example.
ARVRC-007,Dollar Tree,Low-price psychology,"Q1 2026 comps rose 3.5 percent driven by 4.5 percent ticket growth while traffic declined 1.0 percent; about 5,300 Dollar Tree 3.0 stores at Q4 2025",Dollar Tree shows price architecture and multi-price expansion changing the old low-risk browsing promise,It does not prove multi-price strengthens trust if traffic weakens or assortment loses clarity,price-architecture-boundary,Traffic cohorts price-point mix margin by price tier assortment productivity and shrink evidence,Use as the low-price psychology example.
ARVRC-008,Burlington,Branded off-price discovery,"Q1 2026 total sales rose 14 percent; comps rose 6 percent; more than 99 percent of sales come from stores",Burlington shows branded value and store-based discovery preserving taste without full-price exposure,It does not prove merchandise-flow durability comp persistence or inventory-turn quality through cycles,off-price-visible,Vendor supply inventory turns category margin markdowns store productivity and customer retention,Use as the branded bargain example.
ARVRC-009,Ollie's,Closeout treasure hunt,"Fiscal 2025 net sales 2.649B USD; Ollie's Army grew 12.1 percent to about 17.0M members; Q1 FY2026 gross margin 41.9 percent",Ollie's shows excess inventory and supplier dislocation converted into recurring bargain discovery,It does not prove closeout supply durability customer frequency or gross-margin resilience under normalized inventory conditions,closeout-visible-boundary,Closeout sourcing pipeline member frequency inventory turns markdowns gross margin and cash conversion,Use as the deal-dislocation example.
ARVRC-010,Value retail conclusion,Chapter verdict,"Cross-company evidence links household pressure to membership utility proximity price psychology branded discovery closeouts and relationship repair",Value retail is a set of job-specific systems for making spending feel justified,It does not prove all value formats win equally or have durable margins,publication-ready-with-boundaries,One traffic/basket exhibit and one inventory/shrink/cash conversion exhibit,Use as the chapter close and bridge to proof boxes.
ARVRC-011,Trade-down boundary,Proof standard,"Trade-down is too blunt; traffic basket comps membership ads e-commerce shrink inventory and margin must be separated",The research standard can avoid treating every value retailer as the same consumer trade-down bet,It does not mean the consumer-pressure thesis is weak; it means wallet-splitting must be analyzed by job,proof-standard-control,Traffic basket margin shrink inventory cohort retention and cash-flow evidence by retailer,Use as a proof box inside the chapter.
