input_id,input_family,model_field,current_status,current_observation,required_for,upgrade_test,source_artifact,proof_grade
QOE-INPUT-001,income-statement,revenue,partial,Revenue exists in selected retail cash bridges but not across every 18-row longitudinal observation,Sales-growth and margin-index tests,Extract matched revenue for every company-period and preserve fiscal alignment,analysis/company-first-principles/data/combined-investment-research-pilot-02-retail-owner-cash-bridge.csv,partial
QOE-INPUT-002,income-statement,net_income,partial,Net income is observed in the nine-row annual TJX/Target/Walmart vectors but is not yet joined across every 18-row longitudinal observation or identical attributable-earnings basis,Accrual-to-earnings and cash-conversion tests,Add period-matched net income from every longitudinal filing and reconcile attributable claims,analysis/company-first-principles/combined-investment-research-quality-of-earnings-retail-comparability-bridge-2026-09-16.md,partial
QOE-INPUT-003,balance-sheet,receivables,partial,TJX and Walmart receivables are present in the annual vectors; Target does not separately disclose trade receivables and the full 18-row longitudinal panel is not assembled,Receivables-to-sales change test,Extract comparable receivables and accounting perimeter for every row or preserve Target's disclosed non-comparability,analysis/company-first-principles/combined-investment-research-quality-of-earnings-retail-comparability-bridge-2026-09-16.md,partial
QOE-INPUT-004,balance-sheet,inventory,partial,Inventory signals exist for selected retail periods but not every longitudinal row,Inventory-growth and working-capital timing test,Complete inventory roll-forward with fiscal-period matching,analysis/company-first-principles/data/combined-investment-research-pilot-02-retail-margin-working-capital-normalization.csv,partial
QOE-INPUT-005,balance-sheet,accounts_payable,partial,Payable signals exist for selected retail periods but not every longitudinal row,Payables-growth and supplier-finance test,Complete payable and supplier-finance roll-forward with cash settlement treatment,analysis/company-first-principles/data/combined-investment-research-pilot-02-retail-supplier-finance-roll-forward-2026-09-16.csv,partial
QOE-INPUT-006,balance-sheet,current_assets,partial,Current assets are observed in the nine-row annual vectors but are not assembled across all 18 longitudinal periods with restricted/VIE classification,Asset-quality index test,Extract comparable current assets and classify restricted or VIE balances for every longitudinal row,analysis/company-first-principles/combined-investment-research-quality-of-earnings-retail-comparability-bridge-2026-09-16.md,partial
QOE-INPUT-007,reinvestment,property_plant_equipment,partial,Property or capex spending is present for all 18 retail cash-screen rows and net PP&E is present in the nine-row annual vectors; project classification is not complete,Capital-intensity and depreciation tests,Join beginning and ending PP&E plus depreciation and project categories across the longitudinal panel,analysis/company-first-principles/data/combined-investment-research-quality-of-earnings-retail-cash-conversion-screen-2026-09-16.csv,partial
QOE-INPUT-008,reinvestment,depreciation_and_amortization,partial,D&A is observed in the nine-row annual vectors but is not assembled in the full longitudinal bridge or separated consistently from lease/acquisition amortization,Capitalization and asset-quality tests,Extract period-matched D&A for every longitudinal row and distinguish lease or acquisition amortization,analysis/company-first-principles/combined-investment-research-quality-of-earnings-retail-comparability-bridge-2026-09-16.md,partial
QOE-INPUT-009,expense-quality,sg_and_a,partial,TJX and Target SG&A are observed in the annual vectors; Walmart reports OSG&A under a non-identical taxonomy and the longitudinal history is incomplete,Expense-ratio and margin-index tests,Extract reported expense lines with classification-change notes and preserve Walmart's OSG&A boundary,analysis/company-first-principles/combined-investment-research-quality-of-earnings-retail-comparability-bridge-2026-09-16.md,partial
QOE-INPUT-010,claims,debt_and_leases,partial,Debt and lease observations exist in annual and current-period boundaries but are not a complete longitudinal vector,Leverage and contractual-claim tests,Join debt principal lease cash and legal-entity availability by period,analysis/company-first-principles/combined-investment-research-pilot-02-retail-interim-lease-tax-search-boundary-2026-09-16.md,partial
QOE-INPUT-011,noncash-effects,stock_compensation,partial,Stock compensation is visible in selected burden artifacts but not every historical row,Noncash add-back and dilution tests,Extract period-matched SBC expense issuance and diluted claims,analysis/company-first-principles/data/combined-investment-research-pilot-02-retail-burden-normalization.csv,partial
QOE-INPUT-012,transaction-quality,acquisitions_and_disposals,partial,Selected Apollo and retail transaction boundaries exist but are not comparable across the retail panel,Acquisition-driven growth and cash-use tests,Separate acquisition consideration integration costs and recurring operating cash,analysis/company-first-principles/data/combined-investment-research-pilot-03-apollo-related-party-return-bridge.csv,partial
QOE-INPUT-013,per-share,diluted_shares,partial,Diluted shares exist for selected current-period company screens,Per-share quality and dilution tests,Extract comparable diluted shares and preferred or NCI claims across all rows,analysis/company-first-principles/data/combined-investment-research-pilot-02-retail-common-period-cash-matrix.csv,partial
QOE-INPUT-014,final-control,composite_accrual_screen,diagnostic-panel-assembled-not-promotable,A six-transition same-company retail QoE panel is assembled with raw ratio changes and follow-up flags; a comparable composite score remains intentionally unassembled,Overlay promotion gate,Complete missing receivable expense-taxonomy lease-claim transaction fiscal-calendar and legal-entity joins before any composite score,analysis/company-first-principles/combined-investment-research-quality-of-earnings-retail-transition-panel-2026-09-16.md,diagnostic-only
