"discovery_id","pilot_id","company","ticker","source_role","official_source_url","document_status","supports_proof_ids","why_it_matters","download_or_extraction_action","source_basis"
"CFPGD-001","CF519P2-010","ONEOK, Inc.","OKE","Q2 2026 official financial reports page","https://ir.oneok.com/financial-information/financial-reports/2026","official page discovered","CFPGU-001; CFPGU-002","Confirms the Q2 2026 financial report slots for press release, financial tables, presentation, and webcast.","Use browser or page asset inspection to resolve direct document URLs if static HTML does not expose them.","Official ONEOK IR page."
"CFPGD-002","CF519P2-010","ONEOK, Inc.","OKE","Q2 2026 official earnings release page","https://ir.oneok.com/news-and-events/press-releases/2026/08-03-2026-211637100","official page discovered","CFPGU-001; CFPGU-002","Provides Q2 2026 earnings, adjusted EBITDA, guidance, capex, and volume-growth context.","Fetch page and extract financial guidance, capex, volume, and project language before searching for underlying PDFs.","Official ONEOK IR press release."
"CFPGD-003","CF519P2-011","MasTec, Inc.","MTZ","Q2 2026 investor home and document hub","https://investors.mastec.com/","official page discovered","CFPGU-005; CFPGU-006","Exposes Q2 2026 earnings release, earnings presentation, guidance summary, and 10-Q links.","Use hub links to fetch release, presentation, guidance, and 10-Q artifacts.","Official MasTec IR home page."
"CFPGD-004","CF519P2-011","MasTec, Inc.","MTZ","Q2 2026 earnings presentation","https://investors.mastec.com/static-files/66dc3ba6-b539-4c37-8693-789360cc2db7","direct PDF discovered","CFPGU-005; CFPGU-006","Contains Q2 2026 summary, segment results, backlog by segment, cash flow, leverage, liquidity, and guidance slides.","Fetch PDF and extract segment backlog, revenue, adjusted EBITDA, DSO, cash flow, leverage, and liquidity.","Official MasTec IR static-file PDF."
"CFPGD-005","CF519P2-011","MasTec, Inc.","MTZ","Q2 2026 10-Q filing page","https://investors.mastec.com/sec-filings/sec-filing/10-q/0000015615-26-000093","official filing page discovered","CFPGU-005; CFPGU-006","Provides the issuer-hosted Q2 2026 filing route for backlog, contract assets/liabilities, customer concentration, and risk notes.","Resolve filing document URL and extract backlog definition, contract assets, contract liabilities, and segment data.","Official MasTec IR SEC filing page."
"CFPGD-006","CF519P2-012","Plains All American Pipeline, L.P.","PAA","Q2 2026 investor home and latest earnings hub","https://ir.plains.com/","official page discovered","CFPGU-009; CFPGU-010","Exposes Q2 2026 earnings presentation, release, webcast, and non-GAAP reconciliation links.","Use hub links to fetch Q2 2026 presentation, release, and reconciliation files.","Official Plains IR home page."
"CFPGD-007","CF519P2-012","Plains All American Pipeline, L.P.","PAA","Q2 2026 earnings presentation","https://ir.plains.com/static-files/69213986-769c-417e-b48e-b55621058969","direct PDF discovered","CFPGU-009; CFPGU-010","Potential source for Cactus III, 2026 growth capital, crude transition, guidance bridge, and project detail.","Fetch PDF and extract Cactus III, growth capex, EBITDA guidance, synergy, leverage, and project references.","Official Plains IR static-file PDF."
"CFPGD-008","CF519P2-012","Plains All American Pipeline, L.P.","PAA","Q2 2026 earnings release","https://ir.plains.com/static-files/1486af1f-024d-4070-ba18-d3a8e304763f","direct PDF discovered","CFPGU-009; CFPGU-010","Provides official Q2 2026 results, Canadian NGL divestiture, debt reduction, adjusted EBITDA, growth capex, and Cactus III references.","Fetch PDF and extract project-capex, capacity, debt-reduction, and free-cash-flow fields.","Official Plains IR static-file PDF."
"CFPGD-009","CF519P2-013","Targa Resources Corp.","TRGP","Q2 2026 events and presentation hub","https://www.targaresources.com/investors/events","official page discovered","CFPGU-013; CFPGU-014","Exposes Q2 2026 press release and presentation links and confirms the event date.","Use hub links to fetch press release and earnings supplement.","Official Targa IR events page."
"CFPGD-010","CF519P2-013","Targa Resources Corp.","TRGP","Q2 2026 earnings supplement presentation","https://www.targaresources.com/static-files/a786b5c2-0717-469c-a9a2-71b20a6842c0","direct PDF discovered","CFPGU-013; CFPGU-014","Contains adjusted EBITDA bridge, G&P and L&T operating margin, NGL production, inlet, NGL transportation, fractionation, export volumes, business mix, and 2026 outlook.","Fetch PDF and extract volume/capacity denominators, operating-margin bridge, growth capital, and maintenance capital.","Official Targa IR static-file PDF."
