qoe_id,lane,diagnostic_family,question,current_signal,evidence_status,risk_flag,next_required_source,do_not_infer
ELQOE-001,power_grid_customer_cash,revenue_timing_and_collection,"Does approved SPPCRC recovery become billed and collected customer cash in the same period?","FPL aggregate clause revenue, monthly timing, factors, and Distribution Inspection recovery are visible; the official 2026 PSC refresh adds rate-class allocation mechanics and a 2026 billing-period route, but category billing determinants and collections are not.",partial,aggregate-recovery-may-be-mistaken-for-category-cash,"Rate-class billing determinants, billed/collected revenue, and category allocation workpaper.","Do not infer Distribution Inspection cash from an approved factor, aggregate Form 2E revenue, or a billing-period authorization."
ELQOE-002,power_grid_customer_cash,capitalization_and_regulatory_assets,"Are project costs, regulatory assets, true-ups, and recoverable expenses classified and period-matched?","FPL category expenditures, plant additions, depreciation, debt/equity components, and true-ups are extracted; the official PSC refresh reports 180,000 poles and $92.1M of 2026 actual/estimated cost, $94.1M for 2027, and $917.1M for the 2026–2035 estimate.",partial,capitalized_or_trueup_items_may_distort_current_cash_quality,"Project subaccount ledger, regulatory-asset roll-forward, and period-matched recovery/collection schedule.","Do not treat program cost, projected cost, recoverable cost, or allowed return as current collected cash."
ELQOE-003,power_grid_customer_cash,source_use_and_financing,"Can capital source and category use be joined to the customer recovery route?","FPL aggregate capital structure and category component attribution are visible; Distribution Inspection source-of-funds allocation is not.",missing,aggregate_debt_equity_context_may_be_carried_into_category_return,"Treasury allocation, project funding schedule, or debt/equity source-of-funds workpaper.","Do not assign FPL-wide debt/equity or OCF to Distribution Inspection."
ELQOE-004,insurance_statutory_named_asset,income_received_vs_earned,"Does statutory interest received reconcile to legal-entity income and cash without changing the denominator?","Accordia owned-bond rows carry interest received and due/accrued; Athene has statutory and cash-flow investment-income bridges.",partial,statutory_income_proxy_may_be_promoted_to_owner_cash,"Investment-income exhibit, cash-flow reconciliation, and legal-entity collection schedule.","Do not infer Apollo or KKR parent cash from statutory interest received."
ELQOE-005,insurance_statutory_named_asset,disposal_and_realization,"Are same-CUSIP disposal or cash-like consideration rows settled proceeds rather than accounting or exchange artifacts?","Apollo/Athene same-CUSIP and AP Aristotle cash-like buckets are separated from tax-free-exchange rows; lot continuity and settlement remain open.",partial,consideration_or_exchange_rows_may_be_mistaken_for_cash_receipts,"Trade confirmation, custodian settlement, paydown notice, and lot chronology.","Do not infer realized return from same-CUSIP equality or a consideration field."
ELQOE-006,insurance_statutory_named_asset,legal_entity_and_related_party,"Which entity owns the asset, receives income, bears liability cost, and controls the remittance?","Athene, Apollo, Accordia, AMAPS, Concord, and AP Aristotle routes are named, but parent receipt and controlled elimination remain open.",partial,entity_perimeter_may_hide_claims_or_related_party_transfers,"Legal-entity cash-flow, intercompany elimination, reinsurance/funds-held, and parent-receipt schedule.","Do not combine Athene, Apollo, wrapper, borrower, or parent cash pools."
ELQOE-007,asset_backed_collateral_and_borrowing_base,availability_vs_legal_capacity,"Does disclosed liquidity equal legal borrowing-base availability after eligibility, reserves, LCs, and caps?","URI discloses ABL availability proxies, AR collateral coverage, and the formula, but no populated certificate.",partial,headline_liquidity_may_overstate_drawable_capacity,"Current Borrowing Base Certificate, eligibility schedule, reserves, NOLV, LCs, and Combined Availability.","Do not infer legal availability from stated facility size or total liquidity."
ELQOE-008,asset_backed_collateral_and_borrowing_base,asset_valuation_and_eligibility,"Are fleet NBV and OEC supported by eligible collateral and NOLV rather than accounting scale?","URI rental-equipment NBV and OEC are visible; eligible collateral, appraisal/NOLV, and exclusions are not.",partial,book_value_or_oec_may_be_mistaken_for_collateral_value,"Appraisal, NOLV report, eligible equipment schedule, and reserve/ineligible-asset report.","Do not treat all fleet OEC or NBV as borrowing-base collateral."
ELQOE-009,asset_backed_collateral_and_borrowing_base,cash_conversion_and_capex,"Does rental revenue and OCF survive maintenance/growth capex and fleet disposal timing?","URI rental revenue, OCF, gross/net fleet investment, equipment sales, and return proxies are visible; fleet-class capex and lifecycle return are not.",partial,reported_cash_conversion_may_hide_replacement_burden_or_mix,"Fleet-class utilization/rate/mix, maintenance-versus-growth capex, and lifecycle cash-yield model.","Do not infer fleet ROIC from company ROIC, OCF coverage, or equipment sales alone."
ELQOE-010,asset_backed_collateral_and_borrowing_base,facility_and_source_use,"Did the facility fund identifiable fleet or acquisition uses, and what debt service follows?","ABL and AR facility terms and balances are visible; source-to-purchase allocation and asset-level repayment are not.",missing,aggregate_debt_may_be_assigned_to_fleet_assets_without_source_proof,"Borrowing notices, funds-flow, acquisition/fleet purchase allocation, and debt-service schedule.","Do not assign ABL draws to a named fleet purchase without a funds-flow record."
ELQOE-011,power_grid_customer_cash,customer_security_and_status,"Does customer security support a load claim without being mistaken for revenue or unrestricted cash?","AEP Texas reports approximately 45 GW of LOAs; 40 GW prospective Batch Zero load; and approximately $2B of security. Duke describes financial protections without a disclosed amount in the passage.",partial,collateral_or_guarantees_may_be_promoted_to_cash_or_approved_load,"Underlying LOA/security terms, ERCOT/PUCT eligibility and award records, tariff conditions, and billed/collected revenue.","Do not infer revenue, forfeiture, project funding, or delivered load from collateral, guarantees, or letters of credit."
ELQOE-012,power_grid_customer_cash,named_project_approval_and_recovery,"Does a named approved project become rate-base cash after shared ownership, construction, and recovery conditions?","The full Order 2026-244 is located and grants the certificate subject to required permits, consultations, and certifications. Monitoring reports and the certificate record give approximately 1365 MW, 3.218B USD total cost, interim 100% DEC cost representation before co-op negotiations, DEC control, 95 MW and 100 MW co-op ownership, and 2027/2031 forward dates; final agreements, rate-base treatment, billing, and cash remain open.",partial,approval_or_nominal_capacity_may_be_promoted_to_utility_return,"Final ownership/participation agreement, project cost and financing ledger, CWIP/rate-base treatment, customer allocation, and post-service billing.","Do not attribute all nominal MW or project cash to Duke or treat approval as earnings."
