interface_type,company_name,ticker,sector,industry,company_packet_path,strongest_current_evidence,main_open_gap_or_next_move,annual_report_collected,annual_filing_collected,q_latest_collected,q_minus_1_collected,q_minus_2_collected,call_transcript_latest,last_updated,status
"Deposit and payments interface","JPMorgan Chase & Co.",JPM,Financial,"Money Center Banks","/home/manishmehta/ui-projects/annual-report-research-new-lanes/extracted/financial/money-center-banks/jpmorgan-chase-co/company-packet.md","scale balance-sheet deposits payments markets and fee businesses layered into one operating system","The next useful move is adding another payment-network or transaction-infrastructure comparison rather than raw archive repair",yes,yes,yes,yes,yes,yes,2026-08-08,in-progress
"Deposit and payments interface","Bank of America Corporation",BAC,Financial,"Money Center Banks","/home/manishmehta/ui-projects/annual-report-research-new-lanes/extracted/financial/money-center-banks/bank-of-america-corporation/company-packet.md","broad consumer and commercial payments flows deposit scale and diversified fee growth","The next useful move is comparison against another scaled bank or networked payments operator",yes,yes,yes,yes,yes,yes,2026-08-08,in-progress
"Deposit and payments interface","Citigroup Inc.",C,Financial,"Money Center Banks","/home/manishmehta/ui-projects/annual-report-research-new-lanes/extracted/financial/money-center-banks/citigroup-inc/company-packet.md","cross-border services liquidity movement payments and institutional workflow depth","Direct AnnualReports company-page HTML artifact is still not saved locally",yes,yes,yes,yes,yes,yes,2026-08-08,in-progress
"Affluent spend and network interface","American Express Company",AXP,Financial,"Credit Services","/home/manishmehta/ui-projects/annual-report-research-new-lanes/extracted/financial/credit-services/american-express-company/company-packet.md","premium-card spend merchant-network economics travel and dining engagement and first-party closed-loop data","Direct AnnualReports company-page HTML artifact and standalone transcript artifact are still not saved locally",yes,yes,yes,yes,yes,no,2026-08-08,in-progress
"Underwriting and float interface","Chubb Limited",CB,Financial,"Property & Casualty Insurance","/home/manishmehta/ui-projects/annual-report-research-new-lanes/extracted/financial/property-casualty-insurance/chubb-limited/company-packet.md","underwriting discipline plus large invested-asset base and float income","Direct AnnualReports company-page HTML artifact and standalone latest-quarter transcript artifact are still not saved locally; a second insurer would strengthen the model comparison",yes,yes,yes,yes,yes,no,2026-08-08,in-progress
"Public-markets distribution and servicing interface","BlackRock, Inc.",BLK,Financial,"Asset Management","/home/manishmehta/ui-projects/annual-report-research-new-lanes/extracted/financial/asset-management/blackrock-inc/company-packet.md","ETF scale outsourcing technology private-markets expansion and platform-like distribution breadth","Direct AnnualReports company-page HTML artifact standalone transcript artifacts and local quarterly supplement PDFs remain incomplete",yes,yes,yes,yes,yes,no,2026-08-09,in-progress
"Public-markets distribution and servicing interface","State Street Corp.",STT,Financial,"Asset Management","/home/manishmehta/ui-projects/annual-report-research-new-lanes/extracted/financial/asset-management/state-street-corp/company-packet.md","custody administration FX software processing and institutional servicing scale","Direct AnnualReports company-page HTML artifact and standalone transcript artifacts are still not saved locally",yes,yes,yes,yes,yes,no,2026-08-08,in-progress
"Public-markets distribution and servicing interface","T. Rowe Price Group, Inc.",TROW,Financial,"Asset Management","/home/manishmehta/ui-projects/annual-report-research-new-lanes/extracted/financial/asset-management/t-rowe-price-group-inc/company-packet.md","AUM net flows fee-rate pressure retirement distribution and product-mix migration","Official 2025 IR annual-report PDF is browser-verified but still not saved locally due local access issues; transcript PDFs also remain unsaved",no,yes,yes,yes,yes,no,2026-08-09,in-progress
"Public-markets distribution and servicing interface","Franklin Resources, Inc.",BEN,Financial,"Asset Management","/home/manishmehta/ui-projects/annual-report-research-new-lanes/extracted/financial/asset-management/franklin-resources-inc/company-packet.md","global distribution ETF and SMA breadth alternatives expansion and improving flow quality","Direct AnnualReports company-page HTML artifact and standalone transcript artifacts are still not saved locally",yes,yes,yes,yes,yes,no,2026-08-08,in-progress
"Public-markets distribution and servicing interface","Invesco Ltd.",IVZ,Financial,"Asset Management","/home/manishmehta/ui-projects/annual-report-research-new-lanes/extracted/financial/asset-management/invesco-ltd/company-packet.md","ETF-heavy scale QQQ economics distribution reach fixed income and private-markets breadth","Direct AnnualReports company-page HTML artifact and standalone transcript artifacts are still not saved locally",yes,yes,yes,yes,yes,no,2026-08-09,in-progress
