factor_id,rate_class,factor_type,approved_factor,scenario,current_status,what_it_proves,what_it_does_not_prove,source_url
FPL-F-001,RS1/RTR1,SPP $/kWh,0.00995,2025 Rate Case Settlement approved,conditional-factor-visible,Shows the residential class factor in the approved-conditional 2026 SPPCRC schedule,Does not provide residential billing determinants or collected cash,https://www.floridapsc.com/pscfiles/library/filings/2025/15236-2025/15236-2025.pdf
FPL-F-002,GS1/GST1,SPP $/kWh,0.00927,2025 Rate Case Settlement approved,conditional-factor-visible,Shows the general-service non-demand class factor,Does not provide class usage or remittance cash,https://www.floridapsc.com/pscfiles/library/filings/2025/15236-2025/15236-2025.pdf
FPL-F-003,GSD1/GSDT1/HLFT1/GSD1-EV,SPP $/kW,1.80,2025 Rate Case Settlement approved,conditional-factor-visible,Shows the general-service demand class factor,Does not provide demand determinants or program-level allocation,https://www.floridapsc.com/pscfiles/library/filings/2025/15236-2025/15236-2025.pdf
FPL-F-004,OS2,SPP $/kWh,0.02426,2025 Rate Case Settlement approved,conditional-factor-visible,Shows the lighting class factor,Does not provide billed kWh or collected cash,https://www.floridapsc.com/pscfiles/library/filings/2025/15236-2025/15236-2025.pdf
FPL-F-005,GSLD1/GSLDT1/CS1/CST1/HLFT2/GSLD1-EV,SPP $/kW,1.81,2025 Rate Case Settlement approved,conditional-factor-visible,Shows the large-demand class factor,Does not provide demand determinants or cash settlement,https://www.floridapsc.com/pscfiles/library/filings/2025/15236-2025/15236-2025.pdf
FPL-F-006,GSLD2/GSLDT2/CS2/CST2/HLFT3,SPP $/kW,1.66,2025 Rate Case Settlement approved,conditional-factor-visible,Shows the second large-demand class factor,Does not provide billed demand or category cash,https://www.floridapsc.com/pscfiles/library/filings/2025/15236-2025/15236-2025.pdf
FPL-F-007,GSLD3/GSLDT3/CS3/CST3,SPP $/kW,0.19,2025 Rate Case Settlement approved,conditional-factor-visible,Shows the third large-demand class factor,Does not provide billed demand or category cash,https://www.floridapsc.com/pscfiles/library/filings/2025/15236-2025/15236-2025.pdf
FPL-F-008,SST1T,RDC and SDD $/kW,0.02 and 0.01,2025 Rate Case Settlement approved,conditional-factor-visible,Shows the transmission-voltage rate design factors,Does not provide SST1T determinants or collected cash,https://www.floridapsc.com/pscfiles/library/filings/2025/15236-2025/15236-2025.pdf
FPL-F-009,SST1D1/SST1D2/SST1D3,RDC and SDD $/kW,0.29 and 0.14,2025 Rate Case Settlement approved,conditional-factor-visible,Shows the distribution-voltage rate design factors,Does not provide billed demand or category allocation,https://www.floridapsc.com/pscfiles/library/filings/2025/15236-2025/15236-2025.pdf
FPL-F-010,CILC D/CILC G,SPP $/kW,1.66,2025 Rate Case Settlement approved,conditional-factor-visible,Shows the CILC class factor,Does not provide customer determinants or collected cash,https://www.floridapsc.com/pscfiles/library/filings/2025/15236-2025/15236-2025.pdf
FPL-F-011,CILC T,SPP $/kW,0.18,2025 Rate Case Settlement approved,conditional-factor-visible,Shows the CILC transmission factor,Does not provide billed demand or program receipts,https://www.floridapsc.com/pscfiles/library/filings/2025/15236-2025/15236-2025.pdf
FPL-F-012,MET,SPP $/kW,2.15,2025 Rate Case Settlement approved,conditional-factor-visible,Shows the metropolitan class factor,Does not provide determinants or cash settlement,https://www.floridapsc.com/pscfiles/library/filings/2025/15236-2025/15236-2025.pdf
FPL-F-013,OL1/SL1/SL1M/PL1/OSI/II and SL2/SL2M/GSCU1,SPP $/kWh,0.00320 and 0.02623,2025 Rate Case Settlement approved,conditional-factor-visible,Shows the remaining lighting and service class factors,Does not provide class usage or collected cash,https://www.floridapsc.com/pscfiles/library/filings/2025/15236-2025/15236-2025.pdf
