map_id,source_family,source_document_or_route,period,current_evidence,current_status,cash_proof_relevance,extraction_fields,receipt_upgrade_test,current_hold,linked_existing_rows,next_action,safe_claim,priority
CFFPLDBWM-001,current_docket_inventory,Docket 20260010-EI,2026,current open SPPCRC docket route with 138 filing records,docket_route_visible,Source-control layer for finding public filings that may contain billing determinant or receipt support,"filing id; filing date; title; sponsor; party; exhibit; schedule; confidential status; billing determinant marker; receipt marker; category marker",Pass if every public filing is indexed and tagged for billing/receipt/category relevance,Docket existence does not prove any Distribution Inspection billing or receipt cash,CFFPL2026SA-001; CFPGCCRW-001,Build full filing inventory and tag receipt-relevant families,FPL has a current public SPPCRC docket route; it is source availability not cash proof,1
CFFPLDBWM-002,petition_control,DN 02558-2026 FPL petition for actual/estimated 2026 true-up and projected 2027 factors,2026-05-01,current-year true-up/projected-factor petition route visible,petition_route_visible,Controls the filing family and requested factor period,"petition request; true-up period; projected factor period; requested treatment; referenced exhibits; category references; billing determinant references",Pass if petition points to the factor/workpaper exhibits needed for billing determinant extraction,Petition does not expose Distribution Inspection receipts or funding source allocation,CFFPL2026SA-002; CFPGCCRW-001,Index petition exhibit references and route each to available source file,FPL petition route confirms the current factor filing family,2
CFFPLDBWM-003,project_program_support,DN 02559-2026 Pankratz testimony and AP-3 through AP-5,2026-05-01,program/project support exists with Distribution Inspection references,program_support_visible,Identifies category/project cost and output support that must be joined to receipt evidence,"program; category; AP schedule; project count; physical output; expenditures; additions to plant; variance; completion status; receipt linkage marker",Pass if Distribution Inspection program rows can be tied to billing/recovery schedules by category and period,Program support does not prove customer cash collected for Distribution Inspection,CFFPL2026SA-003; CFPLSP-005; CFPLSP-006; CFPLSP-007,Map AP exhibits to Distribution Inspection cost/output fields,FPL has program support for Distribution Inspection but not receipt proof,3
CFFPLDBWM-004,factor_workpaper_route,DN 02560-2026 Epperson testimony and ALE-2 through ALE-4 including Form 4P/Form 5P,2026-05-01,rate-class allocation and factor calculation route visible,factor_calculation_visible,Main route to billing determinants and rate-class factor math,"form; rate class; projected sales at meter; projected billed kW; SPP factor; energy-related cost; demand/customer-related cost; total cost by class; revenue reconciliation",Pass if factor math can be reconstructed by rate class and reconciled to aggregate SPPCRC revenue,Rate-class factors are not collected cash or Distribution Inspection allocation,CFFPL2026SA-004; CFFPL2026SA-007; CFPGCCRW-003,Extract Form 4P/Form 5P field-level table and reconcile to Form 2 totals,FPL factor workpapers expose billing-base proxy evidence,4
CFFPLDBWM-005,amended_factor_route,DN 03227-2026 amended ALE-3 and ALE-4 Form 4P/Form 5P,2026-06-01,corrected public factor support for projected 2027 factors,amended_factor_visible,Controls whether corrected factors replace earlier factor math,"amended form; corrected rate class; original value; amended value; reason; total cost by class; projected billing base; approved factor",Pass if amended factors can be treated as the current public factor basis and traced to billing determinants,Corrected factors still do not allocate collected cash to Distribution Inspection,CFFPL2026SA-005; CFFPL2026SA-007,Compare original and amended factor rows and mark current basis,FPL amended factor route improves billing-base control,5
CFFPLDBWM-006,aggregate_clause_revenue,DN 02560-2026 Form 2E,2026 actual/estimated,monthly aggregate SPPCRC clause revenues net of revenue taxes and 1.000979763B USD annual total visible,aggregate_revenue_visible,Aggregate customer-revenue proxy for the whole SPPCRC,"month; clause revenue net of revenue taxes; total jurisdictional revenue requirement; true-up collected/refunded; over/under recovery; annual total",Pass if aggregate revenue can be reconciled to rate-class billed revenue and then allocated to Distribution Inspection,Aggregate clause revenue is not category-specific billed or collected cash,CFFPL2026SA-006; CFPGCCRW-002,Extract monthly Form 2E revenue lines and reconcile to factor totals,FPL has aggregate SPPCRC revenue proxy for 2026 actual/estimated,6
CFFPLDBWM-007,final_trueup_baseline,2025 final true-up Epperson testimony Document 01940-2026,2025 final true-up,804.620369M USD final clause revenues; 729.233535M USD revenue requirements; 65.318726M USD true-up collected/refunded; 16.579976M USD final over-recovery including interest,final_trueup_visible,Back-test baseline for how projected/actual revenue converts into final true-up,"month; clause revenue; jurisdictional revenue requirement; true-up collected/refunded; over/under recovery; interest; category final amount; carried-forward factor period",Pass if final true-up schedules can be reconciled to the category receipt allocation for Distribution Inspection,Final true-up is not a bank receipt ledger or category customer cash proof,CFPLFT-001; CFPLFT-008; CFPLFT-011; CFPLFT-013,Use 2025 final true-up as baseline schema for 2026/2027 workpaper extraction,FPL has strong final true-up evidence but not Distribution Inspection receipts,7
CFFPLDBWM-008,distribution_inspection_category,Forms 6A/7A final true-up and Forms 7E/3P category schedules,2025 final and 2026 projection,Distribution Inspection final amount 15.942971M USD; 2025 expenditures 38.500000M USD; 2025 additions to plant 58.131189M USD; 2026 projected expenditures 45.400000M USD,category_recovery_visible,Category-specific cost/recovery side of the proof chain,"category; form; period; expenditures; additions to plant; recoverable expense; final amount; variance; equity component; debt component; depreciation",Pass if category recovery is joined to actual billed/collected customer revenue by allocation method,Category cost/recovery does not prove customer receipts or source-of-funds allocation,CFPLSP-005; CFPLSP-006; CFPLSP-007; CFPLSP-011; CFPLFT-013; CFPLFT-017,Build Distribution Inspection category schema and look for matching receipt allocation workpaper,FPL Distribution Inspection has category recovery evidence but not receipt proof,8
CFFPLDBWM-009,discovery_and_response_route,"DN 02990-2026; DN 03047-2026; DN 04149-2026; DN 04150-2026; DN 03396-2026; DN 03451-2026; DN 03676-2026; DN 04505-2026; DN 04795-2026; DN 05260-2026",2026,staff and Panama City interrogatory/production request routes plus FPL response/objection notices visible,discovery_response_route_visible,Best route if billing/receipt support exists in non-confidential responses or hearing records,"request id; response id; responding party; subject; confidentiality; billing determinant terms; receipt terms; category terms; produced schedule marker",Pass if non-confidential responses or exhibits include billing determinants, receipts, subaccount ledgers, or source allocation,Notices and objections do not expose the underlying schedules,CFFPL2026SA-008; CFFPL2026SA-009,Map discovery request/response pairs and identify non-confidential exhibits,FPL discovery route is visible but substantive receipt schedules remain missing,9
CFFPLDBWM-010,named_cash_proof_verdict,current public docket plus local FPL SPPCRC packet,2025-2027,current public route improves source availability but does not surface Distribution Inspection-specific billing determinants, receipts, funding allocation, or earned-return proof,hold_with_current_docket_route_visible,Strict verdict row separating route visibility from proof,"billing determinants; receipt ledger; subaccount ledger; source-of-funds schedule; earned-return model; Distribution Inspection allocation",Upgrade only if exact category cash and source/use/return schedules are found,Current packet remains below named customer-cash proof,CFFPL2026SA-010; CFPGCCRW-002; CFPGCCRW-003,Proceed to field-level Form 4P/Form 5P and docket inventory extraction,FPL is the strongest public receipt route but still a hold for full customer-cash proof,10
