claim_id,company,period,metric,value,unit,qoq_reference_value,qoq_change_pct,yoy_reference_value,yoy_change_pct,source_url,source_location,interpretation,claim_effect,status
CF-004,Blackstone Credit & Insurance,Q2 2026,Credit & Insurance total AUM,469.3,USD billions,,,407.296,15.2,https://www.blackstone.com/blackstone2q26earningspressrelease/,official PDF page 15 lines 352-354 and 379,Measures Blackstone Credit & Insurance platform scale.,supports another large manager-specific credit and insurance channel,official-web-rendered-pdf-local-download-blocked
CF-004,Blackstone Credit & Insurance,Q2 2026,Credit & Insurance fee-earning AUM,318.241,USD billions,,,288.931,10.1,https://www.blackstone.com/blackstone2q26earningspressrelease/,official PDF page 15 lines 379-380,Measures monetizable Credit & Insurance capital base.,supports recurring fee base in credit and insurance segment,official-web-rendered-pdf-local-download-blocked
CF-004,Blackstone Credit & Insurance,Q2 2026,Credit & Insurance quarterly inflows,31.0,USD billions,,,,,https://www.blackstone.com/blackstone2q26earningspressrelease/,official PDF page 15 lines 352-354,Measures quarterly inflows into Blackstone Credit & Insurance.,supports current demand for credit and insurance platform,official-web-rendered-pdf-local-download-blocked
CF-004,Blackstone Credit & Insurance,Q2 2026,Credit & Insurance LTM inflows,143.0,USD billions,,,,,https://www.blackstone.com/blackstone2q26earningspressrelease/,official PDF page 15 lines 352-354,Measures trailing-twelve-month inflows into Blackstone Credit & Insurance.,supports sustained credit and insurance capital formation,official-web-rendered-pdf-local-download-blocked
CF-004,Blackstone Credit & Insurance,Q2 2026,global direct lending strategy inflows,13.3,USD billions,,,,,https://www.blackstone.com/blackstone2q26earningspressrelease/,official PDF page 15 lines 355-356,Measures direct-lending inflows inside the Credit & Insurance segment.,supports private-credit funding-channel demand,official-web-rendered-pdf-local-download-blocked
CF-004,Blackstone Credit & Insurance,Q2 2026,BCRED equity raised,1.0,USD billions,,,,,https://www.blackstone.com/blackstone2q26earningspressrelease/,official PDF page 15 lines 355-356,Measures retail/perpetual private-credit fund equity raised within direct-lending inflows.,supports wealth/perpetual private-credit funding channel,official-web-rendered-pdf-local-download-blocked
CF-004,Blackstone Credit & Insurance,Q2 2026,infrastructure and asset-based credit strategy inflows,9.9,USD billions,,,,,https://www.blackstone.com/blackstone2q26earningspressrelease/,official PDF page 15 lines 357-358,Measures inflows into infrastructure and asset-based credit strategies.,supports credit flows into asset-backed and infrastructure categories,official-web-rendered-pdf-local-download-blocked
CF-004,Blackstone Credit & Insurance,Q2 2026,insurance SMA inflows,7.5,USD billions,,,,,https://www.blackstone.com/blackstone2q26earningspressrelease/,official PDF page 15 lines 357-358,Measures insurance separately managed account inflows inside infrastructure and asset-based credit strategies.,supports insurance-client funding channel without Blackstone taking insurance liabilities,official-web-rendered-pdf-local-download-blocked
CF-004,Blackstone Credit & Insurance,Q2 2026,Credit & Insurance quarterly capital deployed,12.7,USD billions,,,,,https://www.blackstone.com/blackstone2q26earningspressrelease/,official PDF page 15 lines 359-360,Measures quarterly deployment from Credit & Insurance.,supports capital moving into credit/infrastructure/asset-backed investments,official-web-rendered-pdf-local-download-blocked
CF-004,Blackstone Credit & Insurance,Q2 2026,Credit & Insurance LTM capital deployed,65.4,USD billions,,,,,https://www.blackstone.com/blackstone2q26earningspressrelease/,official PDF page 15 lines 359-360,Measures trailing-twelve-month deployment from Credit & Insurance.,supports sustained deployment scale,official-web-rendered-pdf-local-download-blocked
CF-004,Blackstone Credit & Insurance,Q2 2026,Credit & Insurance quarterly committed capital,9.7,USD billions,,,,,https://www.blackstone.com/blackstone2q26earningspressrelease/,official PDF page 15 line 361,Measures additional capital committed in the quarter.,supports future funded credit pipeline,official-web-rendered-pdf-local-download-blocked
CF-004,Blackstone Credit & Insurance,Q2 2026,private credit quarterly net return,0.4,percent,,,,,https://www.blackstone.com/blackstone2q26earningspressrelease/,official PDF page 15 lines 363-365,Measures private-credit fund net return in the quarter.,adds performance context rather than funding-channel proof,official-web-rendered-pdf-local-download-blocked
CF-004,Blackstone Credit & Insurance,Q2 2026,private credit LTM net return,3.9,percent,,,,,https://www.blackstone.com/blackstone2q26earningspressrelease/,official PDF page 15 lines 363-365,Measures private-credit fund net return over the trailing twelve months.,adds performance context rather than funding-channel proof,official-web-rendered-pdf-local-download-blocked
