detail_row_id,proof_packet_id,cusip,source_row_type,source_row_id,source_schedule,source_page,issuer_or_description,date_1,date_2,counterparty_or_disposition,row_economic_disposition_class,row_cash_likeness,book_value_or_disposal_book_usd,fair_value_or_consideration_usd,actual_cost_usd,par_or_shares,interest_income_or_realized_gain_loss_usd,interest_received_or_dividends_usd,naic_designation,asset_type_guess,raw_numeric_values,boundary
CFAASCBCRPD-0001,CFAASCBCRP-001,G7741@-AC-4,year_end_holding,CFAASDFR-3327,Schedule D Part 1 Section 1,5908,SVF II Finco Cayman LP SVF II Finco (Cayman) LP,10/15/2025,04/25/2029,,,,1292265570.000000,1292265522.000000,1292265560.000000,"1,292,265,617",25558132.000000,540370895.000000,1.F,issuer_credit_or_bond,,full Schedule D range parser output; row boundaries and positional numeric fields require reconciliation to statutory verification totals before asset-level cash-return use
CFAASCBCRPD-0002,CFAASCBCRP-001,G7741@-AC-4,disposal_or_proceeds,CFAASDDP-02069,Schedule D Part 4,6141,SVF II Finco Cayman LP SVF II Finco (Cayman) LP 7.302% 04/25/29,12/31/2025,,Paydown,principal-paydown-cash-candidate,cash-like-candidate,0.000000,35573813.000000,35573813.000000,"35,573,813",0.000000,180193.000000,,,"35,573,813; 35,573,813; 35,573,813; 35,573,813; 180,193","Schedule D disposal parser with safer disposition classification; consideration is schedule-positioned, while gain/loss is promoted only when independently visible and otherwise remains a hold"
CFAASCBCRPD-0003,CFAASCBCRP-001,G7741@-AC-4,disposal_or_proceeds,CFAASDDP-07040,Schedule D Part 5,6312,SVF II Finco Cayman LP SVF II Finco (Cayman) LP 7.302% 04/25/29,09/09/2025,,Direct 10/08/2025 Paydown,principal-paydown-cash-candidate,cash-like-candidate,9884715.000000,9884715.000000,9884715.000000,"9,884,715",0.000000,9884715.000000,,,"9,884,715; 9,884,715; 9,884,715; 9,884,715","Schedule D disposal parser with safer disposition classification; consideration is schedule-positioned, while gain/loss is promoted only when independently visible and otherwise remains a hold"
CFAASCBCRPD-0004,CFAASCBCRP-001,G7741@-AC-4,disposal_or_proceeds,CFAASDDP-07041,Schedule D Part 5,6312,SVF II Finco Cayman LP SVF II Finco (Cayman) LP 7.302% 04/25/29,09/09/2025,,PRIVATE 10/08/2025 Paydown,principal-paydown-cash-candidate,cash-like-candidate,5292517.000000,5292517.000000,5292517.000000,"5,292,517",0.000000,5292517.000000,,,"5,292,517; 5,292,517; 5,292,517; 5,292,517","Schedule D disposal parser with safer disposition classification; consideration is schedule-positioned, while gain/loss is promoted only when independently visible and otherwise remains a hold"
CFAASCBCRPD-0005,CFAASCBCRP-001,G7741@-AC-4,disposal_or_proceeds,CFAASDDP-07042,Schedule D Part 5,6312,SVF II Finco Cayman LP SVF II Finco (Cayman) LP 7.302% 04/25/29,09/09/2025,,Direct 10/15/2025 Tax Free Exchange,tax-free-exchange-hold,noncash-or-transfer-hold,1327839430.000000,1327839430.000000,1327839430.000000,"1,327,839,430",0.000000,4236109.000000,,,"1,327,839,430; 1,327,839,430; 1,327,839,430; 1,327,839,430; 4,236,109","Schedule D disposal parser with safer disposition classification; consideration is schedule-positioned, while gain/loss is promoted only when independently visible and otherwise remains a hold"
CFAASCBCRPD-0006,CFAASCBCRP-001,G7741@-AC-4,disposal_or_proceeds,CFAASDDP-07043,Schedule D Part 5,6312,SVF II Finco Cayman LP SVF II Finco (Cayman) LP 7.302% 04/25/29,09/09/2025,,PRIVATE 10/16/2025 Tax Free Exchange,tax-free-exchange-hold,noncash-or-transfer-hold,710957677.000000,710957677.000000,710957677.000000,"710,957,677",0.000000,2418728.000000,,,"710,957,677; 710,957,677; 710,957,677; 710,957,677; 2,418,728","Schedule D disposal parser with safer disposition classification; consideration is schedule-positioned, while gain/loss is promoted only when independently visible and otherwise remains a hold"
CFAASCBCRPD-0007,CFAASCBCRP-002,00264#-AB-3,year_end_holding,CFAASDFR-8588,Schedule D Part 1 Section 2,6025,AP Aristotle Holdings LLC Aristotle Sen 5.25% 28 Feb 42,12/30/2025,02/28/2042,,,,300834391.000000,0.000000,0.000000,,17137629.000000,28317574.000000,5.,affiliated_or_apollo_related,,full Schedule D range parser output; row boundaries and positional numeric fields require reconciliation to statutory verification totals before asset-level cash-return use
CFAASCBCRPD-0008,CFAASCBCRP-002,00264#-AB-3,disposal_or_proceeds,CFAASDDP-06154,Schedule D Part 4,6279,AP Aristotle Holdings LLC Aristotle Sen 5.25% 28 Feb 42 5.250% 02/28/42,12/15/2025,,Paydown,principal-paydown-cash-candidate,cash-like-candidate,0.000000,250704550.000000,250704579.000000,"250,704,579",0.000000,5270263.000000,,,"250,704,550; 250,704,579; 250,704,579; 250,704,579; 5,270,263","Schedule D disposal parser with safer disposition classification; consideration is schedule-positioned, while gain/loss is promoted only when independently visible and otherwise remains a hold"
CFAASCBCRPD-0009,CFAASCBCRP-002,00264#-AB-3,disposal_or_proceeds,CFAASDDP-06157,Schedule D Part 4,6279,AP Aristotle Holdings LLC(Old) A 5.250% 02/28/42,02/10/2025,,Various,market-sale-or-counterparty-cash-candidate,cash-like-candidate,0.000000,525327798.000000,525327798.000000,"525,327,798",0.000000,6393285.000000,,,"525,327,798; 525,327,798; 525,327,798; 525,327,798; 525,327,798; 6,393,285","Schedule D disposal parser with safer disposition classification; consideration is schedule-positioned, while gain/loss is promoted only when independently visible and otherwise remains a hold"
CFAASCBCRPD-0010,CFAASCBCRP-002,00264#-AB-3,disposal_or_proceeds,CFAASDDP-07636,Schedule D Part 5,6334,AP Aristotle Holdings LLC(Old) A 5.250% 02/28/42,01/01/2025,,Interest Capitalization 02/10/2025 Tax Free Exchange,tax-free-exchange-hold,noncash-or-transfer-hold,6588486.000000,6588486.000000,6588486.000000,"6,588,486",0.000000,38433.000000,,,"6,588,486; 6,588,486; 6,588,486; 6,588,486; 38,433","Schedule D disposal parser with safer disposition classification; consideration is schedule-positioned, while gain/loss is promoted only when independently visible and otherwise remains a hold"
CFAASCBCRPD-0011,CFAASCBCRP-003,28655*-AA-7,year_end_holding,CFAASDFR-3130,Schedule D Part 1 Section 1,5904,Eliant Invest Holding LP. B,12/11/2025,12/15/2041,,,,23238692.000000,23238691.000000,23238691.000000,"23,238,691",425099.000000,23286772.000000,1.G,issuer_credit_or_bond,,full Schedule D range parser output; row boundaries and positional numeric fields require reconciliation to statutory verification totals before asset-level cash-return use
CFAASCBCRPD-0012,CFAASCBCRP-003,28655*-AA-7,disposal_or_proceeds,CFAASDDP-01948,Schedule D Part 4,6137,Eliant Invest Holding LP. B 5.683% 12/15/41,12/24/2025,,Various,market-sale-or-counterparty-cash-candidate,cash-like-candidate,0.000000,356444966.000000,356444966.000000,"356,444,966",-18.000000,6163732.000000,,,"356,444,966; 356,444,966; 356,444,966; 205,615,636; 356,444,966; 6,163,732","Schedule D disposal parser with safer disposition classification; consideration is schedule-positioned, while gain/loss is promoted only when independently visible and otherwise remains a hold"
CFAASCBCRPD-0013,CFAASCBCRP-003,28655*-AA-7,disposal_or_proceeds,CFAASDDP-07047,Schedule D Part 5,6312,Eliant Invest Holding LP. B 5.683% 12/15/41,02/03/2025,,Various 12/24/2025 Redemption 100 0000,redemption-or-call-cash-candidate,cash-like-candidate,1806570.000000,1806570.000000,1806570.000000,"1,806,570",0.000000,43047.000000,,,"1,806,570; 1,806,570; 1,806,570; 1,806,570; 43,047","Schedule D disposal parser with safer disposition classification; consideration is schedule-positioned, while gain/loss is promoted only when independently visible and otherwise remains a hold"
CFAASCBCRPD-0014,CFAASCBCRP-004,Q7457#-AA-9,year_end_holding,CFAASDFR-6073,Schedule D Part 1 Section 2,5973,Turbin Finance Trust 2024-1 A,07/31/2025,10/23/2066,,,,193835329.000000,190276667.000000,184654354.000000,"190,072,426",3698132.000000,137900.000000,1.A,issuer_credit_or_bond,,full Schedule D range parser output; row boundaries and positional numeric fields require reconciliation to statutory verification totals before asset-level cash-return use
CFAASCBCRPD-0015,CFAASCBCRP-004,Q7457#-AA-9,disposal_or_proceeds,CFAASDDP-04519,Schedule D Part 4,6225,Turbin Finance Trust 2024-1 A 4.744% 10/23/66 . ..07/07/2025 . Paydown,07/07/2025,,Paydown,principal-paydown-cash-candidate,cash-like-candidate,58721133.000000,58721133.000000,60022428.000000,"58,721,133",0.000000,1250871.000000,,,"58,721,133; 58,721,133; 60,022,428; 58,408,646; (1,148,714); (1,148,714); 1,585,585; 58,721,133; (124,384); (124,384); 1,250,871","Schedule D disposal parser with safer disposition classification; consideration is schedule-positioned, while gain/loss is promoted only when independently visible and otherwise remains a hold"
CFAASCBCRPD-0016,CFAASCBCRP-004,Q7457#-AA-9,disposal_or_proceeds,CFAASDDP-04520,Schedule D Part 4,6225,Turbin Finance Trust 2024-1 A 4.744% 10/23/66 . ..02/04/2025 . Redemption 100.0000,02/04/2025,,Redemption 100,redemption-or-call-cash-candidate,cash-like-candidate,5449439.000000,5449439.000000,5644560.000000,"5,449,439",0.000000,50726.000000,,,"5,449,439; 5,449,439; 5,644,560; 5,492,799; (108,026); (108,026); 149,110; 5,449,439; (84,444); (84,444); 50,726","Schedule D disposal parser with safer disposition classification; consideration is schedule-positioned, while gain/loss is promoted only when independently visible and otherwise remains a hold"
