system_family,ecosystem_subtype,company_name,ticker,sector,industry,company_packet_path,main_owned_interface,core_repeat_behavior,behavioral_frequency_band,main_widening_layer,primary_relationship_asset,primary_monetization_logic,main_open_extension,last_updated,status
"Platform and ecosystem systems","Commerce and merchant flywheel","Amazon.com, Inc.",AMZN,Retail,"Specialty Retail, Other","/home/manishmehta/ui-projects/annual-report-research/extracted/retail/specialty-retail-other/amazoncom-inc/company-packet.md","shopping account Prime search and merchant access","frequent household shopping replenishment and recurring utility use","high-frequency everyday","ads seller services subscriptions and fulfillment","account-level utility and merchant density","balanced consumer plus seller monetization","compare against Walmart and Target on retail-first versus full-interface ecosystem widening",2026-08-10,in-progress
"Platform and ecosystem systems","Commerce and merchant flywheel","Walmart Inc.",WMT,Services,"Discount, Variety Stores","/home/manishmehta/ui-projects/annual-report-research/extracted/services/discount-variety-stores/walmart-inc/company-packet.md","first-party basket omnichannel utility and household traffic","frequent household shopping and same-day convenience repetition","high-frequency everyday","advertising membership marketplace and fulfillment services","mass retail utility plus attached ecosystem widening","retail-first plus attached platform monetization","compare against Amazon on ecosystem thickness and against Target on weaker-middle widening",2026-08-10,in-progress
"Platform and ecosystem systems","Commerce and merchant flywheel","Target Corporation",TGT,Services,"Discount, Variety Stores","/home/manishmehta/ui-projects/annual-report-research/extracted/services/discount-variety-stores/target-corp/company-packet.md","household-and-discretionary retail trip plus digital convenience","repeat household and discretionary trips","high-frequency everyday","retail media membership same-day services and marketplace attachment","trusted store traffic and merchandising relationship","retail demand plus attached monetization repair","compare against Walmart on ecosystem scale and against Ulta on interface-led category discovery",2026-08-10,in-progress
"Platform and ecosystem systems","Commerce and merchant flywheel","eBay Inc.",EBAY,"Consumer Goods","Internet Service Providers","/home/manishmehta/ui-projects/annual-report-research/extracted/consumer-goods/internet-service-providers/ebay/company-packet.md","category discovery listings and enthusiast inventory access","repeated browse resale collecting and listing behavior","medium-frequency browse and category repeat","advertising seller tools and promoted discovery","supply depth and enthusiast-liquidity trust","seller-and-ad weighted marketplace monetization","extend against Etsy and Airbnb on trust structure and against Amazon on interface thickness",2026-08-10,in-progress
"Platform and ecosystem systems","Trip and marketplace network","Airbnb, Inc.",ABNB,Technology,"Application Software","/home/manishmehta/ui-projects/annual-report-research/extracted/technology/application-software/airbnb-inc/company-packet.md","host-guest booking flow app behavior and booking confidence","episodic but repeating trip planning and app-led stay selection","episodic high-value repeat","services experiences hotel extension and flexible payments","decentralized supply trust","buyer-booking weighted trust marketplace monetization","reuse against Booking and Expedia before adding another travel-interface subtype",2026-08-10,in-progress
"Platform and ecosystem systems","Trip and marketplace network","Booking Holdings Inc.",BKNG,Services,"Transportation Services","/home/manishmehta/ui-projects/annual-report-research/extracted/services/transportation-services/booking-holdings/company-packet.md","search compare book and connected-trip workflow","episodic but repeating cross-vertical trip planning","episodic high-value repeat","merchant payments direct behavior and cross-sell","trip-orchestration control","buyer-booking plus supplier-payments weighted monetization","reuse against Expedia and Airbnb on orchestration versus loyalty thickness versus trust",2026-08-10,in-progress
"Platform and ecosystem systems","Trip and marketplace network","Expedia Group, Inc.",EXPE,Services,"Transportation Services","/home/manishmehta/ui-projects/annual-report-research/extracted/services/transportation-services/expedia-group-inc/company-packet.md","cross-brand travel interface One Key and partner distribution","repeat travel planning cross-brand reuse and partner-distributed booking flow","episodic high-value repeat","B2B distribution advertising and loyalty-thickened travel reuse","multi-layer travel intermediation","balanced traveler plus partner monetization","reuse against Booking and Airbnb before another travel platform extension",2026-08-10,in-progress
"Platform and ecosystem systems","Local-commerce and fulfillment network","DoorDash, Inc.",DASH,Technology,"Internet Service Providers","/home/manishmehta/ui-projects/annual-report-research/extracted/technology/internet-service-providers/doordash/company-packet.md","app-led local ordering DashPass and merchant discovery","high-frequency local ordering and convenience habit","high-frequency everyday","memberships ads merchant tooling and logistics density","local-demand routing plus merchant dependence","balanced consumer-membership plus merchant monetization","extend against Uber and Instacart on merchant dependence and retailer embedment",2026-08-10,in-progress
"Platform and ecosystem systems","Device and operating-system ecosystem","Apple Inc.",AAPL,Technology,"Consumer Services","/home/manishmehta/ui-projects/annual-report-research/extracted/technology/consumer-services/apple-inc/company-packet.md","installed base identity operating system and app-services attachment","repeated device use refresh behavior and service reuse","high-frequency everyday","services subscriptions payments and developer distribution","installed-base lock-in","device sale plus services and software attachment","reuse against Netflix and Roblox before broadening to another premium ecosystem",2026-08-10,in-progress
"Platform and ecosystem systems","Participation and creator-economy platform","Roblox Corporation",RBLX,Technology,"Application Software","/home/manishmehta/ui-projects/annual-report-research/extracted/technology/application-software/roblox-corporation/company-packet.md","creator supply discovery identity and virtual-currency participation","recurring digital play social participation and creator-economy engagement","high-frequency everyday","advertising commerce AI-assisted creation and communication tools","creator-built world participation","bookings ads and virtual-economy monetization","reuse against Apple and Netflix on participation versus paid attention versus installed-base logic",2026-08-10,in-progress
"Platform and ecosystem systems","Attention, media, and cultural-distribution platform","Netflix, Inc.",NFLX,Services,"Music & Video Stores","/home/manishmehta/ui-projects/annual-report-research/extracted/services/music-video-stores/netflix-inc/company-packet.md","subscription relationship recommendation surface and global entertainment access","recurring viewing habit and entertainment discovery","high-frequency everyday","advertising live programming and games","paid cultural-access habit","subscription plus growing ad monetization","reuse against Spotify Meta and Roblox on how recurring attention differs from participation or device lock-in",2026-08-10,in-progress
"Platform and ecosystem systems","Attention, media, and cultural-distribution platform","Spotify Technology S.A.",SPOT,Technology,"Internet Information Providers","/home/manishmehta/ui-projects/annual-report-research/extracted/technology/internet-information-providers/spotify-technology-sa/company-packet.md","music podcast and audiobook discovery interface","daily listening playlist reuse and subscription plus ad-supported habit","high-frequency everyday","advertising creator tooling audiobooks and personalization","recurring audio habit and discovery","subscription plus ad-supported audience monetization","compare against Netflix on paid cultural access and against Meta on open-attention economics",2026-08-10,in-progress
