rank,page,cusip_or_identifier,name_or_description_near_row,book_value,investment_income,income_to_book_screen,part3_event_count,part3_consideration_sum,part3_book_value_sum,part3_nature_signals,current_year_other_than_temporary_impairment,boundary
1,5813,G2964#-AB-5,AP Grange Holdings LLC AP Grange Tranche B,"$411,998,739","$31,661,927",7.68%,1,"$313,313","$313,313",,,"Coordinate-extracted Schedule BA Part 1 income field; not collected cash, borrower repayment, liability-adjusted spread, or Apollo owner cash."
2,5821,,Builders Capital Builders Capital II 19JUN27,"$357,363,590","$29,626,771",8.29%,0,,,,,"Coordinate-extracted Schedule BA Part 1 income field; not collected cash, borrower repayment, liability-adjusted spread, or Apollo owner cash."
3,5821,,Builders Capital Builders Capital,"$221,026,911","$23,944,890",10.83%,0,,,,,"Coordinate-extracted Schedule BA Part 1 income field; not collected cash, borrower repayment, liability-adjusted spread, or Apollo owner cash."
4,5814,,AltsCo Core (A-A Offshore AAA),$0,"$17,685,881",,0,,,,,"Coordinate-extracted Schedule BA Part 1 income field; not collected cash, borrower repayment, liability-adjusted spread, or Apollo owner cash."
5,5815,,Times Square Times Square Equity,"$99,132,431","$9,829,761",9.92%,0,,,,,"Coordinate-extracted Schedule BA Part 1 income field; not collected cash, borrower repayment, liability-adjusted spread, or Apollo owner cash."
6,5820,,Swedbank AB Junior Subordinated Perpet.,"$101,581,293","$5,684,829",5.60%,0,,,,,"Coordinate-extracted Schedule BA Part 1 income field; not collected cash, borrower repayment, liability-adjusted spread, or Apollo owner cash."
7,5814,,"AA Net Lease, L.P. A-A Offshore Java L.P.","$6,230,154","$4,112,628",66.01%,0,,,,,"Coordinate-extracted Schedule BA Part 1 income field; not collected cash, borrower repayment, liability-adjusted spread, or Apollo owner cash."
8,5813,04410R-AQ-9,Ashford Hospitality Trust AHT1 2018-ASHF F,"$46,962,386","$4,052,450",8.63%,0,,,,,"Coordinate-extracted Schedule BA Part 1 income field; not collected cash, borrower repayment, liability-adjusted spread, or Apollo owner cash."
9,5818,BX0460-26-7,Aviva PLC Junior Subordinated Perpet.,"$77,294,980","$3,872,069",5.01%,0,,,,,"Coordinate-extracted Schedule BA Part 1 income field; not collected cash, borrower repayment, liability-adjusted spread, or Apollo owner cash."
10,5818,7620ET-AA-7,RGA Reinsurance Co Sr Subordinated,"$145,000,000","$3,815,789",2.63%,1,"$20,000,000","$20,000,000",Sale,,"Coordinate-extracted Schedule BA Part 1 income field; not collected cash, borrower repayment, liability-adjusted spread, or Apollo owner cash."
11,5821,,Access Point Financial LLC APF Term Loan Facility,"$128,863,919","$3,796,739",2.95%,0,,,,,"Coordinate-extracted Schedule BA Part 1 income field; not collected cash, borrower repayment, liability-adjusted spread, or Apollo owner cash."
12,5813,90117P-AQ-8,Avenue of the Americas Tr AOTA E,"$77,949,983","$3,463,856",4.44%,1,"$2,999,220","$2,999,220",,,"Coordinate-extracted Schedule BA Part 1 income field; not collected cash, borrower repayment, liability-adjusted spread, or Apollo owner cash."
13,5819,,ING Groep NV Junior Subordinated Perpet.,"$61,934,278","$3,279,928",5.30%,0,,,,,"Coordinate-extracted Schedule BA Part 1 income field; not collected cash, borrower repayment, liability-adjusted spread, or Apollo owner cash."
14,5817,,Ngm Insurance Co Surplus Notes,"$50,000,000","$2,900,000",5.80%,0,,,,,"Coordinate-extracted Schedule BA Part 1 income field; not collected cash, borrower repayment, liability-adjusted spread, or Apollo owner cash."
15,5813,,"Hollyport Secondary Opportunities VI, L.P.","$9,501,313","$2,687,475",28.29%,0,,,,,"Coordinate-extracted Schedule BA Part 1 income field; not collected cash, borrower repayment, liability-adjusted spread, or Apollo owner cash."
16,5820,780082-AR-4,Royal Bank of Canada Junior Subordinated,"$117,558,317","$2,606,004",2.22%,1,"$219,647,157","$217,585,013",,,"Coordinate-extracted Schedule BA Part 1 income field; not collected cash, borrower repayment, liability-adjusted spread, or Apollo owner cash."
17,5818,,AXA SA AXA SA Perpet.,"$56,033,939","$2,508,187",4.48%,0,,,,,"Coordinate-extracted Schedule BA Part 1 income field; not collected cash, borrower repayment, liability-adjusted spread, or Apollo owner cash."
18,5819,225313-AR-6,Credit Agricole SA Junior Subordinated Perpet.,"$37,500,000","$2,499,941",6.67%,1,"$2,521,100","$2,500,000",Sale,,"Coordinate-extracted Schedule BA Part 1 income field; not collected cash, borrower repayment, liability-adjusted spread, or Apollo owner cash."
19,5819,,ING Groep NV Junior Subordinated Perpet.,"$64,797,646","$2,340,551",3.61%,0,,,,,"Coordinate-extracted Schedule BA Part 1 income field; not collected cash, borrower repayment, liability-adjusted spread, or Apollo owner cash."
20,5820,780082-AV-5,Royal Bank of Canada Junior Subordinated,"$149,557,452","$2,280,136",1.52%,1,"$216,647,014","$216,857,408",Sale,,"Coordinate-extracted Schedule BA Part 1 income field; not collected cash, borrower repayment, liability-adjusted spread, or Apollo owner cash."
21,5817,16649@-AA-9,Chesterfield Reinsurance Co Subordinated,"$127,500,000","$2,238,833",1.76%,1,"$7,500,000","$7,500,000",Partial Sale,,"Coordinate-extracted Schedule BA Part 1 income field; not collected cash, borrower repayment, liability-adjusted spread, or Apollo owner cash."
22,5819,05602X-DJ-4,BNP Paribas SA Junior Subordinated Perpet.,"$98,646,192","$2,192,060",2.22%,1,"$274,270,974","$274,072,937",Sale,,"Coordinate-extracted Schedule BA Part 1 income field; not collected cash, borrower repayment, liability-adjusted spread, or Apollo owner cash."
23,5820,,Swedbank AB Junior Subordinated Perpet.,"$41,051,953","$2,170,690",5.29%,0,,,,,"Coordinate-extracted Schedule BA Part 1 income field; not collected cash, borrower repayment, liability-adjusted spread, or Apollo owner cash."
