diagnostic_id,metric,value,units,proof_use,boundary,next_action
CFKKRGACEDHGD-001,geometry_rows,46,count,diagnoses why Accordia Schedule D column reconciliation remains on hold,The diagnostic identifies held-row geometry and sensitivity rows only; it does not promote extra groups to final statutory columns or prove cash returns.,"Use source-page column geometry or table extraction for held rows, then rerun full reconciliation against the statutory bond target."
CFKKRGACEDHGD-002,held_reconciliation_rows,21,count,diagnoses why Accordia Schedule D column reconciliation remains on hold,The diagnostic identifies held-row geometry and sensitivity rows only; it does not promote extra groups to final statutory columns or prove cash returns.,"Use source-page column geometry or table extraction for held rows, then rerun full reconciliation against the statutory bond target."
CFKKRGACEDHGD-003,short_token_held_rows,3,count,diagnoses why Accordia Schedule D column reconciliation remains on hold,The diagnostic identifies held-row geometry and sensitivity rows only; it does not promote extra groups to final statutory columns or prove cash returns.,"Use source-page column geometry or table extraction for held rows, then rerun full reconciliation against the statutory bond target."
CFKKRGACEDHGD-004,long_token_held_rows,18,count,diagnoses why Accordia Schedule D column reconciliation remains on hold,The diagnostic identifies held-row geometry and sensitivity rows only; it does not promote extra groups to final statutory columns or prove cash returns.,"Use source-page column geometry or table extraction for held rows, then rerun full reconciliation against the statutory bond target."
CFKKRGACEDHGD-005,subtotal_signature_held_rows,3,count,diagnoses why Accordia Schedule D column reconciliation remains on hold,The diagnostic identifies held-row geometry and sensitivity rows only; it does not promote extra groups to final statutory columns or prove cash returns.,"Use source-page column geometry or table extraction for held rows, then rerun full reconciliation against the statutory bond target."
CFKKRGACEDHGD-006,possible_embedded_security_held_rows,9,count,diagnoses why Accordia Schedule D column reconciliation remains on hold,The diagnostic identifies held-row geometry and sensitivity rows only; it does not promote extra groups to final statutory columns or prove cash returns.,"Use source-page column geometry or table extraction for held rows, then rerun full reconciliation against the statutory bond target."
CFKKRGACEDHGD-007,held_first_four_candidate_book_value_sum,231751265,USD,diagnoses why Accordia Schedule D column reconciliation remains on hold,The diagnostic identifies held-row geometry and sensitivity rows only; it does not promote extra groups to final statutory columns or prove cash returns.,"Use source-page column geometry or table extraction for held rows, then rerun full reconciliation against the statutory bond target."
CFKKRGACEDHGD-008,held_extra_group_book_candidate_count,36,count,diagnoses why Accordia Schedule D column reconciliation remains on hold,The diagnostic identifies held-row geometry and sensitivity rows only; it does not promote extra groups to final statutory columns or prove cash returns.,"Use source-page column geometry or table extraction for held rows, then rerun full reconciliation against the statutory bond target."
CFKKRGACEDHGD-009,held_extra_group_book_candidate_sum_not_proof,6622705761,USD,diagnoses why Accordia Schedule D column reconciliation remains on hold,The diagnostic identifies held-row geometry and sensitivity rows only; it does not promote extra groups to final statutory columns or prove cash returns.,"Use source-page column geometry or table extraction for held rows, then rerun full reconciliation against the statutory bond target."
CFKKRGACEDHGD-010,held_extra_group_book_candidates_over_50m,7,count,diagnoses why Accordia Schedule D column reconciliation remains on hold,The diagnostic identifies held-row geometry and sensitivity rows only; it does not promote extra groups to final statutory columns or prove cash returns.,"Use source-page column geometry or table extraction for held rows, then rerun full reconciliation against the statutory bond target."
CFKKRGACEDHGD-011,largest_extra_group_book_candidate_not_proof,5364223361,USD,diagnoses why Accordia Schedule D column reconciliation remains on hold,The diagnostic identifies held-row geometry and sensitivity rows only; it does not promote extra groups to final statutory columns or prove cash returns.,"Use source-page column geometry or table extraction for held rows, then rerun full reconciliation against the statutory bond target."
CFKKRGACEDHGD-012,high_dollar_candidate_rows_selected,25,count,diagnoses why Accordia Schedule D column reconciliation remains on hold,The diagnostic identifies held-row geometry and sensitivity rows only; it does not promote extra groups to final statutory columns or prove cash returns.,"Use source-page column geometry or table extraction for held rows, then rerun full reconciliation against the statutory bond target."
CFKKRGACEDHGD-013,high_dollar_candidate_first_four_book_value_sum,1112630206,USD,diagnoses why Accordia Schedule D column reconciliation remains on hold,The diagnostic identifies held-row geometry and sensitivity rows only; it does not promote extra groups to final statutory columns or prove cash returns.,"Use source-page column geometry or table extraction for held rows, then rerun full reconciliation against the statutory bond target."
CFKKRGACEDHGD-014,candidate_book_value_sum_before_geometry,6409765632,USD,diagnoses why Accordia Schedule D column reconciliation remains on hold,The diagnostic identifies held-row geometry and sensitivity rows only; it does not promote extra groups to final statutory columns or prove cash returns.,"Use source-page column geometry or table extraction for held rows, then rerun full reconciliation against the statutory bond target."
CFKKRGACEDHGD-015,statutory_bond_net_admitted_assets_target,7318322163,USD,diagnoses why Accordia Schedule D column reconciliation remains on hold,The diagnostic identifies held-row geometry and sensitivity rows only; it does not promote extra groups to final statutory columns or prove cash returns.,"Use source-page column geometry or table extraction for held rows, then rerun full reconciliation against the statutory bond target."
CFKKRGACEDHGD-016,candidate_book_value_variance_vs_target_before_geometry,-908556531,USD,diagnoses why Accordia Schedule D column reconciliation remains on hold,The diagnostic identifies held-row geometry and sensitivity rows only; it does not promote extra groups to final statutory columns or prove cash returns.,"Use source-page column geometry or table extraction for held rows, then rerun full reconciliation against the statutory bond target."
CFKKRGACEDHGD-017,candidate_book_value_coverage_before_geometry_pct,87.585180,percent,diagnoses why Accordia Schedule D column reconciliation remains on hold,The diagnostic identifies held-row geometry and sensitivity rows only; it does not promote extra groups to final statutory columns or prove cash returns.,"Use source-page column geometry or table extraction for held rows, then rerun full reconciliation against the statutory bond target."
CFKKRGACEDHGD-018,full_column_reconciliation_status,hold,status,diagnoses why Accordia Schedule D column reconciliation remains on hold,The diagnostic identifies held-row geometry and sensitivity rows only; it does not promote extra groups to final statutory columns or prove cash returns.,"Use source-page column geometry or table extraction for held rows, then rerun full reconciliation against the statutory bond target."
CFKKRGACEDHGD-019,full_named_cash_proof_upgrades,0,count,diagnoses why Accordia Schedule D column reconciliation remains on hold,The diagnostic identifies held-row geometry and sensitivity rows only; it does not promote extra groups to final statutory columns or prove cash returns.,"Use source-page column geometry or table extraction for held rows, then rerun full reconciliation against the statutory bond target."
CFKKRGACEDHGD-020,next_parser,accordia-schedule-d-page-column-extraction-or-manual-geometry,parser,diagnoses why Accordia Schedule D column reconciliation remains on hold,The diagnostic identifies held-row geometry and sensitivity rows only; it does not promote extra groups to final statutory columns or prove cash returns.,"Use source-page column geometry or table extraction for held rows, then rerun full reconciliation against the statutory bond target."
