section_id,section,old_html_inputs,first_principles_point,money_path,company_examples,proof_needed,safe_use
ARCGHEX-001,opening_frame,The Ritual Economy; The Pet Economys Mirror; The Affordability Ceiling; The Trust Market; The Addiction Dividend,"Consumer goods are small objects that help households keep life recognizable under pressure: clean, fed, presentable, prepared, caring, festive, and in control.",household routine or identity need -> product/category/brand/channel -> purchase -> volume/price/mix -> gross margin -> marketing/input/distribution cost -> cash,Procter & Gamble; Colgate-Palmolive; Coca-Cola; Estee Lauder; Hasbro; Chewy; Mondelez; PepsiCo,organic sales; volume; price/mix; market share; gross margin; promotion; channel inventory; repeat purchase; cash flow,"Use as a no-background consumer identity chapter frame, not as proof that every brand has durable pricing power."
ARCGHEX-002,household_identity,all five old dynamics,A household is not just an income statement. It is a set of repeated acts and self-definitions.,daily need -> trusted item -> repeat purchase -> retailer/brand economics -> cash,household products; food; beverages; beauty; toys; pet care; apparel,repeat purchase; penetration; volume; price/mix; gross margin; retailer terms,"Safe claim: products can carry identity and routine, but the annual report must prove demand quality."
ARCGHEX-003,ritual_purchases,The Ritual Economy; The Addiction Dividend,"Ritual purchases are partly decided before the customer shops because they attach to morning, family, hygiene, pets, holidays, or celebration.",routine/occasion -> brand or service -> repeated purchase -> volume/frequency/loyalty -> cash,Starbucks as service reference; Chewy; Colgate; Coca-Cola; Mondelez; beauty brands; toy companies,frequency; repeat purchase; active customers; autoship; loyalty; volume; margin,"Safe claim: rituals lower selling friction, but they can still weaken through trading down or lower frequency."
ARCGHEX-004,pet_as_dependent,The Pet Economys Mirror; The Ritual Economy,Pet spending shows when a category crosses from expense to dependent-care identity.,pet-as-family role -> food/vet/drug/retail/autoship -> recurring purchase -> gross margin/subscription/cash,Chewy; Colgate Hill's Pet Nutrition; Zoetis; Petco; pet pharmacy channels,active customers; autoship share; net sales per customer; gross margin; volume; repeat purchase; working capital,"Safe claim: pet care can behave more like household care than normal discretionary retail, but proof must show recurring purchase and margin."
ARCGHEX-005,affordability_sorting,The Affordability Ceiling,"Households do not cut evenly. They sort spending between essentials, protected identity, cheap substitutions, and abandoned middle-tier purchases.",budget pressure -> trade down/trade up/selective premium -> channel and brand shift -> price/mix and volume -> margin/cash,Macy/Bloomingdales as old-site example; Nike/HOKA as old-site example; Target; Walmart; Costco; Estee Lauder,comps; volume; price/mix; channel mix; promotions; inventory; markdowns; gross margin,"Safe claim: affordability pressure changes mix and channel, but revenue growth may only be price or premium concentration."
ARCGHEX-006,trust_shortcuts,The Trust Market,"A familiar brand is a shortcut through uncertainty: the customer pays to avoid risk, wasted money, bad quality, embarrassment, or decision fatigue.",uncertainty -> trusted brand/institution/channel -> purchase or subscription -> price/mix/retention -> cash,P&G; Colgate; Coca-Cola; New York Times as information-trust reference; medical/pet brands,market share; repeat purchase; price premium; complaint/quality signals; churn; retention; margin,"Safe claim: trust can support repeat choice, but it must be tested against substitutes and price gaps."
ARCGHEX-007,small_control,Ritual Economy; Affordability Ceiling,"When big forms of control are expensive, small products can let people feel clean, prepared, attractive, generous, or competent.",stress or constraint -> small affordable product -> emotional/identity utility -> repeat purchase -> gross margin/cash,beauty; oral care; cleaning; snacks; beverages; toys; seasonal goods,category growth; volume; gross margin; advertising; promotions; inventory,"Safe claim: consumer goods can act as small control mechanisms, but this is a reading frame until company data supports it."
ARCGHEX-008,habit_infrastructure,The Addiction Dividend; The Ritual Economy,"The most valuable consumer infrastructure may be automatic repurchase: saved preferences, subscriptions, autoship, shelf habit, and family routine.",trigger -> automatic or low-friction reorder -> repeat revenue -> lower acquisition cost -> cash,Chewy; Amazon Subscribe and Save as ecosystem reference; Colgate; Coca-Cola; Starbucks as service reference,autoship/subscription share; retention; repeat rate; active customers; CAC; margin; deferred revenue if applicable,"Safe claim: automatic repurchase can improve durability, but proof must show retention and cost to serve."
ARCGHEX-009,brand_vs_price,Affordability Ceiling; Trust Market,The central proof problem is separating real brand power from price-led accounting growth.,price increase -> reported sales growth -> volume response -> margin/cash quality,P&G; Colgate; Coca-Cola; Mondelez; PepsiCo; Estee Lauder,volume; price/mix; elasticity; market share; gross margin; promotion intensity; retailer inventory,"Safe claim: brand strength requires repeat choice under price pressure, not only higher sales dollars."
ARCGHEX-010,channel_pressure,Affordability Ceiling,"Retailers and platforms can absorb consumer-goods economics through private label, shelf control, marketplace fees, promotions, and inventory terms.",brand demand -> retailer/channel gate -> shelf/algorithm/promotion -> sale -> retailer terms -> brand margin/cash,Walmart; Target; Costco; Amazon; grocery; mass retail; beauty specialty; travel retail,channel mix; retailer concentration; inventory; markdowns; trade spending; gross-to-net; receivables,Safe claim: brands do not own the whole money path; channels can take power.
