claim_id,platform,borrower,period,evidence_type,metric,value,unit,source_url,local_path,source_location,evidence_to_claim,claim_boundary,status
CF-005,Ares,Atwell,Q2 2026,sponsor transaction context,Atwell professionals,2000,people,https://www.adventinternational.com/news/atwell-partners-with-advent-international-to-accelerate-next-phase-of-growth/,raw/primary-sources/capital-flow/ares/q2-2026/follow-through/atwell-advent-2026-investment.html,local lines 632 and web lines 12-16,Shows Atwell is a scaled engineering consulting and construction services borrower tied to critical infrastructure.,Does not disclose loan amount lender group or prior bank repayment.,local-marker-found
CF-005,Ares,Atwell,Q2 2026,sponsor transaction context,Advent business and financial services investments since 2020,22,companies,https://www.adventinternational.com/news/atwell-partners-with-advent-international-to-accelerate-next-phase-of-growth/,raw/primary-sources/capital-flow/ares/q2-2026/follow-through/atwell-advent-2026-investment.html,web line 21,Shows sponsor context for Atwell as part of a broader professional services and industrial investing pattern.,Does not prove Ares funded all Advent activity.,web-marker-found
CF-005,Ares,Atwell,Q2 2026,sponsor transaction context,Advent industrials investments since 2020,14,companies,https://www.adventinternational.com/news/atwell-partners-with-advent-international-to-accelerate-next-phase-of-growth/,raw/primary-sources/capital-flow/ares/q2-2026/follow-through/atwell-advent-2026-investment.html,web line 21,Supports classification of Atwell in industrial and infrastructure services rather than software.,Does not disclose facility economics.,web-marker-found
CF-005,Ares,Atwell,Q2 2026,co-lender evidence,Antares Atwell facility amount,,undisclosed,https://www.antares.com/,raw/primary-sources/capital-flow/ares/q2-2026/follow-through/antares-homepage-atwell-transaction.html,local lines 801-806 and web lines 200-202,Antares lists Advent International / Atwell as an undisclosed first-lien credit facility where Antares was joint lead arranger in April 2026.,This indicates another private-credit lender role but does not prove Ares lender allocations or bank displacement.,local-marker-found
CF-005,Ares,Atwell,2024 bank facility,prior bank facility,senior credit facility,200,USD millions,https://www.businesswire.com/news/home/20240125865095/en/Atwell-enters-into-$200-million-senior-credit-facility-with-lending-group-led-by-Bank-of-America,raw/primary-sources/capital-flow/ares/q2-2026/follow-through/atwell-2024-bank-of-america-credit-facility.html,official web-rendered source lines 26-31,Atwell had a 200M USD senior credit facility led by Bank of America with U.S. Bank TD Bank and Old National Bank also included in the lending group before the 2026 Ares/Antares first-lien facility evidence.,Direct download was access-denied and the source does not say whether this bank facility was repaid terminated amended or left in place after the 2026 Advent transaction.,official-web-extracted-local-download-blocked
CF-005,Ares,Precinmac,Q2 2026,prior transaction and owner context,Precinmac facilities,9,facilities,https://www.precinmac.com/news/precinmacacquired,raw/primary-sources/capital-flow/ares/q2-2026/follow-through/precinmac-centerbridge-2024-acquisition.html,local line 3078 and web lines 140-152,Shows Precinmac is a multi-facility advanced manufacturing borrower serving aerospace defense space semiconductor and power end markets.,Does not disclose the 2026 incremental facility amount.,local-marker-found
CF-005,Ares,Precinmac,Q2 2026,prior credit owner context,Bain Capital Credit AUM,48,USD billions,https://www.precinmac.com/news/precinmacacquired,raw/primary-sources/capital-flow/ares/q2-2026/follow-through/precinmac-centerbridge-2024-acquisition.html,local line 3078 and web lines 141 and 159-160,Shows Precinmac previously had Bain Capital Private Credit Group in the seller/investor group before Centerbridge ownership.,This is prior-owner/credit-investor context and not evidence that Ares repaid or replaced Bain credit.,local-marker-found
CF-005,Ares,AeriTek,Q2 2026,acquisition follow-through,Continental and NCP customers,850,customers,https://millpoint.com/aeritek-acquires-continental-refrigerator-and-national-comfort-products-becoming-a-leader-in-u-s-commercial-foodservice-refrigeration/,raw/primary-sources/capital-flow/ares/q2-2026/follow-through/aeritek-nrac-2026-acquisition.html,local lines 1496-1497 and web lines 24-28,Shows AeriTek's financed acquisition added commercial refrigeration and HVAC brands with a sizable customer base.,Does not disclose loan amount lender allocations or bank role.,local-marker-found
CF-005,Ares,AeriTek,Q2 2026,acquisition follow-through,AeriTek North American acquisitions in less than eight months,3,acquisitions,https://millpoint.com/aeritek-acquires-continental-refrigerator-and-national-comfort-products-becoming-a-leader-in-u-s-commercial-foodservice-refrigeration/,raw/primary-sources/capital-flow/ares/q2-2026/follow-through/aeritek-nrac-2026-acquisition.html,local line 1496 and web line 25,Shows sponsor-backed acquisition-rollup momentum behind the borrower.,Does not prove the financing funded all three acquisitions.,local-marker-found
CF-005,Ares,Valcourt Group,Q2 2026,sponsor portfolio context,Valcourt acquisitions in 15 months,10,acquisitions,https://littlejohnllc.com/investments/valcourt-group/,raw/primary-sources/capital-flow/ares/q2-2026/follow-through/valcourt-littlejohn-portfolio.html,local lines 195-199 and web lines 34-38,Shows Valcourt is a built-environment maintenance platform that scaled through acquisitions.,This source does not confirm the Ares facility details or bank takeout.,local-marker-found
