bridge_id,queue_id,evidence_gate,evidence_source,current_status,period,evidence_now,value_or_metric,proof_result,money_movement_answer,missing_proof,next_required_source,safe_claim
CFPBFPFRC-001,CFE2EGUQ-008,queue-decision,capital-flow-end-to-end-graph-upgrade-queue-pass-1.csv,executed-local-boundary-pass-1,current synthesis,PBF refinancing was the eighth end-to-end graph upgrade target,priority 8,boundary-pass,"Question is whether PBF's refinancing mechanics can be tied to pro forma debt service and refinery cash quality.","The row was only partial-local before this pass.",ABL availability pro forma debt-service schedule refinery-level margin/cash and outage normalization,PBF is ready for pro forma debt-service testing but not full refinery-return proof.
CFPBFPFRC-002,CFE2EGUQ-008,refinancing-source,capital-flow-pbf-note-refinancing-economics-pass-1.csv,visible,Q2 2026,2034 7.25% Senior Notes issued,500.0M USD,source-visible,"Capital came in through a named 2034 senior-note issuance.","Gross proceeds are not net usable cash after offering costs.",2034 indenture offering memorandum and settlement funds-flow,PBF has visible new-note financing source.
CFPBFPFRC-003,CFE2EGUQ-008,refinancing-source,capital-flow-pbf-note-refinancing-economics-pass-1.csv,visible,Q2 2026,2034 note net proceeds,492.1M USD,net-source-visible,"Net proceeds created a partial cash source for the redemption.","Net proceeds alone were not enough to redeem the full old-note principal.",Offering fee detail and cash-use reconciliation,PBF has partial refinancing cash-source proof.
CFPBFPFRC-004,CFE2EGUQ-008,refinancing-use,capital-flow-pbf-note-refinancing-economics-pass-1.csv,visible,Q2 2026,2028 6.00% Senior Notes redeemed,801.6M USD,use-visible,"Money was used to fully redeem the nearer 2028 senior notes.","The filing does not isolate every settlement dollar including accrued interest.",Redemption notice and funds-flow statement,PBF has explicit refinancing use proof.
CFPBFPFRC-005,CFE2EGUQ-008,source-use-bridge,capital-flow-pbf-note-refinancing-economics-pass-1.csv,calculated-visible,Q2 2026,Minimum available cash used before accrued interest,309.5M USD,cash-bridge-visible,"Available cash or other liquidity had to cover the gap between net proceeds and old-note principal.","This is a minimum bridge and excludes accrued interest and timing.",Redemption settlement and cash roll-forward,PBF used material available cash with the new notes.
CFPBFPFRC-006,CFE2EGUQ-008,debt-service-mechanics,capital-flow-pbf-note-refinancing-economics-pass-1.csv,calculated-visible,Q2 2026,Gross senior-note principal reduction,301.6M USD,debt-reduction-visible,"The refinanced note layer became smaller in principal amount.","This excludes revolver movement fees accrued interest and total debt effects.",Total debt roll-forward and pro forma debt schedule,PBF reduced the targeted senior-note principal layer.
CFPBFPFRC-007,CFE2EGUQ-008,debt-service-mechanics,capital-flow-pbf-note-refinancing-economics-pass-1.csv,calculated-visible,Q2 2026,Coupon-rate change,plus 1.25 percentage points,pricing-visible,"PBF accepted a higher coupon rate on the new longer-dated note.","Rate increase alone does not show annual coupon burden because principal changed.",Full pro forma interest schedule,PBF extended maturity at a higher coupon rate.
CFPBFPFRC-008,CFE2EGUQ-008,debt-service-mechanics,capital-flow-pbf-note-refinancing-economics-pass-1.csv,calculated-visible,Q2 2026,Simple annual coupon relief,11.846M USD,pro-forma-coupon-relief-visible,"Simple annual coupon dollars decline because principal fell more than the coupon rose.","This is not NPV value creation after fees taxes accrued interest and opportunity cost.",Pro forma interest schedule fee amortization tax and NPV bridge,PBF has first-order coupon relief but not full refinancing-value proof.
CFPBFPFRC-009,CFE2EGUQ-008,refinancing-cost,capital-flow-pbf-note-refinancing-economics-pass-1.csv,visible,Q2 2026,Deferred financing costs and loss on extinguishment,7.9M USD deferred financing costs; 2.2M USD extinguishment loss,cost-visible,"Financing costs and an accounting extinguishment loss are visible.","These are not the full economic cost or after-tax NPV effect.",Debt issuance cost roll-forward tax treatment and redemption settlement,PBF has visible refinancing cost markers.
CFPBFPFRC-010,CFE2EGUQ-008,revolver-activity,capital-flow-pbf-note-refinancing-economics-pass-1.csv,visible,H1 2026,Revolver borrowings and repayments,1.100B USD borrowings; 1.200B USD repayments; 0 quarter-end balance,liquidity-movement-visible,"PBF used the revolver actively and ended Q2 with no revolver borrowings outstanding.","Gross activity and zero balance do not prove ABL exit legal availability or collateral cushion.",ABL agreement borrowing-base certificate and average borrowing schedule,PBF has same-period liquidity movement evidence.
CFPBFPFRC-011,CFE2EGUQ-008,company-cash-generation,capital-flow-pbf-insurance-normalized-cash-flow-pass-1.csv,visible,H1 2026,Reported operating cash flow,1.2651B USD,company-cash-visible,"PBF generated large first-half operating cash flow in the refinancing period.","Reported OCF includes insurance working-capital and non-cash effects.",Adjusted OCF bridge and refinery-level cash contribution,PBF has same-period company cash generation.
CFPBFPFRC-012,CFE2EGUQ-008,cash-quality-normalization,capital-flow-pbf-insurance-normalized-cash-flow-pass-1.csv,derived,H1 2026,Operating insurance-adjusted OCF,1.1538B USD,insurance-normalized-cash-proxy-visible,"After removing operating-section insurance proceeds the company cash proxy remains strongly positive.","This still does not normalize working capital LCM taxes outages or refinery-level allocation.",Business-interruption detail adjusted OCF reconciliation and refinery cash bridge,PBF has bounded insurance-normalized company cash.
CFPBFPFRC-013,CFE2EGUQ-008,capital-and-maintenance-use,capital-flow-pbf-insurance-normalized-cash-flow-pass-1.csv,visible,H1 2026,PP&E spending plus deferred turnaround spending,718.9M USD,capital-burden-visible,"Refinery capital and turnaround cash burden is measurable in the same period.","The spend is not allocated to refinery-level return or specific projects.",Capex project table turnaround schedule and outage days,PBF has visible capital/maintenance use.
